dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.792567,13.630000,0.000793,0.079268,3.963415,198.170732,0.000000
0.020000,5.792567,13.630000,0.000793,0.000000,-3.963407,-396.341086,0.000000
0.020000,5.793319,13.630000,0.001544,0.037581,1.879053,292.123008,6.283185
0.020000,5.802831,13.630000,0.011057,0.475610,21.901450,1001.119834,6.283185
0.020000,5.815514,13.630000,0.023739,0.634147,7.926837,-698.730652,6.283185
0.020000,5.831367,13.630000,0.039593,0.792684,7.926837,-0.000003,6.283185
0.020000,5.850392,13.630000,0.058618,0.951220,7.926837,-0.000004,6.283185
0.020000,5.872587,13.630000,0.080813,1.109757,7.926837,-0.000005,6.283185
0.020000,5.897953,13.630000,0.106179,1.268294,7.926836,-0.000005,6.283185
0.020000,5.926489,13.630000,0.134715,1.426831,7.926836,-0.000006,6.283185
0.020000,5.958197,13.630000,0.166423,1.585367,7.926836,-0.000007,6.283185
0.020000,5.993075,13.630000,0.201301,1.743904,7.926836,-0.000008,6.283185
0.020000,6.031124,13.630000,0.239349,1.902441,7.926836,-0.000008,6.283185
0.020000,6.072343,13.630000,0.280569,2.060977,7.926836,-0.000009,6.283185
0.020000,6.116733,13.630000,0.324959,2.219514,7.926835,-0.000010,6.283185
0.020000,6.164294,13.630000,0.372520,2.378051,7.926835,-0.000011,6.283185
0.020000,6.215026,13.630000,0.423252,2.536588,7.926835,-0.000011,6.283185
0.020000,6.268929,13.630000,0.477154,2.695124,7.926835,-0.000012,6.283185
0.020000,6.326002,13.630000,0.534228,2.853661,7.926835,-0.000013,6.283185
0.020000,6.386246,13.630000,0.594472,3.012198,7.926834,-0.000014,6.283185
0.020000,6.449661,13.630000,0.657886,3.170734,7.926834,-0.000014,6.283185
0.020000,6.516246,13.630000,0.724472,3.329271,7.926834,-0.000015,6.283185
0.020000,6.586002,13.630000,0.794228,3.487808,7.926833,-0.000016,6.283185
0.020000,6.658929,13.630000,0.867155,3.646344,7.926833,-0.000017,6.283185
0.020000,6.735027,13.630000,0.943252,3.804881,7.926833,-0.000017,6.283185
0.020000,6.814295,13.630000,1.022521,3.963418,7.926832,-0.000018,6.283185
0.020000,6.896734,13.630000,1.104960,4.121954,7.926832,-0.000019,6.283184
0.020000,6.982344,13.629999,1.190570,4.280491,7.926832,-0.000020,6.283184
0.020000,7.071124,13.629999,1.279350,4.439028,7.926831,-0.000020,6.283184
0.020000,7.163076,13.629999,1.371302,4.597564,7.926831,-0.000021,6.283184
0.020000,7.258198,13.629999,1.466424,4.756101,7.926830,-0.000022,6.283184
0.020000,7.356491,13.629999,1.564716,4.914637,7.926830,-0.000023,6.283184
0.020000,7.457954,13.629999,1.666180,5.073174,7.926829,-0.000023,6.283184
0.020000,7.562588,13.629999,1.770814,5.231711,7.926829,-0.000024,6.283184
0.020000,7.670393,13.629999,1.878619,5.390247,7.926828,-0.000025,6.283184
0.020000,7.781369,13.629999,1.989595,5.548784,7.926828,-0.000026,6.283184
0.020000,7.895515,13.629998,2.103741,5.707320,7.926827,-0.000026,6.283184
0.020000,8.012832,13.629998,2.221058,5.865857,7.926827,-0.000027,6.283184
0.020000,8.133320,13.629998,2.341546,6.024393,7.926826,-0.000028,6.283184
0.020000,8.256979,13.629998,2.465205,6.182930,7.926826,-0.000029,6.283184
0.020000,8.383808,13.629998,2.592034,6.341466,7.926825,-0.000029,6.283184
0.020000,8.513016,13.629998,2.721241,6.460369,5.945116,-99.085436,6.283184
0.020000,8.643016,13.629997,2.851241,6.500003,1.981700,-198.170831,6.283184
0.020000,8.773016,13.629997,2.981241,6.500002,-0.000008,-99.085409,6.283184
0.020000,8.903016,13.629997,3.111241,6.500002,-0.000008,-0.000000,6.283184
0.020000,9.033016,13.629997,3.241241,6.500002,-0.000008,-0.000000,6.283184
0.020000,9.163016,13.629996,3.371242,6.500002,-0.000008,0.000000,6.283183
0.020000,9.293016,13.629996,3.501242,6.500002,-0.000008,-0.000000,6.283183
0.020000,9.423016,13.629996,3.631242,6.500002,-0.000008,-0.000000,6.283183
0.020000,9.553016,13.629996,3.761242,6.500001,-0.000008,0.000000,6.283183
0.020000,9.683016,13.629995,3.891242,6.500001,-0.000008,-0.000000,6.283183
0.020000,9.813016,13.629995,4.021242,6.500001,-0.000008,0.000000,6.283183
0.020000,9.943016,13.629995,4.151242,6.500001,-0.000008,-0.000000,6.283183
0.020000,10.073016,13.629995,4.281242,6.500001,-0.000008,-0.000000,6.283183
0.020000,10.203016,13.629994,4.411242,6.500001,-0.000008,0.000000,6.283183
0.020000,10.333016,13.629994,4.541242,6.500000,-0.000008,0.000000,6.283183
0.020000,10.463016,13.629994,4.671242,6.500000,-0.000008,0.000000,6.283183
0.020000,10.593016,13.629994,4.801242,6.500000,-0.000008,-0.000000,6.283183
0.020000,10.723016,13.629993,4.931242,6.500000,-0.000008,0.000000,6.283183
0.020000,10.853016,13.629993,5.061242,6.500000,-0.000008,-0.000000,6.283183
0.020000,10.983016,13.629993,5.191242,6.500000,-0.000008,-0.000000,6.283183
0.020000,11.113016,13.629993,5.321242,6.499999,-0.000008,0.000000,6.283183
0.020000,11.243016,13.629992,5.451242,6.499999,-0.000008,-0.000000,6.283183
0.020000,11.373016,13.629992,5.581242,6.499999,-0.000008,0.000000,6.283183
0.020000,11.503016,13.629992,5.711242,6.499999,-0.000008,-0.000000,6.283183
0.020000,11.633016,13.629992,5.841242,6.499999,-0.000008,0.000000,6.283183
0.020000,11.763016,13.629991,5.971242,6.499999,-0.000008,-0.000000,6.283183
0.020000,11.893016,13.629991,6.101242,6.499998,-0.000008,-0.000000,6.283183
0.020000,12.023016,13.629991,6.231241,6.499998,-0.000008,-0.000000,6.283184
0.020000,12.153016,13.629991,6.361241,6.499998,-0.000008,-0.000000,6.283184
0.020000,12.283016,13.629990,6.491241,6.499998,-0.000008,0.000000,6.283184
0.020000,12.413016,13.629990,6.621241,6.499998,-0.000008,-0.000000,6.283184
0.020000,12.543016,13.629990,6.751241,6.499998,-0.000008,0.000000,6.283184
0.020000,12.672667,13.629990,6.880893,6.482562,-0.871760,-43.587566,6.283184
0.020000,12.800828,13.629990,7.009054,6.408058,-3.725217,-142.672883,6.283184
0.020000,12.926262,13.629989,7.134488,6.271720,-6.816879,-154.583060,6.283184
0.020000,13.048526,13.629989,7.256752,6.113184,-7.926833,-55.497728,6.283184
0.020000,13.167619,13.629989,7.375845,5.954647,-7.926833,0.000029,6.283184
0.020000,13.283541,13.629989,7.491767,5.796110,-7.926832,0.000028,6.283184
0.020000,13.396293,13.629989,7.604518,5.637574,-7.926831,0.000027,6.283184
0.020000,13.505873,13.629989,7.714099,5.479037,-7.926831,0.000027,6.283184
0.020000,13.612283,13.629988,7.820509,5.320501,-7.926830,0.000026,6.283184
0.020000,13.715523,13.629988,7.923748,5.161964,-7.926830,0.000025,6.283184
0.020000,13.815591,13.629988,8.023817,5.003427,-7.926829,0.000024,6.283184
0.020000,13.912489,13.629988,8.120715,4.844891,-7.926829,0.000024,6.283184
0.020000,14.006216,13.629988,8.214442,4.686354,-7.926829,0.000023,6.283184
0.020000,14.096773,13.629988,8.304998,4.527818,-7.926828,0.000022,6.283184
0.020000,14.184158,13.629988,8.392384,4.369281,-7.926828,0.000021,6.283184
0.020000,14.268373,13.629988,8.476599,4.210745,-7.926827,0.000021,6.283185
0.020000,14.349417,13.629988,8.557643,4.052208,-7.926827,0.000020,6.283185
0.020000,14.427291,13.629988,8.635516,3.893672,-7.926826,0.000019,6.283185
0.020000,14.501993,13.629988,8.710219,3.735135,-7.926826,0.000018,6.283185
0.020000,14.573525,13.629988,8.781751,3.576599,-7.926826,0.000018,6.283185
0.020000,14.641887,13.629988,8.850112,3.418062,-7.926825,0.000017,6.283185
0.020000,14.707077,13.629988,8.915303,3.259525,-7.926825,0.000016,6.283185
0.020000,14.769097,13.629987,8.977323,3.100989,-7.926825,0.000015,6.283185
0.020000,14.827946,13.629987,9.036172,2.942453,-7.926824,0.000015,6.283185
0.020000,14.883624,13.629987,9.091850,2.783916,-7.926824,0.000014,6.283185
0.020000,14.936132,13.629987,9.144358,2.625380,-7.926824,0.000013,6.283185
0.020000,14.985469,13.629987,9.193694,2.466843,-7.926824,0.000012,6.283185
