dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.508708,14.644967,0.000789,0.078947,3.947368,197.368421,6.275580
0.020000,5.508698,14.644967,0.000799,0.000469,-3.923908,-393.563818,6.275588
0.020000,5.514968,14.644919,0.007069,0.313483,15.650687,978.729748,6.275605
0.020000,5.524413,14.644848,0.016514,0.472279,7.939799,-385.544384,6.275629
0.020000,5.537007,14.644753,0.029108,0.629708,7.871453,-3.417311,6.275662
0.020000,5.552749,14.644635,0.044851,0.787139,7.871571,0.005885,6.275703
0.020000,5.571640,14.644494,0.063743,0.944574,7.871718,0.007363,6.275752
0.020000,5.593680,14.644331,0.085783,1.102012,7.871895,0.008835,6.275808
0.020000,5.618868,14.644146,0.110972,1.259454,7.872101,0.010303,6.275873
0.020000,5.647206,14.643940,0.139310,1.416900,7.872336,0.011781,6.275946
0.020000,5.678692,14.643713,0.170797,1.574352,7.872601,0.013253,6.276026
0.020000,5.713327,14.643466,0.205433,1.731810,7.872896,0.014723,6.276114
0.020000,5.751112,14.643201,0.243219,1.889275,7.873220,0.016193,6.276209
0.020000,5.792046,14.642918,0.284154,2.046746,7.873573,0.017673,6.276312
0.020000,5.836129,14.642617,0.328238,2.204225,7.873956,0.019139,6.276422
0.020000,5.883362,14.642300,0.375472,2.361713,7.874368,0.020616,6.276539
0.020000,5.933745,14.641969,0.425856,2.519209,7.874810,0.022086,6.276663
0.020000,5.987279,14.641623,0.479391,2.676715,7.875281,0.023561,6.276794
0.020000,6.043962,14.641265,0.536075,2.834230,7.875782,0.025032,6.276932
0.020000,6.103796,14.640895,0.595910,2.991756,7.876312,0.026508,6.277076
0.020000,6.166781,14.640515,0.658896,3.149294,7.876872,0.027977,6.277226
0.020000,6.232917,14.640126,0.725033,3.306843,7.877461,0.029455,6.277382
0.020000,6.302203,14.639729,0.794321,3.464405,7.878079,0.030923,6.277544
0.020000,6.374642,14.639327,0.866761,3.621979,7.878727,0.032400,6.277712
0.020000,6.450232,14.638919,0.942352,3.779567,7.879405,0.033870,6.277885
0.020000,6.528975,14.638509,1.021096,3.937170,7.880112,0.035345,6.278063
0.020000,6.610869,14.638097,1.102991,4.094786,7.880848,0.036817,6.278246
0.020000,6.695917,14.637685,1.188040,4.252419,7.881614,0.038293,6.278434
0.020000,6.784117,14.637274,1.276241,4.410067,7.882409,0.039762,6.278626
0.020000,6.875471,14.636867,1.367596,4.567732,7.883234,0.041239,6.278822
0.020000,6.969978,14.636464,1.462104,4.725413,7.884088,0.042711,6.279021
0.020000,7.067640,14.636067,1.559766,4.883113,7.884972,0.044184,6.279224
0.020000,7.168455,14.635678,1.660583,5.040830,7.885885,0.045657,6.279430
0.020000,7.272426,14.635299,1.764554,5.198567,7.886827,0.047130,6.279639
0.020000,7.379552,14.634930,1.871681,5.356323,7.887799,0.048603,6.279851
0.020000,7.489833,14.634574,1.981963,5.514099,7.888801,0.050076,6.280064
0.020000,7.603271,14.634233,2.095401,5.671896,7.889832,0.051549,6.280279
0.020000,7.719865,14.633906,2.211995,5.829714,7.890892,0.053022,6.280496
0.020000,7.838827,14.633599,2.330958,5.948160,5.922346,-98.427315,6.280712
0.020000,7.958584,14.633316,2.450715,5.987835,1.983721,-196.931276,6.280924
0.020000,8.078346,14.633057,2.570477,5.988118,0.014178,-98.477143,6.281132
0.020000,8.198114,14.632824,2.690245,5.988402,0.014178,0.000002,6.281334
0.020000,8.317887,14.632614,2.810019,5.988686,0.014178,0.000002,6.281532
0.020000,8.437666,14.632427,2.929798,5.988969,0.014178,0.000001,6.281724
0.020000,8.557451,14.632264,3.049583,5.989253,0.014178,0.000001,6.281912
0.020000,8.677242,14.632122,3.169374,5.989536,0.014178,-0.000000,6.282095
