dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.500000,13.500000,0.000789,0.078947,3.947368,197.368421,6.275580
0.020000,5.500000,13.500000,0.003947,0.236842,7.894737,197.368421,6.275588
0.020000,5.506288,13.499952,0.010263,0.394737,7.894737,0.000000,6.275605
0.020000,5.515762,13.499881,0.019737,0.552632,7.894737,-0.000000,6.275629
0.020000,5.528393,13.499785,0.032368,0.710526,7.894737,0.000000,6.275662
0.020000,5.544182,13.499667,0.048158,0.868421,7.894737,0.000000,6.275703
0.020000,5.563129,13.499526,0.067105,1.026316,7.894737,0.000000,6.275752
0.020000,5.585233,13.499362,0.089211,1.184211,7.894737,-0.000000,6.275808
0.020000,5.610496,13.499176,0.114474,1.342105,7.894737,0.000000,6.275873
0.020000,5.638916,13.498970,0.142895,1.500000,7.894737,0.000000,6.275946
0.020000,5.670494,13.498742,0.174474,1.657895,7.894737,0.000000,6.276026
0.020000,5.705230,13.498495,0.209211,1.815789,7.894737,0.000000,6.276114
0.020000,5.743124,13.498229,0.247105,1.973684,7.894737,0.000000,6.276209
0.020000,5.784176,13.497945,0.288158,2.131579,7.894737,0.000000,6.276312
0.020000,5.828385,13.497643,0.332368,2.289474,7.894737,0.000000,6.276422
0.020000,5.875753,13.497326,0.379737,2.447368,7.894737,-0.000000,6.276539
0.020000,5.926278,13.496993,0.430263,2.605263,7.894737,0.000000,6.276663
0.020000,5.979961,13.496646,0.483947,2.763158,7.894737,-0.000000,6.276794
0.020000,6.036802,13.496287,0.540789,2.921053,7.894737,0.000000,6.276932
0.020000,6.096801,13.495916,0.600789,3.078947,7.894737,0.000000,6.277076
0.020000,6.159957,13.495535,0.663947,3.236842,7.894737,-0.000000,6.277226
0.020000,6.226272,13.495145,0.730263,3.394737,7.894737,0.000000,6.277382
0.020000,6.295745,13.494747,0.799737,3.552632,7.894737,0.000000,6.277544
0.020000,6.368375,13.494344,0.872368,3.710526,7.894737,0.000000,6.277712
0.020000,6.444163,13.493936,0.948158,3.868421,7.894737,-0.000000,6.277885
0.020000,6.523110,13.493524,1.027105,4.026316,7.894737,0.000000,6.278063
0.020000,6.605214,13.493111,1.109211,4.184211,7.894737,0.000000,6.278246
0.020000,6.690476,13.492698,1.194474,4.342105,7.894737,0.000000,6.278434
0.020000,6.778896,13.492286,1.282895,4.500000,7.894737,0.000000,6.278626
0.020000,6.870474,13.491878,1.374474,4.657895,7.894737,0.000000,6.278822
0.020000,6.965210,13.491474,1.469211,4.815789,7.894737,0.000000,6.279021
0.020000,7.063104,13.491076,1.567105,4.973684,7.894737,0.000000,6.279224
0.020000,7.164156,13.490686,1.668158,5.131579,7.894737,0.000000,6.279430
0.020000,7.268366,13.490306,1.772368,5.289474,7.894737,-0.000000,6.279639
0.020000,7.375734,13.489937,1.879737,5.447368,7.894737,0.000000,6.279851
0.020000,7.486259,13.489580,1.990263,5.605263,7.894737,-0.000000,6.280064
0.020000,7.599943,13.489237,2.103947,5.763158,7.894737,0.000000,6.280279
0.020000,7.716785,13.488910,2.220789,5.921053,7.894737,-0.000000,6.280496
0.020000,7.835995,13.488603,2.340000,6.000000,3.947368,-197.368421,6.280712
0.020000,7.955995,13.488319,2.460000,6.000000,0.000000,-197.368421,6.280924
0.020000,8.075994,13.488060,2.580000,6.000000,0.000000,0.000000,6.281132
0.020000,8.195994,13.487826,2.700000,6.000000,0.000000,0.000000,6.281334
0.020000,8.315994,13.487615,2.820000,6.000000,0.000000,0.000000,6.281532
0.020000,8.435994,13.487429,2.940000,6.000000,0.000000,0.000000,6.281724
0.020000,8.555994,13.487265,3.060000,6.000000,0.000000,0.000000,6.281912
0.020000,8.675994,13.487123,3.180000,6.000000,0.000000,0.000000,6.282095
0.020000,8.795993,13.487003,3.300000,6.000000,0.000000,0.000000,6.282273
0.020000,8.915993,13.486904,3.420000,6.000000,0.000000,0.000000,6.282446
0.020000,9.035993,13.486825,3.540000,6.000000,0.000000,0.000000,6.282614
0.020000,9.155993,13.486766,3.660000,6.000000,0.000000,0.000000,6.282777
0.020000,9.275993,13.486727,3.780000,6.000000,0.000000,0.000000,6.282935
0.020000,9.395993,13.486706,3.900000,6.000000,0.000000,0.000000,6.283088
0.020000,9.511229,13.486520,4.020000,6.000000,0.000000,0.000000,6.273249
0.020000,9.631184,13.483400,4.140000,6.000000,0.000000,0.000000,6.241290
0.020000,9.750981,13.476516,4.260000,6.000000,0.000000,0.000000,6.210492
0.020000,9.870517,13.466025,4.380000,6.000000,0.000000,0.000000,6.181020
0.020000,9.989703,13.452101,4.500000,6.000000,0.000000,0.000000,6.153015
0.020000,10.108466,13.434939,4.620000,6.000000,0.000000,0.000000,6.126593
0.020000,10.226751,13.414743,4.740000,6.000000,0.000000,0.000000,6.101847
0.020000,10.344521,13.391728,4.860000,6.000000,0.000000,0.000000,6.078846
0.020000,10.461753,13.366116,4.980000,6.000000,0.000000,0.000000,6.057640
0.020000,10.578442,13.338130,5.100000,6.000000,0.000000,0.000000,6.038262
0.020000,10.694595,13.307996,5.220000,6.000000,0.000000,0.000000,6.020730
0.020000,10.810232,13.275936,5.340000,6.000000,0.000000,0.000000,6.005050
0.020000,10.925384,13.242174,5.460000,6.000000,0.000000,0.000000,5.991222
0.020000,11.040090,13.206929,5.580000,6.000000,0.000000,0.000000,5.979238
0.020000,11.154400,13.170416,5.700000,6.000000,0.000000,0.000000,5.969087
0.020000,11.268368,13.132849,5.820000,6.000000,0.000000,0.000000,5.960757
0.020000,11.382053,13.094436,5.940000,6.000000,0.000000,0.000000,5.954235
0.020000,11.495521,13.055385,6.060000,6.000000,0.000000,0.000000,5.949512
0.020000,11.608839,13.015900,6.180000,6.000000,0.000000,0.000000,5.946577
0.020000,11.722076,12.976184,6.300000,6.000000,0.000000,0.000000,5.945425
0.020000,11.835302,12.936438,6.420000,6.000000,0.000000,0.000000,5.946054
0.020000,11.948589,12.896864,6.540000,6.000000,0.000000,0.000000,5.948466
0.020000,12.062006,12.857664,6.660000,6.000000,0.000000,0.000000,5.952664
0.020000,12.175621,12.819043,6.780000,6.000000,0.000000,0.000000,5.958657
0.020000,12.289500,12.781207,6.900000,6.000000,0.000000,0.000000,5.966456
0.020000,12.403703,12.744363,7.020000,6.000000,0.000000,0.000000,5.976071
0.020000,12.518288,12.708723,7.140000,6.000000,0.000000,0.000000,5.987517
0.020000,12.633304,12.674504,7.260000,6.000000,0.000000,0.000000,6.000803
0.020000,12.748795,12.641922,7.380000,6.000000,0.000000,0.000000,6.015939
0.020000,12.864795,12.611200,7.500000,6.000000,0.000000,0.000000,6.032929
0.020000,12.981325,12.582560,7.620000,6.000000,0.000000,0.000000,6.051767
0.020000,13.098398,12.556229,7.740000,6.000000,0.000000,0.000000,6.072440
0.020000,13.216012,12.532430,7.860000,6.000000,0.000000,0.000000,6.094918
0.020000,13.334149,12.511385,7.980000,6.000000,0.000000,0.000000,6.119159
0.020000,13.452777,12.493311,8.100000,6.000000,0.000000,0.000000,6.145098
0.020000,13.571845,12.478417,8.220000,6.000000,0.000000,0.000000,6.172650
