dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.491292,12.355033,0.000793,0.079268,3.963415,198.170732,6.275580
0.020000,5.491302,12.355033,0.000802,0.000471,-3.939859,-395.163673,6.275588
0.020000,5.497650,12.354985,0.007151,0.317448,15.848866,989.436217,6.275605
0.020000,5.507191,12.354913,0.016691,0.477021,7.978615,-393.512520,6.275629
0.020000,5.519911,12.354817,0.029412,0.636025,7.950207,-1.420404,6.275662
0.020000,5.535811,12.354697,0.045313,0.795027,7.950088,-0.005943,6.275703
0.020000,5.554891,12.354555,0.064393,0.954025,7.949940,-0.007421,6.275752
0.020000,5.577151,12.354390,0.086653,1.113021,7.949762,-0.008902,6.275809
0.020000,5.602590,12.354204,0.112094,1.272012,7.949554,-0.010397,6.275874
0.020000,5.631209,12.353995,0.140714,1.430998,7.949316,-0.011869,6.275947
0.020000,5.663008,12.353766,0.172513,1.589979,7.949049,-0.013361,6.276028
0.020000,5.697986,12.353518,0.207492,1.748954,7.948752,-0.014843,6.276116
0.020000,5.736144,12.353250,0.245651,1.907923,7.948426,-0.016329,6.276212
0.020000,5.777480,12.352964,0.286988,2.066884,7.948069,-0.017815,6.276315
0.020000,5.821996,12.352660,0.331505,2.225838,7.947684,-0.019296,6.276425
0.020000,5.869691,12.352341,0.379201,2.384783,7.947268,-0.020781,6.276543
0.020000,5.920564,12.352006,0.430075,2.543719,7.946823,-0.022268,6.276668
0.020000,5.974616,12.351657,0.484128,2.702646,7.946347,-0.023754,6.276799
0.020000,6.031846,12.351296,0.541359,2.861563,7.945843,-0.025235,6.276937
0.020000,6.092254,12.350922,0.601769,3.020469,7.945308,-0.026723,6.277082
0.020000,6.155840,12.350539,0.665356,3.179364,7.944744,-0.028206,6.277232
0.020000,6.222604,12.350147,0.732121,3.338247,7.944150,-0.029693,6.277389
0.020000,6.292545,12.349747,0.802063,3.497118,7.943527,-0.031179,6.277552
0.020000,6.365664,12.349341,0.875183,3.655975,7.942874,-0.032659,6.277720
0.020000,6.441959,12.348931,0.951479,3.814819,7.942191,-0.034151,6.277894
0.020000,6.521431,12.348518,1.030952,3.973649,7.941478,-0.035632,6.278073
0.020000,6.604079,12.348103,1.113602,4.132463,7.940736,-0.037118,6.278256
0.020000,6.689903,12.347688,1.199427,4.291263,7.939963,-0.038602,6.278444
0.020000,6.778903,12.347274,1.288428,4.450046,7.939162,-0.040089,6.278637
0.020000,6.871079,12.346864,1.380604,4.608813,7.938330,-0.041573,6.278833
0.020000,6.966429,12.346459,1.475955,4.767562,7.937469,-0.043060,6.279034
0.020000,7.064954,12.346060,1.574481,4.926293,7.936578,-0.044543,6.279237
0.020000,7.166653,12.345669,1.676181,5.085007,7.935658,-0.046029,6.279444
0.020000,7.271527,12.345288,1.781055,5.243701,7.934707,-0.047514,6.279654
0.020000,7.379574,12.344918,1.889103,5.402375,7.933727,-0.048999,6.279866
0.020000,7.490794,12.344560,2.000323,5.561030,7.932718,-0.050484,6.280079
0.020000,7.605186,12.344217,2.114717,5.719663,7.931678,-0.051969,6.280295
0.020000,7.722752,12.343890,2.232282,5.878275,7.930609,-0.053453,6.280512
0.020000,7.843488,12.343581,2.353019,6.036866,7.929510,-0.054939,6.280730
0.020000,7.967397,12.343290,2.476928,6.195433,7.928382,-0.056422,6.280948
0.020000,8.094476,12.343020,2.604008,6.353978,7.927224,-0.057908,6.281167
0.020000,8.223932,12.342773,2.733463,6.472789,5.940569,-99.332762,6.281384
0.020000,8.354175,12.342552,2.863707,6.512168,1.968930,-198.581944,6.281597
0.020000,8.484411,12.342359,2.993943,6.511835,-0.016639,-99.278443,6.281803
0.020000,8.614641,12.342192,3.124174,6.511502,-0.016639,-0.000001,6.282004
0.020000,8.744865,12.342051,3.254397,6.511169,-0.016639,-0.000002,6.282199
0.020000,8.875081,12.341935,3.384614,6.510837,-0.016639,0.000002,6.282389
0.020000,9.005291,12.341843,3.514824,6.510504,-0.016639,0.000001,6.282572
0.020000,9.135495,12.341775,3.645027,6.510171,-0.016639,-0.000000,6.282750
0.020000,9.265691,12.341729,3.775224,6.509838,-0.016639,0.000003,6.282922
0.020000,9.395882,12.341706,3.905414,6.509505,-0.016639,0.000003,6.283088
0.020000,9.506757,12.341499,4.016290,5.543790,-48.285778,-2413.456963,6.270546
0.020000,9.597238,12.338781,4.106812,4.526105,-50.884254,-129.923775,6.236071
0.020000,9.689173,12.332905,4.198934,4.606086,3.999037,2744.164552,6.202994
0.020000,9.782693,12.323887,4.292888,4.697699,4.580687,29.082494,6.171516
0.020000,9.877904,12.311756,4.388868,4.799040,5.067021,24.316689,6.141808
0.020000,9.974883,12.296553,4.487032,4.908183,5.457186,19.508271,6.114006
0.020000,10.073684,12.278340,4.587498,5.023282,5.754906,14.885965,6.088214
0.020000,10.174340,12.257197,4.690351,5.142653,5.968573,10.683384,6.064507
0.020000,10.276872,12.233223,4.795648,5.264840,6.109367,7.039660,6.042934
0.020000,10.381290,12.206542,4.903420,5.388638,6.189891,4.026227,6.023523
0.020000,10.487601,12.177292,5.013682,5.513099,6.223051,1.658008,6.006286
0.020000,10.595815,12.145630,5.126433,5.637523,6.221204,-0.092343,5.991222
0.020000,10.705944,12.111730,5.241661,5.761435,6.195599,-1.280253,5.978322
0.020000,10.818010,12.075778,5.359353,5.884556,6.156058,-1.977049,5.967572
0.020000,10.932042,12.037975,5.479488,6.006773,6.110821,-2.261884,5.958957
0.020000,11.048084,11.998531,5.602050,6.128106,6.066655,-2.208269,5.952461
0.020000,11.166188,11.957667,5.727024,6.248681,6.028737,-1.895905,5.948072
0.020000,11.286421,11.915618,5.854398,6.368698,6.000843,-1.394712,5.945778
0.020000,11.408860,11.872625,5.984166,6.488408,5.985502,-0.767067,5.945576
0.020000,11.533595,11.828945,6.116328,6.608088,5.984005,-0.074816,5.947464
0.020000,11.660724,11.784846,6.250888,6.728018,5.996506,0.625055,5.951447
0.020000,11.790353,11.740610,6.387857,6.848455,6.021869,1.268145,5.957533
0.020000,11.922594,11.696535,6.527249,6.969612,6.057858,1.799432,5.965737
0.020000,12.057559,11.652937,6.669082,7.091631,6.100933,2.153734,5.976071
0.020000,12.195362,11.610154,6.813373,7.214554,6.146162,2.261458,5.988553
0.020000,12.336105,11.568542,6.960139,7.338297,6.187139,2.048859,6.003197
0.020000,12.479881,11.528481,7.109391,7.462615,6.215904,1.438277,6.020013
0.020000,12.626760,11.490377,7.261133,7.587074,6.222935,0.351533,6.039003
0.020000,12.776786,11.454654,7.415353,7.711019,6.197248,-1.284349,6.060159
0.020000,12.929965,11.421761,7.572024,7.833552,6.126678,-3.528495,6.083456
0.020000,13.086257,11.392161,7.731095,7.953520,5.998388,-6.414520,6.108848
0.020000,13.245566,11.366327,7.892485,8.069513,5.799660,-9.936383,6.136268
0.020000,13.407733,11.344735,8.056083,8.179892,5.518940,-14.035985,6.165616
0.020000,13.572527,11.327850,8.221739,8.282832,5.146989,-18.597580,6.196763
0.020000,13.739644,11.316111,8.389268,8.376423,4.679572,-23.370854,6.229546
0.020000,13.908705,11.309918,8.558443,8.458757,4.116660,-28.145596,6.263767
0.020000,14.055611,11.309003,8.705352,7.345431,-55.666301,-2989.148050,0.000000
0.020000,14.185611,11.309003,8.835352,6.500000,-42.271525,669.738788,0.000000
0.020000,14.315611,11.309003,8.965352,6.500000,0.000000,2113.576268,0.000000
0.020000,14.445611,11.309003,9.095352,6.500000,0.000000,0.000000,0.000000
0.020000,14.575611,11.309003,9.225352,6.500000,0.000000,0.000000,0.000000
0.020000,14.705611,11.309003,9.355352,6.500000,0.000000,0.000000,0.000000
0.020000,14.835611,11.309003,9.485352,6.500000,-0.000000,-0.000000,0.000000
0.020000,14.965611,11.309003,9.615352,6.500000,0.000000,0.000000,0.000000
0.020000,15.095611,11.309003,9.745352,6.500000,0.000000,-0.000000,0.000000
0.020000,15.225611,11.309003,9.875352,6.500000,0.000000,0.000000,0.000000
0.020000,15.355611,11.309003,10.005352,6.500000,0.000000,0.000000,0.000000
0.020000,15.485611,11.309003,10.135352,6.500000,0.000000,0.000000,0.000000
0.020000,15.615611,11.309003,10.265352,6.500000,0.000000,0.000000,0.000000
0.020000,15.745611,11.309003,10.395352,6.500000,0.000000,0.000000,0.000000
0.020000,15.875611,11.309003,10.525352,6.500000,0.000000,0.000000,0.000000
0.020000,16.005611,11.309003,10.655352,6.500000,0.000000,0.000000,0.000000
0.020000,16.135611,11.309003,10.785352,6.500000,-0.000000,-0.000000,0.000000
0.020000,16.265611,11.309003,10.915352,6.500000,0.000000,0.000000,0.000000
0.020000,16.395611,11.309003,11.045352,6.500000,0.000000,-0.000000,0.000000
0.020000,16.525611,11.309003,11.175352,6.500000,-0.000000,-0.000000,0.000000
0.020000,16.655242,11.309003,11.304982,6.481534,-0.923319,-46.165946,0.000000
0.020000,16.783341,11.309003,11.433082,6.404967,-3.828345,-145.251312,0.000000
0.020000,16.908693,11.309003,11.558434,6.267598,-6.868441,-152.004786,0.000000
0.020000,17.030874,11.309003,11.680615,6.109061,-7.926829,-52.919420,0.000000
0.020000,17.149885,11.309003,11.799625,5.950525,-7.926829,0.000000,0.000000
0.020000,17.265725,11.309003,11.915465,5.791988,-7.926829,-0.000000,0.000000
0.020000,17.378394,11.309003,12.028134,5.633452,-7.926829,0.000000,0.000000
0.020000,17.487892,11.309003,12.137632,5.474915,-7.926829,-0.000000,0.000000
0.020000,17.594219,11.309003,12.243960,5.316378,-7.926829,0.000000,0.000000
0.020000,17.697376,11.309003,12.347117,5.157842,-7.926829,-0.000000,0.000000
0.020000,17.797362,11.309003,12.447103,4.999305,-7.926829,-0.000000,0.000000
0.020000,17.894178,11.309003,12.543918,4.840769,-7.926829,0.000000,0.000000
0.020000,17.987822,11.309003,12.637563,4.682232,-7.926829,-0.000000,0.000000
0.020000,18.078296,11.309003,12.728037,4.523695,-7.926829,0.000000,0.000000
0.020000,18.165600,11.309003,12.815340,4.365159,-7.926829,-0.000000,0.000000
0.020000,18.249732,11.309003,12.899472,4.206622,-7.926829,0.000000,0.000000
0.020000,18.330694,11.309003,12.980434,4.048086,-7.926829,0.000000,0.000000
0.020000,18.408485,11.309003,13.058225,3.889549,-7.926829,-0.000000,0.000000
0.020000,18.483105,11.309003,13.132845,3.731013,-7.926829,0.000000,0.000000
0.020000,18.554554,11.309003,13.204295,3.572476,-7.926829,0.000000,0.000000
0.020000,18.622833,11.309003,13.272574,3.413939,-7.926829,-0.000000,0.000000
0.020000,18.687941,11.309003,13.337682,3.255403,-7.926829,0.000000,0.000000
0.020000,18.749879,11.309003,13.399619,3.096866,-7.926829,0.000000,0.000000
0.020000,18.808645,11.309003,13.458386,2.938330,-7.926829,-0.000000,0.000000
0.020000,18.864241,11.309003,13.513981,2.779793,-7.926829,0.000000,0.000000
0.020000,18.916666,11.309003,13.566407,2.621256,-7.926829,-0.000000,0.000000
0.020000,18.965921,11.309003,13.615661,2.462720,-7.926829,0.000000,0.000000
0.020000,19.012004,11.309003,13.661745,2.304183,-7.926829,-0.000000,0.000000
0.020000,19.054917,11.309003,13.704658,2.145647,-7.926829,0.000000,0.000000
0.020000,19.094659,11.309003,13.744400,1.987110,-7.926829,-0.000000,0.000000
0.020000,19.131231,11.309003,13.780971,1.828574,-7.926829,0.000000,0.000000
0.020000,19.164632,11.309003,13.814372,1.670037,-7.926829,-0.000000,0.000000
0.020000,19.194862,11.309003,13.844602,1.511500,-7.926829,0.000000,0.000000
0.020000,19.221921,11.309003,13.871661,1.352964,-7.926829,0.000000,0.000000
0.020000,19.245809,11.309003,13.895550,1.194427,-7.926829,-0.000000,0.000000
0.020000,19.266527,11.309003,13.916268,1.035891,-7.926829,0.000000,0.000000
0.020000,19.284074,11.309003,13.933815,0.877354,-7.926829,-0.000000,0.000000
0.020000,19.298451,11.309003,13.948191,0.718817,-7.926829,0.000000,0.000000
0.020000,19.309656,11.309003,13.959397,0.560281,-7.926829,0.000000,0.000000
0.020000,19.317691,11.309003,13.967432,0.401744,-7.926829,0.000000,0.000000
0.020000,19.322555,11.309003,13.972296,0.243208,-7.926829,-0.000000,0.000000
0.020000,19.324618,11.309003,13.974358,0.103137,-7.003510,46.165946,0.000000
0.020000,19.325041,11.309003,13.974782,0.021168,-4.098484,145.251312,0.000000
0.020000,19.325041,11.309003,13.974782,0.000000,-1.058388,152.004786,0.000000
