dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.792567,12.485000,0.000789,0.078947,3.947368,197.368421,0.000000
0.020000,5.792567,12.485000,0.003947,0.236842,7.894737,197.368421,0.000000
0.020000,5.793277,12.485000,0.010263,0.394737,7.894737,0.000000,6.283185
0.020000,5.802751,12.485000,0.019737,0.552632,7.894737,-0.000000,6.283185
0.020000,5.815382,12.485000,0.032368,0.710526,7.894737,0.000000,6.283185
0.020000,5.831172,12.485000,0.048158,0.868421,7.894737,0.000000,6.283185
0.020000,5.850119,12.485000,0.067105,1.026316,7.894737,0.000000,6.283185
0.020000,5.872224,12.485000,0.089211,1.184211,7.894737,-0.000000,6.283185
0.020000,5.897487,12.485000,0.114474,1.342105,7.894737,0.000000,6.283185
0.020000,5.925908,12.485000,0.142895,1.500000,7.894737,0.000000,6.283185
0.020000,5.957487,12.485000,0.174474,1.657895,7.894737,0.000000,6.283185
0.020000,5.992224,12.485000,0.209211,1.815789,7.894737,0.000000,6.283185
0.020000,6.030119,12.485000,0.247105,1.973684,7.894737,0.000000,6.283185
0.020000,6.071172,12.485000,0.288158,2.131579,7.894737,0.000000,6.283185
0.020000,6.115382,12.485000,0.332368,2.289474,7.894737,0.000000,6.283185
0.020000,6.162751,12.485000,0.379737,2.447368,7.894737,-0.000000,6.283185
0.020000,6.213277,12.485000,0.430263,2.605263,7.894737,0.000000,6.283185
0.020000,6.266961,12.485000,0.483947,2.763158,7.894737,-0.000000,6.283185
0.020000,6.323803,12.485000,0.540789,2.921053,7.894737,0.000000,6.283185
0.020000,6.383803,12.485000,0.600789,3.078947,7.894737,0.000000,6.283185
0.020000,6.446961,12.485000,0.663947,3.236842,7.894737,-0.000000,6.283185
0.020000,6.513277,12.485000,0.730263,3.394737,7.894737,0.000000,6.283185
0.020000,6.582751,12.485000,0.799737,3.552632,7.894737,0.000000,6.283185
0.020000,6.655382,12.485000,0.872368,3.710526,7.894737,0.000000,6.283185
0.020000,6.731172,12.485000,0.948158,3.868421,7.894737,-0.000000,6.283185
0.020000,6.810119,12.485000,1.027105,4.026316,7.894737,0.000000,6.283185
0.020000,6.892224,12.485000,1.109211,4.184211,7.894737,0.000000,6.283184
0.020000,6.977487,12.484999,1.194474,4.342105,7.894737,0.000000,6.283184
0.020000,7.065908,12.484999,1.282895,4.500000,7.894737,0.000000,6.283184
0.020000,7.157487,12.484999,1.374474,4.657895,7.894737,0.000000,6.283184
0.020000,7.252224,12.484999,1.469211,4.815789,7.894737,0.000000,6.283184
0.020000,7.350119,12.484999,1.567105,4.973684,7.894737,0.000000,6.283184
0.020000,7.451172,12.484999,1.668158,5.131579,7.894737,0.000000,6.283184
0.020000,7.555382,12.484999,1.772368,5.289474,7.894737,-0.000000,6.283184
0.020000,7.662751,12.484999,1.879737,5.447368,7.894737,0.000000,6.283184
0.020000,7.773277,12.484999,1.990263,5.605263,7.894737,-0.000000,6.283184
0.020000,7.886961,12.484998,2.103947,5.763158,7.894737,0.000000,6.283184
0.020000,8.003803,12.484998,2.220789,5.921053,7.894737,-0.000000,6.283184
0.020000,8.123014,12.484998,2.340000,6.000000,3.947368,-197.368421,6.283184
0.020000,8.243014,12.484998,2.460000,6.000000,0.000000,-197.368421,6.283184
0.020000,8.363014,12.484998,2.580000,6.000000,0.000000,0.000000,6.283184
0.020000,8.483014,12.484998,2.700000,6.000000,0.000000,0.000000,6.283184
0.020000,8.603014,12.484997,2.820000,6.000000,0.000000,0.000000,6.283184
0.020000,8.723014,12.484997,2.940000,6.000000,0.000000,0.000000,6.283184
0.020000,8.843014,12.484997,3.060000,6.000000,0.000000,0.000000,6.283184
0.020000,8.963014,12.484997,3.180000,6.000000,0.000000,0.000000,6.283184
0.020000,9.083014,12.484997,3.300000,6.000000,0.000000,0.000000,6.283184
0.020000,9.203014,12.484996,3.420000,6.000000,0.000000,0.000000,6.283183
0.020000,9.323014,12.484996,3.540000,6.000000,0.000000,0.000000,6.283183
0.020000,9.443014,12.484996,3.660000,6.000000,0.000000,0.000000,6.283183
0.020000,9.563014,12.484996,3.780000,6.000000,0.000000,0.000000,6.283183
0.020000,9.683014,12.484995,3.900000,6.000000,0.000000,0.000000,6.283183
0.020000,9.803014,12.484995,4.020000,6.000000,0.000000,0.000000,6.283183
0.020000,9.923014,12.484995,4.140000,6.000000,0.000000,0.000000,6.283183
0.020000,10.043014,12.484995,4.260000,6.000000,0.000000,0.000000,6.283183
0.020000,10.163014,12.484994,4.380000,6.000000,0.000000,0.000000,6.283183
0.020000,10.283014,12.484994,4.500000,6.000000,0.000000,0.000000,6.283183
0.020000,10.403014,12.484994,4.620000,6.000000,0.000000,0.000000,6.283183
0.020000,10.523014,12.484994,4.740000,6.000000,0.000000,0.000000,6.283183
0.020000,10.643014,12.484994,4.860000,6.000000,0.000000,0.000000,6.283183
0.020000,10.763014,12.484993,4.980000,6.000000,0.000000,0.000000,6.283183
0.020000,10.883014,12.484993,5.100000,6.000000,0.000000,0.000000,6.283183
0.020000,11.003014,12.484993,5.220000,6.000000,0.000000,0.000000,6.283183
0.020000,11.123014,12.484993,5.340000,6.000000,0.000000,0.000000,6.283183
0.020000,11.243014,12.484992,5.460000,6.000000,0.000000,0.000000,6.283183
0.020000,11.363014,12.484992,5.580000,6.000000,0.000000,0.000000,6.283183
0.020000,11.483014,12.484992,5.700000,6.000000,0.000000,0.000000,6.283183
0.020000,11.603014,12.484992,5.820000,6.000000,0.000000,0.000000,6.283183
0.020000,11.723014,12.484991,5.940000,6.000000,0.000000,0.000000,6.283183
0.020000,11.843014,12.484991,6.060000,6.000000,0.000000,0.000000,6.283183
0.020000,11.963014,12.484991,6.180000,6.000000,0.000000,0.000000,6.283183
0.020000,12.083014,12.484991,6.300000,6.000000,0.000000,0.000000,6.283184
0.020000,12.203014,12.484991,6.420000,6.000000,0.000000,0.000000,6.283184
0.020000,12.323014,12.484990,6.540000,6.000000,0.000000,0.000000,6.283184
0.020000,12.443014,12.484990,6.660000,6.000000,0.000000,0.000000,6.283184
0.020000,12.563014,12.484990,6.780000,6.000000,0.000000,0.000000,6.283184
0.020000,12.683014,12.484990,6.900000,6.000000,0.000000,0.000000,6.283184
0.020000,12.803014,12.484990,7.020000,6.000000,0.000000,0.000000,6.283184
0.020000,12.923014,12.484989,7.140000,6.000000,0.000000,0.000000,6.283184
0.020000,13.042769,12.484989,7.259755,5.975535,-1.223254,-61.162682,6.283184
0.020000,13.161246,12.484989,7.378232,5.872122,-5.170622,-197.368421,6.283184
0.020000,13.277109,12.484989,7.494095,5.714228,-7.894737,-136.205739,6.283184
0.020000,13.389815,12.484989,7.606801,5.556333,-7.894737,0.000000,6.283184
0.020000,13.499362,12.484989,7.716349,5.398438,-7.894737,0.000000,6.283184
0.020000,13.605752,12.484988,7.822739,5.240544,-7.894737,0.000000,6.283184
0.020000,13.708984,12.484988,7.925970,5.082649,-7.894737,-0.000000,6.283184
0.020000,13.809058,12.484988,8.026045,4.924754,-7.894737,0.000000,6.283184
0.020000,13.905974,12.484988,8.122961,4.766859,-7.894737,0.000000,6.283184
0.020000,13.999733,12.484988,8.216719,4.608965,-7.894737,0.000000,6.283184
0.020000,14.090333,12.484988,8.307319,4.451070,-7.894737,-0.000000,6.283184
0.020000,14.177775,12.484988,8.394762,4.293175,-7.894737,0.000000,6.283184
0.020000,14.262060,12.484988,8.479046,4.135280,-7.894737,-0.000000,6.283185
0.020000,14.343187,12.484988,8.560173,3.977386,-7.894737,0.000000,6.283185
0.020000,14.421155,12.484988,8.638142,3.819491,-7.894737,-0.000000,6.283185
0.020000,14.495966,12.484988,8.712953,3.661596,-7.894737,0.000000,6.283185
0.020000,14.567619,12.484988,8.784606,3.503701,-7.894737,-0.000000,6.283185
0.020000,14.636114,12.484988,8.853101,3.345807,-7.894737,0.000000,6.283185
0.020000,14.701451,12.484988,8.918438,3.187912,-7.894737,0.000000,6.283185
0.020000,14.763631,12.484987,8.980617,3.030017,-7.894737,0.000000,6.283185
0.020000,14.822652,12.484987,9.039638,2.872122,-7.894737,0.000000,6.283185
0.020000,14.878516,12.484987,9.095502,2.714228,-7.894737,0.000000,6.283185
0.020000,14.931221,12.484987,9.148208,2.556333,-7.894737,0.000000,6.283185
0.020000,14.980769,12.484987,9.197755,2.398438,-7.894737,0.000000,6.283185
0.020000,15.027159,12.484987,9.244145,2.240544,-7.894737,0.000000,6.283185
0.020000,15.070391,12.484987,9.287377,2.082649,-7.894737,0.000000,6.283185
0.020000,15.110465,12.484987,9.327451,1.924754,-7.894737,-0.000000,6.283185
0.020000,15.147381,12.484987,9.364367,1.766859,-7.894737,0.000000,6.283185
0.020000,15.181139,12.484987,9.398125,1.608965,-7.894737,-0.000000,6.283185
0.020000,15.211739,12.484987,9.428726,1.451070,-7.894737,0.000000,6.283185
0.020000,15.239182,12.484987,9.456168,1.293175,-7.894737,0.000000,6.283185
0.020000,15.263466,12.484987,9.480453,1.135280,-7.894737,0.000000,6.283185
0.020000,15.284593,12.484987,9.501579,0.977386,-7.894737,0.000000,6.283185
0.020000,15.302562,12.484987,9.519548,0.819491,-7.894737,0.000000,6.283185
0.020000,15.317373,12.484987,9.534359,0.661596,-7.894737,-0.000000,6.283185
0.020000,15.329026,12.484987,9.546012,0.503701,-7.894737,0.000000,6.283185
