dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.792567,11.340000,0.000789,0.078947,3.947368,197.368421,0.000000
0.020000,5.792567,11.340000,0.000789,0.000000,-3.947361,-394.736466,0.000000
0.020000,5.793277,11.340000,0.001499,0.035495,1.774723,286.104175,6.283185
0.020000,5.802750,11.340000,0.010973,0.473684,21.909458,1006.736764,6.283185
0.020000,5.815382,11.340000,0.023605,0.631578,7.894729,-700.736424,6.283185
0.020000,5.831172,11.340000,0.039394,0.789473,7.894729,0.000003,6.283185
0.020000,5.850119,11.340000,0.058341,0.947368,7.894730,0.000004,6.283185
0.020000,5.872224,11.340000,0.080447,1.105262,7.894730,0.000004,6.283185
0.020000,5.897487,11.340000,0.105710,1.263157,7.894730,0.000005,6.283185
0.020000,5.925908,11.340000,0.134131,1.421051,7.894730,0.000006,6.283185
0.020000,5.957487,11.340000,0.165710,1.578946,7.894730,0.000007,6.283185
0.020000,5.992224,11.340000,0.200447,1.736841,7.894730,0.000007,6.283185
0.020000,6.030119,11.340000,0.238341,1.894735,7.894730,0.000008,6.283185
0.020000,6.071171,11.340000,0.279394,2.052630,7.894730,0.000009,6.283185
0.020000,6.115382,11.340000,0.323604,2.210524,7.894731,0.000010,6.283185
0.020000,6.162750,11.340000,0.370973,2.368419,7.894731,0.000010,6.283185
0.020000,6.213276,11.340000,0.421499,2.526314,7.894731,0.000011,6.283185
0.020000,6.266961,11.340000,0.475183,2.684208,7.894731,0.000012,6.283185
0.020000,6.323803,11.340000,0.532025,2.842103,7.894732,0.000013,6.283185
0.020000,6.383803,11.340000,0.592025,2.999997,7.894732,0.000013,6.283185
0.020000,6.446960,11.340000,0.655183,3.157892,7.894732,0.000014,6.283185
0.020000,6.513276,11.340000,0.721499,3.315787,7.894732,0.000015,6.283185
0.020000,6.582750,11.340000,0.790972,3.473681,7.894733,0.000016,6.283185
0.020000,6.655381,11.340000,0.863604,3.631576,7.894733,0.000016,6.283185
0.020000,6.731171,11.340000,0.939393,3.789471,7.894733,0.000017,6.283185
0.020000,6.810118,11.340000,1.018341,3.947365,7.894734,0.000018,6.283185
0.020000,6.892223,11.340000,1.100446,4.105260,7.894734,0.000019,6.283184
0.020000,6.977486,11.339999,1.185709,4.263155,7.894735,0.000019,6.283184
0.020000,7.065907,11.339999,1.274130,4.421050,7.894735,0.000020,6.283184
0.020000,7.157486,11.339999,1.365709,4.578944,7.894735,0.000021,6.283184
0.020000,7.252223,11.339999,1.460446,4.736839,7.894736,0.000022,6.283184
0.020000,7.350118,11.339999,1.558340,4.894734,7.894736,0.000022,6.283184
0.020000,7.451170,11.339999,1.659393,5.052628,7.894737,0.000023,6.283184
0.020000,7.555381,11.339999,1.763603,5.210523,7.894737,0.000024,6.283184
0.020000,7.662749,11.339999,1.870972,5.368418,7.894738,0.000025,6.283184
0.020000,7.773275,11.339999,1.981498,5.526313,7.894738,0.000025,6.283184
0.020000,7.886959,11.339998,2.095182,5.684207,7.894739,0.000026,6.283184
0.020000,8.003802,11.339998,2.212024,5.842102,7.894739,0.000027,6.283184
0.020000,8.123012,11.339998,2.331235,5.960523,5.921057,-98.684135,6.283184
0.020000,8.243012,11.339998,2.451234,5.999997,1.973690,-197.368309,6.283184
0.020000,8.363012,11.339998,2.571234,5.999997,0.000007,-98.684160,6.283184
0.020000,8.483012,11.339998,2.691234,5.999997,0.000007,-0.000000,6.283184
0.020000,8.603012,11.339997,2.811234,5.999998,0.000007,0.000000,6.283184
0.020000,8.723012,11.339997,2.931234,5.999998,0.000007,-0.000000,6.283184
0.020000,8.843012,11.339997,3.051234,5.999998,0.000007,0.000000,6.283184
0.020000,8.963012,11.339997,3.171234,5.999998,0.000007,-0.000000,6.283184
0.020000,9.083012,11.339997,3.291234,5.999998,0.000007,0.000000,6.283184
0.020000,9.203012,11.339996,3.411234,5.999998,0.000007,-0.000000,6.283183
0.020000,9.323012,11.339996,3.531234,5.999998,0.000007,0.000000,6.283183
0.020000,9.443012,11.339996,3.651234,5.999999,0.000007,-0.000000,6.283183
0.020000,9.563011,11.339996,3.771234,5.999999,0.000007,0.000000,6.283183
0.020000,9.683011,11.339995,3.891234,5.999999,0.000007,-0.000000,6.283183
0.020000,9.803011,11.339995,4.011234,5.999999,0.000007,0.000000,6.283183
0.020000,9.923011,11.339995,4.131234,5.999999,0.000007,-0.000000,6.283183
0.020000,10.043011,11.339995,4.251234,5.999999,0.000007,-0.000000,6.283183
0.020000,10.163011,11.339994,4.371234,5.999999,0.000007,0.000000,6.283183
0.020000,10.283011,11.339994,4.491234,6.000000,0.000007,0.000000,6.283183
0.020000,10.403011,11.339994,4.611234,6.000000,0.000007,-0.000000,6.283183
0.020000,10.523011,11.339994,4.731234,6.000000,0.000007,-0.000000,6.283183
0.020000,10.643011,11.339994,4.851234,6.000000,0.000007,0.000000,6.283183
0.020000,10.763011,11.339993,4.971234,6.000000,0.000007,-0.000000,6.283183
0.020000,10.883011,11.339993,5.091234,6.000000,0.000007,0.000000,6.283183
