dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.499027,14.645000,0.000789,0.078947,3.947368,197.368421,0.000850
0.020000,5.499370,14.645000,0.001133,0.017185,-3.088137,-351.775287,0.000550
0.020000,5.500584,14.645000,0.002346,0.060659,2.173697,263.091695,6.283135
0.020000,5.511086,14.644995,0.012849,0.525127,23.223422,1052.486283,6.282237
0.020000,5.525087,14.644973,0.026850,0.700056,8.746444,-723.848924,6.281041
0.020000,5.542584,14.644923,0.044347,0.874857,8.740044,-0.319990,6.279549
0.020000,5.563575,14.644827,0.065338,1.049547,8.734503,-0.277043,6.277765
0.020000,5.588056,14.644669,0.089819,1.224068,8.726035,-0.423382,6.275689
0.020000,5.616023,14.644427,0.117787,1.398398,8.716532,-0.475159,6.273327
0.020000,5.647471,14.644075,0.149238,1.572509,8.705540,-0.549609,6.270682
0.020000,5.682395,14.643587,0.184165,1.746363,8.692702,-0.641895,6.267757
0.020000,5.720788,14.642933,0.222564,1.919953,8.679518,-0.659186,6.264559
0.020000,5.762644,14.642081,0.264428,2.093210,8.662826,-0.834630,6.261092
0.020000,5.807953,14.640995,0.309751,2.266124,8.645691,-0.856723,6.257363
0.020000,5.856707,14.639639,0.358524,2.438652,8.626413,-0.963912,6.253378
0.020000,5.908896,14.637972,0.410739,2.610760,8.605419,-1.049730,6.249145
0.020000,5.964508,14.635953,0.466387,2.782416,8.582790,-1.131417,6.244672
0.020000,6.023530,14.633540,0.525458,2.953563,8.557331,-1.272979,6.239967
0.020000,6.085948,14.630686,0.587942,3.124182,8.530968,-1.318152,6.235040
0.020000,6.151748,14.627346,0.653826,3.294214,8.501590,-1.468895,6.229900
0.020000,6.220912,14.623471,0.723099,3.463638,8.471182,-1.520367,6.224560
0.020000,6.293423,14.619014,0.795747,3.632386,8.437435,-1.687371,6.219030
0.020000,6.369261,14.613924,0.871755,3.800434,8.402410,-1.751238,6.213322
0.020000,6.448405,14.608151,0.951110,3.967727,8.364650,-1.888003,6.207450
0.020000,6.530834,14.601646,1.033795,4.134234,8.325334,-1.965818,6.201428
0.020000,6.616522,14.594359,1.119793,4.299897,8.283159,-2.108759,6.195270
0.020000,6.705446,14.586238,1.209086,4.464680,8.239132,-2.201319,6.188992
0.020000,6.797578,14.577237,1.301657,4.628532,8.192601,-2.326555,6.182610
0.020000,6.892890,14.567305,1.397485,4.791415,8.144167,-2.421718,6.176141
0.020000,6.991353,14.556398,1.496551,4.953285,8.093501,-2.533275,6.169602
0.020000,7.092938,14.544469,1.598833,5.114101,8.040790,-2.635540,6.163012
0.020000,7.197611,14.531476,1.704309,5.273823,7.986089,-2.735062,6.156390
0.020000,7.305340,14.517378,1.812958,5.432408,7.929227,-2.843102,6.149756
0.020000,7.416093,14.502136,1.924754,5.589819,7.870587,-2.932010,6.143131
0.020000,7.529834,14.485717,2.039674,5.746022,7.810118,-3.023471,6.136535
0.020000,7.646530,14.468087,2.157694,5.900980,7.747903,-3.110716,6.129991
0.020000,7.766144,14.449219,2.278787,6.054660,7.684025,-3.193900,6.123520
0.020000,7.888641,14.429089,2.402928,6.207031,7.618546,-3.273965,6.117145
0.020000,8.013164,14.407820,2.529254,6.316289,5.462883,-107.783168,6.110931
0.020000,8.138045,14.385707,2.656078,6.341198,1.245470,-210.870639,6.104971
0.020000,8.262461,14.362929,2.782562,6.324202,-0.849790,-104.762999,6.099308
0.020000,8.386416,14.339529,2.908706,6.307201,-0.850058,-0.013395,6.093942
0.020000,8.509913,14.315547,3.034510,6.290198,-0.850165,-0.005331,6.088873
0.020000,8.632957,14.291025,3.159974,6.273205,-0.849657,0.025402,6.084100
0.020000,8.755554,14.266001,3.285098,6.256223,-0.849090,0.028334,6.079625
0.020000,8.877709,14.240517,3.409883,6.239261,-0.848087,0.050147,6.075446
0.020000,8.999429,14.214610,3.534330,6.222320,-0.847051,0.051818,6.071562
0.020000,9.120721,14.188321,3.658438,6.205404,-0.845792,0.062921,6.067974
0.020000,9.241592,14.161688,3.782208,6.188515,-0.844472,0.065997,6.064681
0.020000,9.362049,14.134748,3.905641,6.171652,-0.843154,0.065916,6.061683
0.020000,9.482101,14.107539,4.028737,6.154817,-0.841720,0.071701,6.058979
0.020000,9.601754,14.080098,4.151498,6.138008,-0.840493,0.061358,6.056568
0.020000,9.721019,14.052462,4.273922,6.121225,-0.839106,0.069322,6.054451
0.020000,9.839902,14.024668,4.396011,6.104464,-0.838054,0.052642,6.052626
0.020000,9.958413,13.996751,4.517766,6.087727,-0.836890,0.058200,6.051094
0.020000,10.076560,13.968746,4.639186,6.071006,-0.836030,0.042972,6.049853
0.020000,10.194350,13.940690,4.760272,6.054301,-0.835229,0.040061,6.048905
0.020000,10.311794,13.912617,4.881024,6.037609,-0.834636,0.029641,6.048248
0.020000,10.428899,13.884561,5.001443,6.020924,-0.834219,0.020874,6.047882
0.020000,10.545673,13.856558,5.121528,6.004245,-0.833974,0.012208,6.047808
0.020000,10.662124,13.828640,5.241279,5.987566,-0.833928,0.002305,6.048025
0.020000,10.778262,13.800843,5.360697,5.970885,-0.834086,-0.007861,6.048534
0.020000,10.894093,13.773199,5.479781,5.954197,-0.834391,-0.015295,6.049334
0.020000,11.009625,13.745742,5.598531,5.937498,-0.834941,-0.027458,6.050426
0.020000,11.124865,13.718505,5.716946,5.920786,-0.835606,-0.033245,6.051809
0.020000,11.239822,13.691520,5.835027,5.904056,-0.836467,-0.043087,6.053485
0.020000,11.354501,13.664821,5.952774,5.887307,-0.837480,-0.050646,6.055454
0.020000,11.468910,13.638440,6.070184,5.870536,-0.838558,-0.053883,6.057715
0.020000,11.583054,13.612409,6.187259,5.853738,-0.839870,-0.065616,6.060270
0.020000,11.696940,13.586760,6.303997,5.836917,-0.841051,-0.059056,6.063118
0.020000,11.810573,13.561526,6.420399,5.820066,-0.842550,-0.074938,6.066261
0.020000,11.923959,13.536738,6.536463,5.803191,-0.843777,-0.061366,6.069699
0.020000,12.037102,13.512428,6.652188,5.786286,-0.845248,-0.073546,6.073432
0.020000,12.150008,13.488627,6.767575,5.769357,-0.846437,-0.059459,6.077461
0.020000,12.262680,13.465366,6.882623,5.752403,-0.847676,-0.061905,6.081785
0.020000,12.375122,13.442676,6.997332,5.735430,-0.848660,-0.049219,6.086407
0.020000,12.487338,13.420589,7.111701,5.718441,-0.849477,-0.040829,6.091325
0.020000,12.599330,13.399134,7.225730,5.701440,-0.850036,-0.027974,6.096539
0.020000,12.711101,13.378342,7.339418,5.684436,-0.850222,-0.009324,6.102051
0.020000,12.822654,13.358244,7.452767,5.667434,-0.850097,0.006256,6.107860
0.020000,12.933571,13.338941,7.565351,5.629208,-1.911266,-53.058414,6.113942
0.020000,13.042708,13.320642,7.676011,5.533014,-4.809738,-144.923597,6.120226
0.020000,13.149033,13.303507,7.783709,5.384866,-7.407367,-129.881475,6.126635
0.020000,13.252251,13.287556,7.888152,5.222159,-8.135366,-36.399952,6.133127
0.020000,13.352377,13.272750,7.989367,5.060743,-8.070814,3.227603,6.139682
0.020000,13.449427,13.259051,8.087379,4.900585,-8.007899,3.145772,6.146275
0.020000,13.543415,13.246417,8.182212,4.741651,-7.946680,3.060926,6.152887
0.020000,13.634354,13.234804,8.273890,4.583906,-7.887254,2.971282,6.159496
0.020000,13.722259,13.224168,8.362436,4.427312,-7.829688,2.878316,6.166083
0.020000,13.807143,13.214462,8.447873,4.271831,-7.774051,2.781881,6.172627
0.020000,13.889018,13.205641,8.530221,4.117422,-7.720469,2.679083,6.179111
0.020000,13.967895,13.197656,8.609502,3.964044,-7.668872,2.579840,6.185515
0.020000,14.043788,13.190461,8.685735,3.811656,-7.619412,2.473002,6.191824
0.020000,14.116707,13.184007,8.758939,3.660212,-7.572207,2.360265,6.198019
0.020000,14.186664,13.178248,8.829133,3.509672,-7.527012,2.259713,6.204087
0.020000,14.253669,13.173136,8.896332,3.359990,-7.484094,2.145914,6.210011
0.020000,14.317733,13.168624,8.960555,3.211119,-7.443522,2.028620,6.215777
0.020000,14.378865,13.164669,9.021815,3.063021,-7.404913,1.930421,6.221372
0.020000,14.437077,13.161223,9.080128,2.915649,-7.368626,1.814380,6.226783
0.020000,14.492376,13.158245,9.135507,2.768956,-7.334637,1.699441,6.231999
0.020000,14.544771,13.155692,9.187965,2.622905,-7.302552,1.604238,6.237008
0.020000,14.594273,13.153524,9.237514,2.477450,-7.272726,1.491319,6.241799
0.020000,14.640888,13.151700,9.284165,2.332551,-7.244987,1.386921,6.246364
0.020000,14.684625,13.150183,9.327929,2.188167,-7.219176,1.290556,6.250692
0.020000,14.725492,13.148938,9.368814,2.044258,-7.195443,1.186674,6.254777
0.020000,14.763494,13.147931,9.406830,1.900790,-7.173398,1.102261,6.258609
0.020000,14.798639,13.147130,9.441984,1.757720,-7.153510,0.994367,6.262182
0.020000,14.830933,13.146505,9.474284,1.615012,-7.135384,0.906294,6.265490
0.020000,14.860383,13.146028,9.503737,1.472646,-7.118334,0.852530,6.268527
0.020000,14.886992,13.145675,9.530349,1.330565,-7.104014,0.715977,6.271288
0.020000,14.910765,13.145421,9.554124,1.188746,-7.090979,0.651749,6.273767
0.020000,14.931708,13.145247,9.575067,1.047174,-7.078570,0.620447,6.275962
0.020000,14.949823,13.145134,9.593183,0.905794,-7.069016,0.477698,6.277868
0.020000,14.965115,13.145065,9.608475,0.764598,-7.059795,0.461055,6.279483
0.020000,14.977586,13.145027,9.620945,0.623530,-7.053425,0.318533,6.280803
0.020000,14.987238,13.145009,9.630597,0.482597,-7.046630,0.339746,6.281828
0.020000,14.994073,13.145002,9.637432,0.341749,-7.042384,0.212291,6.282554
0.020000,14.998092,13.145000,9.641452,0.200965,-7.039237,0.157344,6.282982
