dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.500000,13.500000,0.000789,0.078947,3.947368,197.368421,0.000574
0.020000,5.500000,13.500000,0.003947,0.236842,7.894737,197.368421,0.000368
0.020000,5.500658,13.500000,0.010263,0.394737,7.894737,0.000000,6.283143
0.020000,5.510132,13.499997,0.019737,0.552632,7.894737,-0.000000,6.282527
0.020000,5.522763,13.499983,0.032368,0.710526,7.894737,0.000000,6.281708
0.020000,5.538553,13.499952,0.048158,0.868421,7.894737,0.000000,6.280687
0.020000,5.557500,13.499893,0.067105,1.026316,7.894737,0.000000,6.279466
0.020000,5.579605,13.499795,0.089211,1.184211,7.894737,-0.000000,6.278047
0.020000,5.604868,13.499645,0.114474,1.342105,7.894737,0.000000,6.276433
0.020000,5.633288,13.499427,0.142895,1.500000,7.894737,0.000000,6.274626
0.020000,5.664865,13.499125,0.174474,1.657895,7.894737,0.000000,6.272631
0.020000,5.699600,13.498721,0.209211,1.815789,7.894737,0.000000,6.270450
0.020000,5.737491,13.498193,0.247105,1.973684,7.894737,0.000000,6.268088
0.020000,5.778538,13.497521,0.288158,2.131579,7.894737,0.000000,6.265550
0.020000,5.822741,13.496682,0.332368,2.289474,7.894737,0.000000,6.262840
0.020000,5.870098,13.495650,0.379737,2.447368,7.894737,-0.000000,6.259964
0.020000,5.920609,13.494400,0.430263,2.605263,7.894737,0.000000,6.256928
0.020000,5.974272,13.492905,0.483947,2.763158,7.894737,-0.000000,6.253739
0.020000,6.031086,13.491136,0.540789,2.921053,7.894737,0.000000,6.250402
0.020000,6.091051,13.489065,0.600789,3.078947,7.894737,0.000000,6.246925
0.020000,6.154163,13.486661,0.663947,3.236842,7.894737,-0.000000,6.243316
0.020000,6.220421,13.483894,0.730263,3.394737,7.894737,0.000000,6.239583
0.020000,6.289822,13.480732,0.799737,3.552632,7.894737,0.000000,6.235734
0.020000,6.362365,13.477143,0.872368,3.710526,7.894737,0.000000,6.231778
0.020000,6.438046,13.473095,0.948158,3.868421,7.894737,-0.000000,6.227725
0.020000,6.516863,13.468555,1.027105,4.026316,7.894737,0.000000,6.223585
0.020000,6.598812,13.463491,1.109211,4.184211,7.894737,0.000000,6.219368
0.020000,6.683890,13.457870,1.194474,4.342105,7.894737,0.000000,6.215085
0.020000,6.772092,13.451661,1.282895,4.500000,7.894737,0.000000,6.210748
0.020000,6.863416,13.444832,1.374474,4.657895,7.894737,0.000000,6.206367
0.020000,6.957857,13.437353,1.469211,4.815789,7.894737,0.000000,6.201956
0.020000,7.055411,13.429192,1.567105,4.973684,7.894737,0.000000,6.197526
0.020000,7.156074,13.420322,1.668158,5.131579,7.894737,0.000000,6.193092
0.020000,7.259840,13.410716,1.772368,5.289474,7.894737,-0.000000,6.188666
0.020000,7.366707,13.400345,1.879737,5.447368,7.894737,0.000000,6.184262
0.020000,7.476668,13.389188,1.990263,5.605263,7.894737,-0.000000,6.179896
0.020000,7.589721,13.377221,2.103947,5.763158,7.894737,0.000000,6.175580
0.020000,7.705860,13.364424,2.220789,5.921053,7.894737,-0.000000,6.171332
0.020000,7.824297,13.350870,2.340000,6.000000,3.947368,-197.368421,6.167193
0.020000,7.943463,13.336744,2.460000,6.000000,0.000000,-197.368421,6.163225
0.020000,8.062573,13.322157,2.580000,6.000000,0.000000,0.000000,6.159457
0.020000,8.181629,13.307133,2.700000,6.000000,0.000000,0.000000,6.155890
0.020000,8.300632,13.291696,2.820000,6.000000,0.000000,0.000000,6.152522
0.020000,8.419584,13.275871,2.940000,6.000000,0.000000,0.000000,6.149354
0.020000,8.538486,13.259681,3.060000,6.000000,0.000000,0.000000,6.146386
0.020000,8.657342,13.243149,3.180000,6.000000,0.000000,0.000000,6.143617
0.020000,8.776153,13.226301,3.300000,6.000000,0.000000,0.000000,6.141049
0.020000,8.894923,13.209159,3.420000,6.000000,0.000000,0.000000,6.138679
0.020000,9.013653,13.191748,3.540000,6.000000,0.000000,0.000000,6.136509
0.020000,9.132347,13.174091,3.660000,6.000000,0.000000,0.000000,6.134539
0.020000,9.251007,13.156212,3.780000,6.000000,0.000000,0.000000,6.132767
0.020000,9.369638,13.138134,3.900000,6.000000,0.000000,0.000000,6.131194
0.020000,9.488242,13.119882,4.020000,6.000000,0.000000,0.000000,6.129820
0.020000,9.606822,13.101479,4.140000,6.000000,0.000000,0.000000,6.128644
0.020000,9.725382,13.082948,4.260000,6.000000,0.000000,0.000000,6.127667
