dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.731566,14.884456,0.000799,0.079908,3.995421,199.771045,6.282773
0.020000,4.731408,14.884456,0.000957,0.007874,-3.601727,-379.857399,6.282911
0.020000,4.731098,14.884456,0.001266,0.015477,0.380153,199.093980,0.000000
0.020000,4.740216,14.884458,0.010384,0.455885,22.020415,1082.013114,0.000412
0.020000,4.752374,14.884466,0.022542,0.607911,7.601294,-720.956029,0.000960
0.020000,4.767574,14.884486,0.037742,0.759993,7.604071,0.138835,0.001642
0.020000,4.785817,14.884523,0.055985,0.912143,7.607506,0.171745,0.002459
0.020000,4.807104,14.884586,0.077272,1.064376,7.611657,0.207540,0.003408
0.020000,4.831438,14.884682,0.101606,1.216706,7.616535,0.243941,0.004488
0.020000,4.858821,14.884821,0.128989,1.369149,7.622125,0.279476,0.005697
0.020000,4.889255,14.885015,0.159424,1.521717,7.628416,0.314547,0.007032
0.020000,4.922742,14.885275,0.192912,1.674427,7.635508,0.354618,0.008492
0.020000,4.959286,14.885614,0.229458,1.827287,7.643001,0.374624,0.010073
0.020000,4.998891,14.886047,0.269064,1.980320,7.651644,0.432178,0.011773
0.020000,5.041558,14.886588,0.311735,2.133537,7.660825,0.459022,0.013587
0.020000,5.087292,14.887254,0.357474,2.286949,7.670595,0.488497,0.015514
0.020000,5.136097,14.888061,0.406286,2.440578,7.681445,0.542540,0.017549
0.020000,5.187977,14.889027,0.458174,2.594435,7.692847,0.570077,0.019688
0.020000,5.242935,14.890170,0.513145,2.748534,7.704956,0.605465,0.021926
0.020000,5.300978,14.891511,0.571203,2.902893,7.717942,0.649270,0.024261
0.020000,5.362108,14.893069,0.632353,3.057525,7.731614,0.683619,0.026685
0.020000,5.426332,14.894864,0.696602,3.212448,7.746142,0.726419,0.029195
0.020000,5.493654,14.896918,0.763956,3.367674,7.761338,0.759789,0.031786
0.020000,5.564080,14.899251,0.834420,3.523223,7.777446,0.805407,0.034451
0.020000,5.637615,14.901886,0.908002,3.679108,7.794209,0.838135,0.037184
0.020000,5.714265,14.904846,0.984709,3.835343,7.811749,0.876994,0.039980
0.020000,5.794035,14.908151,1.064548,3.991946,7.830152,0.920178,0.042832
0.020000,5.876933,14.911825,1.147527,4.148931,7.849279,0.956323,0.045734
0.020000,5.962963,14.915889,1.233653,4.306315,7.869174,0.994730,0.048678
0.020000,6.052133,14.920367,1.322935,4.464112,7.889871,1.034881,0.051658
0.020000,6.144449,14.925280,1.415382,4.622339,7.911328,1.072845,0.054665
0.020000,6.239918,14.930650,1.511002,4.781009,7.933509,1.109059,0.057692
0.020000,6.338548,14.936497,1.609805,4.940139,7.956529,1.150972,0.060732
0.020000,6.440345,14.942843,1.711800,5.099744,7.980230,1.185052,0.063774
0.020000,6.545318,14.949708,1.816997,5.259838,8.004715,1.224265,0.066813
0.020000,6.653473,14.957110,1.925405,5.420437,8.029918,1.260166,0.069837
0.020000,6.764820,14.965068,2.037037,5.581554,8.055874,1.297776,0.072839
0.020000,6.879367,14.973599,2.151901,5.743205,8.082548,1.333725,0.075809
0.020000,6.997123,14.982717,2.270009,5.905404,8.109940,1.369570,0.078737
0.020000,7.118096,14.992438,2.391372,6.068165,8.138046,1.405314,0.081613
0.020000,7.242297,15.002775,2.516002,6.231502,8.166859,1.440642,0.084428
0.020000,7.369735,15.013738,2.643911,6.395429,8.196352,1.474665,0.087172
0.020000,7.500420,15.025336,2.775110,6.559960,8.226567,1.510726,0.089833
0.020000,7.634364,15.037576,2.909612,6.725110,8.257459,1.544609,0.092401
0.020000,7.771578,15.050463,3.047430,6.890890,8.289011,1.577629,0.094865
0.020000,7.912074,15.064000,3.188576,7.057316,8.321292,1.614051,0.097213
0.020000,8.055864,15.078186,3.333064,7.224400,8.354225,1.646603,0.099434
0.020000,8.202961,15.093018,3.480907,7.392157,8.387857,1.681625,0.101517
0.020000,8.353380,15.108490,3.632119,7.560600,8.422155,1.714922,0.103449
0.020000,8.507134,15.124593,3.786714,7.729744,8.457168,1.750614,0.105218
0.020000,8.664238,15.141314,3.944706,7.899601,8.492859,1.784545,0.106812
0.020000,8.824710,15.158637,4.106110,8.070187,8.529293,1.821715,0.108217
0.020000,8.988565,15.176541,4.270940,8.241515,8.566405,1.855600,0.109422
0.020000,9.155821,15.195003,4.439212,8.413600,8.604268,1.893162,0.110412
0.020000,9.326497,15.213994,4.610941,8.586458,8.642875,1.930362,0.111175
0.020000,9.500612,15.233481,4.786143,8.760102,8.682234,1.967946,0.111695
0.020000,9.677393,15.253337,4.964036,8.894629,6.726353,-97.794081,0.111960
0.020000,9.855216,15.273334,5.142981,8.947226,2.629827,-204.826271,0.111959
0.020000,10.032449,15.293240,5.321327,8.917333,-1.494669,-206.224813,0.111693
0.020000,10.207546,15.312837,5.497518,8.809535,-5.389876,-194.760369,0.111172
0.020000,10.379754,15.331998,5.670788,8.663511,-7.301214,-95.566869,0.110410
0.020000,10.549059,15.350686,5.841122,8.516700,-7.340539,-1.966286,0.109420
0.020000,10.715451,15.368867,6.008504,8.369118,-7.379093,-1.927683,0.108217
0.020000,10.878917,15.386513,6.172920,8.220780,-7.416905,-1.890593,0.106813
0.020000,11.039445,15.403599,6.334354,8.071700,-7.454005,-1.854990,0.105222
0.020000,11.197021,15.420103,6.492792,7.921893,-7.490352,-1.817336,0.103455
0.020000,11.351632,15.436007,6.648219,7.771373,-7.526008,-1.782815,0.101527
0.020000,11.503266,15.451298,6.800622,7.620153,-7.560974,-1.748293,0.099448
0.020000,11.651909,15.465965,6.949987,7.468249,-7.595238,-1.713238,0.097231
0.020000,11.797548,15.480001,7.096301,7.315672,-7.628817,-1.678908,0.094888
0.020000,11.940169,15.493399,7.239550,7.162438,-7.661712,-1.644771,0.092429
0.020000,12.079758,15.506160,7.379721,7.008560,-7.693906,-1.609675,0.089867
0.020000,12.216302,15.518283,7.516802,6.854051,-7.725445,-1.576963,0.087212
0.020000,12.349787,15.529771,7.650780,6.698925,-7.756276,-1.541560,0.084475
0.020000,12.480199,15.540631,7.781644,6.543197,-7.786437,-1.508027,0.081667
0.020000,12.607526,15.550870,7.909382,6.386879,-7.815884,-1.472396,0.078798
0.020000,12.731753,15.560498,8.033982,6.229986,-7.844647,-1.438110,0.075877
0.020000,12.852868,15.569527,8.155432,6.072532,-7.872701,-1.402740,0.072916
0.020000,12.970857,15.577969,8.273723,5.914531,-7.900043,-1.367090,0.069922
0.020000,13.085707,15.585839,8.388843,5.755998,-7.926662,-1.330931,0.066906
0.020000,13.197407,15.593155,8.500782,5.596947,-7.952573,-1.295539,0.063877
0.020000,13.305943,15.599933,8.609530,5.437392,-7.977720,-1.257390,0.060844
0.020000,13.411305,15.606192,8.715077,5.277349,-8.002158,-1.221855,0.057814
0.020000,13.513479,15.611952,8.817413,5.116833,-8.025816,-1.182947,0.054796
0.020000,13.612455,15.617232,8.916530,4.955857,-8.048774,-1.147869,0.051799
0.020000,13.708223,15.622056,9.012419,4.794439,-8.070906,-1.106613,0.048829
0.020000,13.800771,15.626443,9.105071,4.632593,-8.092303,-1.069821,0.045895
0.020000,13.890089,15.630416,9.194478,4.470333,-8.112986,-1.034186,0.043004
0.020000,13.976168,15.633998,9.280631,4.307677,-8.132798,-0.990593,0.040162
0.020000,14.058999,15.637211,9.363524,4.144640,-8.151877,-0.953954,0.037377
0.020000,14.138572,15.640078,9.443149,3.981235,-8.170261,-0.919182,0.034654
0.020000,14.214879,15.642623,9.519498,3.817480,-8.187719,-0.872919,0.032000
0.020000,14.287912,15.644867,9.592566,3.653391,-8.204470,-0.837526,0.029421
0.020000,14.357664,15.646832,9.662346,3.488980,-8.220529,-0.802940,0.026922
0.020000,14.424127,15.648542,9.728831,3.324267,-8.235645,-0.755829,0.024508
0.020000,14.487295,15.650017,9.792016,3.159264,-8.250148,-0.725154,0.022185
0.020000,14.547162,15.651279,9.851896,2.993990,-8.263728,-0.678987,0.019958
0.020000,14.603721,15.652348,9.908465,2.828455,-8.276756,-0.651391,0.017830
0.020000,14.656967,15.653243,9.961719,2.662679,-8.288774,-0.600925,0.015806
0.020000,14.706895,15.653985,10.011652,2.496675,-8.300190,-0.570789,0.013891
0.020000,14.753500,15.654590,10.058262,2.330458,-8.310863,-0.533625,0.012087
0.020000,14.796778,15.655077,10.101542,2.164044,-8.320714,-0.492594,0.010398
0.020000,14.836725,15.655461,10.141491,1.997446,-8.329883,-0.458454,0.008828
0.020000,14.873338,15.655758,10.178105,1.830681,-8.338270,-0.419314,0.007379
0.020000,14.906612,15.655981,10.211380,1.663761,-8.345978,-0.385409,0.006055
0.020000,14.936546,15.656145,10.241314,1.496704,-8.352836,-0.342907,0.004856
0.020000,14.963136,15.656259,10.267905,1.329518,-8.359345,-0.325437,0.003787
0.020000,14.986380,15.656337,10.291149,1.162226,-8.364597,-0.262587,0.002848
0.020000,15.006277,15.656385,10.311046,0.994835,-8.369521,-0.246202,0.002041
0.020000,15.022824,15.656413,10.327593,0.827364,-8.373566,-0.202265,0.001368
0.020000,15.036021,15.656428,10.340789,0.659821,-8.377154,-0.179428,0.000830
0.020000,15.045865,15.656434,10.350634,0.492226,-8.379725,-0.128532,0.000428
0.020000,15.052357,15.656436,10.357126,0.324588,-8.381934,-0.110424,0.000163
0.020000,15.055549,15.656436,10.360318,0.159615,-8.248617,6.665851,0.000032
0.020000,15.056334,15.656436,10.361103,0.039233,-6.019122,111.474733,6.283185
0.020000,15.056334,15.656436,10.361103,0.000000,-1.961643,202.873923,6.283185
