dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.500000,13.500000,0.000789,0.078947,3.947368,197.368421,6.282611
0.020000,5.500000,13.500000,0.003947,0.236842,7.894737,197.368421,6.282817
0.020000,5.500658,13.500000,0.010263,0.394737,7.894737,0.000000,0.000043
0.020000,5.510132,13.500003,0.019737,0.552632,7.894737,-0.000000,0.000658
0.020000,5.522763,13.500017,0.032368,0.710526,7.894737,0.000000,0.001477
0.020000,5.538553,13.500048,0.048158,0.868421,7.894737,0.000000,0.002498
0.020000,5.557500,13.500107,0.067105,1.026316,7.894737,0.000000,0.003719
0.020000,5.579605,13.500205,0.089211,1.184211,7.894737,-0.000000,0.005138
0.020000,5.604868,13.500355,0.114474,1.342105,7.894737,0.000000,0.006752
0.020000,5.633288,13.500573,0.142895,1.500000,7.894737,0.000000,0.008559
0.020000,5.664865,13.500875,0.174474,1.657895,7.894737,0.000000,0.010555
0.020000,5.699600,13.501279,0.209211,1.815789,7.894737,0.000000,0.012736
0.020000,5.737491,13.501807,0.247105,1.973684,7.894737,0.000000,0.015097
0.020000,5.778538,13.502479,0.288158,2.131579,7.894737,0.000000,0.017636
0.020000,5.822741,13.503318,0.332368,2.289474,7.894737,0.000000,0.020345
0.020000,5.870098,13.504350,0.379737,2.447368,7.894737,-0.000000,0.023221
0.020000,5.920609,13.505600,0.430263,2.605263,7.894737,0.000000,0.026257
0.020000,5.974272,13.507095,0.483947,2.763158,7.894737,-0.000000,0.029447
0.020000,6.031086,13.508864,0.540789,2.921053,7.894737,0.000000,0.032783
0.020000,6.091051,13.510935,0.600789,3.078947,7.894737,0.000000,0.036260
0.020000,6.154163,13.513339,0.663947,3.236842,7.894737,-0.000000,0.039869
0.020000,6.220421,13.516106,0.730263,3.394737,7.894737,0.000000,0.043603
0.020000,6.289822,13.519268,0.799737,3.552632,7.894737,0.000000,0.047452
0.020000,6.362365,13.522857,0.872368,3.710526,7.894737,0.000000,0.051407
0.020000,6.438046,13.526905,0.948158,3.868421,7.894737,-0.000000,0.055460
0.020000,6.516863,13.531445,1.027105,4.026316,7.894737,0.000000,0.059600
0.020000,6.598812,13.536509,1.109211,4.184211,7.894737,0.000000,0.063817
0.020000,6.683890,13.542130,1.194474,4.342105,7.894737,0.000000,0.068100
0.020000,6.772092,13.548339,1.282895,4.500000,7.894737,0.000000,0.072438
0.020000,6.863416,13.555168,1.374474,4.657895,7.894737,0.000000,0.076818
0.020000,6.957857,13.562647,1.469211,4.815789,7.894737,0.000000,0.081230
0.020000,7.055411,13.570808,1.567105,4.973684,7.894737,0.000000,0.085659
0.020000,7.156074,13.579678,1.668158,5.131579,7.894737,0.000000,0.090094
0.020000,7.259840,13.589284,1.772368,5.289474,7.894737,-0.000000,0.094520
0.020000,7.366707,13.599655,1.879737,5.447368,7.894737,0.000000,0.098923
0.020000,7.476668,13.610812,1.990263,5.605263,7.894737,-0.000000,0.103290
0.020000,7.589721,13.622779,2.103947,5.763158,7.894737,0.000000,0.107605
0.020000,7.705860,13.635576,2.220789,5.921053,7.894737,-0.000000,0.111853
0.020000,7.824297,13.649130,2.340000,6.000000,3.947368,-197.368421,0.115993
0.020000,7.943463,13.663256,2.460000,6.000000,0.000000,-197.368421,0.119960
0.020000,8.062573,13.677843,2.580000,6.000000,0.000000,0.000000,0.123728
0.020000,8.181629,13.692867,2.700000,6.000000,0.000000,0.000000,0.127296
0.020000,8.300632,13.708304,2.820000,6.000000,0.000000,0.000000,0.130663
0.020000,8.419584,13.724129,2.940000,6.000000,0.000000,0.000000,0.133831
0.020000,8.538486,13.740319,3.060000,6.000000,0.000000,0.000000,0.136799
0.020000,8.657342,13.756851,3.180000,6.000000,0.000000,0.000000,0.139568
0.020000,8.776153,13.773699,3.300000,6.000000,0.000000,0.000000,0.142137
0.020000,8.894923,13.790841,3.420000,6.000000,0.000000,0.000000,0.144506
0.020000,9.013653,13.808252,3.540000,6.000000,0.000000,0.000000,0.146676
0.020000,9.132347,13.825909,3.660000,6.000000,0.000000,0.000000,0.148647
0.020000,9.251007,13.843788,3.780000,6.000000,0.000000,0.000000,0.150418
0.020000,9.369638,13.861866,3.900000,6.000000,0.000000,0.000000,0.151991
0.020000,9.488242,13.880118,4.020000,6.000000,0.000000,0.000000,0.153365
0.020000,9.606822,13.898521,4.140000,6.000000,0.000000,0.000000,0.154541
0.020000,9.725382,13.917052,4.260000,6.000000,0.000000,0.000000,0.155518
0.020000,9.843927,13.935687,4.380000,6.000000,0.000000,0.000000,0.156296
0.020000,9.962458,13.954403,4.500000,6.000000,0.000000,0.000000,0.156877
0.020000,10.080981,13.973176,4.620000,6.000000,0.000000,0.000000,0.157258
0.020000,10.199498,13.991982,4.740000,6.000000,0.000000,0.000000,0.157442
0.020000,10.318014,14.010798,4.860000,6.000000,0.000000,0.000000,0.157427
0.020000,10.436531,14.029601,4.980000,6.000000,0.000000,0.000000,0.157214
0.020000,10.555055,14.048366,5.100000,6.000000,0.000000,0.000000,0.156803
0.020000,10.673588,14.067072,5.220000,6.000000,0.000000,0.000000,0.156194
0.020000,10.792135,14.085693,5.340000,6.000000,0.000000,0.000000,0.155386
0.020000,10.910698,14.104207,5.460000,6.000000,0.000000,0.000000,0.154380
0.020000,11.029281,14.122589,5.580000,6.000000,0.000000,0.000000,0.153175
0.020000,11.147889,14.140817,5.700000,6.000000,0.000000,0.000000,0.151771
