dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.599605,12.401461,0.000795,0.079458,3.972911,198.645537,0.000029
0.020000,5.599969,12.401461,0.001158,0.018194,-3.063232,-351.807146,6.283181
0.020000,5.606250,12.401460,0.007440,0.314061,14.793391,892.831135,6.283115
0.020000,5.615673,12.401459,0.016863,0.471158,7.854812,-346.928938,6.283018
0.020000,5.628240,12.401456,0.029429,0.628333,7.858746,0.196699,6.282889
0.020000,5.643952,12.401451,0.045142,0.785612,7.863988,0.262133,6.282733
0.020000,5.662813,12.401440,0.064002,0.943023,7.870544,0.327796,6.282550
0.020000,5.684824,12.401424,0.086014,1.100591,7.878409,0.393213,6.282343
0.020000,5.709991,12.401400,0.111181,1.258343,7.887585,0.458813,6.282116
0.020000,5.738317,12.401366,0.139507,1.416304,7.898071,0.524322,6.281873
0.020000,5.769807,12.401321,0.170997,1.574502,7.909868,0.589821,6.281617
0.020000,5.804466,12.401262,0.205656,1.732961,7.922974,0.655322,6.281353
0.020000,5.842301,12.401187,0.243490,1.891709,7.937390,0.720785,6.281086
0.020000,5.883316,12.401096,0.284506,2.050771,7.953117,0.786349,6.280821
0.020000,5.927519,12.400985,0.328709,2.210174,7.970152,0.851748,6.280565
0.020000,5.974918,12.400855,0.376108,2.369944,7.988497,0.917278,6.280324
0.020000,6.025520,12.400705,0.426710,2.530107,8.008151,0.982688,6.280105
0.020000,6.079333,12.400534,0.480524,2.690690,8.029116,1.048237,6.279915
0.020000,6.136367,12.400343,0.537559,2.851718,8.051390,1.113688,6.279761
0.020000,6.196631,12.400133,0.597823,3.013217,8.074974,1.179198,6.279653
0.020000,6.260135,12.399906,0.661327,3.175214,8.099868,1.244730,6.279599
0.020000,6.326890,12.399667,0.728082,3.337736,8.126074,1.310294,6.279607
0.020000,6.396905,12.399419,0.798098,3.500808,8.153592,1.375907,6.279688
0.020000,6.470194,12.399168,0.871387,3.664456,8.182423,1.441555,6.279852
0.020000,6.546768,12.398922,0.947961,3.828708,8.212569,1.507294,6.280109
0.020000,6.626639,12.398690,1.027833,3.993588,8.244030,1.573068,6.280470
0.020000,6.709821,12.398483,1.111016,4.159124,8.276809,1.638917,6.280947
0.020000,6.796328,12.398315,1.197522,4.325342,8.310906,1.704851,6.281551
0.020000,6.886173,12.398201,1.287368,4.492269,8.346322,1.770825,6.282296
0.020000,6.979372,12.398159,1.380566,4.659930,8.383059,1.836827,0.000007
0.020000,7.075939,12.398210,1.477133,4.828352,8.421115,1.902825,0.001071
0.020000,7.175890,12.398378,1.577085,4.997562,8.460492,1.968851,0.002313
0.020000,7.279241,12.398690,1.680436,5.167586,8.501183,2.034544,0.003750
0.020000,7.386009,12.399176,1.787205,5.338450,8.543188,2.100253,0.005396
0.020000,7.496211,12.399872,1.897409,5.510180,8.586495,2.165346,0.007265
0.020000,7.609863,12.400816,2.011065,5.682802,8.631096,2.230051,0.009374
0.020000,7.726983,12.402051,2.128192,5.856341,8.676974,2.293861,0.011738
0.020000,7.847589,12.403623,2.248808,6.030823,8.724105,2.356561,0.014374
0.020000,7.971699,12.405587,2.372934,6.206272,8.772460,2.417780,0.017299
0.020000,8.099331,12.407999,2.500588,6.382712,8.822002,2.477065,0.020530
0.020000,8.230501,12.410923,2.631791,6.560166,8.872679,2.533865,0.024085
0.020000,8.365229,12.414428,2.766564,6.738654,8.924422,2.587175,0.027982
0.020000,8.503530,12.418591,2.904928,6.918198,8.977164,2.637056,0.032239
0.020000,8.645422,12.423493,3.046905,7.098813,9.030784,2.681021,0.036875
0.020000,8.790919,12.429224,3.192515,7.280517,9.085177,2.719640,0.041909
0.020000,8.940037,12.435880,3.341781,7.463321,9.140184,2.750353,0.047360
0.020000,9.092789,12.443567,3.494726,7.647233,9.195623,2.771950,0.053248
0.020000,9.243325,12.452048,3.645501,7.538743,-5.424505,-731.006406,0.059692
0.020000,9.415014,12.463791,3.817591,8.604530,53.289350,2935.692744,0.076751
0.020000,9.588981,12.478624,3.992190,8.729905,6.268751,-2351.029911,0.093225
0.020000,9.765085,12.496508,4.169199,8.850484,6.028973,-11.988933,0.109028
0.020000,9.943194,12.517376,4.348526,8.966356,5.793595,-11.768876,0.124080
0.020000,10.123184,12.541141,4.530079,9.077619,5.563136,-11.522979,0.138299
0.020000,10.304943,12.567691,4.713767,9.184388,5.338428,-11.235367,0.151607
0.020000,10.487524,12.596750,4.898645,9.243943,2.977789,-118.031951,0.163873
0.020000,10.668881,12.627788,5.082639,9.199701,-2.212097,-259.494312,0.174926
0.020000,10.847058,12.660189,5.263739,9.054958,-7.237180,-251.254161,0.184652
0.020000,11.020782,12.693407,5.440610,8.843557,-10.570055,-166.643749,0.193021
0.020000,11.189647,12.727047,5.612793,8.609184,-11.718616,-57.428023,0.200072
0.020000,11.353780,12.760842,5.780368,8.378756,-11.521418,9.859877,0.205874
0.020000,11.513300,12.794554,5.943413,8.152201,-11.327767,9.682534,0.210494
0.020000,11.668327,12.827975,6.102001,7.929427,-11.138690,9.453884,0.213999
0.020000,11.818974,12.860920,6.256208,7.710331,-10.954785,9.195226,0.216452
0.020000,11.965346,12.893231,6.406104,7.494806,-10.776264,8.926069,0.217917
0.020000,12.107545,12.924770,6.551759,7.282742,-10.603201,8.653145,0.218453
0.020000,12.245666,12.955418,6.693239,7.074033,-10.435419,8.389070,0.218120
0.020000,12.379798,12.985077,6.830611,6.868580,-10.272679,8.137009,0.216973
0.020000,12.510023,13.013663,6.963937,6.666287,-10.114663,7.900811,0.215069
0.020000,12.636419,13.041110,7.093278,6.467066,-9.961029,7.681719,0.212462
0.020000,12.759057,13.067364,7.218695,6.270837,-9.811448,7.479029,0.209202
0.020000,12.878004,13.092384,7.340245,6.077526,-9.665558,7.294530,0.205341
0.020000,12.993323,13.116144,7.457986,5.887063,-9.523145,7.120649,0.200930
0.020000,13.105072,13.138625,7.571974,5.699385,-9.383892,6.962642,0.196016
0.020000,13.213305,13.159821,7.682263,5.514432,-9.247645,6.812348,0.190647
0.020000,13.318073,13.179731,7.788906,5.332146,-9.114316,6.666426,0.184871
0.020000,13.419423,13.198367,7.891955,5.152471,-8.983750,6.528331,0.178731
0.020000,13.517401,13.215746,7.991462,4.975352,-8.855931,6.390922,0.172274
0.020000,13.612048,13.231891,8.087477,4.800733,-8.730947,6.249225,0.165542
0.020000,13.703406,13.246831,8.180048,4.628557,-8.608814,6.106631,0.158579
0.020000,13.791511,13.260601,8.269223,4.458764,-8.489639,5.958776,0.151426
0.020000,13.876402,13.273241,8.355049,4.291293,-8.373573,5.803271,0.144123
0.020000,13.958110,13.284793,8.437571,4.126078,-8.260768,5.640245,0.136711
0.020000,14.036672,13.295303,8.516832,3.963050,-8.151389,5.468978,0.129226
0.020000,14.112116,13.304821,8.592874,3.802137,-8.045634,5.287743,0.121707
0.020000,14.184475,13.313398,8.665740,3.643264,-7.943637,5.099829,0.114189
0.020000,14.253777,13.321085,8.735467,3.486351,-7.845661,4.898809,0.106705
