dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.650125,1.308137,0.000789,0.078947,3.947368,197.368421,2.626364
0.020000,15.647419,1.309670,0.003900,0.155522,3.828754,-5.930736,2.626170
0.020000,15.641541,1.313001,0.010656,0.337819,9.114809,264.302785,2.625785
0.020000,15.632735,1.317997,0.020780,0.506199,8.419026,-34.789162,2.625217
0.020000,15.621016,1.324657,0.034259,0.673945,8.387294,-1.586617,2.624477
0.020000,15.606402,1.332977,0.051076,0.840845,8.344977,-2.115847,2.623580
0.020000,15.588915,1.342955,0.071210,1.006686,8.292071,-2.645306,2.622544
0.020000,15.568582,1.354587,0.094635,1.171257,8.228571,-3.174964,2.621391
0.020000,15.545433,1.367867,0.121322,1.334347,8.154476,-3.704754,2.620148
0.020000,15.519504,1.382785,0.151237,1.495743,8.069785,-4.234575,2.618843
0.020000,15.490832,1.399333,0.184341,1.655233,7.974498,-4.764321,2.617511
0.020000,15.459457,1.417495,0.220593,1.812605,7.868621,-5.293869,2.616187
0.020000,15.425425,1.437255,0.259946,1.967648,7.752158,-5.823143,2.614914
0.020000,15.388781,1.458592,0.302349,2.120151,7.625116,-6.352116,2.613734
0.020000,15.349575,1.481480,0.347747,2.269900,7.487499,-6.880834,2.612697
0.020000,15.307856,1.505886,0.396081,2.416687,7.339311,-7.409415,2.611854
0.020000,15.263677,1.531775,0.447287,2.560298,7.180549,-7.938085,2.611261
0.020000,15.217090,1.559103,0.501298,2.700522,7.011207,-8.467102,2.610976
0.020000,15.168149,1.587818,0.558041,2.837147,6.831273,-8.996715,2.611062
0.020000,15.116908,1.617862,0.617440,2.969962,6.640732,-9.527061,2.611587
0.020000,15.063421,1.649167,0.679415,3.098753,6.439572,-10.057970,2.612620
0.020000,15.007741,1.681658,0.743881,3.223309,6.227797,-10.588741,2.614235
0.020000,14.949921,1.715246,0.810749,3.343418,6.005442,-11.117770,2.616511
0.020000,14.890013,1.749837,0.879927,3.458870,5.772600,-11.642104,2.619527
0.020000,14.828067,1.785322,0.951316,3.569459,5.529463,-12.156833,2.623370
0.020000,14.764134,1.821581,1.024816,3.674987,5.276376,-12.654342,2.628128
0.020000,14.711679,1.850935,1.084925,3.005482,-33.475255,-1937.581557,2.637004
0.020000,14.652375,1.883091,1.152386,3.373026,18.377188,2592.622143,2.652552
0.020000,14.590728,1.915250,1.221917,3.476565,5.176954,-660.011682,2.669048
0.020000,14.526726,1.947267,1.293481,3.578183,5.080892,-4.803100,2.686527
0.020000,14.460361,1.978987,1.367036,3.677778,4.979752,-5.057040,2.705027
0.020000,14.391628,2.010247,1.442544,3.775391,4.880680,-4.953597,2.724577
0.020000,14.320515,2.040880,1.519974,3.871507,4.805810,-3.743493,2.745207
0.020000,14.247015,2.070713,1.599299,3.966211,4.735195,-3.530756,2.766939
0.020000,14.171110,2.099568,1.680503,4.060197,4.699279,-1.795802,2.789788
0.020000,14.092786,2.127263,1.763579,4.153839,4.682120,-0.857919,2.813761
0.020000,14.012021,2.153610,1.848533,4.247689,4.692504,0.519202,2.838851
0.020000,13.928785,2.178420,1.935388,4.342751,4.753083,3.028926,2.865038
0.020000,13.843606,2.201359,2.023601,4.410665,3.395692,-67.869548,2.892107
0.020000,13.757576,2.222024,2.112078,4.423839,0.658718,-136.848673,2.919636
0.020000,13.671227,2.240258,2.200331,4.412666,-0.558677,-60.869756,2.947360
0.020000,13.584522,2.256065,2.288466,4.406714,-0.297581,13.054792,2.975188
0.020000,13.497420,2.269451,2.376590,4.406210,-0.025205,13.618780,3.003024
0.020000,13.409880,2.280422,2.464816,4.411291,0.254070,13.963769,3.030772
0.020000,13.321855,2.288989,2.553256,4.422030,0.536931,14.143043,3.058332
0.020000,13.233303,2.295160,2.642023,4.438347,0.815873,13.947080,3.085607
0.020000,13.144182,2.298949,2.731224,4.460047,1.084976,13.455170,3.112504
0.020000,13.054455,2.300369,2.820962,4.486907,1.343019,12.902124,3.138931
0.020000,12.964089,2.299434,2.911334,4.518578,1.583543,12.026219,3.164805
0.020000,12.873055,2.296164,3.002427,4.554637,1.802947,10.970211,3.190049
0.020000,12.781331,2.290580,3.094320,4.594658,2.001019,9.903573,3.214595
0.020000,12.688903,2.282706,3.187083,4.638148,2.174533,8.675745,3.238380
0.020000,12.595761,2.272573,3.280775,4.684600,2.322590,7.402822,3.261355
0.020000,12.501900,2.260215,3.375445,4.733529,2.446433,6.192157,3.283475
0.020000,12.407323,2.245670,3.471134,4.784453,2.546212,4.988930,3.304706
0.020000,12.312035,2.228983,3.567873,4.836913,2.622989,3.838853,3.325020
0.020000,12.216045,2.210202,3.665683,4.890495,2.679096,2.805384,3.344399
0.020000,12.119365,2.189381,3.764579,4.944820,2.716268,1.858568,3.362829
0.020000,12.022009,2.166579,3.864570,4.999554,2.736691,1.021180,3.380303
0.020000,11.923990,2.141857,3.965658,5.054390,2.741818,0.256332,3.396819
0.020000,11.825324,2.115282,4.067840,5.109113,2.736159,-0.282926,3.412379
0.020000,11.726024,2.086923,4.171110,5.163510,2.719850,-0.815494,3.426990
0.020000,11.626103,2.056853,4.275458,5.217398,2.694389,-1.273044,3.440659
0.020000,11.525571,2.025145,4.380872,5.270692,2.664672,-1.485828,3.453397
0.020000,11.424437,1.991877,4.487338,5.323279,2.629364,-1.765421,3.465217
0.020000,11.322706,1.957127,4.594840,5.375095,2.590809,-1.927751,3.476132
0.020000,11.220383,1.920973,4.703362,5.426136,2.552032,-1.938856,3.486155
0.020000,11.117467,1.883497,4.812889,5.476349,2.510658,-2.068663,3.495302
0.020000,11.013955,1.844780,4.923405,5.525794,2.472283,-1.918786,3.503585
0.020000,10.909841,1.804902,5.034894,5.574451,2.432811,-1.973592,3.511017
0.020000,10.805117,1.763946,5.147342,5.622401,2.397519,-1.764581,3.517613
0.020000,10.699770,1.721994,5.260736,5.669668,2.363340,-1.708934,3.523383
0.020000,10.593784,1.679128,5.375062,5.716329,2.333080,-1.513002,3.528338
0.020000,10.487140,1.635430,5.490311,5.762456,2.306347,-1.336674,3.532487
0.020000,10.379818,1.590983,5.606474,5.808110,2.282680,-1.183324,3.535839
0.020000,10.271791,1.545870,5.723541,5.853395,2.264238,-0.922111,3.538399
0.020000,10.163033,1.500175,5.841509,5.898379,2.249235,-0.750151,3.540174
0.020000,10.053513,1.453981,5.960372,5.943158,2.238910,-0.516258,3.541167
0.020000,9.943198,1.407374,6.080129,5.987821,2.233170,-0.287021,3.541380
0.020000,9.832053,1.360439,6.200778,6.032458,2.231864,-0.065270,3.540813
0.020000,9.720039,1.313263,6.322321,6.077162,2.235202,0.166904,3.539465
0.020000,9.607115,1.265936,6.444761,6.122020,2.242873,0.383548,3.537334
0.020000,9.493239,1.218547,6.568104,6.167131,2.255554,0.634056,3.534415
0.020000,9.378367,1.171190,6.692355,6.212568,2.271877,0.816121,3.530702
0.020000,9.262451,1.123959,6.817524,6.258423,2.292711,1.041712,3.526188
0.020000,9.145444,1.076954,6.943620,6.304784,2.318056,1.267271,3.520864
0.020000,9.027297,1.030276,7.070653,6.351699,2.345740,1.384166,3.514720
0.020000,8.907959,0.984029,7.198639,6.399273,2.378724,1.649185,3.507746
0.020000,8.787380,0.938324,7.327589,6.447523,2.412473,1.687493,3.499929
0.020000,8.665509,0.893276,7.457520,6.496534,2.450570,1.904836,3.491255
0.020000,8.542295,0.849002,7.588446,6.546309,2.488735,1.908263,3.481712
0.020000,8.417691,0.805628,7.720384,6.596900,2.529559,2.041183,3.471286
0.020000,8.291648,0.763285,7.853350,6.648268,2.568429,1.943497,3.459962
0.020000,8.164122,0.722108,7.987359,6.700450,2.609103,2.033702,3.447726
0.020000,8.035072,0.682242,8.122425,6.753337,2.644336,1.761651,3.434566
0.020000,7.904464,0.643836,8.258564,6.806907,2.678502,1.708281,3.420471
0.020000,7.772267,0.607046,8.395784,6.861037,2.706473,1.398585,3.405430
0.020000,7.638460,0.572036,8.534096,6.915575,2.726899,1.021272,3.389436
0.020000,7.503030,0.538975,8.673503,6.970365,2.739515,0.630792,3.372485
0.020000,7.365974,0.508038,8.814007,7.025180,2.740767,0.062601,3.354576
0.020000,7.227305,0.479405,8.955601,7.079741,2.728047,-0.636000,3.335714
0.020000,7.087045,0.453261,9.098276,7.133751,2.700510,-1.376823,3.315909
0.020000,6.945237,0.429791,9.242014,7.186857,2.655279,-2.261574,3.295175
0.020000,6.801938,0.409184,9.386787,7.238654,2.589864,-3.270731,3.273537
0.020000,6.657225,0.391625,9.532561,7.288708,2.502689,-4.358774,3.251024
0.020000,6.511196,0.377296,9.679292,7.336557,2.392428,-5.513034,3.227675
0.020000,6.364329,0.366394,9.826563,7.363558,1.350080,-52.117401,3.203597
0.020000,6.218113,0.359108,9.972960,7.319835,-2.186140,-176.811017,3.179079
0.020000,6.074335,0.355480,10.116784,7.191192,-6.432184,-212.302195,3.154484
0.020000,5.949070,0.355000,10.242050,6.263318,-46.393664,-1998.073991,3.141593
0.020000,5.839720,0.355000,10.351399,5.467468,-39.792514,330.057503,3.141593
0.020000,5.733529,0.355000,10.457591,5.309573,-7.894737,1594.888863,3.141593
0.020000,5.630495,0.355000,10.560624,5.151679,-7.894737,-0.000000,3.141593
0.020000,5.530620,0.355000,10.660500,4.993784,-7.894737,0.000000,3.141593
0.020000,5.433902,0.355000,10.757218,4.835889,-7.894737,-0.000000,3.141593
0.020000,5.340342,0.355000,10.850778,4.677994,-7.894737,0.000000,3.141593
0.020000,5.249940,0.355000,10.941180,4.520100,-7.894737,0.000000,3.141593
0.020000,5.162696,0.355000,11.028424,4.362205,-7.894737,-0.000000,3.141593
0.020000,5.078610,0.355000,11.112510,4.204310,-7.894737,0.000000,3.141593
0.020000,4.997681,0.355000,11.193438,4.046416,-7.894737,0.000000,3.141593
0.020000,4.919911,0.355000,11.271209,3.888521,-7.894737,-0.000000,3.141593
0.020000,4.845299,0.355000,11.345821,3.730626,-7.894737,0.000000,3.141593
0.020000,4.773844,0.355000,11.417276,3.572731,-7.894737,0.000000,3.141593
0.020000,4.705547,0.355000,11.485573,3.414837,-7.894737,-0.000000,3.141593
0.020000,4.640408,0.355000,11.550712,3.256942,-7.894737,0.000000,3.141593
0.020000,4.578427,0.355000,11.612693,3.099047,-7.894737,0.000000,3.141593
0.020000,4.519604,0.355000,11.671516,2.941152,-7.894737,-0.000000,3.141593
0.020000,4.463939,0.355000,11.727181,2.783258,-7.894737,0.000000,3.141593
0.020000,4.411432,0.355000,11.779688,2.625363,-7.894737,0.000000,3.141593
0.020000,4.362083,0.355000,11.829037,2.467468,-7.894737,-0.000000,3.141593
0.020000,4.315891,0.355000,11.875229,2.309573,-7.894737,0.000000,3.141593
0.020000,4.272858,0.355000,11.918262,2.151679,-7.894737,0.000000,3.141593
0.020000,4.232982,0.355000,11.958138,1.993784,-7.894737,-0.000000,3.141593
0.020000,4.196264,0.355000,11.994856,1.835889,-7.894737,0.000000,3.141593
0.020000,4.162704,0.355000,12.028416,1.677994,-7.894737,0.000000,3.141593
0.020000,4.132302,0.355000,12.058818,1.520100,-7.894737,-0.000000,3.141593
0.020000,4.105058,0.355000,12.086062,1.362205,-7.894737,0.000000,3.141593
0.020000,4.080972,0.355000,12.110148,1.204310,-7.894737,0.000000,3.141593
0.020000,4.060044,0.355000,12.131076,1.046416,-7.894737,-0.000000,3.141593
0.020000,4.042273,0.355000,12.148847,0.888521,-7.894737,0.000000,3.141593
0.020000,4.027661,0.355000,12.163459,0.730626,-7.894737,0.000000,3.141593
0.020000,4.016206,0.355000,12.174914,0.572731,-7.894737,-0.000000,3.141593
0.020000,4.007909,0.355000,12.183211,0.414837,-7.894737,0.000000,3.141593
0.020000,4.002770,0.355000,12.188349,0.256942,-7.894737,0.000000,3.141593
0.020000,4.000495,0.355000,12.190625,0.113759,-7.159141,36.779775,3.141593
0.020000,4.000000,0.355000,12.191120,0.024762,-4.449862,135.463985,3.141593
0.020000,4.000000,0.355000,12.191120,0.000000,-1.238089,160.588646,3.141593
