dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.778485,3.300850,0.000789,0.078947,3.947368,197.368421,2.626364
0.020000,16.776165,3.302163,0.003455,0.133282,2.716721,-61.532386,2.626170
0.020000,16.771054,3.305060,0.009330,0.293760,8.023927,265.360292,2.625785
0.020000,16.763380,3.309414,0.018154,0.441169,7.370447,-32.673973,2.625217
0.020000,16.753134,3.315237,0.029938,0.589213,7.402179,1.586598,2.624477
0.020000,16.740306,3.322540,0.044700,0.738103,7.444496,2.115827,2.623580
0.020000,16.724879,3.331343,0.062461,0.888051,7.497401,2.645287,2.622544
0.020000,16.706838,3.341664,0.083246,1.039269,7.560900,3.174950,2.621391
0.020000,16.686159,3.353526,0.107086,1.191969,7.634995,3.704748,2.620148
0.020000,16.662819,3.366955,0.134013,1.346362,7.719687,4.234583,2.618843
0.020000,16.636790,3.381977,0.164066,1.502662,7.814974,4.764334,2.617511
0.020000,16.608038,3.398622,0.197288,1.661079,7.920852,5.293899,2.616187
0.020000,16.576528,3.416917,0.233724,1.821825,8.037315,5.823189,2.614914
0.020000,16.542219,3.436895,0.273427,1.985112,8.164359,6.352170,2.613734
0.020000,16.505063,3.458585,0.316450,2.151152,8.301976,6.880883,2.612697
0.020000,16.465011,3.482017,0.362853,2.320155,8.450166,7.409464,2.611854
0.020000,16.422004,3.507219,0.412699,2.492334,8.608928,7.938106,2.611261
0.020000,16.375980,3.534216,0.466057,2.667899,8.778269,8.467074,2.610976
0.020000,16.326869,3.563032,0.522999,2.847063,8.958202,8.996617,2.611062
0.020000,16.274591,3.593684,0.583599,3.030038,9.148739,9.526851,2.611587
0.020000,16.219062,3.626184,0.647940,3.217036,9.349891,10.057609,2.612620
0.020000,16.160187,3.660538,0.716106,3.408269,9.561654,10.588169,2.614235
0.020000,16.097861,3.696744,0.788184,3.603949,9.783993,11.116924,2.616511
0.020000,16.031970,3.734789,0.864270,3.804285,10.016811,11.640910,2.619527
0.020000,15.962388,3.774647,0.944460,4.009483,10.259915,12.155204,2.623370
0.020000,15.888977,3.816281,1.028855,4.219742,10.512958,12.652135,2.628128
0.020000,15.817907,3.856014,1.110278,4.071145,-7.429875,-897.141632,2.637335
0.020000,15.726771,3.905360,1.213916,5.181904,55.537952,3148.391350,2.653385
0.020000,15.631052,3.955159,1.321814,5.394930,10.651304,-2244.332413,2.670397
0.020000,15.530629,4.005191,1.434010,5.609787,10.742837,4.576652,2.688404
0.020000,15.425387,4.055214,1.550535,5.826258,10.823562,4.036251,2.707434
0.020000,15.315212,4.104964,1.671422,6.044354,10.904814,4.062632,2.727517
0.020000,15.200000,4.154154,1.796695,6.263660,10.965268,3.022677,2.748673
0.020000,15.079662,4.202474,1.926372,6.483841,11.009054,2.189282,2.770916
0.020000,14.954126,4.249587,2.060458,6.704269,11.021413,0.617959,2.794253
0.020000,14.823341,4.295139,2.198948,6.924532,11.013145,-0.413407,2.818679
0.020000,14.687285,4.338749,2.341823,7.143722,10.959498,-2.682331,2.844176
0.020000,14.545970,4.380024,2.489042,7.360975,10.862648,-4.842514,2.870711
0.020000,14.400410,4.418314,2.639554,7.525600,8.231262,-131.569298,2.898052
0.020000,14.252672,4.452858,2.791277,7.586161,3.028072,-260.159500,2.925763
0.020000,14.103922,4.483310,2.943112,7.591751,0.279455,-137.430825,2.953570
0.020000,13.954383,4.509614,3.094947,7.591735,-0.000766,-14.011084,2.981378
0.020000,13.804281,4.531739,3.246670,7.586164,-0.278538,-13.888592,3.009088
0.020000,13.653850,4.549684,3.398168,7.574875,-0.564478,-14.296984,3.036601
0.020000,13.503322,4.563475,3.549327,7.557961,-0.845677,-14.059954,3.063819
0.020000,13.352921,4.573164,3.700040,7.535616,-1.117288,-13.580561,3.090646
0.020000,13.202866,4.578829,3.850201,7.508098,-1.375894,-12.930267,3.116992
0.020000,13.053361,4.580574,3.999717,7.475753,-1.617215,-12.066082,3.142773
0.020000,12.904595,4.578522,4.148497,7.439009,-1.837218,-11.000127,3.167912
0.020000,12.756740,4.572814,4.296462,7.398281,-2.036402,-9.959197,3.192339
0.020000,12.609946,4.563609,4.443544,7.354084,-2.209868,-8.673304,3.215995
0.020000,12.464346,4.551074,4.589682,7.306920,-2.358201,-7.416669,3.238826
0.020000,12.320051,4.535389,4.734828,7.257288,-2.481560,-6.167938,3.260790
0.020000,12.177150,4.516737,4.878941,7.205662,-2.581316,-4.987803,3.281852
0.020000,12.035714,4.495305,5.021991,7.152504,-2.657933,-3.830869,3.301985
0.020000,11.895797,4.471279,5.163956,7.098232,-2.713578,-2.782222,3.321170
0.020000,11.757435,4.444848,5.304820,7.043212,-2.751022,-1.872219,3.339394
0.020000,11.620648,4.416193,5.444576,6.987795,-2.770813,-0.989526,3.356649
0.020000,11.485444,4.385494,5.583222,6.932263,-2.776623,-0.290518,3.372935
0.020000,11.351819,4.352926,5.720759,6.876855,-2.770409,0.310701,3.388252
0.020000,11.219758,4.318655,5.857194,6.821768,-2.754315,0.804715,3.402607
0.020000,11.089239,4.282843,5.992537,6.767151,-2.730871,1.172190,3.416008
0.020000,10.960231,4.245647,6.126800,6.713144,-2.700353,1.525877,3.428466
0.020000,10.832700,4.207214,6.259996,6.659822,-2.666109,1.712240,3.439991
0.020000,10.706605,4.167687,6.392141,6.607240,-2.629100,1.850415,3.450599
0.020000,10.581904,4.127201,6.523250,6.555427,-2.590645,1.922769,3.460301
0.020000,10.458551,4.085887,6.653337,6.504389,-2.551893,1.937613,3.469112
0.020000,10.336499,4.043869,6.782420,6.454112,-2.513831,1.903058,3.477044
0.020000,10.215700,4.001267,6.910511,6.404566,-2.477301,1.826534,3.484111
0.020000,10.096106,3.958195,7.037625,6.355706,-2.443006,1.714742,3.490324
0.020000,9.977669,3.914763,7.163775,6.307475,-2.411533,1.573655,3.495695
0.020000,9.860342,3.871077,7.288971,6.259808,-2.383362,1.408538,3.500233
0.020000,9.744079,3.827240,7.413223,6.212631,-2.358882,1.224006,3.503947
0.020000,9.628835,3.783353,7.536541,6.165861,-2.338498,1.019185,3.506845
0.020000,9.514569,3.739511,7.658929,6.119418,-2.322116,0.819097,3.508931
0.020000,9.401239,3.695809,7.780393,6.073214,-2.310232,0.594232,3.510209
0.020000,9.288806,3.652340,7.900936,6.027155,-2.302924,0.365382,3.510684
0.020000,9.177235,3.609195,8.020559,5.981151,-2.300225,0.134961,3.510354
0.020000,9.066491,3.566462,8.139262,5.935108,-2.302158,-0.096661,3.509221
0.020000,8.956544,3.524232,8.257040,5.888933,-2.308702,-0.327212,3.507281
0.020000,8.847365,3.482589,8.373891,5.842538,-2.319790,-0.554402,3.504530
0.020000,8.738930,3.441622,8.489808,5.795833,-2.335213,-0.771115,3.500964
0.020000,8.631214,3.401415,8.604782,5.748734,-2.354983,-0.988518,3.496575
0.020000,8.524200,3.362055,8.718805,5.701156,-2.378882,-1.194954,3.491356
0.020000,8.417871,3.323626,8.831866,5.653027,-2.406460,-1.378912,3.485295
0.020000,8.312214,3.286213,8.943952,5.604279,-2.437412,-1.547559,3.478383
0.020000,8.207219,3.249900,9.055049,5.554853,-2.471277,-1.693264,3.470608
0.020000,8.102880,3.214770,9.165143,5.504703,-2.507495,-1.810926,3.461957
0.020000,7.999194,3.180906,9.274219,5.453795,-2.545389,-1.894706,3.452416
0.020000,7.896160,3.148391,9.382261,5.402112,-2.584149,-1.937977,3.441973
0.020000,7.793782,3.117306,9.489254,5.349656,-2.622815,-1.933312,3.430614
0.020000,7.692066,3.087730,9.595183,5.296451,-2.660266,-1.872530,3.418326
0.020000,7.591020,3.059742,9.700034,5.242549,-2.695112,-1.742333,3.405096
0.020000,7.490654,3.033418,9.803795,5.188032,-2.725809,-1.534819,3.390914
0.020000,7.390981,3.008831,9.906455,5.133004,-2.751401,-1.279606,3.375770
0.020000,7.292016,2.986054,10.008007,5.077621,-2.769176,-0.888745,3.359660
0.020000,7.193773,2.965153,10.108449,5.022073,-2.777395,-0.410945,3.342579
0.020000,7.096268,2.946192,10.207780,4.966596,-2.773856,0.176928,3.324530
0.020000,6.999514,2.929232,10.306010,4.911473,-2.756135,0.886078,3.305518
0.020000,6.903524,2.914328,10.403150,4.857017,-2.722830,1.665228,3.285554
0.020000,6.808308,2.901530,10.499222,4.803606,-2.670546,2.614187,3.264658
0.020000,6.713873,2.890884,10.594255,4.751652,-2.597660,3.644327,3.242855
0.020000,6.620222,2.882431,10.688287,4.701601,-2.502554,4.755306,3.220177
0.020000,6.527351,2.876207,10.781366,4.653936,-2.383248,5.965278,3.196667
0.020000,6.435594,2.872254,10.873209,4.592121,-3.090770,-35.376080,3.172466
0.020000,6.345863,2.870579,10.962955,4.487310,-5.240546,-107.488800,3.147902
0.020000,6.240151,2.870508,11.068667,5.285623,39.915631,2257.808858,3.141593
0.020000,6.128249,2.870508,11.180569,5.595108,15.474282,-1222.067479,3.141593
0.020000,6.019504,2.870508,11.289314,5.437214,-7.894737,-1168.450935,3.141593
0.020000,5.913918,2.870508,11.394900,5.279319,-7.894737,-0.000000,3.141593
0.020000,5.811489,2.870508,11.497329,5.121424,-7.894737,0.000000,3.141593
0.020000,5.712219,2.870508,11.596599,4.963529,-7.894737,0.000000,3.141593
0.020000,5.616106,2.870508,11.692712,4.805635,-7.894737,-0.000000,3.141593
0.020000,5.523151,2.870508,11.785667,4.647740,-7.894737,0.000000,3.141593
0.020000,5.433354,2.870508,11.875464,4.489845,-7.894737,0.000000,3.141593
0.020000,5.346715,2.870508,11.962103,4.331950,-7.894737,-0.000000,3.141593
0.020000,5.263234,2.870508,12.045584,4.174056,-7.894737,0.000000,3.141593
0.020000,5.182911,2.870508,12.125907,4.016161,-7.894737,0.000000,3.141593
0.020000,5.105746,2.870508,12.203072,3.858266,-7.894737,-0.000000,3.141593
0.020000,5.031738,2.870508,12.277080,3.700372,-7.894737,0.000000,3.141593
0.020000,4.960889,2.870508,12.347929,3.542477,-7.894737,0.000000,3.141593
0.020000,4.893197,2.870508,12.415621,3.384582,-7.894737,-0.000000,3.141593
0.020000,4.828663,2.870508,12.480155,3.226687,-7.894737,-0.000000,3.141593
0.020000,4.767288,2.870508,12.541530,3.068793,-7.894737,0.000000,3.141593
0.020000,4.709070,2.870508,12.599748,2.910898,-7.894737,-0.000000,3.141593
0.020000,4.654010,2.870508,12.654808,2.753003,-7.894737,0.000000,3.141593
0.020000,4.602107,2.870508,12.706711,2.595108,-7.894737,0.000000,3.141593
0.020000,4.553363,2.870508,12.755455,2.437214,-7.894737,-0.000000,3.141593
0.020000,4.507777,2.870508,12.801041,2.279319,-7.894737,0.000000,3.141593
0.020000,4.465348,2.870508,12.843470,2.121424,-7.894737,0.000000,3.141593
0.020000,4.426078,2.870508,12.882740,1.963529,-7.894737,-0.000000,3.141593
0.020000,4.389965,2.870508,12.918853,1.805635,-7.894737,0.000000,3.141593
0.020000,4.357010,2.870508,12.951808,1.647740,-7.894737,0.000000,3.141593
0.020000,4.327213,2.870508,12.981605,1.489845,-7.894737,-0.000000,3.141593
0.020000,4.300574,2.870508,13.008244,1.331950,-7.894737,-0.000000,3.141593
0.020000,4.277093,2.870508,13.031725,1.174056,-7.894737,0.000000,3.141593
0.020000,4.256770,2.870508,13.052048,1.016161,-7.894737,-0.000000,3.141593
0.020000,4.239605,2.870508,13.069213,0.858266,-7.894737,0.000000,3.141593
0.020000,4.225597,2.870508,13.083221,0.700372,-7.894737,-0.000000,3.141593
0.020000,4.214748,2.870508,13.094070,0.542477,-7.894737,0.000000,3.141593
0.020000,4.207056,2.870508,13.101762,0.384582,-7.894737,0.000000,3.141593
0.020000,4.202522,2.870508,13.106296,0.226687,-7.894737,0.000000,3.141593
0.020000,4.200701,2.870508,13.108117,0.091068,-6.780960,55.688836,3.141593
