dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.138466,1.794708,0.000793,0.079268,3.963415,198.170732,2.577836
0.020000,15.139014,1.794362,0.001440,0.032372,-2.344798,-315.410630,2.578401
0.020000,15.140110,1.793671,0.002736,0.064781,1.620411,198.260441,2.579533
0.020000,15.134360,1.797285,0.009527,0.339569,13.739409,605.949892,2.581233
0.020000,15.125815,1.802632,0.019607,0.504015,8.222304,-275.855249,2.583505
0.020000,15.115125,1.809285,0.032198,0.629550,6.276758,-97.277305,2.586356
0.020000,15.102288,1.817218,0.047289,0.754526,6.248822,-1.396786,2.589790
0.020000,15.087295,1.826406,0.064873,0.879204,6.233857,-0.748221,2.593817
0.020000,15.070140,1.836817,0.084940,1.003351,6.207350,-1.325385,2.598446
0.020000,15.050817,1.848413,0.107475,1.126772,6.171063,-1.814340,2.603686
0.020000,15.029315,1.861156,0.132469,1.249695,6.146161,-1.245103,2.609549
0.020000,15.005625,1.874998,0.159907,1.371884,6.109429,-1.836575,2.616048
0.020000,14.979738,1.889888,0.189772,1.493237,6.067647,-2.089122,2.623196
0.020000,14.951641,1.905771,0.222047,1.613776,6.026979,-2.033383,2.631007
0.020000,14.921322,1.922585,0.256716,1.733417,5.982025,-2.247728,2.639498
0.020000,14.888770,1.940263,0.293759,1.852167,5.937517,-2.225405,2.648683
0.020000,14.853969,1.958735,0.333158,1.969945,5.888915,-2.430101,2.658580
0.020000,14.816904,1.977924,0.374895,2.086862,5.845821,-2.154696,2.669205
0.020000,14.777561,1.997747,0.418950,2.202748,5.794297,-2.576184,2.680575
0.020000,14.735923,2.018116,0.465304,2.317681,5.746671,-2.381295,2.692706
0.020000,14.691971,2.038939,0.513938,2.431736,5.702747,-2.196231,2.705613
0.020000,14.645688,2.060118,0.564837,2.544955,5.660970,-2.088820,2.719312
0.020000,14.597051,2.081549,0.617987,2.657472,5.625850,-1.755986,2.733815
0.020000,14.546037,2.103126,0.673376,2.769445,5.598622,-1.361412,2.749132
0.020000,14.492624,2.124733,0.730994,2.880885,5.571996,-1.331331,2.765271
0.020000,14.436784,2.146254,0.790838,2.992214,5.566485,-0.275517,2.782234
0.020000,14.378485,2.167566,0.852910,3.103609,5.569728,0.162155,2.800022
0.020000,14.317696,2.188543,0.917216,3.215297,5.584397,0.733438,2.818626
0.020000,14.254380,2.209054,0.983772,3.327806,5.625431,2.051698,2.838036
0.020000,14.188494,2.228964,1.052600,3.441404,5.679938,2.725328,2.858229
0.020000,14.119993,2.248136,1.123734,3.556681,5.763840,4.195097,2.879178
0.020000,14.048824,2.266428,1.197215,3.674085,5.870216,5.318825,2.900846
0.020000,13.974932,2.283696,1.273098,3.794139,6.002674,6.622915,2.923186
0.020000,13.898254,2.299793,1.351448,3.917511,6.168621,8.297317,2.946140
0.020000,13.818721,2.314568,1.432342,4.044693,6.359088,9.523371,2.969641
0.020000,13.736259,2.327870,1.515870,4.176367,6.583706,11.230919,2.993611
0.020000,13.650792,2.339546,1.602131,4.313071,6.835186,12.573980,3.017963
0.020000,13.562237,2.349440,1.691237,4.455296,7.111267,13.804069,3.042600
0.020000,13.470510,2.357396,1.783309,4.603575,7.413924,15.132806,3.067415
0.020000,13.375525,2.363261,1.878474,4.758264,7.734472,16.027443,3.092298
0.020000,13.277198,2.366881,1.976868,4.919688,8.071214,16.837102,3.117130
0.020000,13.176068,2.368107,2.078005,5.056856,6.858393,-60.641081,3.141643
0.020000,13.073334,2.366869,2.180747,5.137108,4.012578,-142.290759,3.165447
0.020000,12.969610,2.363196,2.284536,5.189443,2.616761,-69.790850,3.188337
0.020000,12.864902,2.357136,2.389419,5.244168,2.736232,5.973545,3.210271
0.020000,12.759219,2.348743,2.495434,5.300761,2.829678,4.672299,3.231217
0.020000,12.652577,2.338076,2.602609,5.358733,2.898601,3.446170,3.251150
0.020000,12.544992,2.325200,2.710962,5.417640,2.945317,2.335814,3.270054
0.020000,12.436484,2.310186,2.820504,5.477088,2.972406,1.354416,3.287920
0.020000,12.327074,2.293108,2.931239,5.536751,2.983174,0.538434,3.304745
0.020000,12.216782,2.274046,3.043165,5.596321,2.978497,-0.233843,3.320528
0.020000,12.105630,2.253083,3.156277,5.655599,2.963885,-0.730608,3.335277
0.020000,11.993635,2.230305,3.270565,5.714384,2.939259,-1.231333,3.348999
0.020000,11.880814,2.205803,3.386015,5.772525,2.907049,-1.610498,3.361705
0.020000,11.767182,2.179669,3.502614,5.829953,2.871410,-1.781908,3.373408
0.020000,11.652748,2.151997,3.620346,5.886591,2.831879,-1.976584,3.384122
0.020000,11.537521,2.122883,3.739194,5.942406,2.790775,-2.055200,3.393862
0.020000,11.421505,2.092425,3.859142,5.997388,2.749098,-2.083839,3.402640
0.020000,11.304700,2.060720,3.980173,6.051575,2.709342,-1.987777,3.410473
0.020000,11.187103,2.027868,4.102273,6.104995,2.670982,-1.918022,3.417372
0.020000,11.068706,1.993970,4.225427,6.157702,2.635365,-1.780856,3.423351
0.020000,10.949498,1.959126,4.349623,6.209765,2.603155,-1.610469,3.428421
0.020000,10.829466,1.923439,4.474848,6.261263,2.574891,-1.413199,3.432591
0.020000,10.708590,1.887011,4.601094,6.312283,2.551000,-1.194556,3.435870
0.020000,10.586850,1.849945,4.728352,6.362919,2.531814,-0.959326,3.438264
0.020000,10.464219,1.812346,4.856617,6.413271,2.517580,-0.711693,3.439779
0.020000,10.340669,1.774320,4.985886,6.463440,2.508471,-0.455442,3.440418
0.020000,10.216170,1.735974,5.116157,6.513533,2.504620,-0.192573,3.440181
0.020000,10.090687,1.697418,5.247430,6.563653,2.506037,0.070887,3.439069
0.020000,9.964183,1.658763,5.379708,6.613908,2.512703,0.333296,3.437080
0.020000,9.836619,1.620123,5.512996,6.664399,2.524551,0.592402,3.434208
0.020000,9.707953,1.581614,5.647301,6.715227,2.541436,0.844229,3.430449
0.020000,9.578143,1.543357,5.782630,6.766490,2.563140,1.085213,3.425794
0.020000,9.447145,1.505476,5.918996,6.818277,2.589368,1.311386,3.420234
0.020000,9.314913,1.468099,6.056409,6.870672,2.619733,1.518260,3.413759
0.020000,9.181401,1.431358,6.194884,6.923747,2.653747,1.700718,3.406357
0.020000,9.046564,1.395392,6.334436,6.977563,2.690806,1.852915,3.398015
0.020000,8.910357,1.360345,6.475079,7.032177,2.730680,1.993695,3.388719
0.020000,8.772738,1.326365,6.616831,7.087601,2.771196,2.025827,3.378455
0.020000,8.633666,1.293610,6.759708,7.143845,2.812210,2.050698,3.367208
0.020000,8.493106,1.262241,6.903726,7.200893,2.852430,2.011008,3.354964
0.020000,8.351026,1.232430,7.048900,7.258713,2.890999,1.928440,3.341711
0.020000,8.207400,1.204352,7.195244,7.317204,2.924530,1.676526,3.327436
0.020000,8.062213,1.178193,7.342769,7.376245,2.952069,1.376963,3.312129
0.020000,7.915457,1.154142,7.491483,7.435699,2.972693,1.031216,3.295783
0.020000,7.767136,1.132397,7.641390,7.495331,2.981571,0.443874,3.278396
0.020000,7.617268,1.113159,7.792488,7.554891,2.977989,-0.179108,3.259968
0.020000,7.465885,1.096636,7.944769,7.614076,2.959255,-0.936677,3.240506
0.020000,7.313039,1.083036,8.098219,7.672501,2.921277,-1.898892,3.220023
0.020000,7.158799,1.072569,8.252814,7.729766,2.863232,-2.902240,3.198540
0.020000,7.003254,1.065443,8.408522,7.785391,2.781240,-4.099643,3.176085
0.020000,6.846518,1.061859,8.565299,7.838863,2.673628,-5.380593,3.152695
0.020000,6.708570,1.061455,8.703248,6.897422,-47.072035,-2487.283133,3.141567
0.020000,6.578513,1.061462,8.833305,6.502834,-19.729434,1367.130057,3.141517
0.020000,6.448460,1.061475,8.963358,6.502671,-0.008128,986.065304,3.141471
0.020000,6.318409,1.061493,9.093408,6.502509,-0.008128,-0.000000,3.141427
0.020000,6.188363,1.061518,9.223455,6.502346,-0.008128,-0.000000,3.141386
0.020000,6.058319,1.061547,9.353499,6.502184,-0.008128,-0.000000,3.141348
0.020000,5.928278,1.061581,9.483539,6.502021,-0.008128,-0.000000,3.141312
0.020000,5.798241,1.061620,9.613576,6.501858,-0.008128,-0.000000,3.141280
0.020000,5.668207,1.061662,9.743610,6.501696,-0.008128,-0.000000,3.141250
0.020000,5.538177,1.061709,9.873641,6.501533,-0.008128,-0.000000,3.141224
0.020000,5.408149,1.061758,10.003668,6.501371,-0.008128,-0.000000,3.141200
0.020000,5.278125,1.061811,10.133693,6.501208,-0.008128,-0.000000,3.141178
