dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.750315,2.762523,0.000789,0.078947,3.947368,197.368421,2.577835
0.020000,15.750315,2.762523,0.003947,0.236842,7.894737,197.368421,2.578398
0.020000,15.750315,2.762523,0.010263,0.394737,7.894737,0.000000,2.579525
0.020000,15.742985,2.767130,0.019737,0.552632,7.894737,-0.000000,2.581218
0.020000,15.732278,2.773831,0.032368,0.710526,7.894737,0.000000,2.583481
0.020000,15.718872,2.782175,0.048158,0.868421,7.894737,0.000000,2.586320
0.020000,15.702755,2.792135,0.067105,1.026316,7.894737,0.000000,2.589741
0.020000,15.683908,2.803686,0.089211,1.184211,7.894737,-0.000000,2.593751
0.020000,15.662311,2.816796,0.114474,1.342105,7.894737,0.000000,2.598361
0.020000,15.637945,2.831422,0.142895,1.500000,7.894737,0.000000,2.603579
0.020000,15.610780,2.847525,0.174474,1.657895,7.894737,0.000000,2.609418
0.020000,15.580790,2.865054,0.209211,1.815789,7.894737,0.000000,2.615889
0.020000,15.547944,2.883955,0.247105,1.973684,7.894737,0.000000,2.623006
0.020000,15.512210,2.904164,0.288158,2.131579,7.894737,0.000000,2.630784
0.020000,15.473553,2.925614,0.332368,2.289474,7.894737,0.000000,2.639238
0.020000,15.431934,2.948231,0.379737,2.447368,7.894737,-0.000000,2.648383
0.020000,15.387312,2.971934,0.430263,2.605263,7.894737,0.000000,2.658237
0.020000,15.339648,2.996632,0.483947,2.763158,7.894737,-0.000000,2.668815
0.020000,15.288895,3.022230,0.540789,2.921053,7.894737,0.000000,2.680134
0.020000,15.235011,3.048621,0.600789,3.078947,7.894737,0.000000,2.692211
0.020000,15.177949,3.075692,0.663947,3.236842,7.894737,-0.000000,2.705061
0.020000,15.117664,3.103320,0.730263,3.394737,7.894737,0.000000,2.718698
0.020000,15.054107,3.131374,0.799737,3.552632,7.894737,0.000000,2.733136
0.020000,14.987234,3.159714,0.872368,3.710526,7.894737,0.000000,2.748384
0.020000,14.916998,3.188191,0.948158,3.868421,7.894737,-0.000000,2.764450
0.020000,14.843357,3.216644,1.027105,4.026316,7.894737,0.000000,2.781337
0.020000,14.766271,3.244907,1.109211,4.184211,7.894737,0.000000,2.799045
0.020000,14.685701,3.272801,1.194474,4.342105,7.894737,0.000000,2.817568
0.020000,14.601615,3.300142,1.282895,4.500000,7.894737,0.000000,2.836893
0.020000,14.513984,3.326737,1.374474,4.657895,7.894737,0.000000,2.857000
0.020000,14.422788,3.352385,1.469211,4.815789,7.894737,0.000000,2.877862
0.020000,14.328010,3.376883,1.567105,4.973684,7.894737,0.000000,2.899442
0.020000,14.229644,3.400021,1.668158,5.131579,7.894737,0.000000,2.921695
0.020000,14.127691,3.421587,1.772368,5.289474,7.894737,-0.000000,2.944563
0.020000,14.022164,3.441369,1.879737,5.447368,7.894737,0.000000,2.967981
0.020000,13.913081,3.459156,1.990263,5.605263,7.894737,-0.000000,2.991873
0.020000,13.800473,3.474744,2.103947,5.763158,7.894737,0.000000,3.016151
0.020000,13.684381,3.487933,2.220789,5.921053,7.894737,-0.000000,3.040720
0.020000,13.565641,3.498473,2.340000,6.000000,3.947368,-197.368421,3.065314
0.020000,13.445890,3.506163,2.460000,6.000000,0.000000,-197.368421,3.089520
0.020000,13.325990,3.510988,2.580000,6.000000,0.000000,0.000000,3.113110
0.020000,13.206010,3.513024,2.700000,6.000000,0.000000,0.000000,3.136026
0.020000,13.086015,3.512353,2.820000,6.000000,0.000000,0.000000,3.158218
0.020000,12.966062,3.509065,2.940000,6.000000,0.000000,0.000000,3.179644
0.020000,12.846205,3.503256,3.060000,6.000000,0.000000,0.000000,3.200269
0.020000,12.726489,3.495025,3.180000,6.000000,0.000000,0.000000,3.220063
0.020000,12.606956,3.484478,3.300000,6.000000,0.000000,0.000000,3.239004
0.020000,12.487638,3.471720,3.420000,6.000000,0.000000,0.000000,3.257077
0.020000,12.368563,3.456859,3.540000,6.000000,0.000000,0.000000,3.274270
0.020000,12.249753,3.440007,3.660000,6.000000,0.000000,0.000000,3.290577
0.020000,12.131226,3.421272,3.780000,6.000000,0.000000,0.000000,3.305996
0.020000,12.012993,3.400764,3.900000,6.000000,0.000000,0.000000,3.320528
0.020000,11.895060,3.378592,4.020000,6.000000,0.000000,0.000000,3.334179
0.020000,11.777430,3.354864,4.140000,6.000000,0.000000,0.000000,3.346954
0.020000,11.660101,3.329687,4.260000,6.000000,0.000000,0.000000,3.358862
0.020000,11.543070,3.303164,4.380000,6.000000,0.000000,0.000000,3.369913
0.020000,11.426327,3.275399,4.500000,6.000000,0.000000,0.000000,3.380118
0.020000,11.309861,3.246492,4.620000,6.000000,0.000000,0.000000,3.389487
0.020000,11.193658,3.216544,4.740000,6.000000,0.000000,0.000000,3.398032
0.020000,11.077703,3.185651,4.860000,6.000000,0.000000,0.000000,3.405764
0.020000,10.961978,3.153909,4.980000,6.000000,0.000000,0.000000,3.412695
0.020000,10.846462,3.121412,5.100000,6.000000,0.000000,0.000000,3.418833
0.020000,10.731135,3.088251,5.220000,6.000000,0.000000,0.000000,3.424190
0.020000,10.615974,3.054518,5.340000,6.000000,0.000000,0.000000,3.428773
