dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.362164,3.730338,0.000793,0.079268,3.963415,198.170732,2.577836
0.020000,16.361616,3.730684,0.001440,0.032372,-2.344798,-315.410630,2.578401
0.020000,16.360520,3.731375,0.002736,0.064781,1.620411,198.260441,2.579533
0.020000,16.351475,3.737061,0.013420,0.534216,23.471779,1092.568393,2.581233
0.020000,16.338519,3.745169,0.028704,0.764193,11.498848,-598.646557,2.583505
0.020000,16.322286,3.755271,0.047823,0.955949,9.587796,-95.552571,2.586356
0.020000,16.302758,3.767338,0.070779,1.147798,9.592453,0.232826,2.589790
0.020000,16.279902,3.781345,0.097585,1.340318,9.625977,1.676202,2.593817
0.020000,16.253686,3.797255,0.128252,1.533337,9.650963,1.249296,2.598446
0.020000,16.224074,3.815027,0.162787,1.726731,9.669733,0.938510,2.603686
0.020000,16.191022,3.834614,0.201207,1.921019,9.714390,2.232854,2.609549
0.020000,16.154482,3.855964,0.243527,2.115999,9.749010,1.730980,2.616048
0.020000,16.114406,3.879016,0.289760,2.311666,9.783337,1.716392,2.623196
0.020000,16.070736,3.903701,0.339924,2.508190,9.826203,2.143275,2.631007
0.020000,16.023415,3.929944,0.394035,2.705558,9.868384,2.109059,2.639498
0.020000,15.972378,3.957661,0.452113,2.903881,9.916140,2.387804,2.648683
0.020000,15.917559,3.986758,0.514175,3.103101,9.961009,2.243447,2.658580
0.020000,15.858887,4.017133,0.580243,3.303430,10.016436,2.771349,2.669205
0.020000,15.796291,4.048671,0.650335,3.504597,10.058389,2.097670,2.680575
0.020000,15.729698,4.081247,0.724469,3.706674,10.103828,2.271931,2.692706
0.020000,15.659034,4.114725,0.802662,3.909667,10.149624,2.289815,2.705613
0.020000,15.584225,4.148957,0.884932,4.113464,10.189890,2.013303,2.719312
0.020000,15.505196,4.183779,0.971292,4.318023,10.227925,1.901751,2.733815
0.020000,15.421877,4.219019,1.061757,4.523248,10.261251,1.666290,2.749132
0.020000,15.334205,4.254485,1.156331,4.728703,10.272757,0.575299,2.765271
0.020000,15.242117,4.289975,1.255021,4.934509,10.290306,0.877435,2.782234
0.020000,15.145561,4.325272,1.357826,5.140259,10.287518,-0.139410,2.800022
0.020000,15.044499,4.360146,1.464736,5.345500,10.262021,-1.274846,2.818626
0.020000,14.938899,4.394353,1.575739,5.550135,10.231747,-1.513701,2.838036
0.020000,14.828748,4.427640,1.690809,5.753502,10.168359,-3.169408,2.858229
0.020000,14.714049,4.459741,1.809916,5.955336,10.091701,-3.832866,2.879178
0.020000,14.594824,4.490385,1.933016,6.155018,9.984120,-5.379050,2.900846
0.020000,14.471118,4.519294,2.060055,6.351948,9.846494,-6.881318,2.923186
0.020000,14.342997,4.546190,2.190969,6.545698,9.687477,-7.950856,2.946140
0.020000,14.210553,4.570796,2.325679,6.735500,9.490123,-9.867695,2.969641
0.020000,14.073901,4.592842,2.464097,6.920915,9.270756,-10.968370,2.993611
0.020000,13.933182,4.612068,2.606124,7.101313,9.019890,-12.543266,3.017963
0.020000,13.788561,4.628228,2.751646,7.276097,8.739192,-14.034912,3.042600
0.020000,13.640220,4.641099,2.900544,7.444893,8.439812,-14.968978,3.067415
0.020000,13.488364,4.650480,3.052689,7.607250,8.117845,-16.098346,3.092298
0.020000,13.333212,4.656196,3.207947,7.762907,7.782836,-16.750497,3.117130
0.020000,13.175952,4.658107,3.365218,7.863549,5.032115,-137.536042,3.141643
0.020000,13.018712,4.656218,3.522469,7.862571,-0.048896,-254.050526,3.165447
0.020000,12.862604,4.650695,3.678674,7.810272,-2.614980,-128.304207,3.188337
0.020000,12.707752,4.641738,3.833786,7.755566,-2.735281,-6.015061,3.210271
0.020000,12.554255,4.629552,3.987766,7.698996,-2.828528,-4.662351,3.231217
0.020000,12.402192,4.614346,4.140587,7.641048,-2.897367,-3.441923,3.251150
0.020000,12.251623,4.596331,4.292230,7.582164,-2.944186,-2.340943,3.270054
0.020000,12.102588,4.575713,4.442685,7.522733,-2.971574,-1.369438,3.287920
0.020000,11.955111,4.552697,4.591947,7.463105,-2.981389,-0.490757,3.304745
0.020000,11.809203,4.527483,4.740017,7.403530,-2.978751,0.131899,3.320528
0.020000,11.664861,4.500264,4.886903,7.344283,-2.962334,0.820860,3.335277
0.020000,11.522073,4.471227,5.032614,7.285525,-2.937941,1.219665,3.348999
0.020000,11.380818,4.440553,5.177161,7.227375,-2.907461,1.523994,3.361705
0.020000,11.241066,4.408414,5.320560,7.169971,-2.870231,1.861506,3.373408
0.020000,11.102784,4.374977,5.462827,7.113353,-2.830900,1.966542,3.384122
0.020000,10.965934,4.340402,5.603979,7.057552,-2.790056,2.042211,3.393862
0.020000,10.830472,4.304840,5.744030,7.002563,-2.749451,2.030238,3.402640
0.020000,10.696357,4.268438,5.882998,6.948389,-2.708671,2.039004,3.410473
0.020000,10.563542,4.231336,6.020897,6.894980,-2.670452,1.910934,3.417372
0.020000,10.431982,4.193671,6.157743,6.842281,-2.634955,1.774846,3.423351
0.020000,10.301632,4.155571,6.293547,6.790224,-2.602845,1.605535,3.428421
0.020000,10.172446,4.117163,6.428322,6.738731,-2.574661,1.409211,3.432591
0.020000,10.044381,4.078568,6.562076,6.687714,-2.550834,1.191317,3.435870
0.020000,9.917394,4.039906,6.694818,6.637080,-2.531702,0.956615,3.438264
0.020000,9.791446,4.001290,6.826552,6.586730,-2.517516,0.709301,3.439779
0.020000,9.666499,3.962834,6.957284,6.536561,-2.508455,0.453036,3.440418
0.020000,9.542517,3.924648,7.087013,6.486469,-2.504604,0.192574,3.440181
0.020000,9.419468,3.886839,7.215740,6.436348,-2.506040,-0.071829,3.439069
0.020000,9.297321,3.849515,7.343462,6.386093,-2.512752,-0.335582,3.437080
0.020000,9.176051,3.812781,7.470174,6.335600,-2.524647,-0.594765,3.434208
0.020000,9.055633,3.776740,7.595869,6.284768,-2.541584,-0.846835,3.430449
0.020000,8.936049,3.741496,7.720539,6.233501,-2.563349,-1.088257,3.425794
0.020000,8.817281,3.707151,7.844173,6.181708,-2.589651,-1.315079,3.420234
0.020000,8.699317,3.673806,7.966759,6.129306,-2.620107,-1.522806,3.413759
0.020000,8.582149,3.641561,8.088284,6.076222,-2.654232,-1.706276,3.406357
0.020000,8.465770,3.610517,8.208732,6.022393,-2.691423,-1.859542,3.398015
0.020000,8.350180,3.580773,8.328087,5.967783,-2.730509,-1.954319,3.388719
0.020000,8.235381,3.552426,8.446334,5.912349,-2.771694,-2.059215,3.378455
0.020000,8.121379,3.525573,8.563456,5.856087,-2.813107,-2.070668,3.367208
0.020000,8.008184,3.500310,8.679436,5.799016,-2.853531,-2.021212,3.354964
0.020000,7.895807,3.476728,8.794260,5.741196,-2.891035,-1.875163,3.341711
0.020000,7.784265,3.454920,8.907914,5.682690,-2.925293,-1.712902,3.327436
