dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.661600,11.056976,0.000789,0.078947,3.947368,197.368421,0.000037
0.020000,5.661633,11.056976,0.000823,0.001653,-3.864711,-390.603957,0.000008
0.020000,5.667115,11.056975,0.006305,0.274110,13.622821,874.376577,6.283136
0.020000,5.676688,11.056975,0.015877,0.478634,10.226202,-169.830936,6.283049
0.020000,5.689451,11.056972,0.028641,0.638166,7.976641,-112.478046,6.282934
0.020000,5.705405,11.056967,0.044595,0.797689,7.976136,-0.025250,6.282791
0.020000,5.724549,11.056958,0.063738,0.957199,7.975510,-0.031311,6.282619
0.020000,5.746883,11.056943,0.086072,1.116694,7.974755,-0.037759,6.282419
0.020000,5.772406,11.056920,0.111596,1.276172,7.973874,-0.044040,6.282192
0.020000,5.801119,11.056888,0.140308,1.435629,7.972869,-0.050273,6.281937
0.020000,5.833020,11.056844,0.172210,1.595064,7.971736,-0.056650,6.281656
0.020000,5.868110,11.056785,0.207299,1.754474,7.970480,-0.062766,6.281348
0.020000,5.906387,11.056708,0.245576,1.913855,7.969094,-0.069314,6.281014
0.020000,5.947851,11.056611,0.287040,2.073207,7.967586,-0.075381,6.280655
0.020000,5.992501,11.056489,0.331691,2.232526,7.965948,-0.081904,6.280270
0.020000,6.040337,11.056340,0.379527,2.391810,7.964187,-0.088064,6.279862
0.020000,6.091358,11.056159,0.430548,2.551056,7.962299,-0.094416,6.279430
0.020000,6.145563,11.055943,0.484753,2.710262,7.960284,-0.100720,6.278975
0.020000,6.202951,11.055688,0.542142,2.869424,7.958144,-0.107017,6.278497
0.020000,6.263521,11.055389,0.602713,3.028542,7.955875,-0.113426,6.277999
0.020000,6.327272,11.055042,0.666465,3.187612,7.953483,-0.119605,6.277480
0.020000,6.394203,11.054642,0.733398,3.346631,7.950963,-0.125993,6.276941
0.020000,6.464314,11.054184,0.803510,3.505597,7.948315,-0.132400,6.276384
0.020000,6.537602,11.053665,0.876800,3.664508,7.945544,-0.138564,6.275808
0.020000,6.614067,11.053078,0.953267,3.823361,7.942645,-0.144975,6.275217
0.020000,6.693708,11.052419,1.032910,3.982153,7.939618,-0.151353,6.274609
0.020000,6.776522,11.051683,1.115728,4.140883,7.936466,-0.157565,6.273987
0.020000,6.862509,11.050865,1.201719,4.299546,7.933187,-0.163962,6.273351
0.020000,6.951667,11.049959,1.290881,4.458142,7.929781,-0.170292,6.272703
0.020000,7.043995,11.048961,1.383215,4.616667,7.926250,-0.176584,6.272044
0.020000,7.139491,11.047865,1.478717,4.775119,7.922591,-0.182937,6.271376
0.020000,7.238154,11.046666,1.577387,4.933495,7.918806,-0.189230,6.270699
0.020000,7.339981,11.045359,1.679223,5.091793,7.914894,-0.195588,6.270015
0.020000,7.444972,11.043940,1.784223,5.250010,7.910857,-0.201878,6.269325
0.020000,7.553124,11.042403,1.892386,5.408144,7.906693,-0.208214,6.268631
0.020000,7.664435,11.040744,2.003710,5.566192,7.902402,-0.214514,6.267935
0.020000,7.778904,11.038958,2.118193,5.724152,7.897986,-0.220837,6.267237
0.020000,7.896529,11.037041,2.235833,5.882020,7.893443,-0.227136,6.266540
0.020000,8.016513,11.035002,2.355835,6.000064,5.902197,-99.562272,6.265849
0.020000,8.137266,11.032868,2.476606,6.038590,1.926273,-198.796242,6.265175
0.020000,8.257993,11.030653,2.597354,6.037376,-0.060705,-99.348898,6.264522
0.020000,8.378695,11.028362,2.718077,6.036162,-0.060707,-0.000080,6.263891
0.020000,8.499371,11.025996,2.838776,6.034947,-0.060708,-0.000066,6.263280
0.020000,8.620021,11.023559,2.959451,6.033733,-0.060709,-0.000038,6.262691
0.020000,8.740645,11.021052,3.080101,6.032519,-0.060709,-0.000015,6.262123
0.020000,8.861244,11.018478,3.200727,6.031305,-0.060709,-0.000003,6.261576
0.020000,8.981817,11.015840,3.321329,6.030091,-0.060709,0.000004,6.261051
0.020000,9.102364,11.013141,3.441907,6.028877,-0.060709,0.000021,6.260546
0.020000,9.222886,11.010383,3.562460,6.027662,-0.060708,0.000046,6.260063
0.020000,9.343382,11.007568,3.682989,6.026448,-0.060707,0.000046,6.259601
0.020000,9.463852,11.004700,3.803493,6.025234,-0.060706,0.000050,6.259160
0.020000,9.584297,11.001780,3.923974,6.024020,-0.060705,0.000052,6.258741
0.020000,9.704717,10.998811,4.044430,6.022806,-0.060703,0.000082,6.258342
0.020000,9.825111,10.995797,4.164862,6.021592,-0.060702,0.000072,6.257965
0.020000,9.945480,10.992739,4.285269,6.020378,-0.060701,0.000073,6.257609
0.020000,10.065823,10.989640,4.405653,6.019164,-0.060699,0.000062,6.257275
0.020000,10.186141,10.986503,4.526012,6.017950,-0.060697,0.000095,6.256961
0.020000,10.306434,10.983329,4.646346,6.016736,-0.060696,0.000078,6.256669
0.020000,10.426702,10.980123,4.766657,6.015522,-0.060694,0.000077,6.256398
0.020000,10.538130,10.977124,4.878125,5.573422,-22.104996,-1102.215066,6.256329
0.020000,10.692218,10.970629,5.032351,7.711279,106.892841,6449.891837,6.225864
0.020000,10.847040,10.959355,5.187583,7.761599,2.515978,-5218.843144,6.195089
0.020000,11.001653,10.943284,5.343028,7.772250,0.532567,-99.170580,6.164128
0.020000,11.155752,10.922421,5.498533,7.775282,0.151609,-19.047875,6.133112
0.020000,11.309040,10.896810,5.653946,7.770604,-0.233890,-19.274942,6.102179
0.020000,11.461215,10.866536,5.809103,7.757855,-0.637447,-20.177857,6.071469
0.020000,11.611992,10.831722,5.963847,7.737234,-1.031072,-19.681240,6.041119
0.020000,11.761107,10.792528,6.118027,7.708982,-1.412594,-19.076097,6.011263
0.020000,11.908318,10.749146,6.271497,7.673499,-1.774130,-18.076838,5.982026
0.020000,12.053413,10.701793,6.424124,7.631333,-2.108312,-16.709084,5.953527
0.020000,12.196213,10.650708,6.575787,7.583144,-2.409486,-15.058704,5.925869
0.020000,12.336575,10.596147,6.726380,7.529667,-2.673833,-13.217345,5.899146
0.020000,12.474389,10.538373,6.875813,7.471680,-2.899339,-11.275299,5.873437
0.020000,12.609578,10.477654,7.024013,7.409967,-3.085650,-9.315542,5.848805
0.020000,12.742100,10.414257,7.170919,7.345289,-3.233882,-7.411634,5.825303
0.020000,12.871941,10.348445,7.316486,7.278361,-3.346400,-5.625882,5.802971
0.020000,12.999112,10.280472,7.460683,7.209846,-3.425785,-3.969220,5.781836
0.020000,13.123648,10.210583,7.603489,7.140328,-3.475893,-2.505404,5.761916
0.020000,13.245604,10.139011,7.744896,7.070314,-3.500703,-1.240508,5.743219
0.020000,13.365050,10.065977,7.884900,7.000229,-3.504222,-0.175970,5.725746
0.020000,13.482068,9.991688,8.023509,6.930422,-3.490368,0.692689,5.709493
0.020000,13.596752,9.916337,8.160732,6.861163,-3.462957,1.370581,5.694449
0.020000,13.709202,9.840106,8.296585,6.792661,-3.425077,1.893984,5.680603
0.020000,13.819523,9.763164,8.431086,6.725061,-3.379993,2.254209,5.667937
0.020000,13.927822,9.685671,8.564255,6.658450,-3.330557,2.471804,5.656435
0.020000,14.034210,9.607773,8.696113,6.592870,-3.279034,2.576152,5.646079
0.020000,14.138795,9.529610,8.826679,6.528319,-3.227552,2.574073,5.636850
0.020000,14.241688,9.451313,8.955975,6.464773,-3.177290,2.513138,5.628731
0.020000,14.342994,9.373005,9.084018,6.402170,-3.130150,2.356985,5.621706
0.020000,14.442818,9.294803,9.210826,6.340427,-3.087131,2.150940,5.615760
0.020000,14.541261,9.216819,9.336415,6.279444,-3.049155,1.898799,5.610879
0.020000,14.638421,9.139160,9.460797,6.219105,-3.016949,1.610315,5.607052
