dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.661643,9.911976,0.000789,0.078947,3.947368,197.368421,0.000037
0.020000,5.661643,9.911976,0.003947,0.236842,7.894737,197.368421,0.000008
0.020000,5.667059,9.911975,0.010263,0.394737,7.894737,0.000000,6.283136
0.020000,5.676532,9.911975,0.019737,0.552632,7.894737,-0.000000,6.283049
0.020000,5.689164,9.911972,0.032368,0.710526,7.894737,0.000000,6.282934
0.020000,5.704953,9.911967,0.048158,0.868421,7.894737,0.000000,6.282791
0.020000,5.723901,9.911958,0.067105,1.026316,7.894737,0.000000,6.282619
0.020000,5.746006,9.911943,0.089211,1.184211,7.894737,-0.000000,6.282419
0.020000,5.771269,9.911921,0.114474,1.342105,7.894737,0.000000,6.282192
0.020000,5.799690,9.911889,0.142895,1.500000,7.894737,0.000000,6.281937
0.020000,5.831269,9.911845,0.174474,1.657895,7.894737,0.000000,6.281656
0.020000,5.866006,9.911787,0.209211,1.815789,7.894737,0.000000,6.281348
0.020000,5.903901,9.911711,0.247105,1.973684,7.894737,0.000000,6.281014
0.020000,5.944953,9.911614,0.288158,2.131579,7.894737,0.000000,6.280655
0.020000,5.989164,9.911494,0.332368,2.289474,7.894737,0.000000,6.280270
0.020000,6.036532,9.911346,0.379737,2.447368,7.894737,-0.000000,6.279862
0.020000,6.087058,9.911167,0.430263,2.605263,7.894737,0.000000,6.279430
0.020000,6.140742,9.910954,0.483947,2.763158,7.894737,-0.000000,6.278975
0.020000,6.197583,9.910701,0.540789,2.921053,7.894737,0.000000,6.278497
0.020000,6.257582,9.910404,0.600789,3.078947,7.894737,0.000000,6.277999
0.020000,6.320739,9.910060,0.663947,3.236842,7.894737,-0.000000,6.277480
0.020000,6.387054,9.909664,0.730263,3.394737,7.894737,0.000000,6.276941
0.020000,6.456526,9.909211,0.799737,3.552632,7.894737,0.000000,6.276384
0.020000,6.529156,9.908696,0.872368,3.710526,7.894737,0.000000,6.275808
0.020000,6.604943,9.908114,0.948158,3.868421,7.894737,-0.000000,6.275217
0.020000,6.683888,9.907461,1.027105,4.026316,7.894737,0.000000,6.274609
0.020000,6.765990,9.906731,1.109211,4.184211,7.894737,0.000000,6.273987
0.020000,6.851249,9.905920,1.194474,4.342105,7.894737,0.000000,6.273351
0.020000,6.939666,9.905022,1.282895,4.500000,7.894737,0.000000,6.272703
0.020000,7.031239,9.904032,1.374474,4.657895,7.894737,0.000000,6.272044
0.020000,7.125970,9.902944,1.469211,4.815789,7.894737,0.000000,6.271376
0.020000,7.223857,9.901755,1.567105,4.973684,7.894737,0.000000,6.270699
0.020000,7.324902,9.900459,1.668158,5.131579,7.894737,0.000000,6.270015
0.020000,7.429103,9.899050,1.772368,5.289474,7.894737,-0.000000,6.269325
0.020000,7.536460,9.897525,1.879737,5.447368,7.894737,0.000000,6.268631
0.020000,7.646974,9.895877,1.990263,5.605263,7.894737,-0.000000,6.267935
0.020000,7.760645,9.894104,2.103947,5.763158,7.894737,0.000000,6.267237
0.020000,7.877471,9.892200,2.220789,5.921053,7.894737,-0.000000,6.266540
0.020000,7.996664,9.890174,2.340000,6.000000,3.947368,-197.368421,6.265849
0.020000,8.116646,9.888053,2.460000,6.000000,0.000000,-197.368421,6.265175
0.020000,8.236626,9.885853,2.580000,6.000000,0.000000,0.000000,6.264522
0.020000,8.356604,9.883575,2.700000,6.000000,0.000000,0.000000,6.263891
0.020000,8.476581,9.881223,2.820000,6.000000,0.000000,0.000000,6.263280
0.020000,8.596556,9.878799,2.940000,6.000000,0.000000,0.000000,6.262691
0.020000,8.716530,9.876306,3.060000,6.000000,0.000000,0.000000,6.262123
