dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.661685,8.766976,0.000793,0.079268,3.963415,198.170732,0.000037
0.020000,5.661652,8.766976,0.000826,0.001660,-3.880421,-392.191784,0.000008
0.020000,5.667043,8.766975,0.006217,0.269575,13.395735,863.807817,6.283135
0.020000,5.676456,8.766975,0.015630,0.470640,10.053285,-167.122515,6.283049
0.020000,5.689007,8.766972,0.028181,0.627532,7.844597,-110.434416,6.282933
0.020000,5.704696,8.766967,0.043870,0.784434,7.845102,0.025245,6.282789
0.020000,5.723522,8.766958,0.062696,0.941349,7.845738,0.031803,6.282617
0.020000,5.745488,8.766943,0.084662,1.098279,7.846497,0.037990,6.282416
0.020000,5.770593,8.766921,0.109767,1.255227,7.847384,0.044304,6.282188
0.020000,5.798836,8.766889,0.138010,1.412195,7.848399,0.050768,6.281932
0.020000,5.830220,8.766846,0.169394,1.569185,7.849539,0.057009,6.281650
0.020000,5.864744,8.766787,0.203918,1.726202,7.850809,0.063475,6.281340
0.020000,5.902409,8.766711,0.241583,1.883246,7.852202,0.069679,6.281005
0.020000,5.943215,8.766615,0.282390,2.040320,7.853725,0.076163,6.280644
0.020000,5.987164,8.766495,0.326338,2.197428,7.855374,0.082413,6.280259
0.020000,6.034255,8.766347,0.373430,2.354571,7.857151,0.088877,6.279849
0.020000,6.084490,8.766169,0.423665,2.511752,7.859054,0.095117,6.279415
0.020000,6.137869,8.765955,0.477044,2.668973,7.861086,0.101607,6.278958
0.020000,6.194393,8.765703,0.533569,2.826238,7.863243,0.107848,6.278479
0.020000,6.254063,8.765407,0.593240,2.983549,7.865530,0.114368,6.277979
0.020000,6.316880,8.765064,0.656058,3.140908,7.867941,0.120565,6.277458
0.020000,6.382845,8.764668,0.722024,3.298317,7.870482,0.127048,6.276917
0.020000,6.451960,8.764215,0.791140,3.455780,7.873150,0.133410,6.276358
0.020000,6.524224,8.763701,0.863406,3.613299,7.875946,0.139761,6.275781
0.020000,6.599639,8.763120,0.938823,3.770877,7.878869,0.146160,6.275187
0.020000,6.678207,8.762468,1.017394,3.928515,7.881919,0.152511,6.274577
0.020000,6.759928,8.761739,1.099118,4.086217,7.885098,0.158923,6.273953
0.020000,6.844803,8.760928,1.183998,4.243985,7.888403,0.165284,6.273315
0.020000,6.932835,8.760030,1.272034,4.401822,7.891836,0.171646,6.272665
0.020000,7.024025,8.759041,1.363229,4.559730,7.895397,0.178057,6.272005
0.020000,7.118373,8.757954,1.457583,4.717711,7.899086,0.184412,6.271334
0.020000,7.215881,8.756765,1.555098,4.875769,7.902901,0.190788,6.270655
0.020000,7.316550,8.755469,1.655776,5.033906,7.906845,0.197168,6.269969
0.020000,7.420383,8.754061,1.759619,5.192125,7.910915,0.203533,6.269278
0.020000,7.527381,8.752535,1.866628,5.350427,7.915114,0.209912,6.268583
0.020000,7.637545,8.750888,1.976804,5.508816,7.919439,0.216263,6.267885
0.020000,7.750877,8.749114,2.090150,5.667293,7.923892,0.222636,6.267185
0.020000,7.867379,8.747209,2.206667,5.825863,7.928471,0.228994,6.266487
0.020000,7.987052,8.745168,2.326357,5.984526,7.933178,0.235347,6.265791
0.020000,8.109898,8.742988,2.449223,6.143287,7.938012,0.241697,6.265098
0.020000,8.235920,8.740665,2.575266,6.302146,7.942973,0.248053,6.264411
0.020000,8.364330,8.738211,2.703700,6.421706,5.977996,-98.248891,6.263736
0.020000,8.493556,8.735654,2.832951,6.462524,2.040880,-196.855766,6.263082
0.020000,8.622808,8.733015,2.962230,6.463949,0.071250,-98.481523,6.262452
0.020000,8.752086,8.730294,3.091537,6.465374,0.071250,0.000013,6.261847
0.020000,8.881392,8.727497,3.220873,6.466799,0.071250,0.000001,6.261267
0.020000,9.010725,8.724626,3.350238,6.468224,0.071250,-0.000024,6.260712
0.020000,9.140084,8.721684,3.479631,6.469649,0.071249,-0.000042,6.260182
0.020000,9.269471,8.718674,3.609052,6.471074,0.071248,-0.000056,6.259677
0.020000,9.398884,8.715599,3.738502,6.472499,0.071246,-0.000079,6.259196
0.020000,9.528325,8.712464,3.867981,6.473923,0.071245,-0.000074,6.258741
0.020000,9.657792,8.709270,3.997487,6.475348,0.071243,-0.000083,6.258310
0.020000,9.787287,8.706022,4.127023,6.476773,0.071241,-0.000093,6.257904
0.020000,9.916809,8.702722,4.256587,6.478198,0.071239,-0.000098,6.257524
0.020000,10.046358,8.699373,4.386179,6.479623,0.071237,-0.000101,6.257168
0.020000,10.175935,8.695980,4.515800,6.481047,0.071235,-0.000113,6.256837
0.020000,10.305539,8.692544,4.645450,6.482472,0.071233,-0.000088,6.256530
0.020000,10.435170,8.689069,4.775128,6.483897,0.071231,-0.000099,6.256249
0.020000,10.532739,8.685869,4.872749,4.881051,-80.142264,-4010.674765,6.236059
0.020000,10.624471,8.680016,4.964668,4.595965,-14.254327,3294.396851,6.202805
0.020000,10.715666,8.671132,5.056295,4.581338,-0.731340,676.149342,6.169295
0.020000,10.806409,8.659205,5.147818,4.576168,-0.258505,23.641744,6.135695
0.020000,10.896796,8.644222,5.239438,4.581007,0.241974,25.023968,6.102179
0.020000,10.986925,8.626170,5.331357,4.595928,0.746037,25.203148,6.068924
0.020000,11.076893,8.605035,5.423775,4.620887,1.247941,25.095222,6.036105
0.020000,11.166795,8.580804,5.516885,4.655511,1.731227,24.164308,6.003891
0.020000,11.256716,8.553469,5.610869,4.699198,2.184315,22.654386,5.972439
0.020000,11.346731,8.523026,5.705892,4.751158,2.597987,20.683592,5.941895
0.020000,11.436901,8.489479,5.802100,4.810425,2.963351,18.268197,5.912386
0.020000,11.527277,8.452845,5.899620,4.875960,3.276784,15.671657,5.884021
0.020000,11.617898,8.413148,5.998554,4.946699,3.536956,13.008601,5.856892
0.020000,11.708792,8.370430,6.098985,5.021567,3.743365,10.320454,5.831071
0.020000,11.799977,8.324741,6.200976,5.099552,3.899274,7.795434,5.806611
0.020000,11.891467,8.276147,6.304570,5.179723,4.008549,5.463779,5.783551
0.020000,11.983270,8.224723,6.409796,5.261261,4.076889,3.416962,5.761916
0.020000,12.075396,8.170558,6.516665,5.343459,4.109911,1.651132,5.741716
0.020000,12.167851,8.113747,6.625179,5.425716,4.112835,0.146164,5.722952
0.020000,12.260644,8.054394,6.735331,5.507577,4.093081,-0.987691,5.705619
0.020000,12.353790,7.992612,6.847104,5.588679,4.055081,-1.899970,5.689701
0.020000,12.447307,7.928513,6.960479,5.668757,4.003890,-2.559556,5.675183
0.020000,12.541217,7.862218,7.075432,5.747635,3.943930,-2.997992,5.662042
0.020000,12.635550,7.793848,7.191937,5.825223,3.879397,-3.226695,5.650256
0.020000,12.730343,7.723524,7.309967,5.901497,3.813675,-3.286068,5.639802
0.020000,12.825638,7.651370,7.429496,5.976476,3.748935,-3.237027,5.630658
0.020000,12.921484,7.577508,7.550501,6.050229,3.687687,-3.062363,5.622802
0.020000,13.017939,7.502062,7.672958,6.122864,3.631742,-2.797272,5.616215
0.020000,13.115067,7.425152,7.796848,6.194515,3.582532,-2.460474,5.610879
0.020000,13.212937,7.346901,7.922155,6.265338,3.541173,-2.067950,5.606780
0.020000,13.311626,7.267429,8.048865,6.335508,3.508508,-1.633284,5.603907
0.020000,13.411220,7.186857,8.176969,6.405211,3.485146,-1.168073,5.602251
0.020000,13.511808,7.105306,8.306462,6.474641,3.471499,-0.682382,5.601808
0.020000,13.613486,7.022899,8.437342,6.543997,3.467795,-0.185205,5.602576
0.020000,13.716359,6.939757,8.569612,6.613479,3.474096,0.315055,5.604559
0.020000,13.820535,6.856009,8.703277,6.683285,3.490298,0.810130,5.607760
0.020000,13.926129,6.771781,8.838350,6.753608,3.516127,1.291423,5.612190
0.020000,14.033263,6.687207,8.974842,6.824630,3.551118,1.749563,5.617861
0.020000,14.142060,6.602426,9.112773,6.896522,3.594597,2.173961,5.624787
0.020000,14.252653,6.517583,9.252161,6.969435,3.645645,2.552390,5.632987
0.020000,14.365176,6.432830,9.393031,7.043496,3.703057,2.870587,5.642481
0.020000,14.479765,6.348330,9.535407,7.118802,3.765295,3.111916,5.653290
0.020000,14.596560,6.264255,9.679315,7.195411,3.830437,3.257100,5.665438
0.020000,14.715700,6.180792,9.824782,7.273333,3.896119,3.284101,5.678947
0.020000,14.837323,6.098138,9.971833,7.352523,3.959483,3.168191,5.693839
0.020000,14.961563,6.016508,10.120490,7.432869,4.017309,2.891291,5.710135
0.020000,15.088548,5.936134,10.270774,7.514184,4.065764,2.422776,5.727852
0.020000,15.218394,5.857262,10.422697,7.596158,4.098707,1.647142,5.747001
0.020000,15.351204,5.780160,10.576265,7.678417,4.112926,0.710935,5.767587
0.020000,15.487062,5.705111,10.731475,7.760471,4.102720,-0.510299,5.789607
0.020000,15.626031,5.632416,10.888308,7.841677,4.060304,-2.120783,5.813045
0.020000,15.768142,5.562393,11.046734,7.921310,3.981651,-3.932665,5.837875
0.020000,15.913395,5.495370,11.206705,7.998514,3.860184,-6.073333,5.864054
0.020000,16.061751,5.431686,11.368151,8.072337,3.691156,-8.451420,5.891523
0.020000,16.213127,5.371681,11.530986,8.141750,3.470645,-11.025558,5.920205
0.020000,16.367394,5.315692,11.695100,8.205662,3.195595,-13.752467,5.950004
0.020000,16.524377,5.264045,11.860360,8.263036,2.868692,-16.345168,5.980805
0.020000,16.683852,5.217046,12.026617,8.312833,2.489863,-18.941468,6.012476
0.020000,16.845551,5.174972,12.193700,8.354134,2.065073,-21.239489,6.044869
0.020000,17.009163,5.138064,12.361423,8.386185,1.602538,-23.126753,6.077822
0.020000,17.174347,5.106516,12.529592,8.408449,1.113196,-24.467089,6.111165
0.020000,17.340734,5.080475,12.698005,8.420654,0.610241,-25.147729,6.144721
0.020000,17.507945,5.060030,12.866462,8.422822,0.108404,-25.091876,6.178313
0.020000,17.675592,5.045217,13.034761,8.414973,-0.392470,-25.043672,6.211770
0.020000,17.843298,5.036016,13.202720,8.397928,-0.852243,-22.988651,6.244929
0.020000,18.010702,5.032355,13.370164,8.372192,-1.286778,-21.726782,6.277638
0.020000,18.167183,5.033842,13.526652,7.824397,-27.389772,-1305.149709,0.021748
0.020000,18.274435,5.035063,13.633911,5.362986,-123.070532,-4784.037964,0.001888
0.020000,18.386343,5.034348,13.745821,5.595488,11.625080,6734.780577,6.269275
0.020000,18.502511,5.031993,13.862013,5.809597,10.705457,-45.981139,6.257217
0.020000,18.622650,5.028321,13.982208,6.009771,10.008703,-34.837713,6.248654
0.020000,18.746566,5.023680,14.106211,6.200107,9.516805,-24.594899,6.243416
0.020000,18.874148,5.018440,14.233900,6.384485,9.218922,-14.894127,6.241398
0.020000,19.005366,5.012995,14.365232,6.566564,9.103940,-5.749091,6.242561
0.020000,19.140264,5.007772,14.500231,6.749960,9.169810,3.293469,6.246927
0.020000,19.278956,5.003236,14.638997,6.938309,9.417404,12.379711,6.254583
0.020000,19.421626,4.999908,14.781705,7.135414,9.855269,21.893252,6.265683
0.020000,19.568524,4.998380,14.928611,7.345298,10.494221,31.947575,6.280449
0.020000,19.719968,4.999340,15.080058,7.572343,11.352229,42.900396,0.015996
0.020000,19.876335,5.003597,15.236483,7.821248,12.445261,54.651617,0.039078
0.020000,20.038050,5.012125,15.398423,8.097021,13.788651,67.169531,0.066978
0.020000,20.205563,5.026103,15.566519,8.404759,15.386880,79.911413,0.100255
0.020000,20.379296,5.046965,15.741500,8.749054,17.214751,91.393577,0.139550
0.020000,20.559563,5.076452,15.924162,9.133132,19.203902,99.457560,0.185558
0.020000,20.746429,5.116638,16.115300,9.556886,21.187725,99.191105,0.238973
0.020000,20.939502,5.169913,16.315589,10.014425,22.876930,84.460291,0.300388
0.020000,21.137663,5.238859,16.525402,10.490654,23.811462,46.726594,0.370131
0.020000,21.338774,5.325957,16.744562,10.958035,23.369042,-22.121022,0.448049
0.020000,21.539483,5.433103,16.972080,11.375898,20.893167,-123.793723,0.533278
0.020000,21.735330,5.560991,17.205985,11.695255,15.967843,-246.266222,0.624095
0.020000,21.921279,5.708603,17.443401,11.870777,8.776110,-359.586633,0.717984
0.020000,22.092620,5.873106,17.680928,11.876357,0.278985,-424.856265,0.811971
0.020000,22.245894,6.050334,17.915241,11.715644,-8.035669,-415.732677,0.903145
0.020000,22.379417,6.235652,18.143650,11.420471,-14.758624,-336.147781,0.989154
0.020000,22.493227,6.424816,18.364412,11.038090,-19.119084,-218.022982,1.068473
0.020000,22.588621,6.614500,18.576734,10.616066,-21.101159,-99.103779,1.140410
0.020000,22.667575,6.802428,18.780573,10.191984,-21.204141,-5.149093,1.204929
0.020000,22.732273,6.987237,18.976380,9.790353,-20.081516,56.131276,1.262426
0.020000,22.784810,7.168249,19.164862,9.424067,-18.314294,88.361099,1.313520
0.020000,22.827047,7.345241,19.346824,9.098119,-16.297439,100.842748,1.358916
0.020000,22.860574,7.518266,19.523067,8.812135,-14.299183,99.912772,1.399313
0.020000,22.886710,7.687525,19.694332,8.563270,-12.443269,92.795707,1.435361
0.020000,22.906541,7.853295,19.861284,8.347600,-10.783474,82.989775,1.467639
0.020000,22.920959,8.015868,20.024495,8.160546,-9.352708,71.538307,1.496651
0.020000,22.930691,8.175544,20.184467,7.998616,-8.096519,62.809442,1.522831
0.020000,22.936544,8.311863,20.320912,6.822227,-58.819426,-2536.145358,1.531375
0.020000,22.941510,8.449220,20.458359,6.872346,2.505934,3066.267977,1.537879
0.020000,22.945596,8.586138,20.595337,6.848920,-1.171277,-183.860525,1.543974
0.020000,22.948865,8.722607,20.731845,6.825412,-1.175385,-0.205411,1.549658
0.020000,22.951375,8.858452,20.867714,6.793417,-1.599780,-21.219738,1.554924
0.020000,22.953178,8.992676,21.001950,6.711806,-4.080526,-124.037294,1.559739
0.020000,22.954340,9.123809,21.133088,6.556891,-7.745748,-183.261098,1.564065
0.020000,22.954949,9.251220,21.260501,6.370655,-9.311810,-78.303128,1.567908
0.020000,22.955093,9.374941,21.384222,6.186045,-9.230510,4.065006,1.571295
0.020000,22.954853,9.495001,21.504282,6.003026,-9.150969,3.977076,1.574255
0.020000,22.954298,9.611431,21.620713,5.821559,-9.073308,3.883017,1.576814
0.020000,22.953493,9.724260,21.733546,5.641607,-8.997619,3.784440,1.578999
