dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.507751,11.072792,0.000793,0.079268,3.963415,198.170732,6.279100
0.020000,5.508014,11.072791,0.001056,0.013153,-3.305777,-363.459594,6.279089
0.020000,5.514382,11.072765,0.007423,0.318364,15.260569,928.317312,6.279067
0.020000,5.523932,11.072725,0.016974,0.477535,7.958561,-365.100419,6.279033
0.020000,5.536666,11.072672,0.029708,0.636694,7.957910,-0.032555,6.278988
0.020000,5.552583,11.072605,0.045624,0.795834,7.957041,-0.043406,6.278933
0.020000,5.571682,11.072523,0.064723,0.954953,7.955956,-0.054257,6.278868
0.020000,5.593962,11.072426,0.087004,1.114047,7.954654,-0.065110,6.278793
0.020000,5.619424,11.072313,0.112466,1.273109,7.953135,-0.075961,6.278709
0.020000,5.648067,11.072184,0.141109,1.432137,7.951399,-0.086813,6.278616
0.020000,5.679889,11.072037,0.172932,1.591126,7.949445,-0.097666,6.278516
0.020000,5.714890,11.071871,0.207933,1.750072,7.947275,-0.108516,6.278408
0.020000,5.753069,11.071687,0.246113,1.908969,7.944888,-0.119369,6.278294
0.020000,5.794425,11.071482,0.287469,2.067815,7.942283,-0.130220,6.278174
0.020000,5.838956,11.071256,0.332001,2.226604,7.939462,-0.141072,6.278051
0.020000,5.886662,11.071008,0.379708,2.385333,7.936423,-0.151924,6.277923
0.020000,5.937541,11.070737,0.430588,2.543996,7.933168,-0.162776,6.277794
0.020000,5.991592,11.070442,0.484639,2.702590,7.929695,-0.173627,6.277663
0.020000,6.048814,11.070122,0.541862,2.861110,7.926006,-0.184479,6.277533
0.020000,6.109204,11.069777,0.602253,3.019552,7.922099,-0.195330,6.277405
0.020000,6.172761,11.069406,0.665811,3.177912,7.917975,-0.206182,6.277279
0.020000,6.239483,11.069007,0.732534,3.336184,7.913635,-0.217033,6.277159
0.020000,6.309369,11.068582,0.802422,3.494366,7.909077,-0.227884,6.277044
0.020000,6.382417,11.068130,0.875471,3.652452,7.904302,-0.238735,6.276937
0.020000,6.458624,11.067650,0.951680,3.810438,7.899311,-0.249587,6.276840
0.020000,6.537989,11.067143,1.031046,3.968320,7.894102,-0.260437,6.276754
0.020000,6.620509,11.066609,1.113568,4.126094,7.888676,-0.271289,6.276682
0.020000,6.706182,11.066049,1.199243,4.283754,7.883033,-0.282140,6.276625
0.020000,6.795006,11.065464,1.288069,4.441298,7.877173,-0.292992,6.276585
0.020000,6.886979,11.064856,1.380043,4.598720,7.871097,-0.303843,6.276565
0.020000,6.982097,11.064226,1.475164,4.756016,7.864803,-0.314696,6.276566
0.020000,7.080359,11.063577,1.573427,4.913182,7.858292,-0.325549,6.276592
0.020000,7.181761,11.062911,1.674832,5.070213,7.851564,-0.336402,6.276644
0.020000,7.286300,11.062231,1.779374,5.227105,7.844618,-0.347256,6.276724
0.020000,7.393975,11.061541,1.887051,5.383854,7.837456,-0.358110,6.276836
0.020000,7.504782,11.060845,1.997860,5.540456,7.830077,-0.368964,6.276981
0.020000,7.618718,11.060148,2.111798,5.696906,7.822481,-0.379817,6.277163
0.020000,7.735780,11.059456,2.228862,5.853199,7.814667,-0.390670,6.277384
0.020000,7.855965,11.058774,2.349049,6.009332,7.806637,-0.401523,6.277647
0.020000,7.979269,11.058110,2.472355,6.165299,7.798389,-0.412370,6.277955
0.020000,8.105689,11.057470,2.598776,6.321098,7.789925,-0.423216,6.278310
0.020000,8.234433,11.056868,2.727521,6.437238,5.807002,-99.146158,6.278714
0.020000,8.363918,11.056318,2.857007,6.474305,1.853373,-197.681450,6.279163
0.020000,8.493354,11.055829,2.986445,6.471873,-0.121610,-98.749124,6.279655
0.020000,8.622742,11.055406,3.115834,6.469441,-0.121608,0.000084,6.280188
0.020000,8.752082,11.055055,3.245174,6.467009,-0.121606,0.000118,6.280765
0.020000,8.881373,11.054782,3.374465,6.464577,-0.121602,0.000158,6.281383
0.020000,9.010616,11.054591,3.503708,6.462145,-0.121598,0.000206,6.282045
0.020000,9.139810,11.054489,3.632903,6.459713,-0.121593,0.000262,6.282748
0.020000,9.263468,11.054318,3.756561,6.182904,-13.840459,-685.943297,6.276618
0.020000,9.419159,11.051562,3.912276,7.785755,80.142533,4699.149598,6.254157
0.020000,9.576421,11.045128,4.069669,7.869684,4.196459,-3797.303716,6.230229
0.020000,9.735276,11.034693,4.228867,7.959886,4.510107,15.682419,6.204727
0.020000,9.895718,11.019901,4.389989,8.056108,4.811089,15.049088,6.177541
0.020000,10.057717,11.000366,4.553162,8.158637,5.126490,15.770052,6.148565
0.020000,10.221200,10.975670,4.718500,8.266888,5.412551,14.303066,6.117694
0.020000,10.386054,10.945366,4.886115,8.380777,5.694440,14.094423,6.084837
0.020000,10.552087,10.908992,5.056086,8.498533,5.887799,9.667956,6.049920
0.020000,10.719039,10.866069,5.228467,8.619055,6.026073,6.913724,6.012895
0.020000,10.886564,10.816126,5.403279,8.740591,6.076829,2.537803,5.973749
0.020000,11.054204,10.758720,5.580475,8.859814,5.961136,-5.784663,5.932518
