dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.503074,9.927802,0.000789,0.078947,3.947368,197.368421,6.279100
0.020000,5.503308,9.927801,0.003947,0.236842,7.894737,197.368421,6.279089
0.020000,5.509624,9.927775,0.010263,0.394737,7.894737,0.000000,6.279067
0.020000,5.519098,9.927736,0.019737,0.552632,7.894737,-0.000000,6.279033
0.020000,5.531729,9.927683,0.032368,0.710526,7.894737,0.000000,6.278989
0.020000,5.547518,9.927616,0.048158,0.868421,7.894737,0.000000,6.278934
0.020000,5.566466,9.927535,0.067105,1.026316,7.894737,0.000000,6.278869
0.020000,5.588571,9.927439,0.089211,1.184211,7.894737,-0.000000,6.278794
0.020000,5.613834,9.927327,0.114474,1.342105,7.894737,0.000000,6.278711
0.020000,5.642254,9.927198,0.142895,1.500000,7.894737,0.000000,6.278618
0.020000,5.673833,9.927052,0.174474,1.657895,7.894737,0.000000,6.278518
0.020000,5.708569,9.926888,0.209211,1.815789,7.894737,0.000000,6.278411
0.020000,5.746464,9.926705,0.247105,1.973684,7.894737,0.000000,6.278297
0.020000,5.787516,9.926502,0.288158,2.131579,7.894737,0.000000,6.278178
0.020000,5.831726,9.926278,0.332368,2.289474,7.894737,0.000000,6.278054
0.020000,5.879094,9.926032,0.379737,2.447368,7.894737,-0.000000,6.277927
0.020000,5.929619,9.925763,0.430263,2.605263,7.894737,0.000000,6.277798
0.020000,5.983303,9.925470,0.483947,2.763158,7.894737,-0.000000,6.277668
0.020000,6.040144,9.925153,0.540789,2.921053,7.894737,0.000000,6.277538
0.020000,6.100143,9.924810,0.600789,3.078947,7.894737,0.000000,6.277410
0.020000,6.163300,9.924441,0.663947,3.236842,7.894737,-0.000000,6.277284
0.020000,6.229614,9.924046,0.730263,3.394737,7.894737,0.000000,6.277164
0.020000,6.299087,9.923624,0.799737,3.552632,7.894737,0.000000,6.277049
0.020000,6.371717,9.923174,0.872368,3.710526,7.894737,0.000000,6.276942
0.020000,6.447505,9.922697,0.948158,3.868421,7.894737,-0.000000,6.276845
0.020000,6.526451,9.922193,1.027105,4.026316,7.894737,0.000000,6.276759
0.020000,6.608554,9.921662,1.109211,4.184211,7.894737,0.000000,6.276686
0.020000,6.693815,9.921105,1.194474,4.342105,7.894737,0.000000,6.276628
0.020000,6.782235,9.920524,1.282895,4.500000,7.894737,0.000000,6.276587
0.020000,6.873812,9.919918,1.374474,4.657895,7.894737,0.000000,6.276566
0.020000,6.968546,9.919291,1.469211,4.815789,7.894737,0.000000,6.276566
0.020000,7.066439,9.918644,1.567105,4.973684,7.894737,0.000000,6.276589
0.020000,7.167489,9.917980,1.668158,5.131579,7.894737,0.000000,6.276639
0.020000,7.271698,9.917301,1.772368,5.289474,7.894737,-0.000000,6.276717
0.020000,7.379064,9.916613,1.879737,5.447368,7.894737,0.000000,6.276827
0.020000,7.489588,9.915917,1.990263,5.605263,7.894737,-0.000000,6.276969
0.020000,7.603270,9.915221,2.103947,5.763158,7.894737,0.000000,6.277148
0.020000,7.720110,9.914528,2.220789,5.921053,7.894737,-0.000000,6.277366
0.020000,7.839319,9.913849,2.340000,6.000000,3.947368,-197.368421,6.277623
0.020000,7.959317,9.913199,2.460000,6.000000,0.000000,-197.368421,6.277918
0.020000,8.079315,9.912586,2.580000,6.000000,0.000000,0.000000,6.278249
0.020000,8.199314,9.912015,2.700000,6.000000,0.000000,0.000000,6.278617
0.020000,8.319313,9.911491,2.820000,6.000000,0.000000,0.000000,6.279021
0.020000,8.439312,9.911017,2.940000,6.000000,0.000000,0.000000,6.279461
0.020000,8.559311,9.910599,3.060000,6.000000,0.000000,0.000000,6.279937
