dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.498397,8.782811,0.000789,0.078947,3.947368,197.368421,6.279100
0.020000,5.498618,8.782810,0.001011,0.011058,-3.394481,-367.092449,6.279089
0.020000,5.504908,8.782784,0.007301,0.314504,15.172298,928.338928,6.279067
0.020000,5.514343,8.782745,0.016736,0.471766,7.863131,-365.458344,6.279033
0.020000,5.526924,8.782693,0.029317,0.629042,7.863777,0.032292,6.278989
0.020000,5.542651,8.782626,0.045044,0.786335,7.864638,0.043055,6.278934
0.020000,5.561524,8.782546,0.063917,0.943649,7.865714,0.053820,6.278869
0.020000,5.583543,8.782450,0.085936,1.100989,7.867006,0.064583,6.278794
0.020000,5.608710,8.782338,0.111104,1.258359,7.868513,0.075348,6.278711
0.020000,5.637025,8.782210,0.139419,1.415764,7.870235,0.086111,6.278618
0.020000,5.668489,8.782065,0.170883,1.573207,7.872173,0.096875,6.278518
0.020000,5.703102,8.781901,0.205497,1.730694,7.874326,0.107641,6.278411
0.020000,5.740866,8.781719,0.243261,1.888228,7.876694,0.118404,6.278297
0.020000,5.781782,8.781517,0.284178,2.045813,7.879277,0.129168,6.278178
0.020000,5.825851,8.781293,0.328247,2.203455,7.882076,0.139932,6.278054
0.020000,5.873073,8.781048,0.375470,2.361157,7.885090,0.150697,6.277927
0.020000,5.923451,8.780780,0.425848,2.518923,7.888319,0.161461,6.277798
0.020000,5.976985,8.780488,0.479384,2.676758,7.891763,0.172224,6.277668
0.020000,6.033678,8.780171,0.536077,2.834667,7.895423,0.182989,6.277538
0.020000,6.093530,8.779829,0.595930,2.992653,7.899298,0.193752,6.277410
0.020000,6.156543,8.779461,0.658944,3.150721,7.903388,0.204516,6.277284
0.020000,6.222720,8.779067,0.725122,3.308874,7.907694,0.215279,6.277164
0.020000,6.292061,8.778645,0.794464,3.467119,7.912215,0.226043,6.277049
0.020000,6.364568,8.778196,0.866973,3.625458,7.916951,0.236807,6.276942
0.020000,6.440245,8.777720,0.942651,3.783896,7.921902,0.247569,6.276845
0.020000,6.519092,8.777217,1.021500,3.942437,7.927069,0.258334,6.276759
0.020000,6.601112,8.776686,1.103522,4.101086,7.932451,0.269096,6.276686
0.020000,6.686307,8.776130,1.188719,4.259847,7.938048,0.279860,6.276628
0.020000,6.774680,8.775549,1.277093,4.418724,7.943861,0.290624,6.276587
0.020000,6.866232,8.774943,1.368648,4.577722,7.949888,0.301388,6.276566
0.020000,6.960967,8.774316,1.463384,4.736845,7.956132,0.312152,6.276566
0.020000,7.058887,8.773669,1.561306,4.896097,7.962590,0.322917,6.276589
0.020000,7.159994,8.773004,1.662416,5.055482,7.969263,0.333682,6.276639
0.020000,7.264292,8.772325,1.766716,5.215005,7.976152,0.344447,6.276717
0.020000,7.371783,8.771636,1.874210,5.374670,7.983257,0.355213,6.276827
0.020000,7.482471,8.770940,1.984899,5.534482,7.990576,0.365979,6.276969
0.020000,7.596357,8.770241,2.098788,5.694444,7.998111,0.376745,6.277148
0.020000,7.713447,8.769547,2.215879,5.854561,8.005861,0.387507,6.277366
0.020000,7.832950,8.768866,2.335384,5.975259,6.034923,-98.546907,6.277623
0.020000,7.953286,8.768215,2.455722,6.016896,2.081843,-197.653999,6.277918
0.020000,8.073664,8.767600,2.576102,6.018969,0.103621,-98.911099,6.278249
0.020000,8.194083,8.767027,2.696523,6.021041,0.103621,-0.000014,6.278617
0.020000,8.314544,8.766501,2.816985,6.023114,0.103620,-0.000027,6.279021
0.020000,8.435047,8.766025,2.937489,6.025186,0.103620,-0.000042,6.279461
0.020000,8.555592,8.765605,3.058034,6.027258,0.103618,-0.000061,6.279937
0.020000,8.676178,8.765243,3.178620,6.029331,0.103617,-0.000087,6.280449
0.020000,8.796805,8.764946,3.299248,6.031403,0.103614,-0.000108,6.280998
0.020000,8.917475,8.764717,3.419918,6.033475,0.103612,-0.000142,6.281582
0.020000,9.038185,8.764561,3.540629,6.035547,0.103608,-0.000189,6.282203
0.020000,9.158938,8.764481,3.661381,6.037619,0.103604,-0.000213,6.282860
0.020000,9.256509,8.764307,3.758953,4.878579,-57.952026,-2902.781500,6.274939
0.020000,9.352693,8.762526,3.855153,4.810022,-3.427843,2726.209186,6.254157
0.020000,9.447390,8.758745,3.949926,4.738633,-3.569430,-7.079371,6.232124
0.020000,9.540448,8.752913,4.043166,4.662010,-3.831186,-13.087799,6.208758
0.020000,9.631722,8.744983,4.134784,4.580872,-4.056906,-11.285992,6.183971
0.020000,9.721048,8.734919,4.224675,4.494578,-4.314676,-12.888505,6.157678
0.020000,9.808272,8.722693,4.312751,4.403811,-4.538332,-11.182799,6.129797
0.020000,9.893227,8.708288,4.398919,4.308387,-4.771222,-11.644487,6.100254
0.020000,9.975765,8.691698,4.483108,4.209455,-4.946600,-8.768899,6.068981
0.020000,10.055746,8.672927,4.565262,4.107714,-5.087039,-7.021956,6.035931
0.020000,10.133047,8.651994,4.645348,4.004252,-5.173128,-4.304478,6.001076
0.020000,10.207580,8.628922,4.723370,3.901133,-5.155926,0.860147,5.964417
0.020000,10.279287,8.603737,4.799371,3.800045,-5.054405,5.076003,5.925995
0.020000,10.348160,8.576466,4.873447,3.703775,-4.813495,12.045532,5.885890
0.020000,10.414236,8.547123,4.945745,3.614912,-4.443140,18.517762,5.844235
0.020000,10.477610,8.515702,5.016481,3.536787,-3.906262,26.843877,5.801214
0.020000,10.538424,8.482171,5.085927,3.472309,-3.223900,34.118080,5.757068
0.020000,10.596867,8.446459,5.154417,3.424501,-2.390386,41.675703,5.712085
0.020000,10.653156,8.408460,5.222331,3.395735,-1.438321,47.603253,5.666602
0.020000,10.707529,8.368027,5.290090,3.387909,-0.391310,52.350576,5.620981
0.020000,10.760219,8.324985,5.358126,3.401802,0.694647,54.297840,5.575603
0.020000,10.811443,8.279137,5.426872,3.437292,1.774535,53.994407,5.530845
0.020000,10.861386,8.230281,5.496737,3.493274,2.799105,51.228470,5.487064
0.020000,10.910194,8.178228,5.568092,3.567774,3.724974,46.293451,5.444585
0.020000,10.957968,8.122816,5.641256,3.658154,4.518992,39.700932,5.403684
0.020000,11.004771,8.063921,5.716484,3.761418,5.163189,32.209834,5.364586
0.020000,11.050634,8.001462,5.793973,3.874442,5.651211,24.401089,5.327462
0.020000,11.095561,7.935409,5.873857,3.994202,5.988000,16.839486,5.292430
0.020000,11.139542,7.865776,5.956216,4.117946,6.187223,9.961109,5.259559
0.020000,11.182560,7.792621,6.041082,4.243301,6.267724,4.025077,5.228877
0.020000,11.224598,7.716033,6.128449,4.368341,6.252039,-0.784276,5.200379
0.020000,11.265648,7.636129,6.218279,4.491543,6.160076,-4.598138,5.174033
0.020000,11.305709,7.553047,6.310516,4.611808,6.013252,-7.341175,5.149787
0.020000,11.344794,7.466935,6.405083,4.728389,5.829046,-9.210300,5.127578
0.020000,11.382930,7.377945,6.501900,4.840830,5.622027,-10.350963,5.107331
0.020000,11.420155,7.286235,6.600877,4.948871,5.402052,-10.998778,5.088972
0.020000,11.456520,7.191954,6.701928,5.052540,5.183458,-10.929699,5.072424
0.020000,11.492090,7.095250,6.804966,5.151909,4.968447,-10.750540,5.057611
0.020000,11.526939,6.996261,6.909911,5.247236,4.766370,-10.103860,5.044463
0.020000,11.561150,6.895115,7.016686,5.338748,4.575584,-9.539269,5.032913
0.020000,11.594815,6.791930,7.125223,5.426874,4.406306,-8.463886,5.022902
0.020000,11.628037,6.686816,7.235462,5.511949,4.253768,-7.626901,5.014378
0.020000,11.660922,6.579870,7.347350,5.594379,4.121487,-6.614081,5.007293
0.020000,11.693586,6.471181,7.460842,5.674574,4.009744,-5.587131,5.001608
0.020000,11.726151,6.360826,7.575901,5.752972,3.919933,-4.490563,4.997294
0.020000,11.758744,6.248874,7.692501,5.829993,3.851038,-3.444771,4.994324
0.020000,11.791501,6.135386,7.810622,5.906059,3.803276,-2.388064,4.992683
0.020000,11.824565,6.020414,7.930254,5.981595,3.776789,-1.324380,4.992362
0.020000,11.858085,5.904003,8.051394,6.057025,3.771546,-0.262118,4.993358
0.020000,11.892220,5.786193,8.174050,6.132776,3.787535,0.799411,4.995677
0.020000,11.927136,5.667018,8.298235,6.209271,3.824753,1.860949,4.999332
0.020000,11.963012,5.546506,8.423974,6.286935,3.883203,2.922477,5.004344
0.020000,12.000035,5.424683,8.551298,6.366192,3.962851,3.982382,5.010741
