dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.502969,11.072802,0.000789,0.078947,3.947368,197.368421,0.000092
0.020000,5.503372,11.072802,0.001192,0.020141,-2.940307,-344.383778,6.283176
0.020000,5.509919,11.072801,0.007739,0.327355,15.360677,915.049212,6.282974
0.020000,5.519742,11.072797,0.017562,0.491124,8.188452,-358.611280,6.282669
0.020000,5.532842,11.072788,0.030662,0.655003,8.193945,0.274668,6.282260
0.020000,5.549222,11.072769,0.047042,0.819029,8.201306,0.368045,6.281744
0.020000,5.568887,11.072734,0.066707,0.983239,8.210490,0.459200,6.281118
0.020000,5.591840,11.072678,0.089661,1.147669,8.221512,0.551091,6.280377
0.020000,5.618087,11.072593,0.115908,1.312357,8.234397,0.644263,6.279517
0.020000,5.647634,11.072470,0.145455,1.477339,8.249133,0.736796,6.278534
0.020000,5.680487,11.072299,0.178308,1.642655,8.265765,0.831616,6.277421
0.020000,5.716653,11.072068,0.214474,1.808339,8.284208,0.922154,6.276173
0.020000,5.756140,11.071764,0.253963,1.974431,8.304590,1.019095,6.274781
0.020000,5.798958,11.071371,0.296782,2.140967,8.326816,1.111279,6.273238
0.020000,5.845115,11.070873,0.342942,2.307986,8.350973,1.207856,6.271535
0.020000,5.894621,11.070250,0.392453,2.475527,8.377032,1.302958,6.269664
0.020000,5.947488,11.069481,0.445325,2.643627,8.405003,1.398550,6.267615
0.020000,6.003727,11.068543,0.501572,2.812325,8.434896,1.494629,6.265377
0.020000,6.063349,11.067409,0.561205,2.981660,8.466732,1.591802,6.262940
0.020000,6.126368,11.066049,0.624238,3.151671,8.500544,1.690646,6.260291
0.020000,6.192796,11.064433,0.690686,3.322396,8.536257,1.785607,6.257417
0.020000,6.262648,11.062525,0.760564,3.493875,8.573954,1.884892,6.254306
0.020000,6.335937,11.060285,0.833887,3.666147,8.613615,1.983030,6.250945
0.020000,6.412677,11.057671,0.910672,3.839252,8.655222,2.080336,6.247317
0.020000,6.492884,11.054637,0.990936,4.013227,8.698765,2.177152,6.243409
0.020000,6.576573,11.051131,1.074698,4.188111,8.744227,2.273113,6.239204
0.020000,6.663759,11.047098,1.161977,4.363944,8.791618,2.369569,6.234685
0.020000,6.754456,11.042476,1.252793,4.540760,8.840821,2.460108,6.229836
0.020000,6.848681,11.037200,1.347165,4.718598,8.891878,2.552850,6.224639
0.020000,6.946446,11.031198,1.445114,4.897490,8.944611,2.636657,6.219074
0.020000,7.047767,11.024392,1.546664,5.077470,8.999006,2.719778,6.213125
0.020000,7.152657,11.016698,1.651835,5.258568,9.054908,2.795074,6.206769
0.020000,7.261127,11.008025,1.760651,5.440812,9.112165,2.862843,6.199989
0.020000,7.373188,10.998275,1.873136,5.624224,9.170600,2.921783,6.192762
0.020000,7.488849,10.987341,1.989312,5.808823,9.229957,2.967849,6.185069
0.020000,7.608116,10.975111,2.109205,5.994622,9.289977,3.000977,6.176889
0.020000,7.730993,10.961463,2.232837,6.181628,9.350313,3.016828,6.168200
0.020000,7.857480,10.946266,2.360234,6.369840,9.410565,3.012576,6.158982
0.020000,7.986717,10.929497,2.490555,6.516035,7.309782,-105.039151,6.149278
0.020000,8.116978,10.911284,2.622083,6.576412,3.018845,-214.546822,6.139209
