dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.503074,9.927802,0.000789,0.078947,3.947368,197.368421,0.000092
0.020000,5.503362,9.927802,0.003947,0.236842,7.894737,197.368421,6.283176
0.020000,5.509678,9.927801,0.010263,0.394737,7.894737,0.000000,6.282974
0.020000,5.519151,9.927798,0.019737,0.552632,7.894737,-0.000000,6.282669
0.020000,5.531783,9.927788,0.032368,0.710526,7.894737,0.000000,6.282260
0.020000,5.547572,9.927770,0.048158,0.868421,7.894737,0.000000,6.281744
0.020000,5.566520,9.927737,0.067105,1.026316,7.894737,0.000000,6.281118
0.020000,5.588625,9.927683,0.089211,1.184211,7.894737,-0.000000,6.280377
0.020000,5.613888,9.927601,0.114474,1.342105,7.894737,0.000000,6.279517
0.020000,5.642309,9.927483,0.142895,1.500000,7.894737,0.000000,6.278534
0.020000,5.673887,9.927318,0.174474,1.657895,7.894737,0.000000,6.277421
0.020000,5.708623,9.927096,0.209211,1.815789,7.894737,0.000000,6.276173
0.020000,5.746517,9.926804,0.247105,1.973684,7.894737,0.000000,6.274781
0.020000,5.787568,9.926428,0.288158,2.131579,7.894737,0.000000,6.273238
0.020000,5.831776,9.925951,0.332368,2.289474,7.894737,0.000000,6.271535
0.020000,5.879140,9.925355,0.379737,2.447368,7.894737,-0.000000,6.269664
0.020000,5.929661,9.924620,0.430263,2.605263,7.894737,0.000000,6.267615
0.020000,5.983338,9.923724,0.483947,2.763158,7.894737,-0.000000,6.265377
0.020000,6.040170,9.922643,0.540789,2.921053,7.894737,0.000000,6.262940
0.020000,6.100156,9.921350,0.600789,3.078947,7.894737,0.000000,6.260291
0.020000,6.163295,9.919813,0.663947,3.236842,7.894737,-0.000000,6.257417
0.020000,6.229586,9.918002,0.730263,3.394737,7.894737,0.000000,6.254306
0.020000,6.299027,9.915880,0.799737,3.552632,7.894737,0.000000,6.250945
0.020000,6.371617,9.913408,0.872368,3.710526,7.894737,0.000000,6.247317
0.020000,6.447352,9.910543,0.948158,3.868421,7.894737,-0.000000,6.243409
0.020000,6.526230,9.907238,1.027105,4.026316,7.894737,0.000000,6.239204
0.020000,6.608248,9.903444,1.109211,4.184211,7.894737,0.000000,6.234685
0.020000,6.693400,9.899105,1.194474,4.342105,7.894737,0.000000,6.229836
0.020000,6.781683,9.894162,1.282895,4.500000,7.894737,0.000000,6.224639
0.020000,6.873090,9.888550,1.374474,4.657895,7.894737,0.000000,6.219074
0.020000,6.967613,9.882201,1.469211,4.815789,7.894737,0.000000,6.213125
0.020000,7.065246,9.875040,1.567105,4.973684,7.894737,0.000000,6.206769
0.020000,7.165977,9.866986,1.668158,5.131579,7.894737,0.000000,6.199989
0.020000,7.269795,9.857953,1.772368,5.289474,7.894737,-0.000000,6.192762
0.020000,7.376686,9.847848,1.879737,5.447368,7.894737,0.000000,6.185069
0.020000,7.486636,9.836574,1.990263,5.605263,7.894737,-0.000000,6.176889
0.020000,7.599625,9.824024,2.103947,5.763158,7.894737,0.000000,6.168200
0.020000,7.715632,9.810087,2.220789,5.921053,7.894737,-0.000000,6.158982
0.020000,7.833851,9.794747,2.340000,6.000000,3.947368,-197.368421,6.149278
0.020000,7.952695,9.778131,2.460000,6.000000,0.000000,-197.368421,6.139209
0.020000,8.071362,9.760301,2.580000,6.000000,0.000000,0.000000,6.128843
0.020000,8.189836,9.741225,2.700000,6.000000,0.000000,0.000000,6.118183
0.020000,8.308096,9.720870,2.820000,6.000000,0.000000,0.000000,6.107235
0.020000,8.426123,9.699204,2.940000,6.000000,0.000000,0.000000,6.096006
0.020000,8.543897,9.676198,3.060000,6.000000,0.000000,0.000000,6.084501
0.020000,8.661395,9.651824,3.180000,6.000000,0.000000,0.000000,6.072729
0.020000,8.778594,9.626052,3.300000,6.000000,0.000000,0.000000,6.060698
