dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.503179,8.782802,0.000789,0.078947,3.947368,197.368421,0.000092
0.020000,5.503351,8.782802,0.000962,0.008613,-3.516736,-373.205220,6.283176
0.020000,5.509436,8.782801,0.007046,0.304224,14.780586,914.866111,6.282974
0.020000,5.518561,8.782798,0.016171,0.456245,7.601022,-358.978226,6.282669
0.020000,5.530724,8.782789,0.028334,0.608155,7.595507,-0.275738,6.282260
0.020000,5.545922,8.782771,0.043533,0.759919,7.588180,-0.366341,6.281744
0.020000,5.564152,8.782739,0.061763,0.911498,7.578993,-0.459338,6.281118
0.020000,5.585409,8.782687,0.083020,1.062857,7.567952,-0.552060,6.280377
0.020000,5.609688,8.782609,0.107299,1.213959,7.555070,-0.644090,6.279517
0.020000,5.636983,8.782495,0.134594,1.364765,7.540325,-0.737287,6.278534
0.020000,5.667288,8.782337,0.164899,1.515240,7.523744,-0.829030,6.277421
0.020000,5.700594,8.782125,0.198206,1.665345,7.505235,-0.925457,6.276173
0.020000,5.736894,8.781845,0.234507,1.815043,7.484899,-1.016781,6.274781
0.020000,5.776178,8.781485,0.273793,1.964296,7.462632,-1.113355,6.273238
0.020000,5.818437,8.781028,0.316054,2.113065,7.438496,-1.206806,6.271535
0.020000,5.863659,8.780459,0.361280,2.261314,7.412445,-1.302567,6.269664
0.020000,5.911834,8.779759,0.409460,2.409004,7.384468,-1.398839,6.267615
0.020000,5.962949,8.778906,0.460582,2.556095,7.354556,-1.495609,6.265377
0.020000,6.016990,8.777878,0.514633,2.702549,7.322710,-1.592271,6.262940
0.020000,6.073944,8.776650,0.571600,2.848328,7.288946,-1.688210,6.260291
0.020000,6.133794,8.775194,0.631468,2.993392,7.253180,-1.788285,6.257417
0.020000,6.196524,8.773480,0.694222,3.137701,7.215484,-1.884826,6.254306
0.020000,6.262118,8.771475,0.759846,3.281218,7.175835,-1.982467,6.250945
0.020000,6.330557,8.769144,0.828324,3.423902,7.134225,-2.080466,6.247317
0.020000,6.401820,8.766448,0.899638,3.565716,7.090667,-2.177936,6.243409
0.020000,6.475887,8.763346,0.973771,3.706619,7.045177,-2.274467,6.239204
0.020000,6.552737,8.759791,1.050702,3.846576,6.997818,-2.367946,6.234685
0.020000,6.632344,8.755734,1.130413,3.985547,6.948560,-2.462890,6.229836
0.020000,6.714685,8.751124,1.212883,4.123498,6.897546,-2.550722,6.224639
0.020000,6.799733,8.745903,1.298091,4.260393,6.844756,-2.639516,6.219074
0.020000,6.887459,8.740010,1.386015,4.396200,6.790356,-2.719966,6.213125
0.020000,6.977834,8.733381,1.476633,4.530889,6.734439,-2.795860,6.206769
0.020000,7.070826,8.725946,1.569921,4.664432,6.677159,-2.864005,6.199989
0.020000,7.166401,8.717630,1.665858,4.796806,6.618717,-2.922117,6.192762
0.020000,7.264524,8.708355,1.764417,4.927993,6.559323,-2.969698,6.185069
0.020000,7.365156,8.698036,1.865577,5.057978,6.499278,-3.002230,6.176889
0.020000,7.468257,8.686585,1.969312,5.186757,6.438914,-3.018204,6.168200
0.020000,7.573785,8.673907,2.075599,5.314329,6.378632,-3.014123,6.158982
0.020000,7.680985,8.659998,2.183698,5.404970,4.532037,-92.329718,6.149278
0.020000,7.788411,8.644978,2.292169,5.423537,0.928333,-180.185238,6.139209
0.020000,7.895341,8.628912,2.400299,5.406485,-0.852600,-89.046621,6.128843
0.020000,8.001764,8.611776,2.508093,5.389701,-0.839171,0.671427,6.118183
0.020000,8.107671,8.593548,2.615557,5.373224,-0.823872,0.764944,6.107235
0.020000,8.213052,8.574204,2.722699,5.357091,-0.806623,0.862483,6.096006
0.020000,8.317898,8.553724,2.829526,5.341344,-0.787353,0.963503,6.084501
0.020000,8.422198,8.532087,2.936046,5.326024,-0.766005,1.067376,6.072729
0.020000,8.525942,8.509274,3.042270,5.311172,-0.742612,1.169637,6.060698
0.020000,8.629123,8.485267,3.148206,5.296833,-0.716966,1.282342,6.048416
0.020000,8.731730,8.460048,3.253867,5.283049,-0.689201,1.388209,6.035894
0.020000,8.828971,8.434872,3.354315,5.022370,-13.033924,-617.236120,6.024627
0.020000,8.911752,8.411754,3.440263,4.297412,-36.247921,-1160.699857,5.997970
0.020000,8.996456,8.385660,3.528895,4.431586,6.708714,2147.831760,5.970577
0.020000,9.079661,8.357479,3.616743,4.392404,-1.959085,-433.389966,5.942500
0.020000,9.161370,8.327192,3.703884,4.357075,-1.766458,9.631348,5.913805
0.020000,9.241593,8.294782,3.790407,4.326137,-1.546909,10.977435,5.884571
0.020000,9.320358,8.260229,3.876418,4.300530,-1.280358,13.327584,5.854888
0.020000,9.397698,8.223509,3.962032,4.280706,-0.991185,14.458624,5.824859
0.020000,9.473657,8.184595,4.047378,4.267338,-0.668426,16.137944,5.794598
