dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.693435,3.304745,0.000789,0.078947,3.947368,197.368421,6.281426
0.020000,1.692923,3.304746,0.001301,0.025562,-2.669267,-330.831774,6.281872
0.020000,1.691902,3.304747,0.002322,0.051081,1.275973,197.261991,6.282765
0.020000,1.696865,3.304749,0.007285,0.248157,9.853789,428.890833,0.000916
0.020000,1.707460,3.304769,0.017880,0.529740,14.079126,211.266815,0.002695
0.020000,1.720709,3.304819,0.031130,0.662473,6.636656,-372.123498,0.004913
0.020000,1.736617,3.304918,0.047038,0.795402,6.646467,0.490578,0.007567
0.020000,1.755188,3.305087,0.065610,0.928599,6.659816,0.667447,0.010653
0.020000,1.776428,3.305351,0.086851,1.062069,6.673523,0.685331,0.014166
0.020000,1.800342,3.305737,0.110769,1.195880,6.690528,0.850259,0.018099
0.020000,1.826938,3.306276,0.137370,1.330086,6.710327,0.989971,0.022446
0.020000,1.856224,3.307003,0.166665,1.464732,6.732313,1.099269,0.027199
0.020000,1.888207,3.307956,0.198663,1.599876,6.757183,1.243492,0.032349
0.020000,1.922897,3.309175,0.233374,1.735567,6.784525,1.367104,0.037887
0.020000,1.960304,3.310704,0.270811,1.871873,6.815309,1.539213,0.043802
0.020000,2.000436,3.312589,0.310988,2.008854,6.849083,1.688712,0.050083
0.020000,2.043307,3.314881,0.353920,2.146568,6.885672,1.829450,0.056716
0.020000,2.088925,3.317631,0.399621,2.285082,6.925721,2.002411,0.063688
0.020000,2.137305,3.320894,0.448111,2.424464,6.969075,2.167749,0.070983
0.020000,2.188457,3.324727,0.499407,2.564787,7.016138,2.353110,0.078584
0.020000,2.242395,3.329189,0.553529,2.706106,7.065995,2.492853,0.086476
0.020000,2.299131,3.334342,0.610499,2.848501,7.119749,2.687703,0.094638
0.020000,2.358680,3.340248,0.670339,2.992036,7.176746,2.849867,0.103051
0.020000,2.421054,3.346972,0.733075,3.136780,7.237200,3.022706,0.111693
0.020000,2.486268,3.354580,0.798731,3.282796,7.300765,3.178215,0.120543
0.020000,2.554335,3.363138,0.867334,3.430150,7.367700,3.346762,0.129578
0.020000,2.625269,3.372715,0.938912,3.578904,7.437698,3.499889,0.138771
0.020000,2.699085,3.383378,1.013494,3.729105,7.510078,3.619011,0.148099
0.020000,2.775797,3.395195,1.091111,3.880828,7.586162,3.804202,0.157535
0.020000,2.855419,3.408233,1.171793,4.034104,7.663763,3.880076,0.167052
0.020000,2.937964,3.422561,1.255572,4.188979,7.743754,3.999524,0.176621
0.020000,3.023447,3.438244,1.342482,4.345503,7.826229,4.123749,0.186215
0.020000,3.111883,3.455347,1.432556,4.503702,7.909946,4.185834,0.195803
0.020000,3.203284,3.473934,1.525829,4.663610,7.995377,4.271593,0.205356
0.020000,3.297666,3.494063,1.622333,4.825239,8.081455,4.303899,0.214843
0.020000,3.395043,3.515795,1.722106,4.988620,8.169051,4.379804,0.224235
0.020000,3.495430,3.539184,1.825181,5.153769,8.257435,4.419180,0.233500
0.020000,3.598842,3.564282,1.931595,5.320676,8.345371,4.396784,0.242608
0.020000,3.704593,3.590955,2.040658,5.453161,6.624272,-86.054923,0.251469
0.020000,3.811290,3.618854,2.150942,5.514207,3.052274,-178.599935,0.259955
0.020000,3.918231,3.647764,2.261722,5.538997,1.239494,-90.638987,0.268007
0.020000,4.025415,3.677642,2.372993,5.563551,1.227732,-0.588108,0.275630
0.020000,4.132843,3.708448,2.484750,5.587862,1.215551,-0.609018,0.282829
0.020000,4.240514,3.740140,2.596989,5.611925,1.203136,-0.620752,0.289607
0.020000,4.348431,3.772676,2.709703,5.635738,1.190652,-0.624196,0.295970
0.020000,4.456596,3.806015,2.822890,5.659303,1.178249,-0.620190,0.301921
0.020000,4.565012,3.840114,2.936542,5.682624,1.166058,-0.609521,0.307464
0.020000,4.673684,3.874934,3.050656,5.705708,1.154200,-0.592919,0.312605
0.020000,4.782618,3.910431,3.165227,5.728564,1.142779,-0.571058,0.317346
0.020000,4.891819,3.946565,3.280252,5.751202,1.131887,-0.544555,0.321692
0.020000,5.001294,3.983294,3.395724,5.773628,1.121329,-0.527900,0.325646
0.020000,5.111052,4.020578,3.511641,5.795866,1.111893,-0.471845,0.329211
0.020000,5.221101,4.058375,3.628000,5.817931,1.103226,-0.433336,0.332391
0.020000,5.331450,4.096644,3.744797,5.839834,1.095188,-0.401882,0.335189
0.020000,5.442110,4.135345,3.862029,5.861594,1.087995,-0.359683,0.337607
0.020000,5.553091,4.174435,3.979693,5.883228,1.081684,-0.315528,0.339646
