dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.691420,2.159747,0.000789,0.078947,3.947368,197.368421,6.281426
0.020000,1.691420,2.159747,0.003947,0.236842,7.894737,197.368421,6.281872
0.020000,1.691420,2.159747,0.010263,0.394737,7.894737,0.000000,6.282765
0.020000,1.697914,2.159750,0.019737,0.552632,7.894737,-0.000000,0.000916
0.020000,1.710545,2.159773,0.032368,0.710526,7.894737,0.000000,0.002695
0.020000,1.726334,2.159833,0.048158,0.868421,7.894737,0.000000,0.004913
0.020000,1.745281,2.159951,0.067105,1.026316,7.894737,0.000000,0.007567
0.020000,1.767386,2.160152,0.089211,1.184211,7.894737,-0.000000,0.010653
0.020000,1.792647,2.160466,0.114474,1.342105,7.894737,0.000000,0.014166
0.020000,1.821064,2.160924,0.142895,1.500000,7.894737,0.000000,0.018099
0.020000,1.852637,2.161565,0.174474,1.657895,7.894737,0.000000,0.022446
0.020000,1.887363,2.162427,0.209211,1.815789,7.894737,0.000000,0.027199
0.020000,1.925241,2.163555,0.247105,1.973684,7.894737,0.000000,0.032349
0.020000,1.966268,2.164997,0.288158,2.131579,7.894737,0.000000,0.037887
0.020000,2.010441,2.166802,0.332368,2.289474,7.894737,0.000000,0.043802
0.020000,2.057757,2.169025,0.379737,2.447368,7.894737,-0.000000,0.050083
0.020000,2.108212,2.171722,0.430263,2.605263,7.894737,0.000000,0.056716
0.020000,2.161798,2.174953,0.483947,2.763158,7.894737,-0.000000,0.063688
0.020000,2.218512,2.178778,0.540789,2.921053,7.894737,0.000000,0.070983
0.020000,2.278344,2.183261,0.600789,3.078947,7.894737,0.000000,0.078584
0.020000,2.341286,2.188468,0.663947,3.236842,7.894737,-0.000000,0.086476
0.020000,2.407330,2.194466,0.730263,3.394737,7.894737,0.000000,0.094638
0.020000,2.476464,2.201322,0.799737,3.552632,7.894737,0.000000,0.103051
0.020000,2.548677,2.209107,0.872368,3.710526,7.894737,0.000000,0.111693
0.020000,2.623956,2.217889,0.948158,3.868421,7.894737,-0.000000,0.120543
0.020000,2.702286,2.227738,1.027105,4.026316,7.894737,0.000000,0.129578
0.020000,2.783653,2.238722,1.109211,4.184211,7.894737,0.000000,0.138771
0.020000,2.868040,2.250912,1.194474,4.342105,7.894737,0.000000,0.148099
0.020000,2.955430,2.264373,1.282895,4.500000,7.894737,0.000000,0.157535
0.020000,3.045805,2.279173,1.374474,4.657895,7.894737,0.000000,0.167052
0.020000,3.139146,2.295374,1.469211,4.815789,7.894737,0.000000,0.176621
0.020000,3.235433,2.313039,1.567105,4.973684,7.894737,0.000000,0.186215
0.020000,3.334647,2.332226,1.668158,5.131579,7.894737,0.000000,0.195803
0.020000,3.436767,2.352992,1.772368,5.289474,7.894737,-0.000000,0.205356
0.020000,3.541774,2.375387,1.879737,5.447368,7.894737,0.000000,0.214843
0.020000,3.649646,2.399461,1.990263,5.605263,7.894737,-0.000000,0.224235
0.020000,3.760365,2.425257,2.103947,5.763158,7.894737,0.000000,0.233500
0.020000,3.873910,2.452813,2.220789,5.921053,7.894737,-0.000000,0.242608
0.020000,3.989500,2.481968,2.340000,6.000000,3.947368,-197.368421,0.251469
0.020000,4.105597,2.512324,2.460000,6.000000,0.000000,-197.368421,0.259955
0.020000,4.221438,2.543640,2.580000,6.000000,0.000000,0.000000,0.268007
0.020000,4.337031,2.575862,2.700000,6.000000,0.000000,0.000000,0.275630
0.020000,4.452382,2.608939,2.820000,6.000000,0.000000,0.000000,0.282829
0.020000,4.567498,2.642822,2.940000,6.000000,0.000000,0.000000,0.289607
0.020000,4.682390,2.677461,3.060000,6.000000,0.000000,0.000000,0.295970
0.020000,4.797067,2.712807,3.180000,6.000000,0.000000,0.000000,0.301921
0.020000,4.911538,2.748810,3.300000,6.000000,0.000000,0.000000,0.307464
0.020000,5.025815,2.785425,3.420000,6.000000,0.000000,0.000000,0.312605
0.020000,5.139911,2.822604,3.540000,6.000000,0.000000,0.000000,0.317346
0.020000,5.253836,2.860301,3.660000,6.000000,0.000000,0.000000,0.321692
0.020000,5.367603,2.898470,3.780000,6.000000,0.000000,0.000000,0.325646
0.020000,5.481227,2.937067,3.900000,6.000000,0.000000,0.000000,0.329211
0.020000,5.594719,2.976047,4.020000,6.000000,0.000000,0.000000,0.332391
0.020000,5.708095,3.015365,4.140000,6.000000,0.000000,0.000000,0.335189
0.020000,5.821368,3.054980,4.260000,6.000000,0.000000,0.000000,0.337607
0.020000,5.934552,3.094846,4.380000,6.000000,0.000000,0.000000,0.339646
0.020000,6.047662,3.134922,4.500000,6.000000,0.000000,0.000000,0.341310
0.020000,6.160713,3.175165,4.620000,6.000000,0.000000,0.000000,0.342599
0.020000,6.273719,3.215533,4.740000,6.000000,0.000000,0.000000,0.343515
0.020000,6.386696,3.255983,4.860000,6.000000,0.000000,0.000000,0.344059
0.020000,6.499659,3.296474,4.980000,6.000000,0.000000,0.000000,0.344231
0.020000,6.612622,3.336963,5.100000,6.000000,0.000000,0.000000,0.344031
0.020000,6.725601,3.377408,5.220000,6.000000,0.000000,0.000000,0.343459
0.020000,6.838610,3.417768,5.340000,6.000000,0.000000,0.000000,0.342515
0.020000,6.951665,3.458000,5.460000,6.000000,0.000000,0.000000,0.341197
0.020000,7.064780,3.498061,5.580000,6.000000,0.000000,0.000000,0.339505
0.020000,7.177970,3.537910,5.700000,6.000000,0.000000,0.000000,0.337437
0.020000,7.291250,3.577504,5.820000,6.000000,0.000000,0.000000,0.334991
0.020000,7.404634,3.616798,5.940000,6.000000,0.000000,0.000000,0.332164
0.020000,7.518136,3.655751,6.060000,6.000000,0.000000,0.000000,0.328955
0.020000,7.631770,3.694317,6.180000,6.000000,0.000000,0.000000,0.325360
0.020000,7.745549,3.732452,6.300000,6.000000,0.000000,0.000000,0.321377
0.020000,7.859487,3.770111,6.420000,6.000000,0.000000,0.000000,0.317001
0.020000,7.973595,3.807249,6.540000,6.000000,0.000000,0.000000,0.312230
0.020000,8.087887,3.843819,6.660000,6.000000,0.000000,0.000000,0.307059
0.020000,8.202373,3.879775,6.780000,6.000000,0.000000,0.000000,0.301485
0.020000,8.317066,3.915069,6.900000,6.000000,0.000000,0.000000,0.295503
0.020000,8.431974,3.949652,7.020000,6.000000,0.000000,0.000000,0.289110
0.020000,8.547108,3.983476,7.140000,6.000000,0.000000,0.000000,0.282300
0.020000,8.662477,4.016491,7.260000,6.000000,0.000000,0.000000,0.275069
0.020000,8.778089,4.048646,7.380000,6.000000,0.000000,0.000000,0.267413
0.020000,8.893949,4.079891,7.500000,6.000000,0.000000,0.000000,0.259329
0.020000,9.010065,4.110172,7.620000,6.000000,0.000000,0.000000,0.250810
0.020000,9.126441,4.139438,7.740000,6.000000,0.000000,0.000000,0.241855
0.020000,9.243081,4.167635,7.860000,6.000000,0.000000,0.000000,0.232459
0.020000,9.359987,4.194709,7.980000,6.000000,0.000000,0.000000,0.222619
0.020000,9.477158,4.220606,8.100000,6.000000,0.000000,0.000000,0.212333
0.020000,9.594596,4.245269,8.220000,6.000000,0.000000,0.000000,0.201598
0.020000,9.712297,4.268643,8.340000,6.000000,0.000000,0.000000,0.190412
0.020000,9.830256,4.290673,8.460000,6.000000,0.000000,0.000000,0.178776
0.020000,9.948469,4.311303,8.580000,6.000000,0.000000,0.000000,0.166689
0.020000,10.066927,4.330475,8.700000,6.000000,0.000000,0.000000,0.154152
0.020000,10.185620,4.348134,8.820000,6.000000,0.000000,0.000000,0.141169
0.020000,10.304535,4.364224,8.940000,6.000000,0.000000,0.000000,0.127742
0.020000,10.423659,4.378691,9.060000,6.000000,0.000000,0.000000,0.113877
0.020000,10.542975,4.391478,9.180000,6.000000,0.000000,0.000000,0.099580
0.020000,10.662463,4.402532,9.300000,6.000000,0.000000,0.000000,0.084859
0.020000,10.782103,4.411802,9.420000,6.000000,0.000000,0.000000,0.069724
0.020000,10.901872,4.419236,9.540000,6.000000,0.000000,0.000000,0.054186
0.020000,11.021742,4.424784,9.660000,6.000000,0.000000,0.000000,0.038260
0.020000,11.141686,4.428401,9.780000,6.000000,0.000000,0.000000,0.021959
0.020000,11.261674,4.430040,9.900000,6.000000,0.000000,0.000000,0.005302
0.020000,11.381671,4.429660,10.020000,6.000000,0.000000,0.000000,6.271492
0.020000,11.501645,4.427221,10.140000,6.000000,0.000000,0.000000,6.254181
0.020000,11.621558,4.422688,10.260000,6.000000,0.000000,0.000000,6.236575
0.020000,11.741371,4.416028,10.380000,6.000000,0.000000,0.000000,6.218700
0.020000,11.861045,4.407213,10.500000,6.000000,0.000000,0.000000,6.200582
0.020000,11.980539,4.396219,10.620000,6.000000,0.000000,0.000000,6.182248
0.020000,12.099809,4.383023,10.740000,6.000000,0.000000,0.000000,6.163726
0.020000,12.218813,4.367612,10.860000,6.000000,0.000000,0.000000,6.145047
0.020000,12.337508,4.349973,10.980000,6.000000,0.000000,0.000000,6.126242
0.020000,12.455848,4.330099,11.100000,6.000000,0.000000,0.000000,6.107341
0.020000,12.573792,4.307987,11.220000,6.000000,0.000000,0.000000,6.088377
0.020000,12.691075,4.283689,11.339775,5.977509,-1.124568,-56.228401,6.069415
0.020000,12.806669,4.257457,11.458311,5.876070,-5.071936,-197.368421,6.050649
0.020000,12.919240,4.229705,11.574253,5.718175,-7.894737,-141.140020,6.032321
0.020000,13.028239,4.200737,11.687038,5.560280,-7.894737,-0.000000,6.014544
0.020000,13.133678,4.170732,11.796665,5.402386,-7.894737,0.000000,5.997337
0.020000,13.235573,4.139862,11.903133,5.244491,-7.894737,-0.000000,5.980715
0.020000,13.333942,4.108298,12.006444,5.086596,-7.894737,0.000000,5.964688
0.020000,13.428812,4.076203,12.106597,4.928701,-7.894737,0.000000,5.949261
0.020000,13.520210,4.043733,12.203592,4.770807,-7.894737,0.000000,5.934439
0.020000,13.608167,4.011041,12.297429,4.612912,-7.894737,0.000000,5.920221
0.020000,13.692715,3.978268,12.388109,4.455017,-7.894737,0.000000,5.906604
0.020000,13.773892,3.945553,12.475630,4.297123,-7.894737,0.000000,5.893585
0.020000,13.851732,3.913025,12.559994,4.139228,-7.894737,0.000000,5.881156
0.020000,13.926272,3.880808,12.641199,3.981333,-7.894737,0.000000,5.869311
0.020000,13.997551,3.849018,12.719247,3.823438,-7.894737,-0.000000,5.858040
0.020000,14.065607,3.817764,12.794137,3.665544,-7.894737,0.000000,5.847333
0.020000,14.130480,3.787149,12.865869,3.507649,-7.894737,0.000000,5.837180
0.020000,14.192200,3.757273,12.934443,3.349754,-7.894737,0.000000,5.827570
0.020000,14.250812,3.728222,12.999859,3.191859,-7.894737,-0.000000,5.818492
0.020000,14.306348,3.700083,13.062117,3.033965,-7.894737,0.000000,5.809935
0.020000,14.358843,3.672934,13.121217,2.876070,-7.894737,0.000000,5.801888
0.020000,14.408334,3.646849,13.177160,2.718175,-7.894737,-0.000000,5.794339
0.020000,14.454846,3.621897,13.229944,2.560280,-7.894737,0.000000,5.787278
0.020000,14.498416,3.598140,13.279571,2.402386,-7.894737,-0.000000,5.780696
0.020000,14.539072,3.575635,13.326040,2.244491,-7.894737,0.000000,5.774581
0.020000,14.576843,3.554437,13.369351,2.086596,-7.894737,0.000000,5.768925
0.020000,14.611749,3.534596,13.409504,1.928701,-7.894737,0.000000,5.763719
0.020000,14.643820,3.516154,13.446499,1.770807,-7.894737,0.000000,5.758953
0.020000,14.673077,3.499153,13.480336,1.612912,-7.894737,0.000000,5.754622
0.020000,14.699539,3.483631,13.511015,1.455017,-7.894737,0.000000,5.750717
0.020000,14.723225,3.469618,13.538537,1.297123,-7.894737,0.000000,5.747232
0.020000,14.744155,3.457143,13.562900,1.139228,-7.894737,-0.000000,5.744161
0.020000,14.762338,3.446235,13.584106,0.981333,-7.894737,0.000000,5.741499
0.020000,14.777791,3.436913,13.602154,0.823438,-7.894737,0.000000,5.739242
0.020000,14.790525,3.429195,13.617043,0.665544,-7.894737,-0.000000,5.737385
0.020000,14.800550,3.423097,13.628775,0.507649,-7.894737,0.000000,5.735925
0.020000,14.807867,3.418633,13.637349,0.349754,-7.894737,0.000000,5.734861
0.020000,14.812489,3.415807,13.642765,0.191859,-7.894737,-0.000000,5.734189
0.020000,14.814608,3.414510,13.645249,0.056456,-6.770169,56.228401,5.733881
0.020000,14.815090,3.414215,13.645813,0.000000,-2.822800,197.368421,5.733811
0.020000,14.815090,3.414215,13.645813,0.000000,0.000000,141.140020,5.733811
