dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.689405,1.014749,0.000789,0.078947,3.947368,197.368421,6.281426
0.020000,1.689917,1.014748,0.001301,0.025562,-2.669267,-330.831774,6.281872
0.020000,1.690938,1.014747,0.002322,0.051081,1.275973,197.261991,6.282765
0.020000,1.698962,1.014750,0.010346,0.401198,17.505810,811.491883,0.000916
0.020000,1.713631,1.014777,0.025015,0.733417,16.610942,-44.743401,0.002695
0.020000,1.731960,1.014847,0.043344,0.916471,9.152733,-372.910473,0.004913
0.020000,1.753946,1.014984,0.065330,1.099314,9.142161,-0.528575,0.007567
0.020000,1.779583,1.015217,0.090969,1.281939,9.131247,-0.545702,0.010653
0.020000,1.808866,1.015581,0.120254,1.464247,9.115390,-0.792890,0.014166
0.020000,1.841786,1.016112,0.153178,1.646216,9.098419,-0.848523,0.018099
0.020000,1.878335,1.016853,0.189734,1.827803,9.079382,-0.951864,0.022446
0.020000,1.918501,1.017850,0.229913,2.008947,9.057173,-1.110453,0.027199
0.020000,1.962274,1.019154,0.273705,2.189596,9.032476,-1.234815,0.032349
0.020000,2.009638,1.020818,0.321099,2.369685,9.004450,-1.401301,0.037887
0.020000,2.060579,1.022900,0.372082,2.549168,8.974148,-1.515145,0.043802
0.020000,2.115079,1.025461,0.426642,2.727982,8.940686,-1.673102,0.050083
0.020000,2.173117,1.028563,0.484763,2.906054,8.903589,-1.854845,0.056716
0.020000,2.234672,1.032274,0.546430,3.083324,8.863521,-2.003374,0.063688
0.020000,2.299718,1.036661,0.611624,3.259726,8.820099,-2.171120,0.070983
0.020000,2.368230,1.041795,0.680328,3.435201,8.773726,-2.318644,0.078584
0.020000,2.440178,1.047746,0.752521,3.609663,8.723099,-2.531368,0.086476
0.020000,2.515529,1.054589,0.828182,3.783056,8.669672,-2.671350,0.094638
0.020000,2.594249,1.062397,0.907289,3.955308,8.612608,-2.853153,0.103051
0.020000,2.676300,1.071242,0.989816,4.126354,8.552301,-3.015386,0.111693
0.020000,2.761644,1.081198,1.075738,4.296123,8.488468,-3.191623,0.120543
0.020000,2.850238,1.092337,1.165029,4.464558,8.421701,-3.338343,0.129578
0.020000,2.942037,1.104730,1.257661,4.631596,8.351910,-3.489571,0.138771
0.020000,3.036995,1.118446,1.353605,4.797168,8.278602,-3.665425,0.148099
0.020000,3.135063,1.133552,1.452830,4.961246,8.203921,-3.734017,0.157535
0.020000,3.236191,1.150112,1.555305,5.123757,8.125554,-3.918335,0.167052
0.020000,3.340328,1.168187,1.660998,5.284661,8.045176,-4.018918,0.176621
0.020000,3.447419,1.187834,1.769876,5.443930,7.963472,-4.085201,0.186215
0.020000,3.557411,1.209105,1.881907,5.601520,7.879474,-4.199924,0.195803
0.020000,3.670250,1.232050,1.997055,5.757407,7.794386,-4.254387,0.205356
0.020000,3.785881,1.256711,2.115286,5.911557,7.707486,-4.344977,0.214843
0.020000,3.904249,1.283126,2.236565,6.063966,7.620429,-4.352855,0.224235
0.020000,4.025299,1.311329,2.360858,6.214623,7.532845,-4.379214,0.233500
0.020000,4.148979,1.341345,2.488128,6.363497,7.443742,-4.455161,0.242608
0.020000,4.274408,1.372981,2.617485,6.467847,5.217482,-111.312973,0.251469
0.020000,4.399904,1.405795,2.747200,6.485756,0.895441,-216.102077,0.259955
0.020000,4.524646,1.439515,2.876419,6.460969,-1.239341,-106.739077,0.268007
0.020000,4.648647,1.474081,3.005148,6.436418,-1.227578,0.588149,0.275630
0.020000,4.771921,1.509430,3.133390,6.412110,-1.215391,0.609336,0.282829
0.020000,4.894483,1.545505,3.261151,6.388050,-1.202966,0.621265,0.289607
0.020000,5.016350,1.582246,3.388436,6.364241,-1.190470,0.624803,0.295970
0.020000,5.137537,1.619598,3.515249,6.340680,-1.178054,0.620779,0.301921
0.020000,5.258064,1.657506,3.641597,6.317363,-1.165855,0.609974,0.307464
0.020000,5.377946,1.695917,3.767482,6.294283,-1.153992,0.593124,0.312605
0.020000,5.497203,1.734777,3.892911,6.271432,-1.142574,0.570912,0.317346
0.020000,5.615853,1.774037,4.017887,6.248798,-1.131695,0.543971,0.321692
0.020000,5.733912,1.813646,4.142414,6.226363,-1.121736,0.497921,0.325646
0.020000,5.851402,1.853556,4.266497,6.204123,-1.111996,0.487025,0.329211
0.020000,5.968338,1.893718,4.390138,6.182063,-1.102990,0.450273,0.332391
0.020000,6.084740,1.934087,4.513341,6.160164,-1.094979,0.400566,0.335189
0.020000,6.200626,1.974615,4.636109,6.138407,-1.087824,0.357720,0.337607
0.020000,6.316013,2.015257,4.758445,6.116776,-1.081565,0.312962,0.339646
0.020000,6.430919,2.055969,4.880350,6.095250,-1.076275,0.264522,0.341310
0.020000,6.545360,2.096707,5.001826,6.073811,-1.071985,0.214478,0.342599
0.020000,6.659354,2.137428,5.122875,6.052444,-1.068315,0.183500,0.343515
0.020000,6.772918,2.178088,5.243497,6.031127,-1.065889,0.121319,0.344059
0.020000,6.886065,2.218645,5.363694,6.009837,-1.064460,0.071421,0.344231
0.020000,6.998813,2.259056,5.483465,5.988557,-1.064035,0.021277,0.344031
0.020000,7.111175,2.299281,5.602811,5.967266,-1.064547,-0.025603,0.343459
