dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.499419,11.355000,0.000789,0.078947,3.947368,197.368421,3.141085
0.020000,16.499615,11.355000,0.000985,0.009770,-3.458848,-370.310832,3.141256
0.020000,16.499909,11.355000,0.001280,0.014745,0.248734,185.379096,3.141598
0.020000,16.491024,11.354998,0.010165,0.444252,21.475348,1061.330718,3.142112
0.020000,16.479181,11.354987,0.022008,0.592180,7.396411,-703.946835,3.142800
0.020000,16.464382,11.354963,0.036808,0.739959,7.388941,-0.373503,3.143665
0.020000,16.446630,11.354917,0.054559,0.887571,7.380570,-0.418545,3.144710
0.020000,16.425931,11.354840,0.075258,1.034958,7.369357,-0.560677,3.145938
0.020000,16.402289,11.354720,0.098901,1.182121,7.358169,-0.559411,3.147353
0.020000,16.375710,11.354546,0.125480,1.328967,7.342295,-0.793692,3.148962
0.020000,16.346201,11.354302,0.154990,1.475523,7.327823,-0.723579,3.150768
0.020000,16.313769,11.353972,0.187424,1.621680,7.307851,-0.998635,3.152780
0.020000,16.278423,11.353537,0.222772,1.767421,7.287036,-1.040730,3.155004
0.020000,16.240173,11.352978,0.261026,1.912697,7.263788,-1.162377,3.157448
0.020000,16.199031,11.352270,0.302175,2.057437,7.237015,-1.338692,3.160122
0.020000,16.155006,11.351390,0.346208,2.201668,7.211537,-1.273869,3.163035
0.020000,16.108114,11.350311,0.393113,2.345211,7.177163,-1.718696,3.166198
0.020000,16.058370,11.349002,0.442874,2.488079,7.143377,-1.689337,3.169624
0.020000,16.005789,11.347430,0.495478,2.630210,7.106582,-1.839745,3.173325
0.020000,15.950391,11.345562,0.550908,2.771495,7.064236,-2.117285,3.177316
0.020000,15.892195,11.343357,0.609146,2.911906,7.020538,-2.184873,3.181613
0.020000,15.831224,11.340775,0.670172,3.051272,6.968294,-2.612209,3.186233
0.020000,15.767502,11.337771,0.733964,3.189621,6.917465,-2.541465,3.191195
0.020000,15.701058,11.334296,0.800500,3.326770,6.857440,-3.001242,3.196520
0.020000,15.631921,11.330298,0.869752,3.462618,6.792390,-3.252517,3.202229
0.020000,15.560125,11.325720,0.941694,3.597075,6.722857,-3.476617,3.208348
0.020000,15.485708,11.320501,1.016293,3.729980,6.645274,-3.879196,3.214902
0.020000,15.408711,11.314576,1.093518,3.861242,6.563102,-4.108602,3.221922
0.020000,15.329179,11.307874,1.173332,3.990700,6.472887,-4.510732,3.229440
0.020000,15.247164,11.300320,1.255694,4.118089,6.369440,-5.172347,3.237489
0.020000,15.162723,11.291833,1.340561,4.243343,6.262719,-5.336049,3.246109
0.020000,15.075917,11.282324,1.427885,4.366231,6.144412,-5.915374,3.255341
0.020000,14.986819,11.271702,1.517614,4.486443,6.010575,-6.691833,3.265230
0.020000,14.895506,11.259867,1.609691,4.603841,5.869927,-7.032405,3.275827
0.020000,14.802066,11.246711,1.704053,4.718087,5.712262,-7.883260,3.287186
0.020000,14.706596,11.232123,1.800632,4.828946,5.542961,-8.465027,3.299366
0.020000,14.609204,11.215980,1.899352,4.936034,5.354404,-9.427844,3.312434
0.020000,14.510011,11.198156,2.000134,5.039081,5.152375,-10.101462,3.326460
0.020000,14.409812,11.178648,2.102214,5.104014,3.246629,-95.287299,3.341420
0.020000,14.310040,11.157629,2.204176,5.098101,-0.295669,-177.114880,3.357173
0.020000,14.211430,11.135190,2.305307,5.056519,-2.079078,-89.170481,3.373652
0.020000,14.114056,11.111299,2.405569,5.013101,-2.170905,-4.591352,3.390889
0.020000,14.017993,11.085926,2.504927,4.967901,-2.260005,-4.454989,3.408916
0.020000,13.923316,11.059043,2.603345,4.920934,-2.348323,-4.415877,3.427763
0.020000,13.830107,11.030626,2.700790,4.872247,-2.434359,-4.301829,3.447461
