dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.499711,12.500000,0.000789,0.078947,3.947368,197.368421,3.141593
0.020000,16.496553,12.500000,0.003947,0.236842,7.894737,197.368421,3.141593
0.020000,16.490237,12.500000,0.010263,0.394737,7.894737,0.000000,3.141593
0.020000,16.480763,12.500000,0.019737,0.552632,7.894737,-0.000000,3.141593
0.020000,16.468132,12.500000,0.032368,0.710526,7.894737,0.000000,3.141593
0.020000,16.452342,12.500000,0.048158,0.868421,7.894737,0.000000,3.141593
0.020000,16.433395,12.500000,0.067105,1.026316,7.894737,0.000000,3.141593
0.020000,16.411289,12.500000,0.089211,1.184211,7.894737,-0.000000,3.141593
0.020000,16.386026,12.500000,0.114474,1.342105,7.894737,0.000000,3.141593
0.020000,16.357605,12.500000,0.142895,1.500000,7.894737,0.000000,3.141593
0.020000,16.326026,12.500000,0.174474,1.657895,7.894737,0.000000,3.141593
0.020000,16.291289,12.500000,0.209211,1.815789,7.894737,0.000000,3.141593
0.020000,16.253395,12.500000,0.247105,1.973684,7.894737,0.000000,3.141593
0.020000,16.212342,12.500000,0.288158,2.131579,7.894737,0.000000,3.141593
0.020000,16.168132,12.500000,0.332368,2.289474,7.894737,0.000000,3.141593
0.020000,16.120763,12.500000,0.379737,2.447368,7.894737,-0.000000,3.141593
0.020000,16.070237,12.500000,0.430263,2.605263,7.894737,0.000000,3.141593
0.020000,16.016553,12.500000,0.483947,2.763158,7.894737,-0.000000,3.141593
0.020000,15.969756,12.499964,0.540789,2.921053,7.894737,0.000000,3.143971
0.020000,15.909757,12.499678,0.600789,3.078947,7.894737,0.000000,3.148752
0.020000,15.846601,12.499065,0.663947,3.236842,7.894737,-0.000000,3.153877
0.020000,15.780294,12.498069,0.730263,3.394737,7.894737,0.000000,3.159363
0.020000,15.710835,12.496631,0.799737,3.552632,7.894737,0.000000,3.165229
0.020000,15.638229,12.494688,0.872368,3.710526,7.894737,0.000000,3.171493
0.020000,15.562481,12.492170,0.948158,3.868421,7.894737,-0.000000,3.178179
0.020000,15.483598,12.489002,1.027105,4.026316,7.894737,0.000000,3.185309
0.020000,15.401586,12.485104,1.109211,4.184211,7.894737,0.000000,3.192911
0.020000,15.316453,12.480387,1.194474,4.342105,7.894737,0.000000,3.201012
0.020000,15.228212,12.474757,1.282895,4.500000,7.894737,0.000000,3.209644
0.020000,15.136874,12.468112,1.374474,4.657895,7.894737,0.000000,3.218841
0.020000,15.042458,12.460340,1.469211,4.815789,7.894737,0.000000,3.228640
0.020000,14.944979,12.451323,1.567105,4.973684,7.894737,0.000000,3.239081
0.020000,14.844463,12.440931,1.668158,5.131579,7.894737,0.000000,3.250210
0.020000,14.740935,12.429023,1.772368,5.289474,7.894737,-0.000000,3.262073
