dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.500581,13.645000,0.000789,0.078947,3.947368,197.368421,3.141085
0.020000,16.500385,13.645000,0.000985,0.009770,-3.458848,-370.310832,3.141256
0.020000,16.499897,13.645000,0.001473,0.024396,0.731300,209.507392,3.141598
0.020000,16.489835,13.644997,0.011535,0.503127,23.936535,1160.261762,3.142112
0.020000,16.476415,13.644986,0.024955,0.671000,8.393652,-777.144132,3.142800
0.020000,16.459635,13.644958,0.041735,0.838998,8.399902,0.312468,3.143665
0.020000,16.439492,13.644906,0.061879,1.007177,8.408960,0.452899,3.144710
0.020000,16.415981,13.644818,0.085390,1.175552,8.418727,0.488373,3.145938
0.020000,16.389097,13.644682,0.112274,1.344204,8.432587,0.693022,3.147353
0.020000,16.358835,13.644484,0.142536,1.513110,8.445338,0.637547,3.148962
0.020000,16.325189,13.644206,0.176184,1.682392,8.464083,0.937232,3.150768
0.020000,16.288150,13.643828,0.213224,1.852015,8.481168,0.854229,3.152780
0.020000,16.247712,13.643331,0.253665,2.022058,8.502133,1.048267,3.155004
0.020000,16.203866,13.642690,0.297517,2.192567,8.525438,1.165261,3.157448
0.020000,16.156601,13.641877,0.344788,2.363570,8.550133,1.234750,3.160122
0.020000,16.105907,13.640864,0.395492,2.535212,8.582113,1.598972,3.163035
0.020000,16.051773,13.639618,0.449641,2.707413,8.610046,1.396650,3.166198
0.020000,15.994187,13.638102,0.507247,2.880318,8.645277,1.761568,3.169624
0.020000,15.933134,13.636277,0.568327,3.054002,8.684181,1.945217,3.173325
0.020000,15.868601,13.634101,0.632897,3.228489,8.724358,2.008832,3.177316
0.020000,15.800571,13.631523,0.700975,3.403915,8.771312,2.347677,3.181613
0.020000,15.729030,13.628494,0.772580,3.580262,8.817338,2.301339,3.186233
0.020000,15.653958,13.624954,0.847736,3.757760,8.874881,2.877152,3.191195
0.020000,15.575338,13.620842,0.926464,3.936407,8.932383,2.875069,3.196520
0.020000,15.493149,13.616089,1.008790,4.116321,8.995683,3.164989,3.202229
0.020000,15.407370,13.610619,1.094743,4.297652,9.066533,3.542508,3.208348
0.020000,15.317980,13.604350,1.184353,4.480490,9.141897,3.768209,3.214902
0.020000,15.224954,13.597191,1.277654,4.665035,9.227275,4.268928,3.221922
0.020000,15.128268,13.589044,1.374682,4.851436,9.320055,4.638990,3.229440
0.020000,15.027898,13.579799,1.475477,5.039747,9.415532,4.773833,3.237489
0.020000,14.923816,13.569336,1.580083,5.230300,9.527666,5.606683,3.246109
0.020000,14.815996,13.557526,1.688549,5.423268,9.648395,6.036496,3.255341
0.020000,14.704411,13.544222,1.800924,5.618767,9.774932,6.326810,3.265230
0.020000,14.589033,13.529266,1.917268,5.817177,9.920513,7.279059,3.275827
0.020000,14.469835,13.512483,2.037641,6.018676,10.074961,7.722422,3.287186
0.020000,14.346791,13.493680,2.162114,6.223632,10.247772,8.640558,3.299366
0.020000,14.219877,13.472642,2.290759,6.432272,10.432017,9.212230,3.312434
0.020000,14.089072,13.449136,2.423660,6.645032,10.637995,10.298882,3.326460
0.020000,13.955246,13.423079,2.559999,6.816955,8.596153,-102.092107,3.341420
0.020000,13.820176,13.394621,2.698034,6.901756,4.240048,-217.805249,3.357173
0.020000,13.684771,13.363806,2.836902,6.943376,2.081010,-107.951903,3.373652
0.020000,13.549061,13.330506,2.976636,6.986743,2.168346,4.366823,3.390889
0.020000,13.413087,13.294588,3.117275,7.031927,2.259209,4.543165,3.408916
0.020000,13.276894,13.255913,3.258853,7.078890,2.348151,4.447071,3.427763
0.020000,13.140540,13.214337,3.401404,7.127565,2.433726,4.278771,3.447461
0.020000,13.004096,13.169712,3.544961,7.177850,2.514243,4.025858,3.468037
0.020000,12.867642,13.121885,3.689554,7.229642,2.589640,3.769813,3.489518
0.020000,12.731275,13.070701,3.835209,7.282778,2.656768,3.356428,3.511927
0.020000,12.595110,13.016008,3.981948,7.336951,2.708671,2.595137,3.535283
0.020000,12.459277,12.957650,4.129787,7.391915,2.748213,1.977120,3.559599
0.020000,12.323926,12.895479,4.278734,7.447362,2.772356,1.207141,3.584884
0.020000,12.189226,12.829353,4.428789,7.502754,2.769596,-0.137987,3.611137
0.020000,12.055371,12.759141,4.579942,7.557645,2.744545,-1.252562,3.638349
0.020000,11.922571,12.684723,4.732171,7.611456,2.690523,-2.701094,3.666501
0.020000,11.791060,12.606003,4.885442,7.663552,2.604837,-4.284309,3.695563
0.020000,11.661091,12.522902,5.039707,7.713246,2.484687,-6.007488,3.725494
0.020000,11.532935,12.435371,5.194903,7.759769,2.326131,-7.927832,3.756238
0.020000,11.406876,12.343393,5.350950,7.802394,2.131251,-9.743975,3.787726
0.020000,11.283208,12.246983,5.507758,7.840386,1.899605,-11.582320,3.819879
0.020000,11.162231,12.146194,5.665218,7.873007,1.631064,-13.427033,3.852601
0.020000,11.044244,12.041120,5.823211,7.899634,1.331326,-14.986886,3.885789
0.020000,10.929538,11.931890,5.981605,7.919690,1.002835,-16.424545,3.919327
0.020000,10.818389,11.818675,6.140261,7.932791,0.655025,-17.390519,3.953095
0.020000,10.711054,11.701679,6.299034,7.938650,0.292966,-18.102975,3.986964
0.020000,10.607761,11.581139,6.457777,7.937152,-0.074926,-18.394568,4.020807
0.020000,10.508707,11.457318,6.616343,7.928339,-0.440615,-18.284472,4.054497
0.020000,10.414053,11.330496,6.774593,7.912486,-0.792689,-17.603690,4.087909
0.020000,10.323922,11.200972,6.932391,7.889915,-1.128557,-16.793373,4.120927
0.020000,10.238396,11.069045,7.089616,7.861210,-1.435240,-15.334194,4.153444
0.020000,10.157518,10.935016,7.246156,7.827020,-1.709491,-13.712509,4.185362
0.020000,10.081296,10.799185,7.401912,7.787810,-1.960490,-12.549949,4.216597
0.020000,10.009701,10.661832,7.556805,7.744622,-2.159391,-9.945072,4.247076
0.020000,9.942674,10.523227,7.710765,7.698031,-2.329552,-8.508039,4.276741
0.020000,9.880131,10.383620,7.863742,7.648814,-2.460873,-6.566063,4.305546
