dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.498798,11.355001,0.000789,0.078947,3.947368,197.368421,3.140543
0.020000,14.499247,11.355000,0.001238,0.022434,-2.825647,-338.650776,3.140935
0.020000,14.499123,11.355000,0.001363,0.006218,-0.810802,100.742247,3.141720
0.020000,14.491000,11.354994,0.009485,0.406136,19.995877,1040.333955,3.142900
0.020000,14.480177,11.354971,0.020309,0.541174,6.751887,-662.199500,3.144480
0.020000,14.466660,11.354919,0.033825,0.675813,6.731957,-0.996522,3.146465
0.020000,14.450458,11.354821,0.050028,0.810129,6.715787,-0.808455,3.148862
0.020000,14.431580,11.354657,0.068906,0.943921,6.689622,-1.308250,3.151680
0.020000,14.410039,11.354405,0.090449,1.077148,6.661349,-1.413659,3.154929
0.020000,14.385848,11.354037,0.114642,1.209678,6.626525,-1.741224,3.158621
0.020000,14.359025,11.353525,0.141471,1.341407,6.586433,-2.004579,3.162770
0.020000,14.329587,11.352834,0.170917,1.472324,6.545821,-2.030611,3.167390
0.020000,14.297555,11.351926,0.202962,1.602235,6.495565,-2.512821,3.172500
0.020000,14.262955,11.350759,0.237582,1.730990,6.437782,-2.889110,3.178118
0.020000,14.225814,11.349288,0.274752,1.858503,6.375625,-3.107864,3.184267
0.020000,14.186163,11.347462,0.314444,1.984620,6.305850,-3.488751,3.190970
0.020000,14.144038,11.345227,0.356628,2.109216,6.229793,-3.802862,3.198256
0.020000,14.099478,11.342523,0.401271,2.232126,6.145528,-4.213260,3.206152
0.020000,14.052526,11.339288,0.448334,2.353162,6.051796,-4.686571,3.214693
0.020000,14.003233,11.335450,0.497776,2.472088,5.946309,-5.274374,3.223914
0.020000,13.951655,11.330938,0.549551,2.588770,5.834062,-5.612343,3.233855
0.020000,13.897853,11.325671,0.603611,2.702960,5.709513,-6.227434,3.244559
0.020000,13.841895,11.319565,0.659900,2.814474,5.575683,-6.691493,3.256074
0.020000,13.783862,11.312530,0.718359,2.922933,5.422943,-7.637000,3.268451
0.020000,13.723837,11.304470,0.778922,3.028186,5.262663,-8.013997,3.281748
0.020000,13.661916,11.295286,0.841521,3.129909,5.086152,-8.825558,3.296027
0.020000,13.598206,11.284871,0.906076,3.227771,4.893132,-9.651032,3.311353
0.020000,13.532824,11.273113,0.972507,3.321562,4.689546,-10.179257,3.327800
0.020000,13.465899,11.259898,1.040724,3.410852,4.464504,-11.252136,3.345444
0.020000,13.397574,11.245103,1.110633,3.495429,4.228839,-11.783253,3.364369
0.020000,13.328004,11.228605,1.182132,3.574972,3.977126,-12.585641,3.384663
0.020000,13.257359,11.210276,1.255116,3.649193,3.711049,-13.303852,3.406418
0.020000,13.185821,11.189985,1.329476,3.718000,3.440364,-13.534254,3.429729
0.020000,13.113587,11.167600,1.405099,3.781162,3.158117,-14.112359,3.454694
0.020000,13.040863,11.142987,1.481875,3.838795,2.881629,-13.824392,3.481410
0.020000,12.967867,11.116012,1.559696,3.891015,2.611017,-13.530576,3.509972
0.020000,12.894822,11.086541,1.638462,3.938327,2.365577,-12.272009,3.540465
0.020000,12.821954,11.054438,1.718089,3.981318,2.149573,-10.800223,3.572965
0.020000,12.749954,11.019801,1.797986,3.994899,0.679026,-73.527324,3.607296
0.020000,12.679894,10.983023,1.877113,3.956339,-1.927982,-130.350403,3.642989
0.020000,12.612261,10.944331,1.955032,3.895912,-3.021357,-54.668733,3.679737
0.020000,12.547037,10.903722,2.031865,3.841657,-2.712751,15.430262,3.717434
0.020000,12.484183,10.861181,2.107762,3.794844,-2.340640,18.605554,3.755948
0.020000,12.423644,10.816681,2.182896,3.756743,-1.905034,21.780322,3.795127
0.020000,12.365349,10.770181,2.257465,3.728423,-1.416030,24.450213,3.834801
0.020000,12.309222,10.721628,2.331679,3.710717,-0.885297,26.536633,3.874784
0.020000,12.255179,10.670954,2.405763,3.704172,-0.327253,27.902191,3.914881
0.020000,12.203143,10.618087,2.479943,3.709003,0.241538,28.439543,3.954894
0.020000,12.153042,10.562949,2.554444,3.725060,0.802847,28.065481,3.994627
0.020000,12.104813,10.505463,2.629481,3.751868,1.340429,26.879068,4.033891
0.020000,12.058410,10.445561,2.705254,3.788640,1.838595,24.908297,4.072514
0.020000,12.013799,10.383185,2.781941,3.834340,2.285013,22.320932,4.110338
0.020000,11.970961,10.318294,2.859696,3.887767,2.671342,19.316413,4.147228
0.020000,11.929889,10.250866,2.938648,3.947603,2.991791,16.022480,4.183074
0.020000,11.890586,10.180900,3.018898,4.012506,3.245154,12.668129,4.217787
0.020000,11.853061,10.108414,3.100522,4.081161,3.432748,9.379714,4.251301
0.020000,11.817328,10.033448,3.183568,4.152320,3.557973,6.261260,4.283571
0.020000,11.783401,9.956060,3.268066,4.224911,3.629534,3.578051,4.314574
0.020000,11.751294,9.876323,3.354025,4.297920,3.650456,1.046086,4.344302
0.020000,11.721016,9.794324,3.441435,4.370514,3.629704,-1.037574,4.372762
0.020000,11.692575,9.710159,3.530275,4.442027,3.575619,-2.704261,4.399973
0.020000,11.665969,9.623932,3.620514,4.511939,3.495591,-4.001425,4.425963
0.020000,11.641194,9.535752,3.712109,4.579729,3.389531,-5.303005,4.450769
0.020000,11.618239,9.445728,3.805013,4.645216,3.274359,-5.758568,4.474431
0.020000,11.597087,9.353972,3.899176,4.708124,3.145359,-6.449991,4.496995
0.020000,11.577718,9.260593,3.994542,4.768324,3.010036,-6.766151,4.518508
0.020000,11.560104,9.165699,4.091057,4.825724,2.869978,-7.002945,4.539017
0.020000,11.544216,9.069394,4.188664,4.880376,2.732627,-6.867524,4.558573
0.020000,11.530021,8.971775,4.287309,4.932261,2.594226,-6.920038,4.577222
0.020000,11.517483,8.872938,4.386938,4.981440,2.458932,-6.764706,4.595012
0.020000,11.506562,8.772973,4.487499,5.028022,2.329137,-6.489739,4.611989
0.020000,11.497221,8.671963,4.588939,5.072014,2.199581,-6.477810,4.628197
0.020000,11.489416,8.569988,4.691212,5.113666,2.082598,-5.849154,4.643679
0.020000,11.483108,8.467122,4.794272,5.152977,1.965557,-5.852045,4.658473
0.020000,11.478254,8.363434,4.898073,5.190089,1.855618,-5.496950,4.672619
0.020000,11.474811,8.258988,5.002576,5.225146,1.752811,-5.140350,4.686153
0.020000,11.472739,8.153842,5.107742,5.258286,1.657032,-4.788970,4.699108
0.020000,11.471996,8.048055,5.213532,5.289502,1.560770,-4.813076,4.711518
0.020000,11.472541,7.941675,5.319913,5.319067,1.478284,-4.124327,4.723411
0.020000,11.473811,7.830950,5.430646,5.536622,10.877728,469.972213,4.721112
0.020000,11.474446,7.702225,5.559372,6.436297,44.983771,1705.302172,4.713490
0.020000,11.474083,7.573221,5.688376,6.450226,0.696455,-2214.365826,4.705626
0.020000,11.472687,7.443935,5.817670,6.464695,0.723451,1.349808,4.697509
0.020000,11.470218,7.314364,5.947264,6.479705,0.750489,1.351888,4.689129
0.020000,11.466638,7.184505,6.077173,6.495427,0.786110,1.781076,4.680475
0.020000,11.461903,7.054356,6.207408,6.511739,0.815575,1.473238,4.671536
0.020000,11.455971,6.923915,6.337984,6.528791,0.852600,1.851267,4.662299
0.020000,11.448794,6.793183,6.468913,6.546474,0.884174,1.578686,4.652753
0.020000,11.440325,6.662156,6.600213,6.564999,0.926231,2.102837,4.642884
0.020000,11.430513,6.530837,6.731898,6.584270,0.963550,1.865938,4.632678
0.020000,11.419304,6.399227,6.863985,6.604327,1.002862,1.965597,4.622121
0.020000,11.406643,6.267328,6.996490,6.625235,1.045369,2.125356,4.611200
0.020000,11.392470,6.135146,7.129430,6.647015,1.089008,2.181956,4.599897
0.020000,11.376725,6.002684,7.262824,6.669689,1.133721,2.235667,4.588199
0.020000,11.359343,5.869950,7.396691,6.693368,1.183953,2.511598,4.576087
0.020000,11.340256,5.736954,7.531050,6.717956,1.229393,2.271968,4.563546
0.020000,11.319394,5.603707,7.665920,6.743484,1.276416,2.351179,4.550558
0.020000,11.296684,5.470222,7.801323,6.770164,1.333967,2.877536,4.537105
0.020000,11.272047,5.336518,7.937278,6.797748,1.379213,2.262328,4.523169
0.020000,11.245405,5.202615,8.073806,6.826400,1.432609,2.669777,4.508733
0.020000,11.216674,5.068535,8.210930,6.856187,1.489323,2.835717,4.493777
0.020000,11.185766,4.934308,8.348669,6.886965,1.538904,2.479046,4.478283
0.020000,11.152593,4.799968,8.487045,6.918784,1.590962,2.602903,4.462233
0.020000,11.117062,4.665552,8.626078,6.951635,1.642572,2.580496,4.445608
0.020000,11.079077,4.531104,8.765788,6.985530,1.694749,2.608831,4.428393
0.020000,11.038543,4.396676,8.906194,7.020293,1.738127,2.168887,4.410570
0.020000,10.995359,4.262328,9.047313,7.055929,1.781786,2.182994,4.392123
0.020000,10.949426,4.128122,9.189161,7.092439,1.825503,2.185818,4.373040
0.020000,10.900643,3.994135,9.331752,7.129550,1.855555,1.502598,4.353308
0.020000,10.848910,3.860451,9.475097,7.167219,1.883462,1.395357,4.332917
0.020000,10.794129,3.727163,9.619204,7.205346,1.906335,1.143644,4.311861
0.020000,10.736202,3.594375,9.764076,7.243638,1.914587,0.412626,4.290135
0.020000,10.675040,3.462202,9.909715,7.281920,1.914104,-0.024171,4.267741
0.020000,10.610554,3.330770,10.056114,7.319954,1.901701,-0.620118,4.244682
0.020000,10.542666,3.200217,10.203264,7.357488,1.876706,-1.249769,4.220967
0.020000,10.471305,3.070689,10.351148,7.394198,1.835504,-2.060089,4.196612
0.020000,10.396414,2.942348,10.499742,7.429733,1.776741,-2.938162,4.171635
0.020000,10.317944,2.815361,10.649018,7.463781,1.702398,-3.717136,4.146063
0.020000,10.235865,2.689905,10.798938,7.496016,1.611761,-4.531846,4.119928
0.020000,10.150161,2.566167,10.949458,7.525973,1.497842,-5.695976,4.093269
0.020000,10.060836,2.444337,11.100526,7.553396,1.371153,-6.334456,4.066131
0.020000,9.967913,2.324610,11.252082,7.577829,1.221666,-7.474324,4.038567
0.020000,9.871433,2.207180,11.404062,7.599011,1.059078,-8.129394,4.010632
0.020000,9.771463,2.092241,11.556394,7.616592,0.879065,-9.000667,3.982390
0.020000,9.668087,1.979982,11.709001,7.630332,0.686994,-9.603557,3.953908
0.020000,9.561411,1.870583,11.861801,7.640016,0.484199,-10.139735,3.925257
0.020000,9.451560,1.764215,12.014711,7.645499,0.274164,-10.501773,3.896510
0.020000,9.338678,1.661033,12.167645,7.646684,0.059243,-10.746050,3.867742
0.020000,9.222925,1.561179,12.320516,7.643579,-0.155274,-10.725835,3.839029
0.020000,9.104471,1.464776,12.473241,7.636231,-0.367378,-10.605207,3.810444
0.020000,8.983503,1.371925,12.625736,7.624724,-0.575349,-10.398540,3.782060
0.020000,8.860209,1.282710,12.777922,7.609326,-0.769899,-9.727499,3.753945
0.020000,8.734786,1.197191,12.929726,7.590222,-0.955211,-9.265621,3.726164
