dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.501202,13.644999,0.000789,0.078947,3.947368,197.368421,3.140543
0.020000,14.500753,13.645000,0.001238,0.022434,-2.825647,-338.650776,3.140935
0.020000,14.498832,13.645000,0.003159,0.096063,3.681449,325.354794,3.141720
0.020000,14.488007,13.644992,0.013984,0.541244,22.259012,928.878162,3.142900
0.020000,14.473566,13.644962,0.028426,0.722061,9.040852,-660.907977,3.144480
0.020000,14.455504,13.644892,0.046487,0.903089,9.051416,0.528196,3.146465
0.020000,14.433812,13.644760,0.068180,1.084625,9.076822,1.270292,3.148862
0.020000,14.408481,13.644540,0.093512,1.266607,9.099058,1.111777,3.151680
0.020000,14.379499,13.644201,0.122496,1.449189,9.129103,1.502281,3.154929
0.020000,14.346854,13.643705,0.155144,1.632419,9.161523,1.620959,3.158621
0.020000,14.310533,13.643012,0.191472,1.816392,9.198633,1.855506,3.162770
0.020000,14.270517,13.642072,0.231499,2.001344,9.247597,2.448204,3.167390
0.020000,14.226789,13.640832,0.275244,2.187281,9.296884,2.464363,3.172500
0.020000,14.179330,13.639231,0.322730,2.374286,9.350217,2.666627,3.178118
0.020000,14.128120,13.637203,0.373981,2.562544,9.412930,3.135692,3.184267
0.020000,14.073134,13.634671,0.429025,2.752179,9.481750,3.440972,3.190970
0.020000,14.014350,13.631552,0.487892,2.943375,9.559807,3.902841,3.198256
0.020000,13.951739,13.627753,0.550618,3.136293,9.645867,4.303021,3.206152
0.020000,13.885275,13.623172,0.617240,3.331087,9.739705,4.691915,3.214693
0.020000,13.814930,13.617695,0.687797,3.527881,9.839701,4.999775,3.223914
0.020000,13.740674,13.611198,0.762337,3.726976,9.954755,5.752701,3.233855
0.020000,13.662477,13.603542,0.840908,3.928555,10.078931,6.208819,3.244559
0.020000,13.580306,13.594575,0.923567,4.132927,10.218627,6.984767,3.256074
0.020000,13.494134,13.584128,1.010370,4.340162,10.361743,7.155815,3.268451
0.020000,13.403930,13.572015,1.101384,4.550701,10.526968,8.261257,3.281748
0.020000,13.309666,13.558032,1.196679,4.764770,10.703439,8.823546,3.296027
0.020000,13.211319,13.541953,1.296331,4.982614,10.892179,9.437016,3.311353
0.020000,13.108869,13.523527,1.400425,5.204685,11.103548,10.568424,3.327800
0.020000,13.002305,13.502481,1.509047,5.431106,11.321059,10.875566,3.345444
0.020000,12.891625,13.478512,1.622294,5.662324,11.560902,11.992143,3.364369
0.020000,12.776838,13.451287,1.740265,5.898570,11.812303,12.570048,3.384663
0.020000,12.657974,13.420443,1.863066,6.140033,12.073167,13.043227,3.406418
0.020000,12.535082,13.385580,1.990807,6.387078,12.352231,13.953170,3.429729
0.020000,12.408242,13.346267,2.123599,6.639598,12.625998,13.688332,3.454694
0.020000,12.277571,13.302034,2.261554,6.897741,12.907163,14.058296,3.481410
0.020000,12.143229,13.252381,2.404778,7.161191,13.172509,13.267282,3.509972
0.020000,12.005432,13.196775,2.553372,7.429698,13.425329,12.641009,3.540465
0.020000,11.864464,13.134658,2.707419,7.702352,13.632680,10.367529,3.572965
0.020000,11.721627,13.065930,2.865930,7.925576,11.161219,-123.573048,3.607296
0.020000,11.579205,12.991152,3.026791,8.043005,5.871461,-264.487888,3.642989
0.020000,11.438536,12.910665,3.188858,8.103375,3.018475,-142.649314,3.679737
0.020000,11.300039,12.824423,3.352011,8.157653,2.713910,-15.228227,3.717434
0.020000,11.164155,12.732443,3.516099,8.204407,2.337707,-18.810182,3.755948
0.020000,11.031332,12.634803,3.680949,8.242476,1.903473,-21.711662,3.795127
0.020000,10.902020,12.531649,3.846364,8.270780,1.415194,-24.413988,3.834801
0.020000,10.776652,12.423195,4.012134,8.288471,0.884552,-26.532082,3.874784
0.020000,10.655632,12.309718,4.178034,8.295008,0.326831,-27.886076,3.914881
0.020000,10.539322,12.191554,4.343838,8.290191,-0.240850,-28.384030,3.954894
0.020000,10.428032,12.069083,4.509321,8.274142,-0.802472,-28.081093,3.994627
0.020000,10.322010,11.942723,4.674268,8.247355,-1.339326,-26.842709,4.033891
0.020000,10.221440,11.812910,4.838480,8.210609,-1.837314,-24.899400,4.072514
0.020000,10.126437,11.680091,5.001779,8.164929,-2.283995,-22.334046,4.110338
0.020000,10.037050,11.544707,5.164009,8.111541,-2.669381,-19.269307,4.147228
