dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.245793,2.285893,0.000789,0.078947,3.947368,197.368421,6.281923
0.020000,2.245793,2.285893,0.003947,0.236842,7.894737,197.368421,6.282300
0.020000,2.245793,2.285893,0.010263,0.394737,7.894737,0.000000,6.283055
0.020000,2.254173,2.285897,0.019737,0.552632,7.894737,-0.000000,0.001001
0.020000,2.266805,2.285919,0.032368,0.710526,7.894737,0.000000,0.002509
0.020000,2.282594,2.285973,0.048158,0.868421,7.894737,0.000000,0.004395
0.020000,2.301541,2.286078,0.067105,1.026316,7.894737,0.000000,0.006658
0.020000,2.323645,2.286255,0.089211,1.184211,7.894737,-0.000000,0.009299
0.020000,2.348907,2.286528,0.114474,1.342105,7.894737,0.000000,0.012317
0.020000,2.377326,2.286926,0.142895,1.500000,7.894737,0.000000,0.015713
0.020000,2.408900,2.287482,0.174474,1.657895,7.894737,0.000000,0.019486
0.020000,2.443628,2.288231,0.209211,1.815789,7.894737,0.000000,0.023636
0.020000,2.481510,2.289212,0.247105,1.973684,7.894737,0.000000,0.028163
0.020000,2.522544,2.290468,0.288158,2.131579,7.894737,0.000000,0.033066
0.020000,2.566726,2.292047,0.332368,2.289474,7.894737,0.000000,0.038343
0.020000,2.614054,2.293996,0.379737,2.447368,7.894737,-0.000000,0.043994
0.020000,2.664524,2.296370,0.430263,2.605263,7.894737,0.000000,0.050016
0.020000,2.718132,2.299226,0.483947,2.763158,7.894737,-0.000000,0.056408
0.020000,2.774873,2.302622,0.540789,2.921053,7.894737,0.000000,0.063167
0.020000,2.834739,2.306623,0.600789,3.078947,7.894737,0.000000,0.070288
0.020000,2.897724,2.311294,0.663947,3.236842,7.894737,-0.000000,0.077769
0.020000,2.963819,2.316705,0.730263,3.394737,7.894737,0.000000,0.085605
0.020000,3.033013,2.322929,0.799737,3.552632,7.894737,0.000000,0.093788
0.020000,3.105295,2.330039,0.872368,3.710526,7.894737,0.000000,0.102314
0.020000,3.180653,2.338114,0.948158,3.868421,7.894737,-0.000000,0.111175
0.020000,3.259072,2.347233,1.027105,4.026316,7.894737,0.000000,0.120361
0.020000,3.340535,2.357479,1.109211,4.184211,7.894737,0.000000,0.129862
0.020000,3.425024,2.368935,1.194474,4.342105,7.894737,0.000000,0.139669
0.020000,3.512520,2.381687,1.282895,4.500000,7.894737,0.000000,0.149768
0.020000,3.603002,2.395822,1.374474,4.657895,7.894737,0.000000,0.160145
0.020000,3.696444,2.411427,1.469211,4.815789,7.894737,0.000000,0.170786
0.020000,3.792822,2.428591,1.567105,4.973684,7.894737,0.000000,0.181673
0.020000,3.892108,2.447402,1.668158,5.131579,7.894737,0.000000,0.192790
0.020000,3.994272,2.467948,1.772368,5.289474,7.894737,-0.000000,0.204115
0.020000,4.099284,2.490318,1.879737,5.447368,7.894737,0.000000,0.215628
0.020000,4.207109,2.514598,1.990263,5.605263,7.894737,-0.000000,0.227307
0.020000,4.317715,2.540873,2.103947,5.763158,7.894737,0.000000,0.239126
0.020000,4.431064,2.569226,2.220789,5.921053,7.894737,-0.000000,0.251062
0.020000,4.546357,2.599533,2.340000,6.000000,3.947368,-197.368421,0.263008
0.020000,4.662043,2.631416,2.460000,6.000000,0.000000,-197.368421,0.274789
0.020000,4.777350,2.664644,2.580000,6.000000,0.000000,0.000000,0.286316
0.020000,4.892271,2.699185,2.700000,6.000000,0.000000,0.000000,0.297581
0.020000,5.006800,2.735003,2.820000,6.000000,0.000000,0.000000,0.308578
0.020000,5.120934,2.772062,2.940000,6.000000,0.000000,0.000000,0.319300
0.020000,5.234669,2.810327,3.060000,6.000000,0.000000,0.000000,0.329742
0.020000,5.348003,2.849762,3.180000,6.000000,0.000000,0.000000,0.339898
0.020000,5.460938,2.890329,3.300000,6.000000,0.000000,0.000000,0.349765
0.020000,5.573473,2.931992,3.420000,6.000000,0.000000,0.000000,0.359338
0.020000,5.685610,2.974713,3.540000,6.000000,0.000000,0.000000,0.368614
0.020000,5.797353,3.018457,3.660000,6.000000,0.000000,0.000000,0.377591
0.020000,5.908705,3.063185,3.780000,6.000000,0.000000,0.000000,0.386267
0.020000,6.019672,3.108860,3.900000,6.000000,0.000000,0.000000,0.394639
0.020000,6.130259,3.155446,4.020000,6.000000,0.000000,0.000000,0.402706
0.020000,6.240475,3.202906,4.140000,6.000000,0.000000,0.000000,0.410467
0.020000,6.350327,3.251203,4.260000,6.000000,0.000000,0.000000,0.417922
0.020000,6.459822,3.300301,4.380000,6.000000,0.000000,0.000000,0.425069
0.020000,6.568972,3.350163,4.500000,6.000000,0.000000,0.000000,0.431910
0.020000,6.677786,3.400755,4.620000,6.000000,0.000000,0.000000,0.438444
0.020000,6.786275,3.452039,4.740000,6.000000,0.000000,0.000000,0.444672
0.020000,6.894451,3.503982,4.860000,6.000000,0.000000,0.000000,0.450593
0.020000,7.002325,3.556547,4.980000,6.000000,0.000000,0.000000,0.456209
0.020000,7.109910,3.609702,5.100000,6.000000,0.000000,0.000000,0.461521
0.020000,7.217219,3.663411,5.220000,6.000000,0.000000,0.000000,0.466529
0.020000,7.324267,3.717640,5.340000,6.000000,0.000000,0.000000,0.471234
0.020000,7.431066,3.772356,5.460000,6.000000,0.000000,0.000000,0.475638
0.020000,7.537632,3.827526,5.580000,6.000000,0.000000,0.000000,0.479741
0.020000,7.643979,3.883117,5.700000,6.000000,0.000000,0.000000,0.483544
0.020000,7.750122,3.939096,5.820000,6.000000,0.000000,0.000000,0.487049
0.020000,7.856076,3.995431,5.940000,6.000000,0.000000,0.000000,0.490256
0.020000,7.961858,4.052090,6.060000,6.000000,0.000000,0.000000,0.493166
0.020000,8.067483,4.109041,6.180000,6.000000,0.000000,0.000000,0.495781
0.020000,8.172967,4.166252,6.300000,6.000000,0.000000,0.000000,0.498101
0.020000,8.278326,4.223692,6.420000,6.000000,0.000000,0.000000,0.500127
0.020000,8.383577,4.281331,6.540000,6.000000,0.000000,0.000000,0.501860
0.020000,8.488737,4.339136,6.660000,6.000000,0.000000,0.000000,0.503300
0.020000,8.593822,4.397077,6.780000,6.000000,0.000000,0.000000,0.504448
0.020000,8.698848,4.455123,6.900000,6.000000,0.000000,0.000000,0.505304
0.020000,8.803834,4.513244,7.020000,6.000000,0.000000,0.000000,0.505869
0.020000,8.908795,4.571409,7.140000,6.000000,0.000000,0.000000,0.506142
0.020000,9.013749,4.629588,7.260000,6.000000,0.000000,0.000000,0.506125
0.020000,9.118712,4.687749,7.380000,6.000000,0.000000,0.000000,0.505816
0.020000,9.223701,4.745863,7.500000,6.000000,0.000000,0.000000,0.505216
0.020000,9.328734,4.803898,7.620000,6.000000,0.000000,0.000000,0.504325
0.020000,9.433827,4.861824,7.740000,6.000000,0.000000,0.000000,0.503142
0.020000,9.538997,4.919611,7.860000,6.000000,0.000000,0.000000,0.501667
0.020000,9.644261,4.977227,7.980000,6.000000,0.000000,0.000000,0.499899
0.020000,9.749634,5.034642,8.100000,6.000000,0.000000,0.000000,0.497837
0.020000,9.855134,5.091823,8.220000,6.000000,0.000000,0.000000,0.495482
0.020000,9.960777,5.148740,8.340000,6.000000,0.000000,0.000000,0.492831
0.020000,10.066579,5.205362,8.460000,6.000000,0.000000,0.000000,0.489885
0.020000,10.172555,5.261656,8.580000,6.000000,0.000000,0.000000,0.486642
0.020000,10.278722,5.317590,8.700000,6.000000,0.000000,0.000000,0.483102
0.020000,10.385094,5.373132,8.820000,6.000000,0.000000,0.000000,0.479262
0.020000,10.491687,5.428249,8.940000,6.000000,0.000000,0.000000,0.475123
0.020000,10.598516,5.482908,9.060000,6.000000,0.000000,0.000000,0.470683
0.020000,10.705594,5.537076,9.180000,6.000000,0.000000,0.000000,0.465942
0.020000,10.812936,5.590720,9.300000,6.000000,0.000000,0.000000,0.460897
0.020000,10.920555,5.643805,9.420000,6.000000,0.000000,0.000000,0.455549
0.020000,11.028465,5.696298,9.540000,6.000000,0.000000,0.000000,0.449896
0.020000,11.136678,5.748163,9.660000,6.000000,0.000000,0.000000,0.443938
0.020000,11.245205,5.799366,9.780000,6.000000,0.000000,0.000000,0.437673
0.020000,11.354059,5.849871,9.900000,6.000000,0.000000,0.000000,0.431102
0.020000,11.463250,5.899643,10.020000,6.000000,0.000000,0.000000,0.424224
0.020000,11.572788,5.948647,10.140000,6.000000,0.000000,0.000000,0.417039
0.020000,11.682683,5.996845,10.260000,6.000000,0.000000,0.000000,0.409548
0.020000,11.792943,6.044201,10.380000,6.000000,0.000000,0.000000,0.401750
0.020000,11.903576,6.090679,10.500000,6.000000,0.000000,0.000000,0.393646
0.020000,12.014589,6.136243,10.620000,6.000000,0.000000,0.000000,0.385237
0.020000,12.118607,6.178082,10.740000,6.000000,0.000000,0.000000,0.383069
0.020000,12.229766,6.223290,10.860000,6.000000,0.000000,0.000000,0.389406
0.020000,12.340645,6.269180,10.980000,6.000000,0.000000,0.000000,0.395332
0.020000,12.451259,6.315702,11.100000,6.000000,0.000000,0.000000,0.400847
0.020000,12.561625,6.362812,11.220000,6.000000,0.000000,0.000000,0.405955
0.020000,12.671759,6.410462,11.340000,6.000000,0.000000,0.000000,0.410655
0.020000,12.781677,6.458607,11.460000,6.000000,0.000000,0.000000,0.414949
0.020000,12.891398,6.507201,11.580000,6.000000,0.000000,0.000000,0.418840
0.020000,13.000938,6.556200,11.700000,6.000000,0.000000,0.000000,0.422329
0.020000,13.110317,6.605559,11.820000,6.000000,0.000000,0.000000,0.425416
0.020000,13.219552,6.655234,11.940000,6.000000,0.000000,0.000000,0.428104
0.020000,13.328664,6.705180,12.060000,6.000000,0.000000,0.000000,0.430393
0.020000,13.437671,6.755354,12.180000,6.000000,0.000000,0.000000,0.432285
0.020000,13.546593,6.805712,12.300000,6.000000,0.000000,0.000000,0.433780
0.020000,13.655450,6.856212,12.420000,6.000000,0.000000,0.000000,0.434880
0.020000,13.764261,6.906810,12.540000,6.000000,0.000000,0.000000,0.435584
0.020000,13.873046,6.957464,12.660000,6.000000,0.000000,0.000000,0.435893
0.020000,13.981826,7.008129,12.780000,6.000000,0.000000,0.000000,0.435808
0.020000,14.090620,7.058764,12.900000,6.000000,0.000000,0.000000,0.435327
0.020000,14.199448,7.109324,13.020000,6.000000,0.000000,0.000000,0.434452
0.020000,14.308331,7.159768,13.140000,6.000000,0.000000,0.000000,0.433181
0.020000,14.417287,7.210052,13.260000,6.000000,0.000000,0.000000,0.431514
0.020000,14.526338,7.260133,13.380000,6.000000,0.000000,0.000000,0.429450
0.020000,14.635501,7.309967,13.500000,6.000000,0.000000,0.000000,0.426988
0.020000,14.744796,7.359510,13.620000,6.000000,0.000000,0.000000,0.424127
0.020000,14.854243,7.408718,13.740000,6.000000,0.000000,0.000000,0.420866
0.020000,14.963859,7.457547,13.860000,6.000000,0.000000,0.000000,0.417203
0.020000,15.073663,7.505952,13.980000,6.000000,0.000000,0.000000,0.413137
0.020000,15.183672,7.553888,14.100000,6.000000,0.000000,0.000000,0.408667
0.020000,15.293905,7.601310,14.220000,6.000000,0.000000,0.000000,0.403791
0.020000,15.404377,7.648170,14.340000,6.000000,0.000000,0.000000,0.398507
0.020000,15.515104,7.694424,14.460000,6.000000,0.000000,0.000000,0.392813
0.020000,15.626102,7.740024,14.580000,6.000000,0.000000,0.000000,0.386710
0.020000,15.737386,7.784923,14.700000,6.000000,0.000000,0.000000,0.380194
0.020000,15.848969,7.829072,14.820000,6.000000,0.000000,0.000000,0.373266
0.020000,15.960864,7.872425,14.940000,6.000000,0.000000,0.000000,0.365923
0.020000,16.073083,7.914931,15.060000,6.000000,0.000000,0.000000,0.358166
0.020000,16.185637,7.956542,15.180000,6.000000,0.000000,0.000000,0.349995
0.020000,16.298536,7.997209,15.300000,6.000000,0.000000,0.000000,0.341409
0.020000,16.411788,8.036881,15.420000,6.000000,0.000000,0.000000,0.332409
0.020000,16.525400,8.075509,15.540000,6.000000,0.000000,0.000000,0.322996
0.020000,16.639379,8.113042,15.660000,6.000000,0.000000,0.000000,0.313173
0.020000,16.753728,8.149431,15.780000,6.000000,0.000000,0.000000,0.302941
0.020000,16.868451,8.184625,15.900000,6.000000,0.000000,0.000000,0.292305
0.020000,16.983548,8.218573,16.020000,6.000000,0.000000,0.000000,0.281267
0.020000,17.099019,8.251226,16.140000,6.000000,0.000000,0.000000,0.269834
0.020000,17.214863,8.282533,16.260000,6.000000,0.000000,0.000000,0.258012
0.020000,17.331074,8.312447,16.380000,6.000000,0.000000,0.000000,0.245806
0.020000,17.447646,8.340919,16.500000,6.000000,0.000000,0.000000,0.233227
0.020000,17.564573,8.367900,16.620000,6.000000,0.000000,0.000000,0.220283
0.020000,17.681843,8.393345,16.740000,6.000000,0.000000,0.000000,0.206984
0.020000,17.799446,8.417207,16.860000,6.000000,0.000000,0.000000,0.193344
0.020000,17.917366,8.439444,16.980000,6.000000,0.000000,0.000000,0.179374
0.020000,18.035589,8.460013,17.100000,6.000000,0.000000,0.000000,0.165089
0.020000,18.154097,8.478873,17.220000,6.000000,0.000000,0.000000,0.150505
0.020000,18.272869,8.495985,17.340000,6.000000,0.000000,0.000000,0.135639
0.020000,18.391885,8.511315,17.460000,6.000000,0.000000,0.000000,0.120509
0.020000,18.511121,8.524827,17.580000,6.000000,0.000000,0.000000,0.105135
0.020000,18.630551,8.536491,17.700000,6.000000,0.000000,0.000000,0.089536
0.020000,18.750150,8.546278,17.820000,6.000000,0.000000,0.000000,0.073733
0.020000,18.869889,8.554163,17.940000,6.000000,0.000000,0.000000,0.057750
0.020000,18.989740,8.560123,18.060000,6.000000,0.000000,0.000000,0.041608
0.020000,19.109671,8.564140,18.180000,6.000000,0.000000,0.000000,0.025331
0.020000,19.229652,8.566197,18.300000,6.000000,0.000000,0.000000,0.008943
0.020000,19.349651,8.566282,18.420000,6.000000,0.000000,0.000000,6.275653
0.020000,19.469634,8.564387,18.540000,6.000000,0.000000,0.000000,6.259116
0.020000,19.584623,8.560767,18.660000,6.000000,0.000000,0.000000,6.249092
0.020000,19.704580,8.557605,18.780000,6.000000,0.000000,0.000000,6.264160
0.020000,19.824570,8.556107,18.900000,6.000000,0.000000,0.000000,6.276857
0.020000,19.944569,8.555995,19.020000,6.000000,0.000000,0.000000,0.004091
0.020000,20.064565,8.557000,19.140000,6.000000,0.000000,0.000000,0.012308
0.020000,20.184550,8.558863,19.260000,6.000000,0.000000,0.000000,0.018386
0.020000,20.304525,8.561329,19.380000,6.000000,0.000000,0.000000,0.022373
0.020000,20.424492,8.564150,19.500000,6.000000,0.000000,0.000000,0.024298
0.020000,20.544456,8.567078,19.620000,6.000000,0.000000,0.000000,0.024178
0.020000,20.664424,8.569870,19.740000,6.000000,0.000000,0.000000,0.022010
0.020000,20.784399,8.572278,19.860000,6.000000,0.000000,0.000000,0.017779
0.020000,20.904386,8.574053,19.980000,6.000000,0.000000,0.000000,0.011451
0.020000,21.024382,8.574940,20.100000,6.000000,0.000000,0.000000,0.002978
0.020000,21.144382,8.574679,20.220000,6.000000,0.000000,0.000000,6.275480
0.020000,21.264369,8.573000,20.340000,6.000000,0.000000,0.000000,6.262508
0.020000,21.384320,8.569622,20.460000,6.000000,0.000000,0.000000,6.247154
0.020000,21.504199,8.564255,20.580000,6.000000,0.000000,0.000000,6.229314
