dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.244348,1.140894,0.000793,0.079268,3.963415,198.170732,6.281924
0.020000,2.244782,1.140893,0.001226,0.021681,-2.879346,-342.138028,6.282302
0.020000,2.245649,1.140893,0.002093,0.043355,1.083690,198.151781,6.283060
0.020000,2.255410,1.140897,0.011854,0.488051,22.234797,1057.555374,0.001010
0.020000,2.269827,1.140923,0.026271,0.720843,11.639575,-529.761107,0.002525
0.020000,2.287849,1.140985,0.044293,0.901094,9.012572,-131.350155,0.004418
0.020000,2.309474,1.141106,0.065919,1.081291,9.009865,-0.135364,0.006691
0.020000,2.334705,1.141308,0.091150,1.261557,9.013292,0.171348,0.009342
0.020000,2.363539,1.141621,0.119986,1.441796,9.011938,-0.067698,0.012373
0.020000,2.395976,1.142078,0.152427,1.622043,9.012374,0.021792,0.015782
0.020000,2.432016,1.142715,0.188472,1.802259,9.010771,-0.080128,0.019571
0.020000,2.471656,1.143573,0.228121,1.982463,9.010213,-0.027910,0.023738
0.020000,2.514894,1.144698,0.271374,2.162613,9.007491,-0.136079,0.028283
0.020000,2.561728,1.146138,0.318230,2.342813,9.010007,0.125772,0.033205
0.020000,2.612152,1.147947,0.368687,2.522863,9.002498,-0.375428,0.038504
0.020000,2.666163,1.150181,0.422744,2.702845,8.999096,-0.170085,0.044178
0.020000,2.723754,1.152902,0.480399,2.882773,8.996390,-0.135304,0.050225
0.020000,2.784917,1.156173,0.541650,3.062515,8.987100,-0.464522,0.056642
0.020000,2.849643,1.160064,0.606492,3.242135,8.981025,-0.303725,0.063428
0.020000,2.917920,1.164645,0.674923,3.421526,8.969540,-0.574244,0.070578
0.020000,2.989736,1.169994,0.746937,3.600717,8.959543,-0.499881,0.078089
0.020000,3.065073,1.176187,0.822529,3.779595,8.943893,-0.782472,0.085955
0.020000,3.143915,1.183307,0.901692,3.958137,8.927105,-0.839440,0.094171
0.020000,3.226242,1.191439,0.984419,4.136349,8.910594,-0.825526,0.102730
0.020000,3.312028,1.200668,1.070700,4.314065,8.885810,-1.239195,0.111624
0.020000,3.401247,1.211086,1.160526,4.491289,8.861212,-1.229890,0.120845
0.020000,3.493871,1.222783,1.253885,4.667954,8.833219,-1.399657,0.130382
0.020000,3.589865,1.235852,1.350764,4.843961,8.800364,-1.642763,0.140225
0.020000,3.689192,1.250386,1.451150,5.019272,8.765551,-1.740657,0.150361
0.020000,3.791813,1.266481,1.555025,5.193756,8.724192,-2.067953,0.160775
0.020000,3.897683,1.284232,1.662373,5.367390,8.681732,-2.122968,0.171453
0.020000,4.006754,1.303733,1.773173,5.540037,8.632324,-2.470429,0.182378
0.020000,4.118975,1.325079,1.887406,5.711648,8.580535,-2.589429,0.193531
0.020000,4.234290,1.348361,2.005049,5.882117,8.523463,-2.853628,0.204892
0.020000,4.352642,1.373671,2.126076,6.051373,8.462818,-3.032259,0.216441
0.020000,4.473967,1.401096,2.250463,6.219332,8.397931,-3.244311,0.228154
0.020000,4.598201,1.430722,2.378180,6.385866,8.326691,-3.562024,0.240008
0.020000,4.725275,1.462630,2.509199,6.550955,8.254479,-3.610605,0.251975
0.020000,4.855120,1.496896,2.643489,6.714492,8.176845,-3.881670,0.264030
0.020000,4.987661,1.533593,2.781017,6.876390,8.094885,-4.097998,0.276144
0.020000,5.122826,1.572788,2.921749,7.036616,8.011290,-4.179790,0.288287
0.020000,5.259700,1.614281,3.064775,7.151273,5.732867,-113.921115,0.300356
0.020000,5.396560,1.657563,3.208316,7.177052,1.288935,-222.196603,0.312183
0.020000,5.532553,1.702321,3.351485,7.158461,-0.929518,-110.922648,0.323685
0.020000,5.667671,1.748496,3.494275,7.139483,-0.948921,-0.970138,0.334856
0.020000,5.801908,1.796026,3.636678,7.120167,-0.965800,-0.843987,0.345689
0.020000,5.935262,1.844849,3.778689,7.100551,-0.980776,-0.748799,0.356179
