dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.310675,3.351362,0.000793,0.079268,3.963415,198.170732,0.012714
0.020000,2.310443,3.351359,0.001024,0.011573,-3.384747,-367.408101,0.012916
0.020000,2.309980,3.351353,0.001487,0.023135,0.578103,198.142525,0.013320
0.020000,2.312866,3.351393,0.004373,0.144290,6.057719,273.980772,0.013926
0.020000,2.324624,3.351561,0.016132,0.587949,22.182983,806.263226,0.014732
0.020000,2.339323,3.351785,0.030832,0.735028,7.353948,-741.451746,0.015739
0.020000,2.356963,3.352073,0.048475,0.882151,7.356151,0.110121,0.016946
0.020000,2.377547,3.352437,0.069062,1.029332,7.359006,0.142749,0.018351
0.020000,2.401074,3.352887,0.092593,1.176564,7.361637,0.131563,0.019953
0.020000,2.427546,3.353439,0.119071,1.323915,7.367549,0.295612,0.021751
0.020000,2.456965,3.354109,0.148498,1.471345,7.371468,0.195956,0.023742
0.020000,2.489333,3.354913,0.180876,1.618875,7.376500,0.251608,0.025926
0.020000,2.524651,3.355871,0.216207,1.766550,7.383745,0.362224,0.028300
0.020000,2.562921,3.357003,0.254493,1.914326,7.388815,0.253497,0.030861
0.020000,2.604145,3.358332,0.295739,2.062272,7.397326,0.425585,0.033608
0.020000,2.648325,3.359883,0.339946,2.210361,7.404419,0.354628,0.036537
0.020000,2.695463,3.361679,0.387119,2.358626,7.413271,0.442613,0.039645
0.020000,2.745562,3.363749,0.437260,2.507070,7.422205,0.446711,0.042930
0.020000,2.798624,3.366120,0.490375,2.655751,7.434027,0.591091,0.046387
0.020000,2.854651,3.368823,0.546467,2.804609,7.442891,0.443203,0.050013
0.020000,2.913646,3.371888,0.605541,2.953716,7.455394,0.625119,0.053803
0.020000,2.975611,3.375348,0.667603,3.103078,7.468057,0.633177,0.057754
0.020000,3.040548,3.379237,0.732657,3.252698,7.481008,0.647520,0.061861
0.020000,3.108461,3.383589,0.800709,3.402599,7.495045,0.701880,0.066118
0.020000,3.179351,3.388440,0.871765,3.552808,7.510485,0.771990,0.070521
0.020000,3.253222,3.393827,0.945832,3.703337,7.526448,0.798135,0.075064
0.020000,3.330075,3.399788,1.022916,3.854195,7.542866,0.820912,0.079741
0.020000,3.409913,3.406361,1.103024,4.005421,7.561300,0.921678,0.084546
0.020000,3.492739,3.413586,1.186164,4.157009,7.579404,0.905204,0.089472
0.020000,3.578554,3.421503,1.272344,4.308998,7.599451,1.002363,0.094512
0.020000,3.667362,3.430153,1.361572,4.461394,7.619821,1.018493,0.099659
0.020000,3.759164,3.439576,1.453857,4.614225,7.641558,1.086863,0.104907
0.020000,3.853963,3.449815,1.549207,4.767504,7.663933,1.118771,0.110246
0.020000,3.951761,3.460909,1.647632,4.921262,7.687895,1.198092,0.115668
0.020000,4.052560,3.472903,1.749142,5.075498,7.711793,1.194873,0.121166
0.020000,4.156362,3.485836,1.853747,5.230249,7.737570,1.288842,0.126729
0.020000,4.263170,3.499751,1.961458,5.385528,7.763956,1.319327,0.132350
0.020000,4.372986,3.514688,2.072284,5.541350,7.791061,1.355267,0.138018
0.020000,4.485812,3.530689,2.186239,5.697729,7.818979,1.395863,0.143724
0.020000,4.601649,3.547794,2.303333,5.854699,7.848505,1.476293,0.149457
0.020000,4.720502,3.566042,2.423578,6.012259,7.878006,1.475089,0.155207
0.020000,4.841628,3.585351,2.546234,6.132786,6.026347,-92.582958,0.160929
0.020000,4.963543,3.605495,2.669802,6.178398,2.280582,-187.288284,0.166546
0.020000,5.085503,3.626342,2.793531,6.186450,0.402592,-93.899488,0.172023
0.020000,5.207508,3.647876,2.917422,6.194537,0.404367,0.088786,0.177358
0.020000,5.329558,3.670081,3.041475,6.202654,0.405860,0.074635,0.182552
0.020000,5.451652,3.692941,3.165691,6.210797,0.407160,0.064979,0.187604
0.020000,5.573792,3.716440,3.290070,6.218963,0.408267,0.055355,0.192512
0.020000,5.695976,3.740561,3.414613,6.227146,0.409182,0.045772,0.197278
0.020000,5.818207,3.765288,3.539320,6.235345,0.409919,0.036855,0.201901
0.020000,5.940485,3.790604,3.664191,6.243555,0.410491,0.028597,0.206380
0.020000,6.062811,3.816492,3.789226,6.251773,0.410911,0.020984,0.210716
0.020000,6.185186,3.842937,3.914426,6.259996,0.411149,0.011892,0.214908
0.020000,6.307612,3.869922,4.039791,6.268222,0.411304,0.007770,0.218957
0.020000,6.430090,3.897429,4.165320,6.276449,0.411371,0.003327,0.222861
0.020000,6.552622,3.925442,4.291013,6.284676,0.411307,-0.003176,0.226622
0.020000,6.675211,3.953944,4.416871,6.292899,0.411151,-0.007812,0.230240
0.020000,6.797857,3.982918,4.542893,6.301117,0.410913,-0.011907,0.233714
0.020000,6.920564,4.012348,4.669080,6.309329,0.410603,-0.015483,0.237044
0.020000,7.043333,4.042216,4.795431,6.317533,0.410232,-0.018561,0.240231
0.020000,7.166168,4.072506,4.921945,6.325730,0.409809,-0.021162,0.243275
0.020000,7.289072,4.103200,5.048624,6.333915,0.409251,-0.027869,0.246176
0.020000,7.412046,4.134282,5.175465,6.342092,0.408843,-0.020397,0.248934
0.020000,7.535095,4.165735,5.302471,6.350258,0.408320,-0.026195,0.251550
0.020000,7.658222,4.197542,5.429639,6.358413,0.407776,-0.027166,0.254023
0.020000,7.781429,4.229685,5.556970,6.366558,0.407222,-0.027725,0.256354
0.020000,7.904721,4.262148,5.684464,6.374691,0.406663,-0.027939,0.258543
0.020000,8.028100,4.294914,5.812120,6.382813,0.406106,-0.027832,0.260590
0.020000,8.151571,4.327966,5.939939,6.390924,0.405558,-0.027423,0.262495
0.020000,8.275138,4.361286,6.067919,6.399025,0.405023,-0.026735,0.264259
0.020000,8.398805,4.394858,6.196061,6.407115,0.404485,-0.026927,0.265881
0.020000,8.522575,4.428664,6.324365,6.415194,0.403984,-0.025027,0.267362
0.020000,8.646453,4.462688,6.452831,6.423266,0.403561,-0.021146,0.268703
0.020000,8.770443,4.496911,6.581457,6.431328,0.403130,-0.021570,0.269902
0.020000,8.894549,4.531318,6.710245,6.439383,0.402734,-0.019797,0.270961
0.020000,9.018777,4.565891,6.839193,6.447430,0.402376,-0.017866,0.271879
0.020000,9.143130,4.600612,6.968303,6.455472,0.402061,-0.015795,0.272657
0.020000,9.267613,4.635464,7.097573,6.463507,0.401788,-0.013603,0.273295
0.020000,9.392231,4.670431,7.227004,6.471539,0.401562,-0.011310,0.273792
0.020000,9.516989,4.705494,7.356595,6.479566,0.401384,-0.008934,0.274149
0.020000,9.641891,4.740636,7.486347,6.487591,0.401254,-0.006492,0.274365
0.020000,9.766942,4.775840,7.616259,6.495615,0.401173,-0.004016,0.274442
0.020000,9.892148,4.811089,7.746332,6.503638,0.401154,-0.000983,0.274378
0.020000,10.017513,4.846364,7.876565,6.511661,0.401176,0.001113,0.274175
0.020000,10.143042,4.881648,8.006959,6.519686,0.401247,0.003554,0.273831
0.020000,10.268740,4.916924,8.137513,6.527714,0.401368,0.006043,0.273347
0.020000,10.394613,4.952173,8.268228,6.535744,0.401538,0.008490,0.272722
0.020000,10.520664,4.987379,8.399104,6.543780,0.401755,0.010874,0.271958
0.020000,10.646900,5.022522,8.530140,6.551820,0.402019,0.013178,0.271053
0.020000,10.773325,5.057585,8.661337,6.559866,0.402326,0.015384,0.270007
0.020000,10.899945,5.092549,8.792696,6.567920,0.402676,0.017474,0.268820
0.020000,11.026764,5.127397,8.924215,6.575981,0.403066,0.019522,0.267493
0.020000,11.153787,5.162111,9.055896,6.584052,0.403548,0.024101,0.266025
0.020000,11.281019,5.196671,9.187739,6.592131,0.403955,0.020348,0.264416
0.020000,11.408466,5.231060,9.319744,6.600220,0.404440,0.024245,0.262665
0.020000,11.536131,5.265258,9.451910,6.608319,0.404949,0.025459,0.260773
0.020000,11.664020,5.299248,9.584238,6.616429,0.405478,0.026441,0.258740
0.020000,11.792137,5.333009,9.716729,6.624549,0.406022,0.027169,0.256564
0.020000,11.920487,5.366524,9.849383,6.632681,0.406574,0.027624,0.254246
0.020000,12.049074,5.399773,9.982200,6.640823,0.407130,0.027785,0.251787
0.020000,12.177904,5.432737,10.115179,6.648977,0.407682,0.027631,0.249184
0.020000,12.306979,5.465396,10.248322,6.657142,0.408250,0.028353,0.246439
0.020000,12.436304,5.497731,10.381628,6.665318,0.408824,0.028715,0.243552
0.020000,12.565883,5.529723,10.515098,6.673503,0.409253,0.021438,0.240521
0.020000,12.695720,5.561351,10.648732,6.681698,0.409719,0.023326,0.237347
0.020000,12.825819,5.592596,10.782530,6.689901,0.410144,0.021264,0.234030
0.020000,12.956183,5.623438,10.916493,6.698111,0.410520,0.018757,0.230570
0.020000,13.086814,5.653856,11.050619,6.706328,0.410835,0.015783,0.226966
0.020000,13.217717,5.683831,11.184910,6.714549,0.411082,0.012320,0.223218
0.020000,13.348894,5.713342,11.319366,6.722774,0.411249,0.008348,0.219327
0.020000,13.480348,5.742368,11.453986,6.731002,0.411366,0.005886,0.215292
0.020000,13.612080,5.770888,11.588770,6.739228,0.411326,-0.002020,0.211113
0.020000,13.744094,5.798883,11.723719,6.747451,0.411146,-0.008989,0.206790
