dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.339788,1.061547,0.000793,0.079268,3.963415,198.170732,0.012714
0.020000,2.340019,1.061550,0.001024,0.011573,-3.384747,-367.408101,0.012916
0.020000,2.340482,1.061556,0.001487,0.023135,0.578103,198.142525,0.013320
0.020000,2.344755,1.061615,0.005760,0.213642,9.525322,447.360946,0.013926
0.020000,2.358360,1.061810,0.019366,0.680318,23.333830,690.425410,0.014732
0.020000,2.375364,1.062069,0.036373,0.850340,8.501079,-741.637563,0.015739
0.020000,2.395768,1.062402,0.056779,1.020302,8.498110,-0.148441,0.016946
0.020000,2.419568,1.062822,0.080583,1.190197,8.494744,-0.168296,0.018351
0.020000,2.446763,1.063343,0.107783,1.359996,8.489942,-0.240094,0.019953
0.020000,2.477351,1.063981,0.138378,1.529750,8.487725,-0.110858,0.021751
0.020000,2.511330,1.064754,0.172366,1.699390,8.481962,-0.288133,0.023742
0.020000,2.548697,1.065682,0.209744,1.868914,8.476209,-0.287693,0.025926
0.020000,2.589449,1.066788,0.250511,2.038348,8.471690,-0.225911,0.028300
0.020000,2.633582,1.068093,0.294663,2.207614,8.463302,-0.419411,0.030861
0.020000,2.681092,1.069626,0.342198,2.376763,8.457479,-0.291160,0.033608
0.020000,2.731976,1.071411,0.393113,2.545735,8.448567,-0.445612,0.036537
0.020000,2.786227,1.073479,0.447404,2.714538,8.440182,-0.419241,0.039645
0.020000,2.843841,1.075859,0.505067,2.883145,8.430341,-0.492023,0.042930
0.020000,2.904812,1.078583,0.566098,3.051590,8.422220,-0.406067,0.046387
0.020000,2.969133,1.081686,0.630494,3.219770,8.409049,-0.658580,0.050013
0.020000,3.036796,1.085202,0.698249,3.387738,8.398358,-0.534547,0.053803
0.020000,3.107795,1.089166,0.769358,3.555460,8.386100,-0.612862,0.057754
0.020000,3.182120,1.093617,0.843816,3.722907,8.372376,-0.686203,0.061861
0.020000,3.259762,1.098592,0.921617,3.890068,8.358058,-0.715928,0.066118
0.020000,3.340711,1.104132,1.002756,4.056938,8.343460,-0.729892,0.070521
0.020000,3.424957,1.110275,1.087226,4.223488,8.327537,-0.796130,0.075064
0.020000,3.512488,1.117064,1.175020,4.389692,8.310180,-0.867851,0.079741
0.020000,3.603292,1.124540,1.266131,4.555555,8.293134,-0.852306,0.084546
0.020000,3.697355,1.132746,1.360551,4.721029,8.273703,-0.971558,0.089472
0.020000,3.794665,1.141723,1.458274,4.886118,8.254452,-0.962546,0.094512
0.020000,3.895205,1.151516,1.559289,5.050788,8.233525,-1.046357,0.099659
0.020000,3.998960,1.162166,1.663590,5.215030,8.212099,-1.071294,0.104907
0.020000,4.105914,1.173717,1.771166,5.378817,8.189347,-1.137601,0.110246
0.020000,4.216051,1.186211,1.882009,5.542144,8.166344,-1.150128,0.115668
0.020000,4.329351,1.199692,1.996109,5.704969,8.141243,-1.255050,0.121166
0.020000,4.445797,1.214200,2.113455,5.867294,8.116253,-1.249518,0.126729
0.020000,4.565368,1.229778,2.234036,6.029093,8.089970,-1.314170,0.132350
0.020000,4.688045,1.246465,2.357843,6.190344,8.062552,-1.370873,0.138018
0.020000,4.813807,1.264300,2.484864,6.351027,8.034147,-1.420258,0.143724
0.020000,4.942633,1.283323,2.615087,6.511141,8.005687,-1.423009,0.149457
0.020000,5.074501,1.303569,2.748500,6.670649,7.975405,-1.514091,0.155207
0.020000,5.208567,1.324940,2.884258,6.787926,5.863846,-105.577940,0.160929
0.020000,5.343174,1.347181,3.020690,6.821583,1.682852,-209.049727,0.166546
0.020000,5.477496,1.370141,3.156961,6.813532,-0.402535,-104.269318,0.172023
0.020000,5.611533,1.393799,3.293069,6.805447,-0.404268,-0.086646,0.177358
0.020000,5.745284,1.418133,3.429016,6.797331,-0.405825,-0.077878,0.182552
