dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.001387,3.352999,0.000789,0.078947,3.947368,197.368421,6.281974
0.020000,2.001013,3.353000,0.001164,0.018722,-3.011282,-347.932525,6.282301
0.020000,2.000265,3.353000,0.001912,0.037405,0.934182,197.273194,6.282954
0.020000,2.006381,3.353002,0.008029,0.305836,13.421536,624.367699,0.000747
0.020000,2.017523,3.353018,0.019170,0.557069,12.561635,-42.995020,0.002049
0.020000,2.031455,3.353058,0.033102,0.696616,6.977343,-279.214599,0.003671
0.020000,2.048182,3.353135,0.049830,0.836356,6.987011,0.483359,0.005610
0.020000,2.067708,3.353267,0.069356,0.976318,6.998100,0.554463,0.007862
0.020000,2.090038,3.353471,0.091687,1.116552,7.011686,0.679329,0.010423
0.020000,2.115178,3.353769,0.116829,1.257092,7.027023,0.766845,0.013287
0.020000,2.143135,3.354185,0.144788,1.397977,7.044237,0.860683,0.016448
0.020000,2.173915,3.354745,0.175573,1.539258,7.064061,0.991217,0.019899
0.020000,2.207526,3.355476,0.209193,1.680967,7.085440,1.068943,0.023633
0.020000,2.243977,3.356411,0.245656,1.823152,7.109269,1.191425,0.027641
0.020000,2.283277,3.357582,0.284973,1.965859,7.135327,1.302912,0.031915
0.020000,2.325435,3.359024,0.327156,2.109127,7.163392,1.403258,0.036444
0.020000,2.370461,3.360773,0.372216,2.253004,7.193866,1.523690,0.041218
0.020000,2.418366,3.362869,0.420166,2.397535,7.226557,1.634544,0.046225
0.020000,2.469160,3.365352,0.471022,2.542765,7.261515,1.747896,0.051454
0.020000,2.522856,3.368265,0.524796,2.688741,7.298789,1.863719,0.056891
0.020000,2.579465,3.371649,0.581507,2.835506,7.338246,1.972836,0.062522
0.020000,2.639000,3.375550,0.641169,2.983106,7.380015,2.088449,0.068333
0.020000,2.701472,3.380014,0.703801,3.131590,7.424207,2.209605,0.074308
0.020000,2.766896,3.385087,0.769420,3.280993,7.470114,2.295349,0.080432
0.020000,2.835283,3.390815,0.838048,3.431367,7.518714,2.429998,0.086687
0.020000,2.906649,3.397248,0.909703,3.582747,7.569002,2.514404,0.093056
0.020000,2.981007,3.404431,0.984406,3.735179,7.621605,2.630167,0.099520
0.020000,3.058370,3.412412,1.062180,3.888698,7.675937,2.716566,0.106061
0.020000,3.138754,3.421239,1.143047,4.043345,7.732353,2.820847,0.112658
0.020000,3.222172,3.430959,1.227030,4.199156,7.790529,2.908770,0.119292
0.020000,3.308641,3.441617,1.314153,4.356149,7.849678,2.957434,0.125941
0.020000,3.398175,3.453257,1.404441,4.514382,7.911643,3.098254,0.132585
0.020000,3.490790,3.465923,1.497918,4.673865,7.974138,3.124751,0.139201
0.020000,3.586503,3.479656,1.594611,4.834632,8.038380,3.212130,0.145766
0.020000,3.685329,3.494495,1.694545,4.996707,8.103749,3.268417,0.152259
0.020000,3.787287,3.510476,1.797747,5.160117,8.170504,3.337749,0.158656
0.020000,3.892393,3.527635,1.904245,5.324874,8.237834,3.366525,0.164932
0.020000,4.000666,3.546001,2.014065,5.491007,8.306627,3.439650,0.171064
0.020000,4.111393,3.565470,2.126490,5.621252,6.512273,-89.717703,0.176991
0.020000,4.223115,3.585781,2.240043,5.677679,2.821373,-184.544980,0.182620
0.020000,4.335101,3.606773,2.353980,5.696837,0.957853,-93.176028,0.187916
0.020000,4.447352,3.628411,2.468298,5.715867,0.951539,-0.315679,0.192879
0.020000,4.559869,3.650660,2.582993,5.734791,0.946177,-0.268103,0.197511
0.020000,4.672654,3.673487,2.698065,5.753590,0.939944,-0.311665,0.201815
0.020000,4.785710,3.696855,2.813511,5.772285,0.934751,-0.259660,0.205793
0.020000,4.899039,3.720732,2.929328,5.790864,0.928983,-0.288407,0.209446
0.020000,5.012646,3.745082,3.045515,5.809346,0.924084,-0.244951,0.212776
0.020000,5.126534,3.769870,3.162070,5.827727,0.919070,-0.250659,0.215785
0.020000,5.240709,3.795061,3.278990,5.846019,0.914599,-0.223592,0.218474
0.020000,5.355174,3.820620,3.396275,5.864230,0.910529,-0.203458,0.220846
0.020000,5.469937,3.846512,3.513922,5.882363,0.906638,-0.194590,0.222901
0.020000,5.585003,3.872702,3.631931,5.900435,0.903603,-0.151751,0.224640
0.020000,5.700378,3.899155,3.750299,5.918444,0.900468,-0.156754,0.226064
0.020000,5.816070,3.925834,3.869028,5.936413,0.898447,-0.101025,0.227175
0.020000,5.932086,3.952705,3.988115,5.954340,0.896323,-0.106201,0.227973
0.020000,6.048433,3.979731,4.107559,5.972243,0.895191,-0.056591,0.228458
0.020000,6.165120,4.006877,4.227362,5.990129,0.894278,-0.045678,0.228630
0.020000,6.282154,4.034105,4.347522,6.008009,0.894015,-0.013155,0.228490
0.020000,6.399545,4.061380,4.468040,6.025894,0.894234,0.010992,0.228038
0.020000,6.517301,4.088664,4.588916,6.043794,0.895024,0.039485,0.227273
0.020000,6.635432,4.115920,4.710150,6.061718,0.896194,0.058475,0.226195
0.020000,6.753947,4.143110,4.831744,6.079682,0.898193,0.099950,0.224803
0.020000,6.872854,4.170197,4.953698,6.097685,0.900142,0.097454,0.223097
0.020000,6.992165,4.197142,5.076013,6.115752,0.903369,0.161363,0.221075
0.020000,7.111887,4.223905,5.198690,6.133874,0.906104,0.136740,0.218736
0.020000,7.232032,4.250449,5.321732,6.152079,0.910223,0.205979,0.216080
0.020000,7.352608,4.276731,5.445139,6.170358,0.913936,0.185654,0.213104
0.020000,7.473625,4.302712,5.568914,6.188732,0.918699,0.238136,0.209808
0.020000,7.595092,4.328352,5.693058,6.207198,0.923318,0.230933,0.206188
0.020000,7.717019,4.353606,5.817573,6.225769,0.928556,0.261927,0.202245
0.020000,7.839416,4.378435,5.942462,6.244447,0.933907,0.267552,0.197975
0.020000,7.962289,4.402793,6.067727,6.263237,0.939477,0.278489,0.193377
0.020000,8.085649,4.426638,6.193369,6.282142,0.945282,0.290248,0.188448
0.020000,8.209502,4.449924,6.319393,6.301164,0.951052,0.288514,0.183188
0.020000,8.333856,4.472606,6.445799,6.320302,0.956931,0.293936,0.177593
0.020000,8.458718,4.494638,6.572590,6.339557,0.962767,0.291791,0.171662
0.020000,8.584095,4.515973,6.699768,6.358922,0.968251,0.274198,0.165392
0.020000,8.709990,4.536563,6.827336,6.378402,0.973986,0.286736,0.158782
0.020000,8.836409,4.556360,6.955296,6.397973,0.978542,0.227807,0.151830
0.020000,8.963355,4.575313,7.083649,6.417652,0.983941,0.269953,0.144535
0.020000,9.090830,4.593374,7.212397,6.437393,0.987078,0.156871,0.136894
0.020000,9.218835,4.610490,7.341541,6.457225,0.991580,0.225106,0.128908
0.020000,9.347370,4.626611,7.471083,6.477090,0.993232,0.082563,0.120574
0.020000,9.476432,4.641684,7.601023,6.496999,0.995469,0.111848,0.111892
0.020000,9.606020,4.655656,7.731361,6.516917,0.995886,0.020881,0.102863
0.020000,9.736126,4.668474,7.862098,6.536818,0.995072,-0.040694,0.093486
0.020000,9.866745,4.680083,7.993231,6.556689,0.993555,-0.075878,0.083761
0.020000,9.997867,4.690431,8.124761,6.576478,0.989460,-0.204761,0.073691
0.020000,10.129481,4.699462,8.256684,6.596170,0.984581,-0.243904,0.063277
0.020000,10.261573,4.707122,8.388999,6.615717,0.977327,-0.362743,0.052522
0.020000,10.394128,4.713357,8.521700,6.635082,0.968248,-0.453936,0.041428
0.020000,10.527128,4.718112,8.654785,6.654221,0.956977,-0.563530,0.030000
0.020000,10.660551,4.721334,8.788247,6.673091,0.943472,-0.675261,0.018242
0.020000,10.794373,4.722970,8.922079,6.691638,0.927354,-0.805897,0.006161
0.020000,10.928570,4.722968,9.056276,6.709813,0.908745,-0.930448,6.276947
0.020000,11.063110,4.721277,9.190827,6.727570,0.887892,-1.042635,6.264237
0.020000,11.197963,4.717847,9.325724,6.744828,0.862855,-1.251872,6.251226
0.020000,11.333094,4.712630,9.460955,6.761571,0.837192,-1.283128,6.237923
0.020000,11.468465,4.705579,9.596509,6.777699,0.806360,-1.541637,6.224338
0.020000,11.604035,4.696652,9.732373,6.793186,0.774370,-1.599494,6.210482
0.020000,11.739761,4.685806,9.868532,6.807958,0.738590,-1.788978,6.196368
0.020000,11.875598,4.673002,10.004971,6.821954,0.699813,-1.938888,6.182010
0.020000,12.011498,4.658205,10.141674,6.835141,0.659342,-2.023535,6.167421
0.020000,12.147409,4.641383,10.278622,6.847431,0.614493,-2.242453,6.152617
0.020000,12.283280,4.622505,10.415799,6.858809,0.568934,-2.277957,6.137615
0.020000,12.419057,4.601547,10.553183,6.869212,0.520146,-2.439403,6.122431
0.020000,12.553996,4.578609,10.690058,6.843770,-1.272117,-89.613153,6.107162
0.020000,12.686472,4.554010,10.824799,6.737021,-5.337447,-203.266469,6.092007
0.020000,12.815347,4.528072,10.956258,6.572974,-8.202349,-143.245097,6.077120
0.020000,12.940387,4.500983,11.084198,6.397006,-8.798417,-29.803424,6.062549
0.020000,13.061568,4.472897,11.208592,6.219670,-8.866790,-3.418616,6.048317
0.020000,13.178877,4.443966,11.329416,6.041218,-8.922613,-2.791175,6.034444
0.020000,13.292307,4.414338,11.446651,5.861727,-8.974512,-2.594965,6.020949
0.020000,13.401855,4.384163,11.560278,5.681392,-9.016767,-2.112707,6.007846
0.020000,13.507524,4.353585,11.670283,5.500237,-9.057758,-2.049594,5.995149
0.020000,13.609325,4.322742,11.776653,5.318516,-9.086033,-1.413745,5.982869
0.020000,13.707270,4.291773,11.879379,5.136267,-9.112450,-1.320841,5.971013
0.020000,13.801379,4.260807,11.978451,4.953618,-9.132444,-0.999714,5.959590
0.020000,13.891673,4.229971,12.073865,4.770684,-9.146740,-0.714767,5.948605
0.020000,13.978176,4.199386,12.165616,4.587546,-9.156859,-0.505965,5.938061
0.020000,14.060916,4.169167,12.253702,4.404311,-9.161784,-0.246256,5.927960
0.020000,14.139920,4.139424,12.338119,4.220834,-9.173815,-0.601522,5.918304
0.020000,14.215221,4.110262,12.418869,4.037530,-9.165212,0.430149,5.909093
0.020000,14.286849,4.081779,12.495953,3.854200,-9.166505,-0.064679,5.900326
0.020000,14.354839,4.054068,12.569373,3.671003,-9.159839,0.333326,5.892002
0.020000,14.419220,4.027217,12.639129,3.487803,-9.160026,-0.009371,5.884119
0.020000,14.480028,4.001308,12.705227,3.304886,-9.145846,0.709010,5.876674
0.020000,14.537294,3.976417,12.767668,3.122062,-9.141212,0.231711,5.869664
0.020000,14.591050,3.952616,12.826458,2.939465,-9.129809,0.570135,5.863085
0.020000,14.641327,3.929972,12.881599,2.757055,-9.120506,0.465156,5.856935
0.020000,14.688156,3.908546,12.933097,2.574891,-9.108192,0.615680,5.851210
0.020000,14.731563,3.888394,12.980953,2.392830,-9.103095,0.254881,5.845905
0.020000,14.771576,3.869570,13.025173,2.210987,-9.092138,0.547828,5.841019
0.020000,14.808223,3.852120,13.065763,2.029483,-9.075204,0.846717,5.836546
0.020000,14.841525,3.836088,13.102723,1.848019,-9.073171,0.101629,5.832483
0.020000,14.871507,3.821512,13.136060,1.666846,-9.058649,0.726096,5.828828
0.020000,14.898187,3.808426,13.165776,1.485818,-9.051439,0.360497,5.825577
0.020000,14.921585,3.796862,13.191876,1.304996,-9.041056,0.519178,5.822728
0.020000,14.941713,3.786847,13.214359,1.124122,-9.043741,-0.134265,5.820277
0.020000,14.958590,3.778402,13.233230,0.943563,-9.027919,0.791105,5.818224
0.020000,14.972226,3.771548,13.248491,0.763071,-9.024591,0.166413,5.816565
0.020000,14.982630,3.766299,13.260145,0.582702,-9.018447,0.307197,5.815300
0.020000,14.989809,3.762667,13.268190,0.402249,-9.022675,-0.211398,5.814427
0.020000,14.993771,3.760660,13.272631,0.222051,-9.009903,0.638591,5.813946
0.020000,14.995133,3.759969,13.274159,0.076388,-7.283157,86.337322,5.813780
0.020000,14.995319,3.759875,13.274368,0.010434,-3.297697,199.272986,5.813757
0.020000,14.995319,3.759875,13.274368,0.000000,-0.521692,138.800262,5.813757
