dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000000,2.208000,0.000789,0.078947,3.947368,197.368421,6.281608
0.020000,2.000000,2.208000,0.003947,0.236842,7.894737,197.368421,6.282042
0.020000,2.000000,2.208000,0.010263,0.394737,7.894737,0.000000,6.282910
0.020000,2.007468,2.208004,0.019737,0.552632,7.894737,-0.000000,0.001024
0.020000,2.020099,2.208028,0.032368,0.710526,7.894737,0.000000,0.002754
0.020000,2.035889,2.208088,0.048158,0.868421,7.894737,0.000000,0.004911
0.020000,2.054836,2.208206,0.067105,1.026316,7.894737,0.000000,0.007491
0.020000,2.076940,2.208404,0.089211,1.184211,7.894737,-0.000000,0.010490
0.020000,2.102201,2.208713,0.114474,1.342105,7.894737,0.000000,0.013903
0.020000,2.130619,2.209162,0.142895,1.500000,7.894737,0.000000,0.017724
0.020000,2.162191,2.209788,0.174474,1.657895,7.894737,0.000000,0.021945
0.020000,2.196918,2.210631,0.209211,1.815789,7.894737,0.000000,0.026560
0.020000,2.234797,2.211732,0.247105,1.973684,7.894737,0.000000,0.031558
0.020000,2.275825,2.213138,0.288158,2.131579,7.894737,0.000000,0.036930
0.020000,2.320001,2.214897,0.332368,2.289474,7.894737,0.000000,0.042666
0.020000,2.367319,2.217062,0.379737,2.447368,7.894737,-0.000000,0.048754
0.020000,2.417777,2.219686,0.430263,2.605263,7.894737,0.000000,0.055179
0.020000,2.471370,2.222828,0.483947,2.763158,7.894737,-0.000000,0.061929
0.020000,2.528090,2.226547,0.540789,2.921053,7.894737,0.000000,0.068988
0.020000,2.587931,2.230903,0.600789,3.078947,7.894737,0.000000,0.076338
0.020000,2.650886,2.235961,0.663947,3.236842,7.894737,-0.000000,0.083964
0.020000,2.716946,2.241783,0.730263,3.394737,7.894737,0.000000,0.091844
0.020000,2.786100,2.248437,0.799737,3.552632,7.894737,0.000000,0.099961
0.020000,2.858338,2.255987,0.872368,3.710526,7.894737,0.000000,0.108291
0.020000,2.933647,2.264500,0.948158,3.868421,7.894737,-0.000000,0.116813
0.020000,3.012015,2.274043,1.027105,4.026316,7.894737,0.000000,0.125503
0.020000,3.093428,2.284681,1.109211,4.184211,7.894737,0.000000,0.134336
0.020000,3.177871,2.296481,1.194474,4.342105,7.894737,0.000000,0.143287
0.020000,3.265327,2.309504,1.282895,4.500000,7.894737,0.000000,0.152329
0.020000,3.355781,2.323814,1.374474,4.657895,7.894737,0.000000,0.161435
0.020000,3.449214,2.339471,1.469211,4.815789,7.894737,0.000000,0.170575
0.020000,3.545611,2.356532,1.567105,4.973684,7.894737,0.000000,0.179722
0.020000,3.644951,2.375052,1.668158,5.131579,7.894737,0.000000,0.188845
0.020000,3.747219,2.395081,1.772368,5.289474,7.894737,-0.000000,0.197914
0.020000,3.852394,2.416668,1.879737,5.447368,7.894737,0.000000,0.206898
0.020000,3.960460,2.439856,1.990263,5.605263,7.894737,-0.000000,0.215766
0.020000,4.071400,2.464683,2.103947,5.763158,7.894737,0.000000,0.224487
0.020000,4.185197,2.491183,2.220789,5.921053,7.894737,-0.000000,0.233028
0.020000,4.301069,2.519196,2.340000,6.000000,3.947368,-197.368421,0.241305
0.020000,4.417477,2.548336,2.460000,6.000000,0.000000,-197.368421,0.249194
0.020000,4.533658,2.578367,2.580000,6.000000,0.000000,0.000000,0.256641
0.020000,4.649619,2.609238,2.700000,6.000000,0.000000,0.000000,0.263650
0.020000,4.765368,2.640895,2.820000,6.000000,0.000000,0.000000,0.270225
0.020000,4.880913,2.673288,2.940000,6.000000,0.000000,0.000000,0.276369
0.020000,4.996264,2.706366,3.060000,6.000000,0.000000,0.000000,0.282086
0.020000,5.111431,2.740078,3.180000,6.000000,0.000000,0.000000,0.287381
0.020000,5.226425,2.774376,3.300000,6.000000,0.000000,0.000000,0.292256
0.020000,5.341258,2.809209,3.420000,6.000000,0.000000,0.000000,0.296715
0.020000,5.455942,2.844531,3.540000,6.000000,0.000000,0.000000,0.300761
0.020000,5.570489,2.880293,3.660000,6.000000,0.000000,0.000000,0.304397
0.020000,5.684913,2.916447,3.780000,6.000000,0.000000,0.000000,0.307626
0.020000,5.799227,2.952948,3.900000,6.000000,0.000000,0.000000,0.310451
0.020000,5.913444,2.989749,4.020000,6.000000,0.000000,0.000000,0.312874
0.020000,6.027580,3.026804,4.140000,6.000000,0.000000,0.000000,0.314897
0.020000,6.141648,3.064066,4.260000,6.000000,0.000000,0.000000,0.316521
0.020000,6.255663,3.101492,4.380000,6.000000,0.000000,0.000000,0.317749
0.020000,6.369639,3.139034,4.500000,6.000000,0.000000,0.000000,0.318580
0.020000,6.483591,3.176649,4.620000,6.000000,0.000000,0.000000,0.319017
0.020000,6.597535,3.214291,4.740000,6.000000,0.000000,0.000000,0.319058
0.020000,6.711484,3.251916,4.860000,6.000000,0.000000,0.000000,0.318705
0.020000,6.825454,3.289477,4.980000,6.000000,0.000000,0.000000,0.317956
0.020000,6.939459,3.326931,5.100000,6.000000,0.000000,0.000000,0.316812
0.020000,7.053515,3.364231,5.220000,6.000000,0.000000,0.000000,0.315271
0.020000,7.167635,3.401333,5.340000,6.000000,0.000000,0.000000,0.313332
0.020000,7.281834,3.438191,5.460000,6.000000,0.000000,0.000000,0.310993
0.020000,7.396127,3.474759,5.580000,6.000000,0.000000,0.000000,0.308253
0.020000,7.510526,3.510990,5.700000,6.000000,0.000000,0.000000,0.305109
0.020000,7.625047,3.546839,5.820000,6.000000,0.000000,0.000000,0.301558
0.020000,7.739701,3.582257,5.940000,6.000000,0.000000,0.000000,0.297598
0.020000,7.854501,3.617197,6.060000,6.000000,0.000000,0.000000,0.293227
0.020000,7.969461,3.651611,6.180000,6.000000,0.000000,0.000000,0.288439
0.020000,8.084591,3.685450,6.300000,6.000000,0.000000,0.000000,0.283233
0.020000,8.199902,3.718665,6.420000,6.000000,0.000000,0.000000,0.277605
0.020000,8.315405,3.751206,6.540000,6.000000,0.000000,0.000000,0.271550
