dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.998613,1.063001,0.000789,0.078947,3.947368,197.368421,6.281974
0.020000,1.998987,1.063000,0.001164,0.018722,-3.011282,-347.932525,6.282301
0.020000,1.999735,1.063000,0.001912,0.037405,0.934182,197.273194,6.282954
0.020000,2.008093,1.063003,0.010269,0.417864,19.022925,904.437171,0.000747
0.020000,2.022214,1.063023,0.024391,0.706088,14.411231,-230.584689,0.002049
0.020000,2.039861,1.063073,0.042038,0.882327,8.811943,-279.964423,0.003671
0.020000,2.061028,1.063171,0.063205,1.058383,8.802797,-0.457297,0.005610
0.020000,2.085712,1.063338,0.087889,1.234204,8.791039,-0.587915,0.007862
0.020000,2.113906,1.063596,0.116085,1.409763,8.777960,-0.653928,0.010423
0.020000,2.145604,1.063971,0.147785,1.585014,8.762541,-0.770970,0.013287
0.020000,2.180798,1.064495,0.182983,1.759911,8.744862,-0.883950,0.016448
0.020000,2.219480,1.065198,0.221672,1.934427,8.725764,-0.954877,0.019899
0.020000,2.261640,1.066116,0.263842,2.108503,8.703836,-1.096413,0.023633
0.020000,2.307268,1.067286,0.309484,2.282106,8.680123,-1.185642,0.027641
0.020000,2.356350,1.068748,0.358588,2.455191,8.654273,-1.292516,0.031915
0.020000,2.408873,1.070544,0.411142,2.627710,8.625940,-1.416636,0.036444
0.020000,2.464823,1.072718,0.467134,2.799621,8.595571,-1.518474,0.041218
0.020000,2.524184,1.075315,0.526552,2.970879,8.562882,-1.634444,0.046225
0.020000,2.586938,1.078383,0.589381,3.141437,8.527909,-1.748650,0.051454
0.020000,2.653066,1.081969,0.655606,3.311251,8.490704,-1.860261,0.056891
0.020000,2.722547,1.086123,0.725211,3.480274,8.451112,-1.979572,0.062522
0.020000,2.795360,1.090895,0.798180,3.648460,8.409328,-2.089214,0.068333
0.020000,2.871482,1.096334,0.874496,3.815771,8.365540,-2.189384,0.074308
0.020000,2.950886,1.102490,0.954139,3.982150,8.318966,-2.328709,0.080432
0.020000,3.033548,1.109414,1.037090,4.147568,8.270900,-2.403296,0.086687
0.020000,3.119439,1.117155,1.123330,4.311973,8.220248,-2.532588,0.093056
0.020000,3.208531,1.125762,1.212836,4.475332,8.167919,-2.616442,0.099520
0.020000,3.300794,1.135280,1.305588,4.637599,8.113376,-2.727186,0.106061
0.020000,3.396195,1.145756,1.401563,4.798744,8.057233,-2.807115,0.112658
0.020000,3.494703,1.157234,1.500738,4.958730,7.999302,-2.896569,0.119292
