dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.001767,3.394999,0.000789,0.078947,3.947368,197.368421,6.281642
0.020000,2.001150,3.394999,0.001406,0.030829,-2.405907,-317.663786,6.282181
0.020000,2.000340,3.395000,0.002216,0.040482,0.482616,144.426188,0.000072
0.020000,2.007966,3.395007,0.009841,0.381284,17.040105,827.874435,0.001686
0.020000,2.018135,3.395035,0.020011,0.508469,6.359278,-534.041358,0.003837
0.020000,2.030849,3.395101,0.032724,0.635661,6.359582,0.015209,0.006523
0.020000,2.046108,3.395225,0.047984,0.762982,6.366046,0.323191,0.009744
0.020000,2.063914,3.395432,0.065791,0.890381,6.369937,0.194554,0.013497
0.020000,2.084270,3.395750,0.086150,1.017945,6.378219,0.414097,0.017781
0.020000,2.107179,3.396213,0.109063,1.145643,6.384921,0.335097,0.022591
0.020000,2.132642,3.396856,0.134534,1.273550,6.395315,0.519723,0.027926
0.020000,2.160663,3.397721,0.162569,1.401729,6.408989,0.683666,0.033779
0.020000,2.191246,3.398852,0.193172,1.530187,6.422864,0.693779,0.040147
0.020000,2.224395,3.400298,0.226353,1.659022,6.441768,0.945190,0.047022
0.020000,2.260114,3.402111,0.262118,1.788253,6.461533,0.988259,0.054398
0.020000,2.298409,3.404347,0.300478,1.918026,6.488667,1.356660,0.062265
0.020000,2.339286,3.407067,0.341446,2.048363,6.516836,1.408467,0.070613
0.020000,2.382751,3.410334,0.385033,2.179372,6.550472,1.681826,0.079431
0.020000,2.428810,3.414216,0.431256,2.311150,6.588908,1.921755,0.088705
0.020000,2.477473,3.418783,0.480132,2.443802,6.632591,2.184195,0.098420
0.020000,2.528746,3.424108,0.531682,2.577474,6.683574,2.549143,0.108559
0.020000,2.582640,3.430270,0.585926,2.712239,6.738242,2.733385,0.119101
0.020000,2.639163,3.437348,0.642891,2.848258,6.800968,3.136282,0.130025
0.020000,2.698328,3.445426,0.702605,2.985656,6.869897,3.446474,0.141307
0.020000,2.760144,3.454587,0.765096,3.124572,6.945824,3.796329,0.152921
0.020000,2.824624,3.464920,0.830399,3.265149,7.028829,4.150263,0.164837
0.020000,2.891781,3.476514,0.898549,3.407515,7.118309,4.474007,0.177024
0.020000,2.961628,3.489459,0.969586,3.551829,7.215678,4.868437,0.189449
0.020000,3.034180,3.503848,1.043550,3.698217,7.319405,5.186340,0.202074
0.020000,3.109449,3.519773,1.120486,3.846807,7.429510,5.505275,0.214862
0.020000,3.187453,3.537327,1.200441,3.997736,7.546463,5.847649,0.227772
0.020000,3.268207,3.556602,1.283463,4.151114,7.668877,6.120712,0.240760
0.020000,3.351727,3.577689,1.369604,4.307048,7.796714,6.391830,0.253783
0.020000,3.438031,3.600678,1.458917,4.465634,7.929298,6.629195,0.266794
0.020000,3.527135,3.625656,1.551456,4.626953,8.065959,6.833067,0.279745
0.020000,3.619058,3.652709,1.647278,4.791076,8.206149,7.009515,0.292587
0.020000,3.713820,3.681916,1.746439,4.958055,8.348931,7.139079,0.305270
0.020000,3.811441,3.713355,1.848997,5.127933,8.493890,7.247939,0.317744
0.020000,3.911281,3.746870,1.954312,5.265749,6.890819,-80.153547,0.329879
0.020000,4.012031,3.782027,2.061020,5.335371,3.481119,-170.485017,0.341488
0.020000,4.113034,3.818558,2.168427,5.370350,1.748948,-86.608514,0.352486
0.020000,4.214298,3.856412,2.276534,5.405367,1.750850,0.095108,0.362872
0.020000,4.315827,3.895537,2.385341,5.440354,1.749320,-0.076523,0.372647
0.020000,4.417631,3.935878,2.494846,5.475267,1.745680,-0.182000,0.381812
0.020000,4.519718,3.977383,2.605048,5.510060,1.739660,-0.300976,0.390370
0.020000,4.622098,4.019994,2.715942,5.544694,1.731690,-0.398540,0.398323
0.020000,4.724783,4.063657,2.827525,5.579153,1.722917,-0.438610,0.405673
0.020000,4.827787,4.108316,2.939793,5.613419,1.713325,-0.479632,0.412426
0.020000,4.931124,4.153914,3.052743,5.647477,1.702877,-0.522385,0.418583
0.020000,5.034809,4.200393,3.166369,5.681329,1.692636,-0.512043,0.424149
0.020000,5.138861,4.247697,3.280669,5.714982,1.682639,-0.499842,0.429128
0.020000,5.243297,4.295768,3.395637,5.748434,1.672577,-0.503103,0.433522
0.020000,5.348139,4.344548,3.511272,5.781707,1.663645,-0.446629,0.437335
0.020000,5.453408,4.393978,3.627568,5.814814,1.655387,-0.412909,0.440569
