dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000000,2.250000,0.000789,0.078947,3.947368,197.368421,6.281642
0.020000,2.000000,2.250000,0.003947,0.236842,7.894737,197.368421,6.282181
0.020000,2.000423,2.250000,0.010263,0.394737,7.894737,0.000000,0.000072
0.020000,2.009897,2.250008,0.019737,0.552632,7.894737,-0.000000,0.001686
0.020000,2.022529,2.250043,0.032368,0.710526,7.894737,0.000000,0.003837
0.020000,2.038318,2.250125,0.048158,0.868421,7.894737,0.000000,0.006523
0.020000,2.057264,2.250279,0.067105,1.026316,7.894737,0.000000,0.009744
0.020000,2.079368,2.250536,0.089211,1.184211,7.894737,-0.000000,0.013497
0.020000,2.104628,2.250931,0.114474,1.342105,7.894737,0.000000,0.017781
0.020000,2.133044,2.251505,0.142895,1.500000,7.894737,0.000000,0.022591
0.020000,2.164612,2.252302,0.174474,1.657895,7.894737,0.000000,0.027926
0.020000,2.199333,2.253374,0.209211,1.815789,7.894737,0.000000,0.033779
0.020000,2.237201,2.254774,0.247105,1.973684,7.894737,0.000000,0.040147
0.020000,2.278215,2.256563,0.288158,2.131579,7.894737,0.000000,0.047022
0.020000,2.322368,2.258804,0.332368,2.289474,7.894737,0.000000,0.054398
0.020000,2.369656,2.261566,0.379737,2.447368,7.894737,-0.000000,0.062265
0.020000,2.420071,2.264920,0.430263,2.605263,7.894737,0.000000,0.070613
0.020000,2.473604,2.268944,0.483947,2.763158,7.894737,-0.000000,0.079431
0.020000,2.530245,2.273718,0.540789,2.921053,7.894737,0.000000,0.088705
0.020000,2.589982,2.279324,0.600789,3.078947,7.894737,0.000000,0.098420
0.020000,2.652802,2.285849,0.663947,3.236842,7.894737,-0.000000,0.108559
0.020000,2.718688,2.293382,0.730263,3.394737,7.894737,0.000000,0.119101
0.020000,2.787623,2.302014,0.799737,3.552632,7.894737,0.000000,0.130025
0.020000,2.859587,2.311838,0.872368,3.710526,7.894737,0.000000,0.141307
0.020000,2.934557,2.322949,0.948158,3.868421,7.894737,-0.000000,0.152921
0.020000,3.012509,2.335440,1.027105,4.026316,7.894737,0.000000,0.164837
0.020000,3.093417,2.349407,1.109211,4.184211,7.894737,0.000000,0.177024
0.020000,3.177252,2.364945,1.194474,4.342105,7.894737,0.000000,0.189449
0.020000,3.263983,2.382146,1.282895,4.500000,7.894737,0.000000,0.202074
0.020000,3.353578,2.401101,1.374474,4.657895,7.894737,0.000000,0.214862
0.020000,3.446003,2.421900,1.469211,4.815789,7.894737,0.000000,0.227772
0.020000,3.541222,2.444627,1.567105,4.973684,7.894737,0.000000,0.240760
0.020000,3.639200,2.469364,1.668158,5.131579,7.894737,0.000000,0.253783
0.020000,3.739899,2.496187,1.772368,5.289474,7.894737,-0.000000,0.266794
0.020000,3.843281,2.525167,1.879737,5.447368,7.894737,0.000000,0.279745
0.020000,3.949311,2.556370,1.990263,5.605263,7.894737,-0.000000,0.292587
0.020000,4.057951,2.589854,2.103947,5.763158,7.894737,0.000000,0.305270
0.020000,4.169167,2.625671,2.220789,5.921053,7.894737,-0.000000,0.317744
0.020000,4.282180,2.663607,2.340000,6.000000,3.947368,-197.368421,0.329879
0.020000,4.395479,2.703142,2.460000,6.000000,0.000000,-197.368421,0.341488
0.020000,4.508325,2.743956,2.580000,6.000000,0.000000,0.000000,0.352486
0.020000,4.620728,2.785973,2.700000,6.000000,0.000000,0.000000,0.362872
0.020000,4.732701,2.829122,2.820000,6.000000,0.000000,0.000000,0.372647
0.020000,4.844261,2.873329,2.940000,6.000000,0.000000,0.000000,0.381812
0.020000,4.955425,2.918523,3.060000,6.000000,0.000000,0.000000,0.390370
0.020000,5.066212,2.964633,3.180000,6.000000,0.000000,0.000000,0.398323
0.020000,5.176643,3.011589,3.300000,6.000000,0.000000,0.000000,0.405673
0.020000,5.286741,3.059323,3.420000,6.000000,0.000000,0.000000,0.412426
0.020000,5.396528,3.107767,3.540000,6.000000,0.000000,0.000000,0.418583
0.020000,5.506029,3.156853,3.660000,6.000000,0.000000,0.000000,0.424149
0.020000,5.615270,3.206516,3.780000,6.000000,0.000000,0.000000,0.429128
0.020000,5.724277,3.256690,3.900000,6.000000,0.000000,0.000000,0.433522
0.020000,5.833077,3.307311,4.020000,6.000000,0.000000,0.000000,0.437335
0.020000,5.941698,3.358315,4.140000,6.000000,0.000000,0.000000,0.440569
0.020000,6.050169,3.409639,4.260000,6.000000,0.000000,0.000000,0.443228
