dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.998233,1.105001,0.000789,0.078947,3.947368,197.368421,6.281642
0.020000,1.998850,1.105001,0.001406,0.030829,-2.405907,-317.663786,6.282181
0.020000,2.000506,1.105000,0.003062,0.082780,2.597533,250.172026,0.000072
0.020000,2.011827,1.105010,0.014383,0.566076,24.164781,1078.362376,0.001686
0.020000,2.026922,1.105052,0.029478,0.754738,9.433105,-736.583804,0.003837
0.020000,2.045787,1.105149,0.048343,0.943257,9.425970,-0.356743,0.006523
0.020000,2.068421,1.105333,0.070978,1.131766,9.425428,-0.027097,0.009744
0.020000,2.094822,1.105640,0.097381,1.320127,9.418086,-0.367097,0.013497
0.020000,2.124986,1.106112,0.127549,1.508402,9.413755,-0.216530,0.017781
0.020000,2.158909,1.106797,0.161478,1.696462,9.402983,-0.538619,0.022591
0.020000,2.196583,1.107749,0.199165,1.884320,9.392904,-0.503954,0.027926
0.020000,2.238003,1.109027,0.240604,2.071963,9.382140,-0.538190,0.033779
0.020000,2.283157,1.110697,0.285789,2.259269,9.365315,-0.841264,0.040147
0.020000,2.332035,1.112829,0.334714,2.446243,9.348669,-0.832271,0.047022
0.020000,2.384623,1.115498,0.387369,2.632745,9.325107,-1.178131,0.054398
0.020000,2.440903,1.118785,0.443745,2.818809,9.303222,-1.094225,0.062265
0.020000,2.500856,1.122774,0.503830,3.004263,9.272669,-1.527681,0.070613
0.020000,2.564457,1.127555,0.567611,3.189041,9.238937,-1.686580,0.079431
0.020000,2.631680,1.133220,0.635072,3.373042,9.200012,-1.946227,0.088705
0.020000,2.702491,1.139865,0.706195,3.556153,9.155554,-2.222903,0.098420
0.020000,2.776858,1.147589,0.780961,3.738304,9.107588,-2.398340,0.108559
0.020000,2.854736,1.156493,0.859347,3.919304,9.049987,-2.880020,0.119101
0.020000,2.936082,1.166679,0.941329,4.099071,8.988334,-3.082684,0.130025
0.020000,3.020845,1.178251,1.026878,4.277457,8.919291,-3.452137,0.141307
0.020000,3.108969,1.191310,1.115964,4.454327,8.843521,-3.788476,0.152921
0.020000,3.200394,1.205960,1.208555,4.629544,8.760836,-4.134261,0.164837
0.020000,3.295053,1.222301,1.304614,4.802949,8.670285,-4.527558,0.177024
0.020000,3.392876,1.240431,1.404103,4.974429,8.573987,-4.814913,0.189449
0.020000,3.493787,1.260444,1.506979,5.143832,8.470126,-5.193011,0.202074
0.020000,3.597707,1.282430,1.613200,5.311018,8.359335,-5.539583,0.214862
0.020000,3.704553,1.306473,1.722717,5.475880,8.243069,-5.813291,0.227772
0.020000,3.814238,1.332652,1.835483,5.638289,8.120438,-6.131543,0.240760
0.020000,3.926672,1.361038,1.951446,5.798141,7.992616,-6.391083,0.253783
0.020000,4.041766,1.391695,2.070553,5.955342,7.860064,-6.627621,0.266794
0.020000,4.159427,1.424678,2.192749,6.109810,7.723380,-6.834220,0.279745
0.020000,4.279563,1.460031,2.317979,6.261478,7.583403,-6.998825,0.292587
0.020000,4.402081,1.497792,2.446184,6.410288,7.440495,-7.145431,0.305270
0.020000,4.526893,1.537986,2.577308,6.556201,7.295679,-7.240760,0.317744
0.020000,4.653078,1.580344,2.710413,6.655228,4.951338,-117.217063,0.329879
0.020000,4.778928,1.624257,2.843704,6.664559,0.466526,-224.240583,0.341488
0.020000,4.903615,1.669353,2.976296,6.629589,-1.748462,-110.749406,0.352486
0.020000,5.027158,1.715534,3.108188,6.594582,-1.750382,-0.096011,0.362872
0.020000,5.149575,1.762707,3.239379,6.559593,-1.749424,0.047910,0.372647
0.020000,5.270892,1.810779,3.369873,6.524690,-1.745185,0.211913,0.381812
0.020000,5.391133,1.859663,3.499671,6.489907,-1.739127,0.302921,0.390370
0.020000,5.510327,1.909271,3.628777,6.455272,-1.731759,0.368388,0.398323
0.020000,5.628503,1.959521,3.757193,6.420818,-1.722685,0.453737,0.405673
0.020000,5.745694,2.010330,3.884924,6.386562,-1.712803,0.494075,0.412426
0.020000,5.861932,2.061619,4.011974,6.352504,-1.702918,0.494237,0.418583
0.020000,5.977249,2.113312,4.138348,6.318653,-1.692513,0.520276,0.424149
0.020000,6.091679,2.165334,4.264048,6.285010,-1.682170,0.517138,0.429128
0.020000,6.205256,2.217612,4.389079,6.251555,-1.672757,0.470651,0.433522
0.020000,6.318015,2.270074,4.513445,6.218286,-1.663424,0.466653,0.437335
0.020000,6.429989,2.322652,4.637148,6.185185,-1.655073,0.417569,0.440569
0.020000,6.541211,2.375278,4.760193,6.152224,-1.648044,0.351434,0.443228
0.020000,6.651716,2.427886,4.882581,6.119393,-1.641550,0.324706,0.445314
0.020000,6.761535,2.480410,5.004314,6.086659,-1.636701,0.242445,0.446828
0.020000,6.870700,2.532786,5.125394,6.053999,-1.633013,0.184389,0.447771
0.020000,6.979243,2.584951,5.245821,6.021386,-1.630662,0.117551,0.448144
0.020000,7.087194,2.636844,5.365597,5.988790,-1.629770,0.044605,0.447949
