dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.601177,3.344999,0.000789,0.078947,3.947368,197.368421,6.282157
0.020000,1.600935,3.345000,0.001032,0.012134,-3.340660,-364.401400,6.282369
0.020000,1.600450,3.345000,0.001517,0.024257,0.606141,197.340038,6.282793
0.020000,1.603339,3.345000,0.004407,0.144488,6.011562,270.271027,0.000242
0.020000,1.615002,3.345008,0.016070,0.583137,21.932462,796.045017,0.001088
0.020000,1.629582,3.345032,0.030650,0.729013,7.293756,-731.935308,0.002144
0.020000,1.647081,3.345080,0.048149,0.874934,7.296086,0.116495,0.003410
0.020000,1.667499,3.345165,0.068567,1.020907,7.298645,0.127979,0.004883
0.020000,1.690837,3.345299,0.091906,1.166934,7.301337,0.134601,0.006564
0.020000,1.717098,3.345496,0.118167,1.313076,7.307091,0.287693,0.008450
0.020000,1.746283,3.345773,0.147353,1.459300,7.311227,0.206793,0.010540
0.020000,1.778393,3.346148,0.179466,1.605620,7.316002,0.238722,0.012832
0.020000,1.813431,3.346641,0.214507,1.752094,7.323695,0.384694,0.015324
0.020000,1.851399,3.347274,0.252480,1.898652,7.327906,0.210523,0.018013
0.020000,1.892299,3.348070,0.293388,2.045398,7.337292,0.469324,0.020898
0.020000,1.936134,3.349054,0.337234,2.192277,7.343937,0.332251,0.023974
0.020000,1.982905,3.350252,0.384021,2.339334,7.352836,0.444934,0.027240
0.020000,2.032616,3.351692,0.433752,2.486581,7.362357,0.476064,0.030692
0.020000,2.085269,3.353405,0.486433,2.634048,7.373380,0.551124,0.034326
0.020000,2.140867,3.355420,0.542067,2.781715,7.383320,0.496986,0.038139
0.020000,2.199412,3.357771,0.600660,2.929625,7.395488,0.608403,0.042126
0.020000,2.260908,3.360492,0.662216,3.077792,7.408376,0.644394,0.046284
0.020000,2.325357,3.363617,0.726740,3.226223,7.421531,0.657763,0.050606
0.020000,2.392762,3.367182,0.794239,3.374959,7.436830,0.764970,0.055088
0.020000,2.463125,3.371226,0.864719,3.523985,7.451292,0.723102,0.059726
0.020000,2.536450,3.375787,0.938186,3.673354,7.468427,0.856721,0.064512
0.020000,2.612740,3.380905,1.014648,3.823072,7.485914,0.874354,0.069441
0.020000,2.691998,3.386620,1.094111,3.973150,7.503903,0.899481,0.074506
0.020000,2.774225,3.392973,1.176583,4.123608,7.522879,0.948776,0.079702
0.020000,2.859425,3.400006,1.262073,4.274491,7.544170,1.064552,0.085020
0.020000,2.947600,3.407763,1.350589,4.425795,7.565184,1.050729,0.090453
0.020000,3.038753,3.416286,1.442139,4.577545,7.587495,1.115506,0.095993
0.020000,3.132888,3.425619,1.536735,4.729777,7.611636,1.207073,0.101632
0.020000,3.230005,3.435805,1.634385,4.882487,7.635488,1.192601,0.107362
0.020000,3.330107,3.446889,1.735099,5.035720,7.661669,1.309042,0.113173
0.020000,3.433198,3.458914,1.838889,5.189479,7.687932,1.313147,0.119057
0.020000,3.539279,3.471925,1.945765,5.343792,7.715659,1.386371,0.125003
0.020000,3.648352,3.485964,2.055738,5.498678,7.744303,1.432171,0.131001
0.020000,3.759684,3.500974,2.168077,5.616941,5.913123,-91.558993,0.137003
0.020000,3.871799,3.516771,2.281300,5.661129,2.209417,-185.185300,0.142922
0.020000,3.983960,3.533244,2.394664,5.668202,0.353669,-92.787408,0.148717
