dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.325231,2.206454,0.000789,0.078947,3.947368,197.368421,0.012713
0.020000,2.325231,2.206454,0.003947,0.236842,7.894737,197.368421,0.012915
0.020000,2.325231,2.206454,0.010263,0.394737,7.894737,0.000000,0.013317
0.020000,2.328730,2.206503,0.019737,0.552632,7.894737,-0.000000,0.013921
0.020000,2.341360,2.206683,0.032368,0.710526,7.894737,0.000000,0.014724
0.020000,2.357148,2.206924,0.048158,0.868421,7.894737,0.000000,0.015727
0.020000,2.376093,2.207233,0.067105,1.026316,7.894737,0.000000,0.016929
0.020000,2.398195,2.207623,0.089211,1.184211,7.894737,-0.000000,0.018328
0.020000,2.423453,2.208106,0.114474,1.342105,7.894737,0.000000,0.019924
0.020000,2.451868,2.208698,0.142895,1.500000,7.894737,0.000000,0.021714
0.020000,2.483439,2.209415,0.174474,1.657895,7.894737,0.000000,0.023698
0.020000,2.518165,2.210276,0.209211,1.815789,7.894737,0.000000,0.025873
0.020000,2.556046,2.211301,0.247105,1.973684,7.894737,0.000000,0.028237
0.020000,2.597081,2.212512,0.288158,2.131579,7.894737,0.000000,0.030789
0.020000,2.641268,2.213934,0.332368,2.289474,7.894737,0.000000,0.033525
0.020000,2.688608,2.215590,0.379737,2.447368,7.894737,-0.000000,0.036442
0.020000,2.739098,2.217510,0.430263,2.605263,7.894737,0.000000,0.039538
0.020000,2.792736,2.219719,0.483947,2.763158,7.894737,-0.000000,0.042810
0.020000,2.849522,2.222250,0.540789,2.921053,7.894737,0.000000,0.046254
0.020000,2.909452,2.225133,0.600789,3.078947,7.894737,0.000000,0.049866
0.020000,2.972526,2.228400,0.663947,3.236842,7.894737,-0.000000,0.053643
0.020000,3.038739,2.232086,0.730263,3.394737,7.894737,0.000000,0.057579
0.020000,3.108089,2.236226,0.799737,3.552632,7.894737,0.000000,0.061670
0.020000,3.180573,2.240857,0.872368,3.710526,7.894737,0.000000,0.065912
