dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.339788,1.061547,0.000789,0.078947,3.947368,197.368421,0.012713
0.020000,2.340018,1.061550,0.001020,0.011527,-3.371043,-365.920591,0.012915
0.020000,2.340479,1.061556,0.001481,0.023042,0.575765,197.340442,0.013317
0.020000,2.344669,1.061613,0.005671,0.209490,9.322404,437.331953,0.013921
0.020000,2.358218,1.061808,0.019222,0.677565,23.403761,704.067824,0.014724
0.020000,2.375154,1.062065,0.036160,0.846899,8.466680,-746.854031,0.015727
0.020000,2.395475,1.062397,0.056483,1.016171,8.463624,-0.152823,0.016929
0.020000,2.419179,1.062815,0.080191,1.185382,8.460533,-0.154544,0.018328
0.020000,2.446264,1.063333,0.107281,1.354492,8.455485,-0.252377,0.019924
0.020000,2.476729,1.063968,0.137752,1.523566,8.453712,-0.088693,0.021714
0.020000,2.510570,1.064736,0.171602,1.692517,8.447545,-0.308330,0.023698
0.020000,2.547786,1.065659,0.208830,1.861358,8.442079,-0.273326,0.025873
0.020000,2.588373,1.066757,0.249432,2.030103,8.437216,-0.243146,0.028237
0.020000,2.632328,1.068055,0.293406,2.198697,8.429716,-0.374989,0.030789
0.020000,2.679647,1.069577,0.340749,2.367158,8.423072,-0.332205,0.033525
0.020000,2.730325,1.071351,0.391458,2.535452,8.414691,-0.419031,0.036442
0.020000,2.784357,1.073404,0.445529,2.703580,8.406417,-0.413712,0.039538
0.020000,2.841739,1.075769,0.502960,2.871514,8.396694,-0.486132,0.042810
0.020000,2.902464,1.078475,0.563745,3.039272,8.387895,-0.439944,0.046254
0.020000,2.966526,1.081556,0.627881,3.206783,8.375534,-0.618055,0.049866
0.020000,3.033917,1.085047,0.695362,3.374083,8.364981,-0.527677,0.053643
0.020000,3.104630,1.088984,0.766185,3.541140,8.352866,-0.605727,0.057579
0.020000,3.178657,1.093403,0.840344,3.707926,8.339289,-0.678844,0.061670
0.020000,3.255988,1.098343,0.917832,3.874413,8.324349,-0.746991,0.065912
0.020000,3.336613,1.103843,0.998645,4.040635,8.311119,-0.661534,0.070299
0.020000,3.420522,1.109942,1.082775,4.206516,8.294065,-0.852688,0.074826
0.020000,3.507703,1.116683,1.170216,4.372069,8.277649,-0.820821,0.079486
0.020000,3.598144,1.124105,1.260962,4.537265,8.259798,-0.892532,0.084274
