dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.644708,3.352995,0.000789,0.078947,3.947368,197.368421,6.281843
0.020000,1.644342,3.352995,0.001155,0.018291,-3.032808,-349.008839,6.282163
0.020000,1.643611,3.352996,0.001887,0.036567,0.913772,197.329034,6.282802
0.020000,1.648193,3.352997,0.006469,0.229129,9.628126,435.717663,0.000574
0.020000,1.659364,3.353011,0.017640,0.558546,16.470866,342.137040,0.001849
0.020000,1.673330,3.353048,0.031606,0.698278,6.986570,-474.214824,0.003442
0.020000,1.690090,3.353121,0.048367,0.838051,6.988640,0.103507,0.005352
0.020000,1.709648,3.353248,0.067925,0.977922,6.993542,0.245084,0.007576
0.020000,1.732005,3.353446,0.090282,1.117851,6.996456,0.145722,0.010114
0.020000,1.757161,3.353736,0.115440,1.257912,7.003066,0.330505,0.012964
0.020000,1.785120,3.354143,0.143402,1.398089,7.008864,0.289869,0.016123
0.020000,1.815882,3.354692,0.174170,1.538370,7.014031,0.258350,0.019589
0.020000,1.849452,3.355413,0.207747,1.678868,7.024897,0.543328,0.023360
0.020000,1.885830,3.356337,0.244137,1.819498,7.031508,0.330562,0.027432
0.020000,1.925020,3.357498,0.283344,1.960339,7.042051,0.527111,0.031802
0.020000,1.967024,3.358933,0.325372,2.101409,7.053487,0.571797,0.036466
0.020000,2.011845,3.360679,0.370227,2.242750,7.067048,0.678065,0.041419
0.020000,2.059485,3.362778,0.417914,2.384354,7.080217,0.658434,0.046657
0.020000,2.109949,3.365274,0.468439,2.526265,7.095572,0.767747,0.052174
0.020000,2.163238,3.368212,0.521810,2.668514,7.112424,0.842600,0.057964
0.020000,2.219358,3.371639,0.578033,2.811186,7.133582,1.057901,0.064020
0.020000,2.278309,3.375606,0.637118,2.954218,7.151634,0.902634,0.070335
0.020000,2.340095,3.380163,0.699072,3.097722,7.175200,1.178283,0.076902
0.020000,2.404720,3.385364,0.763906,3.241714,7.199606,1.220321,0.083712
0.020000,2.472188,3.391265,0.831631,3.386230,7.225803,1.309850,0.090755
0.020000,2.542500,3.397922,0.902258,3.531338,7.255369,1.478294,0.098022
0.020000,2.615660,3.405393,0.975799,3.677053,7.285738,1.518429,0.105502
0.020000,2.691672,3.413739,1.052267,3.823420,7.318384,1.632287,0.113182
0.020000,2.770539,3.423018,1.131678,3.970526,7.355266,1.844132,0.121052
0.020000,2.852262,3.433294,1.214045,4.118346,7.391002,1.786794,0.129097
0.020000,2.936846,3.444629,1.299384,4.266990,7.432202,2.059980,0.137304
0.020000,3.024293,3.457085,1.387714,4.416485,7.474766,2.128196,0.145657
