dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.778523,23.703665,0.000789,0.078947,3.947368,197.368421,3.656859
0.020000,16.775733,23.702086,0.003995,0.160264,4.065814,5.922262,3.656595
0.020000,16.769714,23.698682,0.010910,0.345753,9.274473,260.432982,3.656072
0.020000,16.760694,23.693587,0.021269,0.517975,8.611111,-33.168123,3.655298
0.020000,16.748682,23.686818,0.035058,0.689412,8.571838,-1.963660,3.654288
0.020000,16.733692,23.678392,0.052254,0.859801,8.519454,-2.619181,3.653059
0.020000,16.715740,23.668333,0.072831,1.028880,8.453946,-3.275408,3.651636
0.020000,16.694849,23.656668,0.096759,1.196386,8.375302,-3.932203,3.650044
0.020000,16.671042,23.643427,0.124000,1.362056,8.283512,-4.589483,3.648316
0.020000,16.644350,23.628643,0.154513,1.525628,8.178572,-5.247010,3.646490
0.020000,16.614807,23.612353,0.188249,1.686837,8.060482,-5.904498,3.644605
0.020000,16.582453,23.594591,0.225158,1.845422,7.929249,-6.561660,3.642709
0.020000,16.547334,23.575398,0.265180,2.001120,7.784884,-7.218232,3.640850
0.020000,16.509499,23.554809,0.308254,2.153668,7.627403,-7.874036,3.639086
0.020000,16.469008,23.532864,0.354310,2.302805,7.456822,-8.529082,3.637474
0.020000,16.425923,23.509597,0.403275,2.448268,7.273151,-9.183516,3.636079
0.020000,16.380318,23.485042,0.455071,2.589796,7.076397,-9.837725,3.634970
0.020000,16.332269,23.459231,0.509613,2.727127,6.866552,-10.492249,3.634221
0.020000,16.281865,23.432188,0.566813,2.859999,6.643598,-11.147687,3.633908
0.020000,16.229201,23.403937,0.626576,2.988149,6.407506,-11.804595,3.634115
0.020000,16.174382,23.374494,0.688803,3.111314,6.158244,-12.463095,3.634929
0.020000,16.117520,23.343869,0.753387,3.229229,5.895794,-13.122528,3.636441
0.020000,16.058739,23.312067,0.820220,3.341633,5.620177,-13.780821,3.638747
0.020000,15.998173,23.279083,0.889185,3.448263,5.331505,-14.433645,3.641949
0.020000,15.935965,23.244906,0.960162,3.548864,5.030037,-15.073376,3.646152
0.020000,15.872272,23.209518,1.033026,3.643190,4.716283,-15.687688,3.651465
0.020000,15.802826,23.170871,1.112502,3.973783,16.529692,590.670451,3.644558
0.020000,15.714467,23.123021,1.212985,5.024157,52.518674,1799.449095,3.631265
0.020000,15.622056,23.074590,1.317318,5.216646,9.624455,-2144.710980,3.617367
0.020000,15.525530,23.025736,1.425503,5.409239,9.629670,0.260752,3.602864
0.020000,15.424832,22.976630,1.537537,5.601705,9.623270,-0.319988,3.587756
0.020000,15.319906,22.927449,1.653417,5.794008,9.615160,-0.405476,3.572047
0.020000,15.210708,22.878381,1.773132,5.985756,9.587423,-1.386847,3.555747
0.020000,15.097201,22.829624,1.896668,6.176813,9.552830,-1.729675,3.538867
0.020000,14.979353,22.781381,2.024008,6.367004,9.509551,-2.163961,3.521423
0.020000,14.857148,22.733865,2.155126,6.555875,9.443555,-3.299791,3.503438
0.020000,14.730580,22.687291,2.289992,6.743287,9.370574,-3.649061,3.484937
0.020000,14.599655,22.641882,2.428568,6.928800,9.275685,-4.744425,3.465954
0.020000,14.465287,22.598142,2.569875,7.065383,6.829130,-122.327749,3.446653
0.020000,14.329320,22.556769,2.711998,7.106113,2.036498,-239.631607,3.427330
0.020000,14.192738,22.518065,2.853958,7.097997,-0.405817,-122.115736,3.408149
0.020000,14.055641,22.482028,2.995712,7.087712,-0.514203,-5.419304,3.389148
0.020000,13.918125,22.448646,3.137221,7.075471,-0.612074,-4.893544,3.370360
0.020000,13.780289,22.417898,3.278446,7.061224,-0.712353,-5.013965,3.351822
0.020000,13.642226,22.389756,3.419348,7.045099,-0.806257,-4.695190,3.333565
0.020000,13.504027,22.364183,3.559892,7.027231,-0.893409,-4.357593,3.315620
0.020000,13.365782,22.341135,3.700046,7.007661,-0.978462,-4.252676,3.298018
0.020000,13.227575,22.320560,3.839776,6.986541,-1.056026,-3.878211,3.280784
0.020000,13.089483,22.302402,3.979056,6.963996,-1.127237,-3.560515,3.263944
0.020000,12.951583,22.286598,4.117859,6.940155,-1.192050,-3.240646,3.247521
