dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.650087,25.696335,0.000789,0.078947,3.947368,197.368421,3.656859
0.020000,15.647824,25.695054,0.003390,0.130038,2.554547,-69.641072,3.656595
0.020000,15.642848,25.692239,0.009107,0.285826,7.789376,261.741455,3.656072
0.020000,15.635370,25.688016,0.017695,0.429393,7.178362,-30.550707,3.655298
0.020000,15.625374,25.682383,0.029170,0.573746,7.217634,1.963626,3.654288
0.020000,15.612836,25.675335,0.043552,0.719146,7.270018,2.619172,3.653059
0.020000,15.597729,25.666870,0.060870,0.865857,7.335525,3.275340,3.651636
0.020000,15.580019,25.656982,0.081152,1.014140,7.414168,3.932168,3.650044
0.020000,15.559670,25.645664,0.104438,1.164259,7.505957,4.589465,3.648316
0.020000,15.536637,25.632907,0.130767,1.316477,7.610898,5.247012,3.646490
0.020000,15.510873,25.618700,0.160188,1.471057,7.728988,5.904528,3.644605
0.020000,15.482327,25.603029,0.192753,1.628261,7.860222,6.561708,3.642709
0.020000,15.450941,25.585876,0.228521,1.788353,8.004588,7.218295,3.640850
0.020000,15.416657,25.567220,0.267552,1.951594,8.162071,7.874134,3.639086
0.020000,15.379410,25.547033,0.309917,2.118248,8.332655,8.529181,3.637474
0.020000,15.339136,25.525284,0.355689,2.288574,8.516327,9.183622,3.636079
0.020000,15.295766,25.501933,0.404946,2.462836,8.713083,9.837803,3.634970
0.020000,15.249230,25.476934,0.457771,2.641294,8.922928,10.492259,3.634221
0.020000,15.199457,25.450230,0.514256,2.824212,9.145881,11.147619,3.633908
0.020000,15.146375,25.421755,0.574493,3.011851,9.381968,11.804366,3.634115
0.020000,15.089914,25.391430,0.638582,3.204476,9.631221,12.462654,3.634929
0.020000,15.030004,25.359163,0.706629,3.402349,9.893657,13.121795,3.636441
0.020000,14.966577,25.324847,0.778744,3.605734,10.169251,13.779688,3.638747
0.020000,14.899572,25.288355,0.855042,3.814892,10.457891,14.432011,3.641949
0.020000,14.828930,25.249544,0.935643,4.030078,10.759313,15.071099,3.646152
0.020000,14.754601,25.208246,1.020674,4.251538,11.073004,15.684573,3.651465
0.020000,14.698987,25.177271,1.084332,3.182912,-53.431293,-3225.214876,3.644558
0.020000,14.637396,25.143917,1.154375,3.502138,15.961290,3469.629144,3.631265
0.020000,14.573174,25.110258,1.226883,3.625387,6.162462,-489.941386,3.617367
0.020000,14.506282,25.076403,1.301855,3.748586,6.159963,-0.124966,3.602864
0.020000,14.436680,25.042461,1.379291,3.871835,6.162421,0.122934,3.587756
0.020000,14.364326,25.008546,1.459199,3.995410,6.178780,0.817943,3.572047
0.020000,14.289176,24.974778,1.541587,4.119387,6.198824,1.002193,3.555747
0.020000,14.211186,24.941277,1.626468,4.244058,6.233558,1.736684,3.538867
0.020000,14.130306,24.908167,1.713863,4.369735,6.283836,2.513932,3.521423
0.020000,14.046488,24.875576,1.803795,4.496576,6.342060,2.911158,3.503438
0.020000,13.959678,24.843633,1.896294,4.624993,6.420859,3.939993,3.484937
0.020000,13.869825,24.812469,1.991399,4.755224,6.511541,4.534068,3.465954
0.020000,13.777484,24.782411,2.088508,4.855478,5.012706,-74.941719,3.446653
0.020000,13.683850,24.753919,2.186382,4.893655,1.908824,-155.194117,3.427330
0.020000,13.589527,24.727191,2.284419,4.901853,0.409905,-74.945958,3.408149
0.020000,13.494513,24.702216,2.382660,4.912071,0.510911,5.050302,3.389148
0.020000,13.398805,24.678984,2.481147,4.924369,0.614910,5.199957,3.370360
0.020000,13.302402,24.657480,2.579919,4.938599,0.711481,4.828542,3.351822
0.020000,13.205305,24.637689,2.679013,4.954706,0.805372,4.694538,3.333565
0.020000,13.107512,24.619594,2.778466,4.972620,0.895710,4.516926,3.315620
0.020000,13.009028,24.603175,2.878310,4.992185,0.978224,4.125684,3.298018
0.020000,12.909854,24.588413,2.978576,5.013303,1.055921,3.884873,3.280784
0.020000,12.809997,24.575283,3.079293,5.035852,1.127433,3.575590,3.263944
0.020000,12.709461,24.563762,3.180487,5.059700,1.192417,3.249182,3.247521
0.020000,12.608253,24.553823,3.282181,5.084720,1.250990,2.928661,3.231534
