dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.120233,23.174793,0.000793,0.079268,3.963415,198.170732,3.674202
0.020000,16.119737,23.174501,0.001368,0.028769,-2.524956,-324.418516,3.673699
0.020000,16.118745,23.173918,0.002519,0.057564,1.439746,198.235073,3.672694
0.020000,16.110827,23.169276,0.011697,0.458907,20.067126,931.369023,3.671184
0.020000,16.097880,23.161715,0.026690,0.749650,14.537169,-276.497837,3.669166
0.020000,16.081669,23.152297,0.045439,0.937407,9.387836,-257.466688,3.666637
0.020000,16.062171,23.141042,0.067952,1.125673,9.413314,1.273923,3.663591
0.020000,16.039368,23.127979,0.094232,1.313999,9.416317,0.150124,3.660023
0.020000,16.013230,23.113138,0.124289,1.502856,9.442816,1.324956,3.655926
0.020000,15.983728,23.096558,0.158131,1.692089,9.461687,0.943562,3.651292
0.020000,15.950828,23.078280,0.195767,1.881813,9.486187,1.225007,3.646114
0.020000,15.914493,23.058352,0.237208,2.072046,9.511638,1.272546,3.640382
0.020000,15.874681,23.036827,0.282467,2.262943,9.544844,1.660292,3.634085
0.020000,15.831348,23.013766,0.331554,2.454334,9.569565,1.236059,3.627214
0.020000,15.784447,22.989236,0.384482,2.646440,9.605296,1.786560,3.619757
0.020000,15.733928,22.963310,0.441266,2.839166,9.636311,1.550720,3.611702
0.020000,15.679737,22.936070,0.501918,3.032592,9.671310,1.749963,3.603038
0.020000,15.621819,22.907604,0.566453,3.226748,9.707796,1.824321,3.593752
0.020000,15.560118,22.878011,0.634884,3.421572,9.741206,1.670475,3.583831
0.020000,15.494571,22.847396,0.707228,3.617192,9.780973,1.988367,3.573264
0.020000,15.425122,22.815875,0.783495,3.813363,9.808549,1.378799,3.562038
0.020000,15.351709,22.783574,0.863700,4.010259,9.844826,1.813839,3.550143
0.020000,15.274274,22.750627,0.947853,4.207655,9.869801,1.248743,3.537568
0.020000,15.192758,22.717181,1.035964,4.405527,9.893595,1.189699,3.524306
0.020000,15.107103,22.683392,1.128043,4.603942,9.920726,1.356579,3.510348
0.020000,15.017259,22.649427,1.224092,4.802468,9.926309,0.279133,3.495691
0.020000,14.923178,22.615465,1.324116,5.001185,9.935848,0.476966,3.480333
0.020000,14.824819,22.581696,1.428110,5.199695,9.925486,-0.518135,3.464275
0.020000,14.722147,22.548318,1.536071,5.398054,9.917966,-0.375971,3.447523
0.020000,14.615138,22.515543,1.647987,5.595790,9.886798,-1.558414,3.430086
0.020000,14.503781,22.483588,1.763838,5.792581,9.839546,-2.362614,3.411980
0.020000,14.388072,22.452682,1.883604,5.988271,9.784490,-2.752779,3.393225
0.020000,14.268026,22.423057,2.007251,6.182359,9.704425,-4.003254,3.373848
0.020000,14.143670,22.394952,2.134743,6.374619,9.613007,-4.570928,3.353883
0.020000,14.015051,22.368608,2.266032,6.564456,9.491846,-6.058038,3.333370
0.020000,13.882230,22.344266,2.401065,6.751650,9.359675,-6.608550,3.312357
0.020000,13.745291,22.322163,2.539777,6.935583,9.196665,-8.150507,3.290901
0.020000,13.604332,22.302533,2.682096,7.115959,9.018779,-8.894262,3.269062
0.020000,13.459471,22.285599,2.827943,7.292350,8.819586,-9.959687,3.246912
0.020000,13.310845,22.271571,2.977231,7.464365,8.600734,-10.942575,3.224526
0.020000,13.158603,22.260647,3.129864,7.631676,8.365567,-11.758365,3.201986
0.020000,13.003858,22.253040,3.284795,7.746567,5.744545,-131.051096,3.179517
0.020000,12.848666,22.248871,3.440043,7.762401,0.791688,-247.642823,3.157463
0.020000,12.694109,22.248082,3.594602,7.727951,-1.722480,-125.708418,3.136012
0.020000,12.540307,22.250548,3.748425,7.691104,-1.842354,-5.993687,3.115204
0.020000,12.387364,22.256133,3.901469,7.652211,-1.944694,-5.117020,3.095076
0.020000,12.235374,22.264696,4.053701,7.611590,-2.031045,-4.317526,3.075657
0.020000,12.084412,22.276090,4.205092,7.569549,-2.102033,-3.549401,3.056973
0.020000,11.934544,22.290165,4.355619,7.526377,-2.158613,-2.829002,3.039043
0.020000,11.785821,22.306769,4.505266,7.482349,-2.201392,-2.138959,3.021883
0.020000,11.638283,22.325751,4.654020,7.437714,-2.231739,-1.517343,3.005502
0.020000,11.491958,22.346961,4.801874,7.392695,-2.250982,-0.962152,2.989908
0.020000,11.346866,22.370248,4.948824,7.347472,-2.261128,-0.507333,2.975104
0.020000,11.203015,22.395468,5.094868,7.302238,-2.261712,-0.029200,2.961090
0.020000,11.060407,22.422477,5.240011,7.257128,-2.255499,0.310687,2.947864
0.020000,10.919038,22.451135,5.384256,7.212253,-2.243757,0.587063,2.935422
0.020000,10.778895,22.481308,5.527610,7.167702,-2.227526,0.811542,2.923758
0.020000,10.639962,22.512863,5.670082,7.123576,-2.206325,1.060059,2.912865
0.020000,10.502218,22.545675,5.811680,7.079902,-2.183653,1.133622,2.902736
0.020000,10.365639,22.579620,5.952414,7.036718,-2.159215,1.221899,2.893360
0.020000,10.230197,22.614580,6.092295,6.994069,-2.132455,1.337975,2.884730
0.020000,10.095862,22.650441,6.231334,6.951922,-2.107375,1.254019,2.876836
0.020000,9.962604,22.687091,6.369540,6.910309,-2.080648,1.336333,2.869668
0.020000,9.830391,22.724425,6.506924,6.869188,-2.056048,1.230031,2.863219
0.020000,9.699187,22.762337,6.643495,6.828544,-2.032168,1.193966,2.857481
0.020000,9.568962,22.800729,6.779262,6.788344,-2.009991,1.108850,2.852444
0.020000,9.439680,22.839502,6.914232,6.748544,-1.989999,0.999602,2.848102
0.020000,9.311309,22.878561,7.048415,6.709105,-1.971953,0.902319,2.844450
0.020000,9.183815,22.917816,7.181814,6.669973,-1.956629,0.766223,2.841481
0.020000,9.057168,22.957174,7.314436,6.631097,-1.943792,0.641805,2.839191
0.020000,8.931337,22.996549,7.446284,6.592422,-1.933760,0.501637,2.837577
0.020000,8.806291,23.035854,7.577362,6.553888,-1.926684,0.353805,2.836635
0.020000,8.682002,23.075003,7.707671,6.515439,-1.922441,0.212144,2.836366
0.020000,8.558443,23.113913,7.837211,6.477014,-1.921264,0.058860,2.836767
0.020000,8.435590,23.152502,7.965982,6.438551,-1.923154,-0.094517,2.837841
0.020000,8.313419,23.190687,8.093982,6.399996,-1.927723,-0.228469,2.839587
0.020000,8.191908,23.228388,8.221208,6.361280,-1.935819,-0.404790,2.842010
0.020000,8.071037,23.265525,8.347655,6.322362,-1.945928,-0.505425,2.845113
0.020000,7.950789,23.302018,8.473318,6.283164,-1.959856,-0.696413,2.848901
0.020000,7.831148,23.337787,8.598191,6.243661,-1.975175,-0.765956,2.853378
0.020000,7.712102,23.372754,8.722267,6.203775,-1.994282,-0.955373,2.858552
0.020000,7.593638,23.406840,8.845537,6.163495,-2.014022,-0.987005,2.864430
0.020000,7.475749,23.439966,8.967992,6.122745,-2.037505,-1.174130,2.871019
0.020000,7.358427,23.472055,9.089622,6.081536,-2.060444,-1.146945,2.878329
0.020000,7.241670,23.503029,9.210418,6.039800,-2.086787,-1.317143,2.886367
0.020000,7.125475,23.532810,9.330370,5.997558,-2.112086,-1.264953,2.895143
0.020000,7.009842,23.561323,9.449465,5.954788,-2.138504,-1.320886,2.904666
0.020000,6.894776,23.588490,9.567695,5.911495,-2.164646,-1.307140,2.914945
0.020000,6.780281,23.614238,9.685050,5.867732,-2.188185,-1.176920,2.925988
0.020000,6.666364,23.638491,9.801520,5.823496,-2.211762,-1.178862,2.937804
0.020000,6.553035,23.661176,9.917097,5.778867,-2.231473,-0.985527,2.950400
0.020000,6.440304,23.682223,10.031776,5.733933,-2.246689,-0.760834,2.963780
0.020000,6.328184,23.701562,10.145551,5.688770,-2.258151,-0.573075,2.977949
0.020000,6.216689,23.719125,10.258422,5.643511,-2.262983,-0.241635,2.992909
0.020000,6.105832,23.734848,10.370388,5.598305,-2.260283,0.135028,3.008658
0.020000,5.995629,23.748667,10.481454,5.553332,-2.248635,0.582404,3.025192
0.020000,5.886093,23.760523,10.591630,5.508780,-2.227589,1.052287,3.042505
0.020000,5.777239,23.770360,10.700928,5.464884,-2.194798,1.639566,3.060584
0.020000,5.669079,23.778124,10.809366,5.421898,-2.149322,2.273809,3.079414
0.020000,5.561625,23.783768,10.916967,5.380097,-2.090063,2.962954,3.098975
0.020000,5.454886,23.787244,11.023763,5.339772,-2.016251,3.690553,3.119239
0.020000,5.343266,23.788741,11.135394,5.581532,12.088027,705.213930,3.132488
