dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.538822,24.161194,0.000793,0.079268,3.963415,198.170732,3.674202
0.020000,15.538822,24.161194,0.003963,0.237805,7.926829,198.170732,3.673699
0.020000,15.538822,24.161194,0.010305,0.396341,7.926829,0.000000,3.672694
0.020000,15.532396,24.157427,0.019817,0.554878,7.926829,0.000000,3.671184
0.020000,15.521444,24.151031,0.032500,0.713415,7.926829,-0.000000,3.669166
0.020000,15.507737,24.143067,0.048354,0.871951,7.926829,0.000000,3.666637
0.020000,15.491259,24.133556,0.067378,1.030488,7.926829,-0.000000,3.663591
0.020000,15.472000,24.122524,0.089573,1.189024,7.926829,0.000000,3.660023
0.020000,15.449942,24.109999,0.114939,1.347561,7.926829,0.000000,3.655926
0.020000,15.425065,24.096018,0.143476,1.506098,7.926829,0.000000,3.651292
0.020000,15.397348,24.080620,0.175183,1.664634,7.926829,-0.000000,3.646114
0.020000,15.366768,24.063848,0.210061,1.823171,7.926829,0.000000,3.640382
0.020000,15.333298,24.045752,0.248110,1.981707,7.926829,-0.000000,3.634085
0.020000,15.296910,24.026387,0.289329,2.140244,7.926829,0.000000,3.627214
0.020000,15.257575,24.005814,0.333720,2.298780,7.926829,0.000000,3.619757
0.020000,15.215261,23.984098,0.381280,2.457317,7.926829,0.000000,3.611702
0.020000,15.169934,23.961314,0.432012,2.615854,7.926829,0.000000,3.603038
0.020000,15.121559,23.937538,0.485915,2.774390,7.926829,-0.000000,3.593752
0.020000,15.070099,23.912858,0.542988,2.932927,7.926829,0.000000,3.583831
0.020000,15.015516,23.887363,0.603232,3.091463,7.926829,-0.000000,3.573264
0.020000,14.957771,23.861154,0.666646,3.250000,7.926829,0.000000,3.562038
0.020000,14.896824,23.834338,0.733232,3.408537,7.926829,0.000000,3.550143
0.020000,14.832637,23.807028,0.802988,3.567073,7.926829,0.000000,3.537568
0.020000,14.765170,23.779346,0.875915,3.725610,7.926829,-0.000000,3.524306
0.020000,14.694382,23.751421,0.952012,3.884146,7.926829,0.000000,3.510348
0.020000,14.620236,23.723391,1.031280,4.042683,7.926829,0.000000,3.495691
0.020000,14.542695,23.695399,1.113720,4.201220,7.926829,-0.000000,3.480333
0.020000,14.461726,23.667600,1.199329,4.359756,7.926829,0.000000,3.464275
0.020000,14.377296,23.640153,1.288110,4.518293,7.926829,-0.000000,3.447523
0.020000,14.289377,23.613224,1.380061,4.676829,7.926829,0.000000,3.430086
0.020000,14.197946,23.586988,1.475183,4.835366,7.926829,-0.000000,3.411980
0.020000,14.102984,23.561623,1.573476,4.993902,7.926829,0.000000,3.393225
0.020000,14.004478,23.537314,1.674939,5.152439,7.926829,-0.000000,3.373848
0.020000,13.902419,23.514248,1.779573,5.310976,7.926829,0.000000,3.353883
0.020000,13.796810,23.492617,1.887378,5.469512,7.926829,0.000000,3.333370
0.020000,13.687654,23.472612,1.998354,5.628049,7.926829,-0.000000,3.312357
0.020000,13.574968,23.454424,2.112500,5.786585,7.926829,0.000000,3.290901
0.020000,13.458775,23.438243,2.229817,5.945122,7.926829,-0.000000,3.269062
0.020000,13.339104,23.424254,2.350305,6.103659,7.926829,0.000000,3.246912
0.020000,13.215995,23.412636,2.473963,6.262195,7.926829,0.000000,3.224526
0.020000,13.089494,23.403560,2.600793,6.420732,7.926829,0.000000,3.201986
0.020000,12.960445,23.397217,2.730000,6.500000,3.963415,-198.170732,3.179517
0.020000,12.830495,23.393727,2.860000,6.500000,0.000000,-198.170732,3.157463
0.020000,12.700499,23.393065,2.990000,6.500000,0.000000,0.000000,3.136012
0.020000,12.570518,23.395150,3.120000,6.500000,0.000000,0.000000,3.115204
0.020000,12.440607,23.399895,3.250000,6.500000,0.000000,0.000000,3.095076
0.020000,12.310815,23.407208,3.380000,6.500000,0.000000,0.000000,3.075657
0.020000,12.181186,23.416993,3.510000,6.500000,0.000000,0.000000,3.056973
0.020000,12.051757,23.429149,3.640000,6.500000,0.000000,0.000000,3.039043
0.020000,11.922562,23.443575,3.770000,6.500000,0.000000,0.000000,3.021883
0.020000,11.793626,23.460165,3.900000,6.500000,0.000000,0.000000,3.005502
0.020000,11.664972,23.478814,4.030000,6.500000,0.000000,0.000000,2.989908
0.020000,11.536616,23.499416,4.160000,6.500000,0.000000,0.000000,2.975104
0.020000,11.408571,23.521866,4.290000,6.500000,0.000000,0.000000,2.961090
0.020000,11.280842,23.546058,4.420000,6.500000,0.000000,0.000000,2.947864
0.020000,11.153435,23.571886,4.550000,6.500000,0.000000,0.000000,2.935422
0.020000,11.026348,23.599249,4.680000,6.500000,0.000000,0.000000,2.923758
0.020000,10.899577,23.628043,4.810000,6.500000,0.000000,0.000000,2.912865
0.020000,10.773116,23.658167,4.940000,6.500000,0.000000,0.000000,2.902736
0.020000,10.646955,23.689524,5.070000,6.500000,0.000000,0.000000,2.893360
0.020000,10.521081,23.722015,5.200000,6.500000,0.000000,0.000000,2.884730
0.020000,10.395480,23.755545,5.330000,6.500000,0.000000,0.000000,2.876836
0.020000,10.270135,23.790019,5.460000,6.500000,0.000000,0.000000,2.869668
