dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.957411,25.147594,0.000793,0.079268,3.963415,198.170732,3.674202
0.020000,14.957906,25.147886,0.001368,0.028769,-2.524956,-324.418516,3.673699
0.020000,14.958899,25.148470,0.002519,0.057564,1.439746,198.235073,3.672694
0.020000,14.953964,25.145578,0.008239,0.285994,11.421502,499.087809,3.671184
0.020000,14.945007,25.140347,0.018612,0.518636,11.632080,10.528889,3.669166
0.020000,14.933804,25.133838,0.031568,0.647828,6.459596,-258.624194,3.666637
0.020000,14.920347,25.126070,0.047107,0.776905,6.453847,-0.287464,3.663591
0.020000,14.904633,25.117068,0.065216,0.905466,6.428066,-1.289005,3.660023
0.020000,14.886654,25.106860,0.085891,1.033748,6.414096,-0.698506,3.655926
0.020000,14.866402,25.095479,0.109122,1.161560,6.390593,-1.175183,3.651292
0.020000,14.843868,25.082959,0.134900,1.288897,6.366864,-1.186429,3.646114
0.020000,14.819043,25.069344,0.163214,1.415695,6.339907,-1.347836,3.640382
0.020000,14.791915,25.054676,0.194054,1.541988,6.314631,-1.263815,3.634085
0.020000,14.762472,25.039008,0.227406,1.667594,6.280292,-1.716951,3.627214
0.020000,14.730703,25.022392,0.263258,1.792605,6.250586,-1.485309,3.619757
0.020000,14.696594,25.004887,0.301596,1.916911,6.215307,-1.763924,3.611702
0.020000,14.660131,24.986558,0.342406,2.040531,6.180966,-1.717080,3.603038
0.020000,14.621299,24.967473,0.385676,2.163462,6.146570,-1.719786,3.593752
0.020000,14.580081,24.947704,0.431389,2.285660,6.109914,-1.832801,3.583831
0.020000,14.536460,24.927330,0.479533,2.407227,6.078304,-1.580524,3.573264
0.020000,14.490420,24.906433,0.530094,2.528037,6.040545,-1.887936,3.562038
0.020000,14.441940,24.885102,0.583060,2.648275,6.011899,-1.432292,3.550143
0.020000,14.391001,24.863428,0.638417,2.767888,5.980644,-1.562755,3.537568
0.020000,14.337583,24.841511,0.696157,2.886993,5.955260,-1.269172,3.524306
0.020000,14.281661,24.819450,0.756273,3.005806,5.940625,-0.731752,3.510348
0.020000,14.223213,24.797354,0.818759,3.124259,5.922658,-0.898352,3.495691
0.020000,14.162212,24.775334,0.883612,3.242668,5.920420,-0.111912,3.480333
0.020000,14.098633,24.753505,0.950834,3.361086,5.920944,0.026185,3.464275
0.020000,14.032445,24.731987,1.020432,3.479920,5.941669,1.036267,3.447523
0.020000,13.963615,24.710906,1.092418,3.599285,5.968253,1.329174,3.430086
0.020000,13.892112,24.690387,1.166807,3.719453,6.008430,2.008879,3.411980
0.020000,13.817897,24.670564,1.243624,3.840858,6.070236,3.090271,3.393225
0.020000,13.740930,24.651570,1.322899,3.963761,6.145162,3.746322,3.373848
0.020000,13.661169,24.633544,1.404672,4.088646,6.244210,4.952395,3.353883
0.020000,13.578568,24.616626,1.488988,4.215793,6.357373,5.658127,3.333370
0.020000,13.493077,24.600958,1.575903,4.345750,6.497867,7.024731,3.312357
0.020000,13.404645,24.586685,1.665479,4.478819,6.653423,7.777811,3.290901
0.020000,13.313217,24.573954,1.757789,4.615497,6.833925,9.025079,3.269062
0.020000,13.218737,24.562910,1.852913,4.756176,7.033928,10.000169,3.246912
0.020000,13.121146,24.553701,1.950937,4.901220,7.252191,10.913116,3.224526
0.020000,13.020385,24.546472,2.051957,5.050972,7.487604,11.770647,3.201986
0.020000,12.917033,24.541393,2.155434,5.173882,6.145504,-67.104991,3.179517
0.020000,12.812324,24.538582,2.260181,5.237312,3.171496,-148.700393,3.157463
0.020000,12.706889,24.538047,2.365617,5.271805,1.724662,-72.341721,3.136012
0.020000,12.600730,24.539751,2.471790,5.308657,1.842612,5.897523,3.115204
0.020000,12.493850,24.543656,2.578741,5.347562,1.945238,5.131317,3.095076
0.020000,12.386257,24.549720,2.686505,5.388199,2.031856,4.330905,3.075657
0.020000,12.277960,24.557896,2.795110,5.430258,2.102957,3.555051,3.056973
0.020000,12.168971,24.568134,2.904579,5.473444,2.159268,2.815511,3.039043
0.020000,12.059303,24.580380,3.014929,5.517486,2.202135,2.143366,3.021883
0.020000,11.948969,24.594578,3.126172,5.562139,2.232627,1.524588,3.005502
0.020000,11.837986,24.610667,3.238315,5.607179,2.251998,0.968552,2.989908
0.020000,11.726367,24.628584,3.351363,5.652400,2.261054,0.452791,2.975104
0.020000,11.614126,24.648264,3.465316,5.697650,2.262503,0.072475,2.961090
0.020000,11.501277,24.669638,3.580172,5.742781,2.256542,-0.298040,2.947864
0.020000,11.387831,24.692637,3.695925,5.787668,2.244374,-0.608420,2.935422
0.020000,11.273800,24.717190,3.812569,5.832213,2.227250,-0.856218,2.923758
0.020000,11.159192,24.743222,3.930097,5.876364,2.207528,-0.986060,2.912865
0.020000,11.044015,24.770660,4.048498,5.920047,2.184149,-1.168982,2.902736
0.020000,10.928272,24.799427,4.167762,5.963226,2.158934,-1.260747,2.893360
0.020000,10.811966,24.829449,4.287880,6.005902,2.133832,-1.255091,2.884730
0.020000,10.695098,24.860648,4.408841,6.048037,2.106718,-1.355709,2.876836
0.020000,10.577665,24.892947,4.530634,6.089668,2.081574,-1.257211,2.869668
0.020000,10.459664,24.926268,4.653250,6.130790,2.056118,-1.272799,2.863219
0.020000,10.341086,24.960533,4.776679,6.171439,2.032414,-1.185175,2.857481
0.020000,10.221924,24.995664,4.900912,6.211645,2.010326,-1.104397,2.852444
0.020000,10.102165,25.031581,5.025941,6.251446,1.990023,-1.015134,2.848102
0.020000,9.981796,25.068207,5.151759,6.290890,1.972240,-0.889159,2.844450
0.020000,9.860801,25.105461,5.278359,6.330024,1.956681,-0.777954,2.841481
0.020000,9.739162,25.143263,5.405737,6.368902,1.943904,-0.638879,2.839191
0.020000,9.616858,25.181534,5.533889,6.407580,1.933880,-0.501169,2.837577
0.020000,9.493869,25.220193,5.662811,6.446113,1.926662,-0.360913,2.836635
0.020000,9.370169,25.259156,5.792502,6.484563,1.922509,-0.207654,2.836366
0.020000,9.245733,25.298343,5.922962,6.522989,1.921274,-0.061762,2.836767
0.020000,9.120535,25.337668,6.054191,6.561448,1.922973,0.084976,2.837841
0.020000,8.994546,25.377046,6.186191,6.600008,1.927972,0.249922,2.839587
0.020000,8.867735,25.416392,6.318965,6.638714,1.935304,0.366602,2.842010
0.020000,8.740072,25.455615,6.452518,6.677641,1.946383,0.553967,2.845113
0.020000,8.611524,25.494626,6.586855,6.716823,1.959094,0.635532,2.848901
0.020000,8.482060,25.533331,6.721981,6.756337,1.975708,0.830734,2.853378
0.020000,8.351645,25.571637,6.857905,6.796203,1.993278,0.878465,2.858552
0.020000,8.220245,25.609443,6.994635,6.836498,2.014748,1.073513,2.864430
0.020000,8.087829,25.646651,7.132180,6.877220,2.036120,1.068623,2.871019
0.020000,7.954362,25.683155,7.270549,6.918449,2.061457,1.266846,2.878329
0.020000,7.819813,25.718847,7.409752,6.960159,2.085481,1.201176,2.886367
0.020000,7.684149,25.753617,7.549800,7.002404,2.112242,1.338054,2.895143
0.020000,7.547343,25.787349,7.690703,7.045166,2.138115,1.293666,2.904666
0.020000,7.409368,25.819924,7.832472,7.088433,2.163334,1.260921,2.914945
0.020000,7.270199,25.851218,7.975116,7.132216,2.189148,1.290716,2.925988
0.020000,7.129816,25.881103,8.118645,7.176428,2.210592,1.072188,2.937804
0.020000,6.988204,25.909448,8.263066,7.221035,2.230367,0.988772,2.950400
0.020000,6.845353,25.936117,8.408385,7.265977,2.247079,0.835615,2.963780
0.020000,6.701257,25.960968,8.554608,7.311123,2.257314,0.511730,2.977949
0.020000,6.555922,25.983860,8.701735,7.356363,2.261997,0.234165,2.992909
0.020000,6.409357,26.004643,8.849766,7.401552,2.259447,-0.127492,3.008658
0.020000,6.261584,26.023170,8.998696,7.446522,2.248508,-0.546974,3.025192
0.020000,6.112632,26.039290,9.148517,7.491055,2.226654,-1.092718,3.042505
0.020000,5.962545,26.052850,9.299216,7.534933,2.193917,-1.636822,3.060584
0.020000,5.811376,26.063699,9.450774,7.577905,2.148596,-2.266082,3.079414
0.020000,5.659191,26.071688,9.603168,7.619694,2.089431,-2.958236,3.098975
0.020000,5.506072,26.076672,9.756368,7.659995,2.015083,-3.717400,3.119239
0.020000,5.364116,26.078646,9.898338,7.098520,-28.073766,-1504.442428,3.132488
0.020000,5.232750,26.079629,10.029708,6.568475,-26.502249,78.575851,3.135677
0.020000,5.104734,26.080205,10.157725,6.400882,-8.379649,906.129985,3.138449
0.020000,4.980344,26.080445,10.282116,6.219508,-9.068720,-34.453566,3.140822
0.020000,4.859552,26.080415,10.402907,6.039582,-8.996310,3.620508,3.142821
0.020000,4.742331,26.080171,10.520129,5.861068,-8.925687,3.531179,3.144471
0.020000,4.628653,26.079766,10.633807,5.683930,-8.856895,3.439586,3.145797
0.020000,4.518492,26.079244,10.743970,5.508131,-8.789966,3.346430,3.146821
0.020000,4.411821,26.078645,10.850642,5.333632,-8.724920,3.252329,3.147566
0.020000,4.308615,26.078001,10.953850,5.160397,-8.661767,3.157629,3.148054
0.020000,4.208849,26.077342,11.053618,4.988387,-8.600514,3.062663,3.148307
0.020000,4.112500,26.076691,11.149969,4.817563,-8.541162,2.967611,3.148346
0.020000,4.019544,26.076069,11.242927,4.647889,-8.483710,2.872600,3.148189
0.020000,3.929960,26.075492,11.332514,4.479326,-8.428156,2.777695,3.147858
0.020000,3.843725,26.074972,11.418750,4.311836,-8.374497,2.682937,3.147370
0.020000,3.760818,26.074517,11.501658,4.145381,-8.322731,2.588315,3.146745
0.020000,3.681221,26.074136,11.581257,3.979924,-8.272855,2.493808,3.145998
0.020000,3.604913,26.073832,11.657565,3.815427,-8.224867,2.399393,3.145147
0.020000,3.531876,26.073606,11.730602,3.651852,-8.178766,2.305048,3.144208
0.020000,3.462093,26.073458,11.800385,3.489161,-8.134551,2.210715,3.143196
0.020000,3.395547,26.073386,11.866932,3.327316,-8.092224,2.116387,3.142127
0.020000,3.332221,26.073387,11.930257,3.166281,-8.051784,2.022011,3.141014
0.020000,3.272101,26.073456,11.990378,3.006016,-8.013232,1.927592,3.139871
0.020000,3.215171,26.073586,12.047307,2.846485,-7.976569,1.833113,3.138710
0.020000,3.161419,26.073772,12.101060,2.687649,-7.941798,1.738552,3.137544
0.020000,3.110830,26.074006,12.151650,2.529470,-7.908920,1.643935,3.136385
