dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.303508,25.944998,0.000789,0.078947,3.947368,197.368421,0.001678
0.020000,1.304234,25.944999,0.001515,0.036287,-2.133001,-304.018489,0.001044
0.020000,1.306797,25.945000,0.004078,0.128159,4.593581,336.329130,6.282962
0.020000,1.318447,25.944986,0.015728,0.582482,22.716144,906.128149,6.281062
0.020000,1.333980,25.944934,0.031261,0.776632,9.707509,-650.431761,6.278528
0.020000,1.353393,25.944812,0.050675,0.970710,9.703882,-0.181328,6.275363
0.020000,1.376688,25.944586,0.073971,1.164788,9.703924,0.002097,6.271565
0.020000,1.403861,25.944210,0.101146,1.358776,9.699392,-0.226609,6.267137
0.020000,1.434910,25.943633,0.132200,1.552707,9.696537,-0.142780,6.262079
0.020000,1.469829,25.942797,0.167130,1.746476,9.688455,-0.404062,6.256395
0.020000,1.508614,25.941635,0.205932,1.940085,9.680456,-0.399971,6.250086
0.020000,1.551254,25.940075,0.248601,2.133472,9.669366,-0.554519,6.243158
0.020000,1.597742,25.938038,0.295133,2.326622,9.657504,-0.593099,6.235614
0.020000,1.648062,25.935436,0.345520,2.519345,9.636156,-1.067403,6.227462
0.020000,1.702197,25.932179,0.399753,2.711639,9.614667,-1.074435,6.218709
0.020000,1.760125,25.928167,0.457820,2.903347,9.585400,-1.463341,6.209365
0.020000,1.821822,25.923296,0.519709,3.094462,9.555740,-1.482998,6.199441
0.020000,1.887256,25.917457,0.585403,3.284698,9.511840,-2.195016,6.188952
0.020000,1.956391,25.910537,0.654883,3.473995,9.464852,-2.349385,6.177914
0.020000,2.029184,25.902419,0.728128,3.662242,9.412336,-2.625821,6.166346
0.020000,2.105587,25.892983,0.805111,3.849155,9.345664,-3.333595,6.154271
0.020000,2.185544,25.882107,0.885804,4.034658,9.275141,-3.526158,6.141714
0.020000,2.268991,25.869666,0.970173,4.218463,9.190226,-4.245710,6.128704
0.020000,2.355858,25.855540,1.058182,4.400435,9.098605,-4.581045,6.115274
0.020000,2.446069,25.839606,1.149789,4.580339,8.995218,-5.169369,6.101459
0.020000,2.539537,25.821744,1.244949,4.757980,8.882049,-5.658450,6.087299
0.020000,2.636171,25.801839,1.343611,4.933137,8.757858,-6.209543,6.072837
0.020000,2.735872,25.779782,1.445724,5.105612,8.623720,-6.706889,6.058121
0.020000,2.838536,25.755468,1.551228,5.275202,8.479524,-7.209825,6.043201
0.020000,2.944053,25.728800,1.660062,5.441728,8.326308,-7.660793,6.028129
0.020000,3.052309,25.699692,1.772163,5.605023,8.164724,-8.079211,6.012964
0.020000,3.163185,25.668066,1.887461,5.764934,7.995555,-8.458448,5.997763
0.020000,3.276563,25.633856,2.005888,5.921321,7.819336,-8.810964,5.982588
0.020000,3.392321,25.597008,2.127370,6.074092,7.638585,-9.037518,5.967503
0.020000,3.510341,25.557479,2.251833,6.223155,7.453138,-9.272358,5.952572
0.020000,3.630502,25.515241,2.379202,6.368454,7.264920,-9.410916,5.937861
0.020000,3.752692,25.470279,2.509401,6.509953,7.074954,-9.498309,5.923437
0.020000,3.876799,25.422594,2.642354,6.647641,6.884422,-9.526601,5.909365
0.020000,4.001895,25.372533,2.777095,6.737057,4.470789,-120.681643,5.895800
0.020000,4.126287,25.320837,2.911801,6.735317,-0.086988,-227.888859,5.882956
0.020000,4.249172,25.267966,3.045578,6.688821,-2.324815,-111.891320,5.870923
0.020000,4.370587,25.214046,3.178426,6.642445,-2.318769,0.302296,5.859701
0.020000,4.490571,25.159200,3.310352,6.596271,-2.308724,0.502248,5.849285
0.020000,4.609169,25.103545,3.441359,6.550373,-2.294886,0.691918,5.839671
0.020000,4.726427,25.047194,3.571455,6.504797,-2.278819,0.803350,5.830853
0.020000,4.842395,24.990256,3.700647,6.459570,-2.261338,0.874047,5.822826
0.020000,4.957122,24.932836,3.828941,6.414702,-2.243383,0.897757,5.815582
0.020000,5.070659,24.875034,3.956345,6.370203,-2.224989,0.919700,5.809115
0.020000,5.183059,24.816949,4.082866,6.326062,-2.207009,0.898986,5.803419
0.020000,5.294372,24.758673,4.208511,6.282257,-2.190276,0.836624,5.798489
0.020000,5.404650,24.700299,4.333286,6.238754,-2.175149,0.756370,5.794319
0.020000,5.513944,24.641914,4.457197,6.195530,-2.161212,0.696839,5.790903
0.020000,5.622302,24.583604,4.580248,6.152535,-2.149716,0.574784,5.788239
0.020000,5.729773,24.525454,4.702442,6.109722,-2.140653,0.453193,5.786322
0.020000,5.836404,24.467546,4.823783,6.067049,-2.133656,0.349847,5.785151
0.020000,5.942241,24.409959,4.944272,6.024459,-2.129526,0.206478,5.784724
0.020000,6.047327,24.352773,5.063910,5.981899,-2.127994,0.076616,5.785040
0.020000,6.151703,24.296066,5.182696,5.939316,-2.129154,-0.058027,5.786100
0.020000,6.255411,24.239915,5.300630,5.896655,-2.133036,-0.194098,5.787905
0.020000,6.358487,24.184396,5.417707,5.853869,-2.139318,-0.314069,5.790458
0.020000,6.460968,24.129583,5.533925,5.810900,-2.148423,-0.455276,5.793761
0.020000,6.562886,24.075553,5.649279,5.767706,-2.159718,-0.564724,5.797818
0.020000,6.664273,24.022380,5.763764,5.724251,-2.172742,-0.651196,5.802635
0.020000,6.765158,23.970136,5.877374,5.680486,-2.188235,-0.774691,5.808216
0.020000,6.865567,23.918896,5.990102,5.636388,-2.204904,-0.833420,5.814567
0.020000,6.965525,23.868732,6.101940,5.591941,-2.222382,-0.873900,5.821694
0.020000,7.065053,23.819718,6.212883,5.547126,-2.240737,-0.917744,5.829604
0.020000,7.164171,23.771924,6.322922,5.501942,-2.259190,-0.922684,5.838304
0.020000,7.262895,23.725421,6.432050,5.456405,-2.276837,-0.882341,5.847799
0.020000,7.361241,23.680281,6.540261,5.410546,-2.292946,-0.805447,5.858094
0.020000,7.459221,23.636570,6.647549,5.364406,-2.307015,-0.703424,5.869196
0.020000,7.556847,23.594358,6.753910,5.318044,-2.318095,-0.554005,5.881107
0.020000,7.654127,23.553710,6.859341,5.271547,-2.324847,-0.337604,5.893831
0.020000,7.751069,23.514691,6.963841,5.225020,-2.326341,-0.074696,5.907367
0.020000,7.847680,23.477361,7.067413,5.178592,-2.321403,0.246883,5.921714
0.020000,7.943964,23.441780,7.170061,5.132417,-2.308759,0.632193,5.936867
0.020000,8.039927,23.408005,7.271795,5.086670,-2.287355,1.070199,5.952819
0.020000,8.135574,23.376088,7.372626,5.041557,-2.255658,1.584840,5.969560
