dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.305430,24.800000,0.000789,0.078947,3.947368,197.368421,0.001678
0.020000,1.305430,24.800000,0.003947,0.236842,7.894737,197.368421,0.001044
0.020000,1.306542,24.800000,0.010263,0.394737,7.894737,0.000000,6.282962
0.020000,1.316016,24.799989,0.019737,0.552632,7.894737,-0.000000,6.281062
0.020000,1.328647,24.799946,0.032368,0.710526,7.894737,0.000000,6.278528
0.020000,1.344436,24.799847,0.048158,0.868421,7.894737,0.000000,6.275363
0.020000,1.363383,24.799663,0.067105,1.026316,7.894737,0.000000,6.271565
0.020000,1.385486,24.799357,0.089211,1.184211,7.894737,-0.000000,6.267137
0.020000,1.410745,24.798888,0.114474,1.342105,7.894737,0.000000,6.262079
0.020000,1.439158,24.798208,0.142895,1.500000,7.894737,0.000000,6.256395
0.020000,1.470722,24.797262,0.174474,1.657895,7.894737,0.000000,6.250086
0.020000,1.505435,24.795992,0.209211,1.815789,7.894737,0.000000,6.243158
0.020000,1.543294,24.794333,0.247105,1.973684,7.894737,0.000000,6.235614
0.020000,1.584292,24.792214,0.288158,2.131579,7.894737,0.000000,6.227462
0.020000,1.628422,24.789558,0.332368,2.289474,7.894737,0.000000,6.218709
0.020000,1.675677,24.786285,0.379737,2.447368,7.894737,-0.000000,6.209365
0.020000,1.726047,24.782308,0.430263,2.605263,7.894737,0.000000,6.199441
0.020000,1.779518,24.777537,0.483947,2.763158,7.894737,-0.000000,6.188952
0.020000,1.836077,24.771876,0.540789,2.921053,7.894737,0.000000,6.177914
0.020000,1.895707,24.765226,0.600789,3.078947,7.894737,0.000000,6.166346
0.020000,1.958388,24.757484,0.663947,3.236842,7.894737,-0.000000,6.154271
0.020000,2.024099,24.748546,0.730263,3.394737,7.894737,0.000000,6.141714
0.020000,2.092812,24.738302,0.799737,3.552632,7.894737,0.000000,6.128704
0.020000,2.164502,24.726643,0.872368,3.710526,7.894737,0.000000,6.115274
0.020000,2.239135,24.713460,0.948158,3.868421,7.894737,-0.000000,6.101459
0.020000,2.316678,24.698641,1.027105,4.026316,7.894737,0.000000,6.087299
0.020000,2.397095,24.682077,1.109211,4.184211,7.894737,0.000000,6.072837
0.020000,2.480344,24.663659,1.194474,4.342105,7.894737,0.000000,6.058121
0.020000,2.566384,24.643281,1.282895,4.500000,7.894737,0.000000,6.043201
0.020000,2.655170,24.620842,1.374474,4.657895,7.894737,0.000000,6.028129
0.020000,2.746657,24.596242,1.469211,4.815789,7.894737,0.000000,6.012964
0.020000,2.840796,24.569390,1.567105,4.973684,7.894737,0.000000,5.997763
0.020000,2.937539,24.540198,1.668158,5.131579,7.894737,0.000000,5.982588
0.020000,3.036839,24.508588,1.772368,5.289474,7.894737,-0.000000,5.967503
0.020000,3.138647,24.474488,1.879737,5.447368,7.894737,0.000000,5.952572
0.020000,3.242918,24.437835,1.990263,5.605263,7.894737,-0.000000,5.937861
0.020000,3.349607,24.398576,2.103947,5.763158,7.894737,0.000000,5.923437
0.020000,3.458674,24.356668,2.220789,5.921053,7.894737,-0.000000,5.909365
0.020000,3.569350,24.312377,2.340000,6.000000,3.947368,-197.368421,5.895800
0.020000,3.680161,24.266325,2.460000,6.000000,0.000000,-197.368421,5.882956
0.020000,3.790390,24.218898,2.580000,6.000000,0.000000,0.000000,5.870923
0.020000,3.900061,24.170193,2.700000,6.000000,0.000000,0.000000,5.859701
0.020000,4.009198,24.120304,2.820000,6.000000,0.000000,0.000000,5.849285
0.020000,4.117830,24.069325,2.940000,6.000000,0.000000,0.000000,5.839671
0.020000,4.225988,24.017346,3.060000,6.000000,0.000000,0.000000,5.830853
0.020000,4.333705,23.964459,3.180000,6.000000,0.000000,0.000000,5.822826
0.020000,4.441015,23.910750,3.300000,6.000000,0.000000,0.000000,5.815582
0.020000,4.547954,23.856308,3.420000,6.000000,0.000000,0.000000,5.809115
0.020000,4.654560,23.801216,3.540000,6.000000,0.000000,0.000000,5.803419
0.020000,4.760871,23.745558,3.660000,6.000000,0.000000,0.000000,5.798489
