dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.307351,23.655002,0.000789,0.078947,3.947368,197.368421,0.001678
0.020000,1.306625,23.655001,0.001515,0.036287,-2.133001,-304.018489,0.001044
0.020000,1.306286,23.655000,0.001854,0.016943,-0.967225,58.288794,6.282962
0.020000,1.313584,23.654991,0.009152,0.364893,17.397515,918.237048,6.281062
0.020000,1.323315,23.654958,0.018883,0.486557,6.083213,-565.715112,6.278528
0.020000,1.335480,23.654882,0.031048,0.608221,6.083176,-0.001863,6.275363
0.020000,1.350078,23.654741,0.045647,0.729954,6.086661,0.174273,6.271565
0.020000,1.367111,23.654505,0.062681,0.851733,6.088951,0.114489,6.267137
0.020000,1.386580,23.654143,0.082154,0.973623,6.094500,0.277418,6.262079
0.020000,1.408486,23.653618,0.104066,1.095615,6.099607,0.255384,6.256395
0.020000,1.432831,23.652889,0.128422,1.217782,6.108319,0.435581,6.250086
0.020000,1.459616,23.651909,0.155225,1.340171,6.119450,0.556563,6.243158
0.020000,1.488846,23.650628,0.184483,1.462878,6.135348,0.794917,6.235614
0.020000,1.520522,23.648991,0.216201,1.585908,6.151502,0.807657,6.227462
0.020000,1.554648,23.646937,0.250389,1.709404,6.174818,1.165816,6.218709
0.020000,1.591229,23.644403,0.287058,1.833436,6.201583,1.338258,6.209365
0.020000,1.630271,23.641321,0.326221,1.958188,6.237594,1.800563,6.199441
0.020000,1.671780,23.637617,0.367895,2.083693,6.275255,1.883053,6.188952
0.020000,1.715763,23.633215,0.412098,2.210148,6.322764,2.375448,6.177914
0.020000,1.762230,23.628033,0.458853,2.337742,6.379724,2.848003,6.166346
0.020000,1.811190,23.621986,0.508185,2.466576,6.441696,3.098592,6.154271
0.020000,1.862654,23.614985,0.560123,2.596901,6.516226,3.726489,6.141714
0.020000,1.916634,23.606937,0.614700,2.728849,6.597397,4.058557,6.128704
0.020000,1.973145,23.597747,0.671953,2.862665,6.690811,4.670676,6.115274
0.020000,2.032202,23.587315,0.731924,2.998538,6.793664,5.142680,6.101459
0.020000,2.093820,23.575539,0.794657,3.136687,6.907455,5.689539,6.087299
0.020000,2.158019,23.562315,0.860204,3.277314,7.031310,6.192726,6.072837
0.020000,2.224816,23.547536,0.928616,3.420625,7.165574,6.713199,6.058121
0.020000,2.294232,23.531095,0.999952,3.566815,7.309504,7.196503,6.043201
0.020000,2.366287,23.512884,1.074274,3.716072,7.462816,7.665614,6.028129
0.020000,2.441004,23.492792,1.151645,3.868565,7.624678,8.093117,6.012964
0.020000,2.518406,23.470713,1.232134,4.024447,7.794080,8.470061,5.997763
0.020000,2.598515,23.446540,1.315811,4.183839,7.969600,8.776028,5.982588
0.020000,2.681356,23.420169,1.402748,4.346860,8.151053,9.072668,5.967503
0.020000,2.766953,23.391497,1.493020,4.513585,8.336271,9.260884,5.952572
0.020000,2.855333,23.360429,1.586701,4.684076,8.524535,9.413180,5.937861
0.020000,2.946522,23.326873,1.683869,4.858367,8.714554,9.500940,5.923437
0.020000,3.040549,23.290743,1.784598,5.036473,8.905297,9.537173,5.909365
0.020000,3.136805,23.252221,1.888276,5.183900,7.371372,-76.696241,5.895800
0.020000,3.234034,23.211812,1.993568,5.264599,4.034927,-166.822279,5.882956
0.020000,3.331608,23.169830,2.099790,5.311108,2.325438,-85.474443,5.870923
0.020000,3.429535,23.126339,2.206940,5.357496,2.319398,-0.301999,5.859701
0.020000,3.527825,23.081408,2.315014,5.403671,2.308784,-0.530667,5.849285
0.020000,3.626492,23.035104,2.424005,5.449577,2.295297,-0.674364,5.839671
0.020000,3.725550,22.987499,2.533908,5.495165,2.279375,-0.796104,5.830853
0.020000,3.825015,22.938662,2.644716,5.540402,2.261885,-0.874521,5.822826
0.020000,3.924908,22.888665,2.756422,5.585271,2.243411,-0.923657,5.815582
0.020000,4.025248,22.837581,2.869017,5.629774,2.225162,-0.912474,5.809115
0.020000,4.126060,22.785483,2.982496,5.673924,2.207490,-0.883596,5.803419
0.020000,4.227371,22.732443,3.096850,5.717736,2.190592,-0.844885,5.798489
0.020000,4.329208,22.678536,3.212075,5.761234,2.174936,-0.782816,5.794319
0.020000,4.431602,22.623836,3.328165,5.804466,2.161587,-0.667445,5.790903
0.020000,4.534587,22.568418,3.445114,5.847465,2.149955,-0.581608,5.788239
0.020000,4.638198,22.512356,3.562919,5.890275,2.140477,-0.473881,5.786322
0.020000,4.742472,22.455727,3.681578,5.932952,2.133852,-0.331252,5.785151
0.020000,4.847450,22.398608,3.801089,5.975543,2.129556,-0.214828,5.784724
0.020000,4.953172,22.341076,3.921451,6.018103,2.127993,-0.078163,5.785040
0.020000,5.059681,22.283210,4.042665,6.060685,2.129124,0.056577,5.786100
0.020000,5.167024,22.225091,4.164732,6.103343,2.132880,0.187787,5.787905
0.020000,5.275247,22.166800,4.287654,6.146132,2.139458,0.328899,5.790458
0.020000,5.384397,22.108421,4.411436,6.189095,2.148177,0.435952,5.793761
0.020000,5.494525,22.050040,4.536082,6.232282,2.159353,0.558788,5.797818
0.020000,5.605681,21.991744,4.661597,6.275743,2.173035,0.684133,5.802635
0.020000,5.717915,21.933624,4.787987,6.319500,2.187830,0.739739,5.808216
0.020000,5.831279,21.875774,4.915259,6.363588,2.204422,0.829607,5.814567
0.020000,5.945825,21.818290,5.043419,6.408036,2.222369,0.897344,5.821694
0.020000,6.061605,21.761274,5.172476,6.452847,2.240557,0.909407,5.829604
0.020000,6.178667,21.704828,5.302437,6.498020,2.258647,0.904466,5.838304
0.020000,6.297062,21.649062,5.433308,6.543545,2.276285,0.881927,5.847799
0.020000,6.416836,21.594088,5.565096,6.589400,2.292736,0.822541,5.858094
0.020000,6.538034,21.540022,5.697806,6.635535,2.306770,0.701720,5.869196
0.020000,6.660698,21.486986,5.831444,6.681885,2.317475,0.535235,5.881107
0.020000,6.784863,21.435107,5.966011,6.728370,2.324235,0.338003,5.893831
0.020000,6.910561,21.384516,6.101509,6.774885,2.325744,0.075464,5.907367
0.020000,7.037819,21.335347,6.237935,6.821301,2.320828,-0.245807,5.921714
0.020000,7.166654,21.287740,6.375284,6.867467,2.308315,-0.625665,5.936867
0.020000,7.297076,21.241840,6.513548,6.913201,2.286656,-1.082928,5.952819
0.020000,7.429087,21.197792,6.652714,6.958299,2.254936,-1.585997,5.969560
0.020000,7.562678,21.155746,6.792765,7.002536,2.211822,-2.155742,5.987073
0.020000,7.697826,21.115852,6.933678,7.045659,2.156147,-2.783716,6.005339
0.020000,7.834499,21.078262,7.075426,7.087397,2.086906,-3.462081,6.024335
0.020000,7.972650,21.043126,7.217975,7.127458,2.003050,-4.192768,6.044031
0.020000,8.112219,21.010592,7.361286,7.165537,1.903970,-4.953992,6.064392
0.020000,8.253131,20.980801,7.505313,7.201345,1.790379,-5.679581,6.085378
0.020000,8.395298,20.953893,7.650005,7.234573,1.661414,-6.448243,6.106945
0.020000,8.538618,20.929995,7.795303,7.264911,1.516876,-7.226906,6.129042
0.020000,8.682973,20.909227,7.941144,7.292078,1.358389,-7.924354,6.151614
0.020000,8.828237,20.891695,8.087462,7.315884,1.190302,-8.404328,6.174602
0.020000,8.974268,20.877495,8.234182,7.335988,1.005186,-9.255789,6.197941
0.020000,9.120919,20.866705,8.381229,7.352385,0.819862,-9.266212,6.221566
0.020000,9.268032,20.859386,8.528525,7.364774,0.619432,-10.021512,6.245409
0.020000,9.415448,20.855583,8.675989,7.373212,0.421885,-9.877341,6.269398
0.020000,9.545732,20.855000,8.806275,6.514276,-42.946766,-2168.432543,0.000000
0.020000,9.665732,20.855000,8.926275,6.000000,-25.713818,861.647378,0.000000
0.020000,9.785732,20.855000,9.046275,6.000000,0.000000,1285.690913,0.000000
0.020000,9.905732,20.855000,9.166275,6.000000,0.000000,0.000000,0.000000
0.020000,10.025732,20.855000,9.286275,6.000000,0.000000,0.000000,0.000000
0.020000,10.145732,20.855000,9.406275,6.000000,0.000000,0.000000,0.000000
0.020000,10.265732,20.855000,9.526275,6.000000,0.000000,0.000000,0.000000
0.020000,10.385732,20.855000,9.646275,6.000000,0.000000,0.000000,0.000000
0.020000,10.505732,20.855000,9.766275,6.000000,-0.000000,-0.000000,0.000000
0.020000,10.625732,20.855000,9.886275,6.000000,0.000000,0.000000,0.000000
0.020000,10.745732,20.855000,10.006275,6.000000,0.000000,-0.000000,0.000000
0.020000,10.865732,20.855000,10.126275,6.000000,0.000000,0.000000,0.000000
0.020000,10.985732,20.855000,10.246275,6.000000,0.000000,0.000000,0.000000
0.020000,11.105732,20.855000,10.366275,6.000000,0.000000,0.000000,0.000000
0.020000,11.225732,20.855000,10.486275,6.000000,0.000000,0.000000,0.000000
0.020000,11.345732,20.855000,10.606275,6.000000,0.000000,0.000000,0.000000
0.020000,11.465732,20.855000,10.726275,6.000000,0.000000,0.000000,0.000000
0.020000,11.585732,20.855000,10.846275,6.000000,0.000000,0.000000,0.000000
0.020000,11.705732,20.855000,10.966275,6.000000,0.000000,0.000000,0.000000
0.020000,11.825732,20.855000,11.086275,6.000000,0.000000,0.000000,0.000000
0.020000,11.945732,20.855000,11.206275,6.000000,0.000000,0.000000,0.000000
