dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.503179,17.073000,0.000789,0.078947,3.947368,197.368421,6.283094
0.020000,5.503351,17.073000,0.000962,0.008612,-3.516780,-373.207436,0.000009
0.020000,5.509436,17.073001,0.007046,0.304223,14.780552,914.866638,0.000211
0.020000,5.518561,17.073004,0.016171,0.456242,7.600983,-358.978465,0.000516
0.020000,5.530724,17.073013,0.028334,0.608152,7.595469,-0.275708,0.000925
0.020000,5.545922,17.073031,0.043532,0.759915,7.588143,-0.366301,0.001441
0.020000,5.564152,17.073063,0.061762,0.911494,7.578957,-0.459288,0.002068
0.020000,5.585409,17.073115,0.083019,1.062852,7.567917,-0.552001,0.002809
0.020000,5.609688,17.073193,0.107298,1.213953,7.555037,-0.644020,0.003668
0.020000,5.636983,17.073307,0.134594,1.364759,7.540293,-0.737207,0.004652
0.020000,5.667287,17.073464,0.164898,1.515233,7.523714,-0.828940,0.005765
0.020000,5.700593,17.073677,0.198205,1.665337,7.505207,-0.925357,0.007014
0.020000,5.736892,17.073957,0.234506,1.815035,7.484873,-1.016670,0.008406
0.020000,5.776177,17.074317,0.273791,1.964287,7.462609,-1.113235,0.009949
0.020000,5.818435,17.074774,0.316052,2.113056,7.438475,-1.206675,0.011651
0.020000,5.863658,17.075343,0.361279,2.261305,7.412427,-1.302426,0.013522
0.020000,5.911833,17.076043,0.409458,2.408994,7.384453,-1.398688,0.015572
0.020000,5.962947,17.076896,0.460580,2.556085,7.354544,-1.495447,0.017810
0.020000,6.016988,17.077924,0.514631,2.702539,7.322702,-1.592098,0.020247
0.020000,6.073941,17.079153,0.571597,2.848318,7.288941,-1.688028,0.022897
0.020000,6.133791,17.080609,0.631465,2.993381,7.253180,-1.788090,0.025771
0.020000,6.196522,17.082323,0.694219,3.137691,7.215487,-1.884621,0.028881
0.020000,6.262115,17.084328,0.759843,3.281208,7.175842,-1.982250,0.032243
0.020000,6.330553,17.086659,0.828321,3.423893,7.134237,-2.080237,0.035871
0.020000,6.401816,17.089355,0.899635,3.565706,7.090683,-2.177696,0.039780
0.020000,6.475884,17.092458,0.973767,3.706610,7.045199,-2.274214,0.043985
0.020000,6.552733,17.096013,1.050698,3.846567,6.997846,-2.367681,0.048504
0.020000,6.632340,17.100070,1.130409,3.985539,6.948593,-2.462614,0.053353
0.020000,6.714681,17.104680,1.212879,4.123491,6.897585,-2.550432,0.058550
0.020000,6.799729,17.109902,1.298087,4.260387,6.844800,-2.639214,0.064115
0.020000,6.887455,17.115794,1.386011,4.396195,6.790407,-2.719652,0.070065
0.020000,6.977830,17.122424,1.476628,4.530885,6.734497,-2.795534,0.076420
0.020000,7.070822,17.129859,1.569917,4.664429,6.677223,-2.863667,0.083201
0.020000,7.166397,17.138176,1.665853,4.796805,6.618788,-2.921768,0.090427
0.020000,7.264519,17.147451,1.764413,4.927993,6.559401,-2.969340,0.098120
0.020000,7.365151,17.157770,1.865572,5.057980,6.499364,-3.001863,0.106300
0.020000,7.468252,17.169222,1.969308,5.186760,6.439007,-3.017831,0.114989
0.020000,7.573780,17.181901,2.075594,5.314335,6.378732,-3.013745,0.124207
0.020000,7.680981,17.195810,2.183694,5.404978,4.532143,-92.329487,0.133911
0.020000,7.788407,17.210830,2.292165,5.423547,0.928436,-180.185326,0.143980
0.020000,7.895336,17.226897,2.400295,5.406497,-0.852499,-89.046773,0.154346
0.020000,8.001760,17.244033,2.508089,5.389715,-0.839072,0.671375,0.165006
0.020000,8.107667,17.262262,2.615554,5.373240,-0.823774,0.764876,0.175953
0.020000,8.213049,17.281606,2.722696,5.357109,-0.806526,0.862398,0.187182
0.020000,8.317895,17.302086,2.829523,5.341364,-0.787258,0.963401,0.198686
0.020000,8.422195,17.323723,2.936044,5.326046,-0.765913,1.067254,0.210457
0.020000,8.525940,17.346536,3.042268,5.311195,-0.742523,1.169491,0.222488
0.020000,8.629121,17.370544,3.148205,5.296858,-0.716880,1.282189,0.234770
0.020000,8.731729,17.395763,3.253867,5.283075,-0.689119,1.388022,0.247292
0.020000,8.829254,17.421014,3.354608,5.037056,-12.300963,-580.592187,0.258303
0.020000,8.912367,17.444145,3.440880,4.313585,-36.173573,-1193.630510,0.283388
0.020000,8.998682,17.470494,3.531127,4.512345,9.938016,2305.579456,0.309372
0.020000,9.083310,17.498794,3.620361,4.461741,-2.530212,-623.411399,0.336238
0.020000,9.166218,17.529058,3.708620,4.412946,-2.439732,4.523993,0.363957
0.020000,9.247381,17.561300,3.795953,4.366615,-2.316551,6.159079,0.392485
0.020000,9.326786,17.595533,3.882422,4.323485,-2.156492,8.002937,0.421766
0.020000,9.404434,17.631773,3.968111,4.284441,-1.952200,10.214596,0.451729
0.020000,9.480340,17.670039,4.053118,4.250327,-1.705689,12.325531,0.482288
0.020000,9.554533,17.710356,4.137557,4.221946,-1.419071,14.330906,0.513343
0.020000,9.627050,17.752750,4.221557,4.199999,-1.097362,16.085441,0.544781
0.020000,9.697941,17.797255,4.305260,4.185190,-0.740420,17.847139,0.576477
0.020000,9.767264,17.843910,4.388821,4.178029,-0.358069,19.117517,0.608298
0.020000,9.835082,17.892758,4.472400,4.178950,0.046063,20.206596,0.640105
0.020000,9.901459,17.943845,4.556159,4.187975,0.451240,20.258876,0.671752
0.020000,9.966460,17.997216,4.640264,4.205242,0.863360,20.605993,0.703099
0.020000,10.030146,18.052918,4.724873,4.230439,1.259839,19.823926,0.734005
0.020000,10.092578,18.110991,4.810139,4.263271,1.641600,19.088058,0.764338
0.020000,10.153807,18.171470,4.896201,4.303117,1.992322,17.536105,0.793975
0.020000,10.213879,18.234383,4.983188,4.349341,2.311152,15.941527,0.822805
0.020000,10.272836,18.299745,5.071211,4.401183,2.592120,14.048406,0.850729
0.020000,10.330713,18.367562,5.160368,4.457830,2.832355,12.011716,0.877664
0.020000,10.387542,18.437826,5.250737,4.518451,3.031063,9.935387,0.903540
0.020000,10.443350,18.510519,5.342382,4.582228,3.188813,7.887507,0.928303
0.020000,10.498164,18.585608,5.435349,4.648391,3.308154,5.967087,0.951910
0.020000,10.552010,18.663054,5.529674,4.716228,3.391874,4.185966,0.974332
0.020000,10.604914,18.742803,5.625376,4.785102,3.443713,2.591963,0.995551
0.020000,10.656907,18.824797,5.722465,4.854458,3.467774,1.203054,1.015559
0.020000,10.708019,18.908971,5.820941,4.923808,3.467493,-0.014052,1.034356
0.020000,10.758286,18.995252,5.920797,4.992795,3.449348,-0.907246,1.051948
0.020000,10.807747,19.083566,6.022019,5.061100,3.415264,-1.704209,1.068347
0.020000,10.856446,19.173838,6.124589,5.128476,3.368780,-2.324209,1.083569
0.020000,10.904431,19.265988,6.228484,5.194762,3.314299,-2.724028,1.097634
0.020000,10.951753,19.359941,6.333681,5.259869,3.255350,-2.947464,1.110561
0.020000,10.998470,19.455618,6.440155,5.323688,3.190975,-3.218750,1.122374
0.020000,11.044643,19.552946,6.547880,5.386260,3.128595,-3.119004,1.133094
0.020000,11.090337,19.651852,6.656831,5.447554,3.064717,-3.193893,1.142743
0.020000,11.135621,19.752267,6.766984,5.507656,3.005080,-2.981835,1.151343
0.020000,11.180567,19.854123,6.878316,5.566603,2.947361,-2.885978,1.158913
0.020000,11.225254,19.957357,6.990807,5.624526,2.896167,-2.559707,1.165471
0.020000,11.269760,20.061908,7.104437,5.681485,2.847950,-2.410832,1.171035
0.020000,11.314171,20.167719,7.219190,5.737649,2.808185,-1.988236,1.175617
0.020000,11.358573,20.274735,7.335052,5.793114,2.773242,-1.747165,1.179231
0.020000,11.403056,20.382906,7.452012,5.848025,2.745543,-1.384951,1.181885
0.020000,11.447717,20.492183,7.570063,5.902530,2.725238,-1.015224,1.183588
0.020000,11.492653,20.602518,7.689198,5.956763,2.711693,-0.677253,1.184343
0.020000,11.537965,20.713869,7.809416,6.010881,2.705864,-0.291469,1.184153
0.020000,11.583761,20.826193,7.930716,6.065025,2.707231,0.068332,1.183017
0.020000,11.630148,20.939448,8.053103,6.119351,2.716291,0.453004,1.180933
0.020000,11.677243,21.053595,8.176583,6.173998,2.732350,0.802968,1.177894
0.020000,11.725163,21.168592,8.301166,6.229107,2.755449,1.154945,1.173892
0.020000,11.774033,21.284400,8.426862,6.284841,2.786709,1.563005,1.168916
0.020000,11.823979,21.400977,8.553688,6.341296,2.822720,1.800558,1.162954
0.020000,11.875136,21.518280,8.681661,6.398630,2.866699,2.198927,1.155991
0.020000,11.927642,21.636262,8.810800,6.456941,2.915568,2.443474,1.148010
0.020000,11.981642,21.754876,8.941126,6.516332,2.969524,2.697784,1.138990
0.020000,12.037284,21.874065,9.072664,6.576899,3.028379,2.942770,1.128913
0.020000,12.094722,21.993772,9.205438,6.638686,3.089369,3.049500,1.117756
0.020000,12.154117,22.113929,9.339473,6.701746,3.152953,3.179205,1.105498
0.020000,12.215632,22.234460,9.474795,6.766083,3.216882,3.196447,1.092116
0.020000,12.279435,22.355281,9.611427,6.831636,3.277641,3.037942,1.077588
0.020000,12.345698,22.476295,9.749395,6.898381,3.337273,2.981586,1.061895
0.020000,12.414169,22.596661,9.887874,6.923933,1.277554,-102.985950,1.045123
0.020000,12.484047,22.714732,10.025073,6.859978,-3.197711,-223.763251,1.027515
0.020000,12.554793,22.829521,10.159912,6.741955,-5.901162,-135.172553,1.009269
0.020000,12.626283,22.940846,10.292215,6.615115,-6.342006,-22.042205,0.990480
0.020000,12.698407,23.048597,10.421877,6.483106,-6.600445,-12.921922,0.971238
0.020000,12.771040,23.152674,10.548793,6.345807,-6.864972,-13.226348,0.951637
0.020000,12.844034,23.252990,10.672855,6.203101,-7.135273,-13.515061,0.931771
0.020000,12.917224,23.349469,10.793954,6.054951,-7.407495,-13.611083,0.911734
0.020000,12.990432,23.442050,10.911981,5.901363,-7.679421,-13.596333,0.891622
0.020000,13.063464,23.530686,11.026829,5.742407,-7.947790,-13.418444,0.871529
0.020000,13.136120,23.615348,11.138394,5.578222,-8.209272,-13.074087,0.851546
0.020000,13.208190,23.696026,11.246574,5.408999,-8.461130,-12.592916,0.831760
0.020000,13.279463,23.772722,11.351274,5.234995,-8.700214,-11.954216,0.812256
0.020000,13.349724,23.845458,11.452403,5.056484,-8.925516,-11.265099,0.793113
0.020000,13.418761,23.914273,11.549880,4.873824,-9.132996,-10.373969,0.774402
0.020000,13.486368,23.979217,11.643627,4.687344,-9.324004,-9.550414,0.756190
0.020000,13.552344,24.040357,11.733576,4.497471,-9.493655,-8.482544,0.738537
0.020000,13.616495,24.097770,11.819666,4.304516,-9.647753,-7.704893,0.721497
0.020000,13.678637,24.151543,11.901844,4.108881,-9.781767,-6.700715,0.705116
0.020000,13.738600,24.201771,11.980065,3.911026,-9.892737,-5.548483,0.689433
0.020000,13.796222,24.248555,12.054288,3.711148,-9.993884,-5.057363,0.674484
0.020000,13.851355,24.292000,12.124481,3.509657,-10.074566,-4.034096,0.660295
0.020000,13.903862,24.332215,12.190619,3.306918,-10.136979,-3.120662,0.646891
0.020000,13.953619,24.369308,12.252680,3.103065,-10.192605,-2.781283,0.634289
0.020000,14.000514,24.403384,12.310649,2.898435,-10.231499,-1.944682,0.622504
