dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.973717,13.173441,0.000793,0.079268,3.963415,198.170732,3.142165
0.020000,15.973477,13.173441,0.001032,0.011958,-3.365537,-366.447576,3.141956
0.020000,15.972171,13.173441,0.002338,0.065325,2.668350,301.694324,3.141538
0.020000,15.961938,13.173445,0.012571,0.511629,22.315239,982.344446,3.140909
0.020000,15.948291,13.173460,0.026219,0.682382,8.537657,-688.879067,3.140067
0.020000,15.931226,13.173495,0.043283,0.853234,8.542585,0.246396,3.139009
0.020000,15.910739,13.173561,0.063770,1.024356,8.556101,0.675790,3.137731
0.020000,15.886825,13.173671,0.087685,1.195724,8.568414,0.615664,3.136230
0.020000,15.859479,13.173842,0.115032,1.367334,8.580474,0.603005,3.134500
0.020000,15.828693,13.174090,0.145818,1.539340,8.600316,0.992094,3.132534
0.020000,15.794460,13.174438,0.180053,1.711730,8.619496,0.958997,3.130327
0.020000,15.756772,13.174909,0.217744,1.884537,8.640338,1.042112,3.127871
0.020000,15.715619,13.175529,0.258901,2.057871,8.666710,1.318595,3.125156
0.020000,15.670992,13.176329,0.303536,2.231745,8.693681,1.348561,3.122173
0.020000,15.622877,13.177342,0.351661,2.406267,8.726117,1.621788,3.118911
0.020000,15.571264,13.178605,0.403290,2.581448,8.759034,1.645822,3.115358
0.020000,15.516138,13.180157,0.458438,2.757390,8.797101,1.903385,3.111501
0.020000,15.457484,13.182045,0.517122,2.934184,8.839710,2.130408,3.107325
0.020000,15.395287,13.184317,0.579360,3.111930,8.887288,2.378924,3.102814
0.020000,15.329530,13.187028,0.645173,3.290643,8.935670,2.419075,3.097950
0.020000,15.260195,13.190237,0.714583,3.470479,8.991805,2.806787,3.092714
0.020000,15.187262,13.194010,0.787613,3.651506,9.051330,2.976225,3.087085
0.020000,15.110710,13.198418,0.864292,3.833947,9.122074,3.537199,3.081039
0.020000,15.030518,13.203540,0.944647,4.017771,9.191163,3.454455,3.074551
