dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.973061,14.318441,0.000793,0.079268,3.963415,198.170732,3.142165
0.020000,15.973061,14.318441,0.003963,0.237805,7.926829,198.170732,3.141956
0.020000,15.972233,14.318441,0.010305,0.396341,7.926829,0.000000,3.141538
0.020000,15.962721,14.318445,0.019817,0.554878,7.926829,0.000000,3.140909
0.020000,15.950038,14.318459,0.032500,0.713415,7.926829,-0.000000,3.140067
0.020000,15.934185,14.318491,0.048354,0.871951,7.926829,0.000000,3.139009
0.020000,15.915160,14.318553,0.067378,1.030488,7.926829,-0.000000,3.137731
0.020000,15.892965,14.318655,0.089573,1.189024,7.926829,0.000000,3.136230
0.020000,15.867600,14.318813,0.114939,1.347561,7.926829,0.000000,3.134500
0.020000,15.839064,14.319043,0.143476,1.506098,7.926829,0.000000,3.132534
0.020000,15.807358,14.319365,0.175183,1.664634,7.926829,-0.000000,3.130327
0.020000,15.772483,14.319801,0.210061,1.823171,7.926829,0.000000,3.127871
0.020000,15.734439,14.320375,0.248110,1.981707,7.926829,-0.000000,3.125156
0.020000,15.693226,14.321114,0.289329,2.140244,7.926829,0.000000,3.122173
0.020000,15.648845,14.322048,0.333720,2.298780,7.926829,0.000000,3.118911
0.020000,15.601299,14.323211,0.381280,2.457317,7.926829,0.000000,3.115358
0.020000,15.550587,14.324639,0.432012,2.615854,7.926829,0.000000,3.111501
0.020000,15.496713,14.326373,0.485915,2.774390,7.926829,-0.000000,3.107325
0.020000,15.439678,14.328456,0.542988,2.932927,7.926829,0.000000,3.102814
0.020000,15.379485,14.330938,0.603232,3.091463,7.926829,-0.000000,3.097950
0.020000,15.316138,14.333870,0.666646,3.250000,7.926829,0.000000,3.092714
0.020000,15.249642,14.337309,0.733232,3.408537,7.926829,0.000000,3.087085
0.020000,15.180001,14.341319,0.802988,3.567073,7.926829,0.000000,3.081039
0.020000,15.107223,14.345968,0.875915,3.725610,7.926829,-0.000000,3.074551
0.020000,15.031314,14.351329,0.952012,3.884146,7.926829,0.000000,3.067593
0.020000,14.952286,14.357482,1.031280,4.042683,7.926829,0.000000,3.060134
0.020000,14.870147,14.364517,1.113720,4.201220,7.926829,-0.000000,3.052139
0.020000,14.784914,14.372528,1.199329,4.359756,7.926829,0.000000,3.043574
0.020000,14.696600,14.381619,1.288110,4.518293,7.926829,-0.000000,3.034396
0.020000,14.605227,14.391904,1.380061,4.676829,7.926829,0.000000,3.024563
0.020000,14.510815,14.403505,1.475183,4.835366,7.926829,-0.000000,3.014024
0.020000,14.413393,14.416557,1.573476,4.993902,7.926829,0.000000,3.002727
0.020000,14.312993,14.431206,1.674939,5.152439,7.926829,-0.000000,2.990614
0.020000,14.209654,14.447611,1.779573,5.310976,7.926829,0.000000,2.977621
0.020000,14.103420,14.465945,1.887378,5.469512,7.926829,0.000000,2.963677
0.020000,13.994347,14.486396,1.998354,5.628049,7.926829,-0.000000,2.948707
0.020000,13.882496,14.509170,2.112500,5.786585,7.926829,0.000000,2.932628
0.020000,13.767946,14.534490,2.229817,5.945122,7.926829,-0.000000,2.915348
0.020000,13.650785,14.562598,2.350305,6.103659,7.926829,0.000000,2.896771
0.020000,13.531118,14.593758,2.473963,6.262195,7.926829,0.000000,2.876791
0.020000,13.409073,14.628254,2.600793,6.420732,7.926829,0.000000,2.855297
0.020000,13.285552,14.666152,2.730000,6.500000,3.963415,-198.170732,2.832312
0.020000,13.162208,14.707207,2.860000,6.500000,0.000000,-198.170732,2.808040
