dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.308655,15.656434,0.000789,0.078947,3.947368,197.368421,3.143468
0.020000,16.309139,15.656435,0.001273,0.024189,-2.737942,-334.265508,3.143045
0.020000,16.310108,15.656436,0.002242,0.048419,1.211542,197.474191,3.142200
0.020000,16.306614,15.656438,0.005735,0.174677,6.312879,255.066822,3.140928
0.020000,16.295930,15.656454,0.016419,0.534199,17.976119,583.162019,3.139228
0.020000,16.282585,15.656500,0.029764,0.667265,6.653292,-566.141329,3.137093
0.020000,16.266587,15.656592,0.045762,0.799888,6.631143,-1.107448,3.134516
0.020000,16.247950,15.656752,0.064400,0.931879,6.599535,-1.580408,3.131491
0.020000,16.226678,15.657004,0.085673,1.063682,6.590155,-0.469028,3.128005
0.020000,16.202789,15.657376,0.109565,1.194600,6.545892,-2.213156,3.124049
0.020000,16.176299,15.657900,0.136061,1.324765,6.508252,-1.881951,3.119611
0.020000,16.147220,15.658610,0.165148,1.454376,6.480550,-1.385114,3.114675
0.020000,16.115580,15.659548,0.196802,1.582703,6.416372,-3.208935,3.109227
0.020000,16.081393,15.660757,0.231011,1.710415,6.385589,-1.539110,3.103248
0.020000,16.044691,15.662285,0.267745,1.836719,6.315181,-3.520436,3.096720
0.020000,16.005495,15.664184,0.306987,1.962095,6.268809,-2.318580,3.089621
0.020000,15.963844,15.666511,0.348702,2.085764,6.183461,-4.267411,3.081928
0.020000,15.919767,15.669327,0.392869,2.208356,6.129579,-2.694068,3.073615
0.020000,15.873307,15.672699,0.439452,2.329120,6.038229,-4.567521,3.064656
0.020000,15.824501,15.676697,0.488421,2.448460,5.966972,-3.562844,3.055020
0.020000,15.773404,15.681397,0.539734,2.565641,5.859073,-5.394950,3.044678
0.020000,15.720060,15.686880,0.593359,2.681252,5.780531,-3.927119,3.033594
0.020000,15.664528,15.693233,0.649253,2.794698,5.672299,-5.411568,3.021733
0.020000,15.606872,15.700546,0.707371,2.905934,5.561824,-5.523769,3.009058
0.020000,15.547157,15.708916,0.767670,3.014920,5.449312,-5.625593,2.995529
0.020000,15.485458,15.718446,0.830100,3.121522,5.330071,-5.962072,2.981104
0.020000,15.421854,15.729242,0.894614,3.225699,5.208849,-6.061078,2.965742
0.020000,15.356428,15.741416,0.961163,3.327447,5.087435,-6.070681,2.949399
0.020000,15.289271,15.755088,1.029697,3.426702,4.962746,-6.234478,2.932032
0.020000,15.220479,15.770379,1.100169,3.523571,4.843450,-5.964805,2.913596
0.020000,15.150156,15.787418,1.172527,3.617908,4.716808,-6.332093,2.894053
0.020000,15.078405,15.806339,1.246730,3.710155,4.612368,-5.222013,2.873363
0.020000,15.005339,15.827279,1.322738,3.800393,4.511881,-5.024318,2.851492
0.020000,14.931066,15.850383,1.400521,3.889148,4.437762,-3.705978,2.828413
0.020000,14.855700,15.875800,1.480057,3.976832,4.384214,-2.677379,2.804107
0.020000,14.779356,15.903686,1.561335,4.063885,4.352650,-1.578230,2.778565
0.020000,14.702140,15.934201,1.644362,4.151364,4.373972,1.066137,2.751792
0.020000,14.624159,15.967516,1.729161,4.239958,4.429661,2.784425,2.723810
0.020000,14.546022,16.003561,1.815211,4.302483,3.126290,-65.168555,2.694851
0.020000,14.468800,16.041960,1.901454,4.312138,0.482744,-132.177292,2.665372
0.020000,14.392981,16.082503,1.987432,4.298900,-0.661936,-57.233996,2.635661
0.020000,14.318529,16.125215,2.073266,4.291701,-0.359950,15.099311,2.605824
0.020000,14.245402,16.170120,2.159080,4.290711,-0.049466,15.524203,2.575971
0.020000,14.173554,16.217246,2.245004,4.296207,0.274762,16.211365,2.546213
0.020000,14.102940,16.266618,2.331166,4.308085,0.593934,15.958629,2.516663
0.020000,14.033517,16.318263,2.417693,4.326332,0.912345,15.920521,2.487431
0.020000,13.965240,16.372202,2.504704,4.350597,1.213238,15.044653,2.458624
0.020000,13.898072,16.428454,2.592316,4.380584,1.499375,14.306886,2.430340
0.020000,13.831976,16.487030,2.680633,4.415846,1.763093,13.185881,2.402672
0.020000,13.766922,16.547938,2.769750,4.455824,1.998894,11.790073,2.375701
0.020000,13.702882,16.611173,2.859749,4.499957,2.206620,10.386302,2.349502
0.020000,13.639833,16.676727,2.950702,4.547643,2.384326,8.885294,2.324136
0.020000,13.577754,16.744578,3.042667,4.598274,2.531556,7.361502,2.299653
0.020000,13.516626,16.814700,3.135692,4.651254,2.648983,5.871308,2.276096
0.020000,13.456433,16.887056,3.229812,4.706008,2.737723,4.437014,2.253496
0.020000,13.397157,16.961602,3.325053,4.762026,2.800871,3.157391,2.231874
0.020000,13.338781,17.038287,3.421429,4.818829,2.840167,1.964830,2.211243
0.020000,13.281286,17.117056,3.518949,4.875999,2.858522,0.917713,2.191611
0.020000,13.224652,17.197846,3.617613,4.933157,2.857892,-0.031458,2.172978
0.020000,13.168856,17.280592,3.717413,4.990015,2.842864,-0.751395,2.155338
0.020000,13.113875,17.365228,3.818339,5.046331,2.815828,-1.351800,2.138680
