dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.998233,25.894999,0.000789,0.078947,3.947368,197.368421,0.001543
0.020000,1.998850,25.894999,0.001406,0.030829,-2.405907,-317.663786,0.001004
0.020000,2.000506,25.895000,0.003062,0.082780,2.597533,250.172026,6.283113
0.020000,2.011827,25.894990,0.014383,0.566076,24.164781,1078.362376,6.281499
0.020000,2.026922,25.894948,0.029478,0.754738,9.433105,-736.583804,6.279349
0.020000,2.045787,25.894851,0.048343,0.943257,9.425970,-0.356743,6.276662
0.020000,2.068421,25.894667,0.070978,1.131766,9.425428,-0.027097,6.273441
0.020000,2.094822,25.894360,0.097381,1.320127,9.418086,-0.367098,6.269688
0.020000,2.124986,25.893888,0.127549,1.508402,9.413755,-0.216530,6.265405
0.020000,2.158909,25.893203,0.161478,1.696462,9.402983,-0.538619,6.260594
0.020000,2.196583,25.892251,0.199165,1.884320,9.392904,-0.503954,6.255260
0.020000,2.238003,25.890973,0.240604,2.071963,9.382140,-0.538190,6.249406
0.020000,2.283157,25.889303,0.285789,2.259269,9.365315,-0.841264,6.243039
0.020000,2.332035,25.887171,0.334714,2.446243,9.348669,-0.832271,6.236163
0.020000,2.384623,25.884502,0.387369,2.632745,9.325107,-1.178131,6.228788
0.020000,2.440903,25.881215,0.443745,2.818809,9.303222,-1.094225,6.220921
0.020000,2.500856,25.877226,0.503830,3.004263,9.272669,-1.527681,6.212572
0.020000,2.564457,25.872445,0.567611,3.189041,9.238937,-1.686580,6.203754
0.020000,2.631680,25.866780,0.635072,3.373042,9.200012,-1.946227,6.194480
0.020000,2.702491,25.860135,0.706195,3.556153,9.155554,-2.222903,6.184765
0.020000,2.776858,25.852411,0.780961,3.738304,9.107588,-2.398340,6.174627
0.020000,2.854736,25.843507,0.859347,3.919304,9.049987,-2.880020,6.164085
0.020000,2.936082,25.833321,0.941329,4.099071,8.988334,-3.082684,6.153160
0.020000,3.020845,25.821749,1.026878,4.277457,8.919291,-3.452137,6.141878
0.020000,3.108969,25.808690,1.115964,4.454327,8.843521,-3.788476,6.130265
0.020000,3.200394,25.794040,1.208555,4.629544,8.760836,-4.134261,6.118348
0.020000,3.295053,25.777699,1.304614,4.802949,8.670285,-4.527558,6.106161
0.020000,3.392876,25.759569,1.404103,4.974429,8.573987,-4.814913,6.093737
0.020000,3.493787,25.739556,1.506979,5.143832,8.470126,-5.193011,6.081111
0.020000,3.597707,25.717570,1.613200,5.311018,8.359335,-5.539583,6.068323
0.020000,3.704553,25.693527,1.722717,5.475880,8.243069,-5.813291,6.055413
0.020000,3.814238,25.667348,1.835483,5.638289,8.120438,-6.131543,6.042425
0.020000,3.926672,25.638962,1.951446,5.798141,7.992616,-6.391083,6.029402
0.020000,4.041766,25.608305,2.070553,5.955342,7.860064,-6.627621,6.016391
