dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.001767,23.605001,0.000789,0.078947,3.947368,197.368421,0.001543
0.020000,2.001150,23.605001,0.001406,0.030829,-2.405907,-317.663786,0.001004
0.020000,2.000340,23.605000,0.002216,0.040482,0.482616,144.426188,6.283113
0.020000,2.007966,23.604993,0.009841,0.381284,17.040105,827.874435,6.281499
0.020000,2.018135,23.604965,0.020011,0.508469,6.359278,-534.041358,6.279349
0.020000,2.030849,23.604899,0.032724,0.635661,6.359582,0.015209,6.276662
0.020000,2.046108,23.604775,0.047984,0.762982,6.366046,0.323191,6.273441
0.020000,2.063914,23.604568,0.065791,0.890381,6.369937,0.194554,6.269688
0.020000,2.084270,23.604250,0.086150,1.017945,6.378219,0.414097,6.265405
0.020000,2.107179,23.603787,0.109063,1.145643,6.384921,0.335097,6.260594
0.020000,2.132642,23.603144,0.134534,1.273550,6.395315,0.519723,6.255260
0.020000,2.160663,23.602279,0.162569,1.401729,6.408989,0.683666,6.249406
0.020000,2.191246,23.601148,0.193172,1.530187,6.422864,0.693779,6.243039
0.020000,2.224395,23.599702,0.226353,1.659022,6.441768,0.945190,6.236163
0.020000,2.260114,23.597889,0.262118,1.788253,6.461533,0.988259,6.228788
0.020000,2.298409,23.595653,0.300478,1.918026,6.488667,1.356660,6.220921
0.020000,2.339286,23.592933,0.341446,2.048363,6.516836,1.408467,6.212572
0.020000,2.382751,23.589666,0.385033,2.179372,6.550472,1.681826,6.203754
0.020000,2.428810,23.585784,0.431256,2.311150,6.588908,1.921755,6.194480
0.020000,2.477473,23.581217,0.480132,2.443802,6.632591,2.184195,6.184765
0.020000,2.528746,23.575892,0.531682,2.577474,6.683574,2.549143,6.174627
0.020000,2.582640,23.569730,0.585926,2.712239,6.738242,2.733385,6.164085
0.020000,2.639163,23.562652,0.642891,2.848258,6.800968,3.136282,6.153160
0.020000,2.698328,23.554574,0.702605,2.985656,6.869897,3.446474,6.141878
0.020000,2.760144,23.545413,0.765096,3.124572,6.945824,3.796329,6.130265
0.020000,2.824624,23.535080,0.830399,3.265149,7.028829,4.150263,6.118348
0.020000,2.891781,23.523486,0.898549,3.407515,7.118309,4.474007,6.106161
0.020000,2.961628,23.510541,0.969586,3.551829,7.215678,4.868437,6.093737
0.020000,3.034180,23.496152,1.043550,3.698217,7.319405,5.186340,6.081111
0.020000,3.109449,23.480227,1.120486,3.846807,7.429510,5.505275,6.068323
0.020000,3.187453,23.462673,1.200441,3.997736,7.546463,5.847649,6.055413
0.020000,3.268207,23.443398,1.283463,4.151114,7.668877,6.120712,6.042425
0.020000,3.351727,23.422311,1.369604,4.307048,7.796714,6.391830,6.029402
