dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.594055,25.836930,0.000789,0.078947,3.947368,197.368421,0.000757
0.020000,1.594391,25.836930,0.001125,0.016776,-3.108573,-352.797093,0.000464
0.020000,1.596371,25.836930,0.003106,0.099034,4.112895,361.073437,6.283064
0.020000,1.606851,25.836925,0.013585,0.523956,21.246086,856.659559,6.282186
0.020000,1.620822,25.836902,0.027556,0.698549,8.729674,-625.820647,6.281016
0.020000,1.638283,25.836852,0.045017,0.873085,8.726806,-0.143386,6.279556
0.020000,1.659234,25.836757,0.065969,1.047560,8.723746,-0.152986,6.277806
0.020000,1.683673,25.836601,0.090408,1.221942,8.719121,-0.231231,6.275767
0.020000,1.711597,25.836361,0.118333,1.396258,8.715782,-0.166997,6.273442
0.020000,1.743003,25.836014,0.149741,1.570432,8.708673,-0.355435,6.270833
0.020000,1.777890,25.835533,0.184631,1.744507,8.703763,-0.245467,6.267941
0.020000,1.816253,25.834887,0.223000,1.918406,8.694968,-0.439758,6.264770
0.020000,1.858087,25.834045,0.264843,2.092150,8.687168,-0.389996,6.261322
0.020000,1.903389,25.832970,0.310157,2.265706,8.677841,-0.466354,6.257600
0.020000,1.952151,25.831624,0.358938,2.439054,8.667387,-0.522736,6.253608
0.020000,2.004368,25.829968,0.411181,2.612172,8.655882,-0.575245,6.249350
0.020000,2.060033,25.827958,0.466882,2.785024,8.642632,-0.662479,6.244831
0.020000,2.119136,25.825548,0.526034,2.957600,8.628780,-0.692587,6.240056
0.020000,2.181668,25.822692,0.588631,3.129859,8.612955,-0.791284,6.235030
0.020000,2.247618,25.819339,0.654666,3.301781,8.596089,-0.843269,6.229758
0.020000,2.316975,25.815438,0.724133,3.473325,8.577182,-0.945383,6.224248
0.020000,2.389725,25.810936,0.797022,3.644463,8.556936,-1.012308,6.218507
0.020000,2.465854,25.805777,0.873326,3.815165,8.535098,-1.091889,6.212542
0.020000,2.545345,25.799905,0.953034,3.985401,8.511793,-1.165225,6.206362
0.020000,2.628181,25.793262,1.036136,4.155110,8.485429,-1.318190,6.199975
0.020000,2.714344,25.785790,1.122621,4.324279,8.458491,-1.346900,6.193391
0.020000,2.803811,25.777428,1.212479,4.492858,8.428941,-1.477536,6.186621
0.020000,2.896561,25.768118,1.305695,4.660809,8.397512,-1.571455,6.179675
0.020000,2.992570,25.757799,1.402257,4.828092,8.364167,-1.667252,6.172565
0.020000,3.091812,25.746410,1.502150,4.994673,8.329038,-1.756412,6.165303
0.020000,3.194260,25.733891,1.605360,5.160492,8.290967,-1.903588,6.157903
0.020000,3.299885,25.720184,1.711870,5.325529,8.251835,-1.956593,6.150378
0.020000,3.408656,25.705229,1.821665,5.489726,8.209889,-2.097287,6.142743
0.020000,3.520542,25.688968,1.934726,5.653062,8.166757,-2.156616,6.135013
0.020000,3.635509,25.671347,2.051036,5.815480,8.120934,-2.291142,6.127204
0.020000,3.753522,25.652311,2.170575,5.976947,8.073315,-2.380942,6.119332
0.020000,3.874546,25.631807,2.293323,6.137427,8.024030,-2.464232,6.111415
0.020000,3.998544,25.609786,2.419261,6.296885,7.972887,-2.557180,6.103471
0.020000,4.124643,25.586360,2.547518,6.412850,5.798271,-108.730804,6.095570
0.020000,4.251153,25.561832,2.676383,6.443276,1.521297,-213.848673,6.087827
0.020000,4.377232,25.536388,2.805005,6.431063,-0.610651,-106.597396,6.080297
0.020000,4.502878,25.510059,2.933379,6.418738,-0.616282,-0.281548,6.072983
0.020000,4.628088,25.482877,3.061506,6.406313,-0.621211,-0.246442,6.065885
0.020000,4.752861,25.454877,3.189382,6.393804,-0.625486,-0.213767,6.059007
0.020000,4.877196,25.426089,3.317006,6.381221,-0.629143,-0.182840,6.052348
0.020000,5.001094,25.396546,3.444378,6.368575,-0.632289,-0.157336,6.045909
0.020000,5.124556,25.366280,3.571495,6.355878,-0.634858,-0.128448,6.039693
0.020000,5.247584,25.335323,3.698358,6.343139,-0.636941,-0.104133,6.033699
0.020000,5.370180,25.303707,3.824965,6.330367,-0.638580,-0.081933,6.027928
0.020000,5.492348,25.271463,3.951317,6.317571,-0.639843,-0.063152,6.022381
0.020000,5.614091,25.238622,4.077412,6.304757,-0.640687,-0.042190,6.017058
0.020000,5.735414,25.205215,4.203251,6.291933,-0.641216,-0.026474,6.011958
0.020000,5.856323,25.171273,4.328833,6.279103,-0.641452,-0.011817,6.007083
0.020000,5.976821,25.136826,4.454158,6.266275,-0.641441,0.000559,6.002432
0.020000,6.096916,25.101904,4.579227,6.253450,-0.641241,0.010004,5.998005
0.020000,6.216613,25.066536,4.704040,6.240635,-0.640752,0.024434,5.993801
0.020000,6.335918,25.030753,4.828597,6.227832,-0.640150,0.030108,5.989822
0.020000,6.454840,24.994583,4.952897,6.215043,-0.639416,0.036717,5.986065
0.020000,6.573386,24.958055,5.076943,6.202271,-0.638615,0.040025,5.982532
0.020000,6.691562,24.921197,5.200733,6.189517,-0.637693,0.046111,5.979222
0.020000,6.809376,24.884039,5.324269,6.176784,-0.636682,0.050557,5.976134
0.020000,6.926837,24.846606,5.447550,6.164070,-0.635674,0.050402,5.973268
0.020000,7.043953,24.808928,5.570578,6.151377,-0.634663,0.050542,5.970624
0.020000,7.160732,24.771032,5.693352,6.138703,-0.633698,0.048263,5.968201
0.020000,7.277183,24.732945,5.815873,6.126050,-0.632646,0.052596,5.965999
0.020000,7.393314,24.694693,5.938141,6.113416,-0.631698,0.047411,5.964018
0.020000,7.509133,24.656303,6.060157,6.100800,-0.630805,0.044642,5.962257
0.020000,7.624650,24.617802,6.181921,6.088200,-0.630023,0.039104,5.960717
0.020000,7.739873,24.579215,6.303433,6.075615,-0.629225,0.039868,5.959396
0.020000,7.854811,24.540569,6.424694,6.063044,-0.628565,0.033030,5.958295
0.020000,7.969472,24.501890,6.545704,6.050484,-0.628005,0.027972,5.957413
0.020000,8.083866,24.463202,6.666463,6.037932,-0.627567,0.021936,5.956750
0.020000,8.198000,24.424532,6.786970,6.025388,-0.627194,0.018628,5.956307
0.020000,8.311885,24.385904,6.907227,6.012849,-0.626960,0.011731,5.956083
0.020000,8.425527,24.347343,7.027234,6.000312,-0.626845,0.005711,5.956077
0.020000,8.538936,24.308875,7.146989,5.987775,-0.626840,0.000278,5.956291
0.020000,8.652120,24.270524,7.266494,5.975236,-0.626956,-0.005798,5.956723
0.020000,8.765087,24.232315,7.385748,5.962692,-0.627195,-0.011972,5.957375
0.020000,8.877845,24.194272,7.504751,5.950142,-0.627548,-0.017637,5.958246
0.020000,8.990402,24.156420,7.623502,5.937582,-0.627978,-0.021506,5.959336
0.020000,9.102766,24.118782,7.742002,5.925011,-0.628558,-0.029017,5.960646
0.020000,9.214945,24.081384,7.860251,5.912426,-0.629228,-0.033475,5.962176
0.020000,9.326946,24.044249,7.978247,5.899827,-0.629980,-0.037628,5.963925
0.020000,9.438776,24.007401,8.095992,5.887211,-0.630768,-0.039383,5.965895
0.020000,9.550442,23.970865,8.213483,5.874578,-0.631687,-0.045927,5.968086
0.020000,9.661952,23.934664,8.330722,5.861924,-0.632655,-0.048436,5.970498
0.020000,9.773311,23.898822,8.447707,5.849251,-0.633649,-0.049694,5.973131
0.020000,9.884526,23.863363,8.564438,5.836559,-0.634633,-0.049209,5.975986
