dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.850435,23.546931,0.000793,0.079268,3.963415,198.170732,0.000912
0.020000,2.849961,23.546931,0.001266,0.023659,-2.780473,-337.194380,0.000498
0.020000,2.851533,23.546930,0.002837,0.078570,2.745545,276.300891,6.282857
0.020000,2.859627,23.546922,0.010931,0.404712,16.307122,678.078880,6.281619
0.020000,2.870421,23.546897,0.021725,0.539684,6.748606,-477.925833,6.279969
0.020000,2.883915,23.546839,0.035220,0.674735,6.752547,0.197068,6.277909
0.020000,2.900112,23.546734,0.051417,0.809867,6.756595,0.202372,6.275440
0.020000,2.919014,23.546560,0.070319,0.945102,6.761762,0.258385,6.272564
0.020000,2.940621,23.546295,0.091929,1.080464,6.768067,0.315242,6.269283
0.020000,2.964938,23.545912,0.116248,1.215992,6.776418,0.417526,6.265600
0.020000,2.991967,23.545382,0.143282,1.351692,6.785007,0.429460,6.261519
0.020000,3.021710,23.544671,0.173034,1.487602,6.795507,0.525009,6.257042
0.020000,3.054172,23.543743,0.205510,1.623774,6.808586,0.653932,6.252174
0.020000,3.089357,23.542559,0.240715,1.760237,6.823158,0.728593,6.246921
0.020000,3.127268,23.541076,0.278655,1.897003,6.838270,0.755601,6.241288
0.020000,3.167911,23.539250,0.319338,2.034165,6.858128,0.992899,6.235281
0.020000,3.211289,23.537032,0.362773,2.171733,6.878371,1.012196,6.228909
0.020000,3.257408,23.534370,0.408968,2.309786,6.902694,1.216112,6.222178
0.020000,3.306273,23.531211,0.457936,2.448377,6.929513,1.340972,6.215099
0.020000,3.357891,23.527499,0.509687,2.587551,6.958701,1.459412,6.207681
0.020000,3.412267,23.523173,0.564235,2.727397,6.992302,1.680008,6.199938
0.020000,3.469408,23.518173,0.621594,2.867966,7.028454,1.807619,6.191880
0.020000,3.529321,23.512434,0.681781,3.009346,7.069029,2.028742,6.183523
0.020000,3.592012,23.505891,0.744813,3.151597,7.112551,2.176112,6.174881
0.020000,3.657490,23.498476,0.810709,3.294823,7.161259,2.435383,6.165972
0.020000,3.725762,23.490119,0.879491,3.439087,7.213202,2.597187,6.156814
0.020000,3.796836,23.480749,0.951180,3.584467,7.268992,2.789484,6.147426
0.020000,3.870722,23.470294,1.025802,3.731060,7.329686,3.034674,6.137829
0.020000,3.947426,23.458680,1.103381,3.878950,7.394495,3.240467,6.128046
0.020000,4.026960,23.445834,1.183945,4.028215,7.463236,3.437052,6.118102
0.020000,4.109332,23.431682,1.267524,4.178943,7.536401,3.658255,6.108021
0.020000,4.194552,23.416150,1.354148,4.331212,7.613473,3.853602,6.097830
0.020000,4.282631,23.399164,1.443850,4.485100,7.694377,4.045182,6.087559
0.020000,4.373580,23.380650,1.536664,4.640686,7.779311,4.246693,6.077236
0.020000,4.467409,23.360539,1.632624,4.798035,7.867426,4.405792,6.066892
0.020000,4.564132,23.338758,1.731769,4.957212,7.958883,4.572826,6.056559
0.020000,4.663759,23.315242,1.834134,5.118283,8.053545,4.733109,6.046271
0.020000,4.766306,23.289923,1.939760,5.281295,8.150580,4.851757,6.036060
0.020000,4.871786,23.262741,2.048686,5.446301,8.250295,4.985715,6.025963
0.020000,4.980215,23.233637,2.160953,5.613341,8.352026,5.086553,6.016015
0.020000,5.091609,23.202557,2.276602,5.782451,8.455510,5.174240,6.006251
0.020000,5.205289,23.169656,2.394948,5.917279,6.741382,-85.706442,5.996765
0.020000,5.319873,23.135338,2.514560,5.980625,3.167321,-178.703019,5.987693
0.020000,5.434670,23.099848,2.634717,6.007856,1.361523,-90.289890,5.979097
0.020000,5.549686,23.063235,2.755420,6.035153,1.364843,0.165973,5.970978
0.020000,5.664929,23.025546,2.876670,6.062481,1.366412,0.078440,5.963336
0.020000,5.780408,22.986832,2.998466,6.089814,1.366643,0.011565,5.956171
0.020000,5.896134,22.947141,3.120809,6.117128,1.365731,-0.045602,5.949484
0.020000,6.012116,22.906525,3.243697,6.144403,1.363733,-0.099895,5.943272
0.020000,6.128366,22.865033,3.367129,6.171627,1.361185,-0.127375,5.937537
0.020000,6.244896,22.822718,3.491105,6.198788,1.358042,-0.157195,5.932276
0.020000,6.361721,22.779630,3.615623,6.225876,1.354411,-0.181535,5.927488
0.020000,6.478855,22.735822,3.740681,6.252892,1.350788,-0.181126,5.923171
0.020000,6.596313,22.691345,3.866277,6.279832,1.347027,-0.188079,5.919326
0.020000,6.714111,22.646252,3.992411,6.306697,1.343259,-0.188399,5.915949
0.020000,6.832267,22.600596,4.119081,6.333494,1.339824,-0.171764,5.913041
0.020000,6.950798,22.554431,4.246286,6.360227,1.336634,-0.159502,5.910599
0.020000,7.069724,22.507809,4.374024,6.386902,1.333771,-0.143115,5.908624
0.020000,7.189064,22.460784,4.502294,6.413530,1.331404,-0.118344,5.907114
0.020000,7.308839,22.413412,4.631097,6.440121,1.329552,-0.092625,5.906068
0.020000,7.429068,22.365746,4.760430,6.466685,1.328212,-0.066974,5.905486
0.020000,7.549775,22.317842,4.890295,6.493234,1.327458,-0.037728,5.905368
0.020000,7.670980,22.269756,5.020691,6.519781,1.327309,-0.007438,5.905713
0.020000,7.792707,22.221545,5.151617,6.546335,1.327734,0.021252,5.906522
0.020000,7.914979,22.173265,5.283076,6.572911,1.328778,0.052215,5.907796
0.020000,8.037818,22.124975,5.415066,6.599518,1.330355,0.078854,5.909534
0.020000,8.161249,22.076733,5.547589,6.626167,1.332447,0.104592,5.911738
0.020000,8.285295,22.028599,5.680647,6.652868,1.335060,0.130643,5.914408
0.020000,8.409979,21.980633,5.814239,6.679630,1.338092,0.151575,5.917546
0.020000,8.535327,21.932897,5.948368,6.706458,1.341377,0.164290,5.921152
0.020000,8.661360,21.885453,6.083036,6.733357,1.344980,0.180135,5.925228
0.020000,8.788102,21.838365,6.218242,6.760333,1.348786,0.190274,5.929776
0.020000,8.915576,21.791698,6.353990,6.787382,1.352433,0.182375,5.934796
0.020000,9.043803,21.745518,6.490280,6.814503,1.356078,0.182243,5.940289
0.020000,9.172807,21.699892,6.627114,6.841694,1.359524,0.172303,5.946258
0.020000,9.302605,21.654889,6.764493,6.868940,1.362320,0.139775,5.952703
0.020000,9.433219,21.610580,6.902417,6.896233,1.364643,0.116175,5.959624
0.020000,9.564665,21.567034,7.040888,6.923556,1.366143,0.074973,5.967023
0.020000,9.690894,21.526259,7.173540,6.632596,-14.548007,-795.707452,5.974768
0.020000,9.798558,21.491204,7.286767,5.661347,-48.562425,-1700.720928,5.962439
0.020000,9.908850,21.453832,7.403219,5.822612,8.063257,2831.284125,5.950608
0.020000,10.019246,21.414993,7.520248,5.851416,1.440184,-331.153693,5.939280
0.020000,10.129751,21.374735,7.637857,5.880488,1.453608,0.671222,5.928459
0.020000,10.240373,21.333106,7.756053,5.909763,1.463753,0.507231,5.918150
0.020000,10.351119,21.290154,7.874836,5.939178,1.470724,0.348550,5.908354
0.020000,10.461998,21.245930,7.994210,5.968682,1.475226,0.225123,5.899074
0.020000,10.573021,21.200483,8.114174,5.998229,1.477324,0.104906,5.890309
0.020000,10.684198,21.153864,8.234730,6.027774,1.477288,-0.001813,5.882061
0.020000,10.795542,21.106126,8.355876,6.057293,1.475937,-0.067536,5.874329
0.020000,10.907065,21.057321,8.477611,6.086752,1.472971,-0.148315,5.867111
0.020000,11.018783,21.007502,8.599934,6.116132,1.468969,-0.200091,5.860406
0.020000,11.130711,20.956721,8.722842,6.145420,1.464399,-0.228491,5.854212
0.020000,11.242865,20.905032,8.846334,6.174598,1.458886,-0.275641,5.848529
0.020000,11.355263,20.852489,8.970407,6.203666,1.453427,-0.272991,5.843353
0.020000,11.467925,20.799145,9.095060,6.232619,1.447644,-0.289109,5.838682
0.020000,11.580870,20.745055,9.220289,6.261456,1.441829,-0.290775,5.834516
0.020000,11.694120,20.690273,9.346092,6.290186,1.436506,-0.266154,5.830851
0.020000,11.807696,20.634854,9.472469,6.318808,1.431131,-0.268751,5.827686
0.020000,11.921623,20.578852,9.599415,6.347341,1.426624,-0.225339,5.825019
0.020000,12.035923,20.522322,9.726931,6.375789,1.422398,-0.211296,5.822850
0.020000,12.150624,20.465321,9.855015,6.404168,1.418963,-0.171782,5.821176
0.020000,12.265749,20.407903,9.983664,6.432492,1.416220,-0.137120,5.819997
0.020000,12.381328,20.350124,10.112880,6.460777,1.414217,-0.100159,5.819312
