dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.172567,26.029925,0.000789,0.078947,3.947368,197.368421,0.001171
0.020000,2.172865,26.029925,0.001088,0.014915,-3.201631,-357.449979,0.000911
0.020000,2.173461,26.029926,0.001684,0.029816,0.745049,197.333985,0.000390
0.020000,2.179097,26.029925,0.007320,0.281791,12.598743,592.684747,6.282795
0.020000,2.192919,26.029912,0.021142,0.691102,20.465582,393.341928,6.281755
0.020000,2.210195,26.029876,0.038418,0.863807,8.635243,-591.516971,6.280456
0.020000,2.230924,26.029803,0.059147,1.036446,8.631968,-0.163749,6.278901
0.020000,2.255103,26.029678,0.083327,1.208980,8.626668,-0.264978,6.277089
0.020000,2.282733,26.029481,0.110957,1.381501,8.626047,-0.031048,6.275022
0.020000,2.313809,26.029191,0.142034,1.553866,8.618257,-0.389517,6.272702
0.020000,2.348329,26.028785,0.176557,1.726133,8.613362,-0.244736,6.270131
0.020000,2.386290,26.028236,0.214522,1.898260,8.606343,-0.350970,6.267311
0.020000,2.427690,26.027515,0.255928,2.070304,8.602199,-0.207168,6.264245
0.020000,2.472523,26.026591,0.300770,2.242119,8.590774,-0.571254,6.260935
0.020000,2.520785,26.025432,0.349046,2.413790,8.583508,-0.363322,6.257384
0.020000,2.572470,26.024000,0.400751,2.585269,8.573946,-0.478087,6.253597
0.020000,2.627573,26.022258,0.455882,2.756512,8.562193,-0.587668,6.249576
0.020000,2.686086,26.020166,0.514433,2.927546,8.551680,-0.525648,6.245325
0.020000,2.748003,26.017682,0.576399,3.098298,8.537615,-0.703225,6.240850
0.020000,2.813313,26.014761,0.641774,3.268791,8.524614,-0.650055,6.236155
0.020000,2.882008,26.011359,0.710554,3.438976,8.509251,-0.768135,6.231245
0.020000,2.954078,26.007427,0.782730,3.608809,8.491674,-0.878854,6.226127
0.020000,3.029510,26.002917,0.858297,3.778340,8.476562,-0.755621,6.220805
0.020000,3.108291,25.997778,0.937246,3.947449,8.455427,-1.056728,6.215288
0.020000,3.190408,25.991958,1.019569,4.116160,8.435561,-0.993324,6.209581
0.020000,3.275846,25.985404,1.105258,4.284429,8.413423,-1.106897,6.203694
0.020000,3.364588,25.978064,1.194303,4.452270,8.392051,-1.068581,6.197632
0.020000,3.456617,25.969882,1.286695,4.619576,8.365306,-1.337273,6.191407
0.020000,3.551913,25.960804,1.382422,4.786374,8.339932,-1.268709,6.185025
0.020000,3.650456,25.950775,1.481474,4.952619,8.312245,-1.384316,6.178498
0.020000,3.752225,25.939738,1.583840,5.118268,8.282424,-1.491092,6.171835
0.020000,3.857196,25.927639,1.689506,5.283328,8.253029,-1.469725,6.165048
0.020000,3.965346,25.914423,1.798461,5.447717,8.219459,-1.678484,6.158146
0.020000,4.076649,25.900036,1.910689,5.611438,8.186008,-1.672579,6.151143
0.020000,4.191078,25.884424,2.026178,5.774448,8.150530,-1.773888,6.144051
0.020000,4.308605,25.867534,2.144913,5.936733,8.114238,-1.814605,6.136882
0.020000,4.429202,25.849317,2.266878,6.098240,8.075347,-1.944527,6.129650
0.020000,4.552838,25.829721,2.392057,6.258962,8.036126,-1.961059,6.122368
0.020000,4.678650,25.808841,2.519590,6.376666,5.885189,-107.546851,6.115099
0.020000,4.804955,25.786942,2.647779,6.409443,1.638819,-212.318529,6.107947
0.020000,4.930913,25.764184,2.775777,6.399867,-0.478771,-105.879472,6.100962
0.020000,5.056521,25.740594,2.903581,6.390211,-0.482818,-0.202357,6.094146
0.020000,5.181776,25.716196,3.031190,6.380483,-0.486407,-0.179456,6.087500
0.020000,5.306677,25.691016,3.158604,6.370692,-0.489524,-0.155857,6.081024
0.020000,5.431222,25.665078,3.285821,6.360845,-0.492343,-0.140926,6.074721
0.020000,5.555409,25.638408,3.412840,6.350951,-0.494724,-0.119056,6.068591
0.020000,5.679240,25.611031,3.539661,6.341017,-0.496708,-0.099209,6.062634
0.020000,5.802712,25.582972,3.666282,6.331050,-0.498353,-0.082231,6.056851
0.020000,5.925829,25.554255,3.792703,6.321055,-0.499707,-0.067699,6.051243
0.020000,6.048590,25.524905,3.918923,6.311039,-0.500814,-0.055367,6.045810
0.020000,6.170998,25.494948,4.044944,6.301009,-0.501521,-0.035358,6.040552
0.020000,6.293054,25.464407,4.170763,6.290968,-0.502033,-0.025604,6.035470
0.020000,6.414761,25.433306,4.296381,6.280922,-0.502320,-0.014361,6.030563
0.020000,6.536123,25.401670,4.421799,6.270874,-0.502404,-0.004184,6.025831
0.020000,6.657143,25.369522,4.547015,6.260825,-0.502444,-0.002008,6.021275
0.020000,6.777823,25.336886,4.672031,6.250783,-0.502099,0.017248,6.016895
0.020000,6.898169,25.303785,4.796846,6.240750,-0.501646,0.022681,6.012689
0.020000,7.018185,25.270244,4.921461,6.230728,-0.501109,0.026824,6.008659
0.020000,7.137875,25.236283,5.045875,6.220718,-0.500466,0.032186,6.004804
0.020000,7.257243,25.201928,5.170089,6.210724,-0.499731,0.036706,6.001123
0.020000,7.376296,25.167200,5.294104,6.200742,-0.499105,0.031327,5.997616
0.020000,7.495039,25.132121,5.417920,6.190780,-0.498061,0.052204,5.994284
0.020000,7.613476,25.096714,5.541537,6.180838,-0.497134,0.046347,5.991125
0.020000,7.731615,25.061000,5.664955,6.170914,-0.496187,0.047337,5.988140
0.020000,7.849459,25.025002,5.788175,6.161010,-0.495222,0.048237,5.985327
0.020000,7.967017,24.988742,5.911198,6.151125,-0.494252,0.048538,5.982687
0.020000,8.084292,24.952240,6.034023,6.141257,-0.493391,0.043018,5.980220
0.020000,8.201293,24.915517,6.156651,6.131409,-0.492370,0.051062,5.977925
0.020000,8.318025,24.878596,6.279083,6.121581,-0.491393,0.048853,5.975801
0.020000,8.434494,24.841496,6.401318,6.111771,-0.490501,0.044611,5.973849
0.020000,8.550707,24.804239,6.523358,6.101978,-0.489651,0.042481,5.972067
0.020000,8.666671,24.766845,6.645202,6.092201,-0.488852,0.039977,5.970457
0.020000,8.782392,24.729334,6.766850,6.082439,-0.488109,0.037137,5.969017
0.020000,8.897877,24.691727,6.888304,6.072689,-0.487505,0.030191,5.967747
0.020000,9.013132,24.654043,7.009563,6.062953,-0.486801,0.035220,5.966648
0.020000,9.128164,24.616303,7.130628,6.053228,-0.486256,0.027215,5.965718
0.020000,9.242979,24.578527,7.251498,6.043512,-0.485794,0.023100,5.964958
0.020000,9.357585,24.540734,7.372174,6.033804,-0.485413,0.019068,5.964367
0.020000,9.471987,24.502944,7.492656,6.024101,-0.485115,0.014898,5.963946
0.020000,9.586192,24.465176,7.612944,6.014403,-0.484903,0.010621,5.963695
0.020000,9.700207,24.427450,7.733038,6.004708,-0.484777,0.006269,5.963613
0.020000,9.814038,24.389786,7.852939,5.995014,-0.484719,0.002910,5.963700
0.020000,9.927691,24.352201,7.972645,5.985318,-0.484768,-0.002460,5.963956
0.020000,10.041173,24.314717,8.092157,5.975620,-0.484907,-0.006950,5.964382
0.020000,10.154489,24.277351,8.211476,5.965917,-0.485133,-0.011300,5.964977
0.020000,10.267647,24.240123,8.330600,5.956208,-0.485445,-0.015571,5.965742
0.020000,10.380651,24.203051,8.449530,5.946492,-0.485839,-0.019729,5.966677
0.020000,10.493509,24.166156,8.568265,5.936766,-0.486259,-0.021014,5.967781
0.020000,10.606225,24.129454,8.686806,5.927030,-0.486825,-0.028268,5.969056
0.020000,10.718805,24.092967,8.805151,5.917281,-0.487471,-0.032289,5.970501
0.020000,10.831255,24.056711,8.923302,5.907517,-0.488164,-0.034655,5.972116
0.020000,10.943581,24.020707,9.041256,5.897739,-0.488919,-0.037772,5.973902
0.020000,11.055786,23.984972,9.159015,5.887944,-0.489731,-0.040577,5.975860
0.020000,11.167878,23.949526,9.276578,5.878132,-0.490591,-0.043035,5.977988
0.020000,11.279860,23.914386,9.393944,5.868305,-0.491370,-0.038918,5.980289
0.020000,11.391738,23.879573,9.511113,5.858457,-0.492395,-0.051266,5.982761
0.020000,11.503516,23.845104,9.628085,5.848590,-0.493377,-0.049087,5.985406
0.020000,11.615199,23.810999,9.744859,5.838703,-0.494353,-0.048785,5.988223
0.020000,11.726790,23.777275,9.861435,5.828796,-0.495332,-0.048959,5.991214
